Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,57.4939026134,0.02
 01/01  02:00:00,54.456561233500004,0.06830146227419999
 01/01  03:00:00,60.7223655333,1.2450198936399999
 01/01  04:00:00,54.4118936163,0.107689671296
 01/01  05:00:00,60.482602808500005,0.237311136149
 01/01  06:00:00,54.7279391654,1.22779333951
 01/01  07:00:00,55.469142581499995,0.25003386066399996
 01/01  08:00:00,39.3679828263,1.2040787716399999
 01/01  09:00:00,43.524911138,0.177119135765
 01/01  10:00:00,35.424631956999995,1.12196017999
 01/01  11:00:00,30.983205757100002,0.02
 01/01  12:00:00,27.1976521154,1.10309370544
 01/01  13:00:00,25.6333925806,0.02
 01/01  14:00:00,21.7897128175,1.1031537359399999
 01/01  15:00:00,23.215341914,0.02
 01/01  16:00:00,23.6366311971,1.10295337939
 01/01  17:00:00,32.646822913899996,0.02
 01/01  18:00:00,41.2589245773,0.02
 01/01  19:00:00,48.2905641621,1.10298850645
 01/01  20:00:00,48.020971198000005,0.02
 01/01  21:00:00,52.5889943668,1.10295072661
 01/01  22:00:00,49.77501353,0.02
 01/01  23:00:00,55.2069220709,0.02
 01/01  24:00:00,52.3007163757,1.10300457516
 01/02  01:00:00,60.053141428900005,0.02
 01/02  02:00:00,52.1935538683,1.10305112233
 01/02  03:00:00,56.7695394079,0.02
 01/02  04:00:00,54.7963633409,1.10299757422
 01/02  05:00:00,57.5228111628,0.02
 01/02  06:00:00,55.411272330699994,1.10316382839
 01/02  07:00:00,245.28852481400003,0.02
 01/02  08:00:00,202.96549042200002,9.06005891085
 01/02  09:00:00,218.517355956,4.85566926941
 01/02  10:00:00,191.62434669099997,2.1886561989200004
 01/02  11:00:00,169.518056792,2.18916871627
 01/02  12:00:00,165.096087616,2.1894101141499998
 01/02  13:00:00,170.648516287,3.27597042032
 01/02  14:00:00,160.481927865,2.1903215021999998
 01/02  15:00:00,150.09982192299998,2.1888413057599996
 01/02  16:00:00,149.344238579,2.1883366898
 01/02  17:00:00,156.50266081700002,2.18937893727
 01/02  18:00:00,161.34569701799998,1.10394572799
 01/02  19:00:00,133.502599148,2.18746678726
 01/02  20:00:00,132.364673935,0.02
 01/02  21:00:00,126.466717727,1.10347241498
 01/02  22:00:00,127.169549764,1.1032867736799998
 01/02  23:00:00,41.6166002114,0.02
 01/02  24:00:00,38.9361841996,1.10299598556
 01/03  01:00:00,38.9361841996,0.02
 01/03  02:00:00,38.9361841996,1.10299487265
 01/03  03:00:00,38.9361841996,0.02
 01/03  04:00:00,38.9361841996,1.10299550322
 01/03  05:00:00,38.9361841996,0.02
 01/03  06:00:00,41.6166002114,1.1031220999
 01/03  07:00:00,140.478309005,0.02
 01/03  08:00:00,123.787171351,1.10355405363
 01/03  09:00:00,160.95170313,2.18859457961
 01/03  10:00:00,143.414799891,2.18871305039
 01/03  11:00:00,137.867403705,2.1889569351900002
 01/03  12:00:00,134.956067412,2.1896685170900003
