Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,237.928631424,0.02
 01/01  02:00:00,237.928631747,2.18879973777
 01/01  03:00:00,237.928631988,2.18882851749
 01/01  04:00:00,237.92863215,2.18885730418
 01/01  05:00:00,250.15083003799998,2.1888860875400002
 01/01  06:00:00,274.596642575,2.19125544516
 01/01  07:00:00,306.39668361099996,2.1889129763999997
 01/01  08:00:00,296.666412705,2.1889424280000003
 01/01  09:00:00,296.666412726,2.1889706047999997
 01/01  10:00:00,259.999819317,2.18899933153
 01/01  11:00:00,211.11102804,2.18877309288
 01/01  12:00:00,211.111972855,2.19066763763
 01/01  13:00:00,211.111972699,2.1903699232599996
 01/01  14:00:00,211.113390458,4.36608644134
 01/01  15:00:00,211.11197268200002,2.1904660915200003
 01/01  16:00:00,211.11102813,2.18899922571
 01/01  17:00:00,277.087152735,2.18877299068
 01/01  18:00:00,347.928412759,2.1888020086
 01/01  19:00:00,347.928412658,2.18883098059
 01/01  20:00:00,323.484016898,2.1888599098
 01/01  21:00:00,365.757489124,0.22415026649
 01/01  22:00:00,341.062106889,4.58509084865
 01/01  23:00:00,316.316889614,2.4355900047
 01/01  24:00:00,291.857942935,2.44633825613
 01/02  01:00:00,311.826921346,2.45151373912
 01/02  02:00:00,329.519520351,2.4695508049900003
 01/02  03:00:00,329.576714802,2.49193138067
 01/02  04:00:00,329.493048638,2.51676518422
 01/02  05:00:00,341.636860104,2.52570889607
 01/02  06:00:00,390.95404231199996,4.72520396699
 01/02  07:00:00,777.110139643,97.01596712870001
 01/02  08:00:00,764.217661363,121.44114839299999
 01/02  09:00:00,1309.69224492,66.1948127857
 01/02  10:00:00,1348.75421133,55.0495736908
 01/02  11:00:00,1365.6275632000002,46.94585385
 01/02  12:00:00,1390.40132001,43.4709350924
 01/02  13:00:00,1353.03171033,46.621036879799995
 01/02  14:00:00,1413.75578344,28.1816523042
 01/02  15:00:00,1413.77235425,18.014269582
 01/02  16:00:00,1415.72879748,14.622961289800001
 01/02  17:00:00,1493.06087448,20.2068294236
 01/02  18:00:00,1425.13138779,20.8806405684
 01/02  19:00:00,1205.3398929000002,41.3420303314
 01/02  20:00:00,1125.85926594,56.0975198775
 01/02  21:00:00,900.6247073860001,91.1100844489
 01/02  22:00:00,792.800387191,102.636091979
 01/02  23:00:00,349.356790397,2.18979448322
 01/02  24:00:00,299.99203131,2.18958923346
 01/03  01:00:00,287.769834931,2.1896987219299997
 01/03  02:00:00,287.76983495900004,4.359413475299999
 01/03  03:00:00,287.769834938,2.18971511259
 01/03  04:00:00,287.769834948,2.1898244027300002
 01/03  05:00:00,299.992032708,2.1896223790200002
 01/03  06:00:00,349.358210681,2.1919711182
 01/03  07:00:00,715.017289089,264.606600611
 01/03  08:00:00,498.331186494,307.039191354
 01/03  09:00:00,1046.44684266,204.636534834
 01/03  10:00:00,1129.43334132,140.906388478
 01/03  11:00:00,1057.53493593,91.6794228793
 01/03  12:00:00,1089.37961612,78.7820477831
 01/03  13:00:00,1030.11920235,95.0899789663
 01/03  14:00:00,1076.17356235,68.7391020939
 01/03  15:00:00,1119.75339527,42.8700031823
 01/03  16:00:00,1132.05398765,43.387350197299995
 01/03  17:00:00,1133.31390243,70.7920964012
 01/03  18:00:00,969.261295895,126.97286993899999
 01/03  19:00:00,748.788022855,196.192415602
 01/03  20:00:00,724.393454141,251.823150924
 01/03  21:00:00,574.953938373,343.222089757
 01/03  22:00:00,550.596679735,434.239058829
 01/03  23:00:00,349.356791821,2.18985273283
 01/03  24:00:00,299.992032726,2.18985714277
 01/04  01:00:00,287.769836313,2.18965784178
 01/04  02:00:00,287.769836356,2.18976985145
 01/04  03:00:00,287.769836338,4.35956375112
 01/04  04:00:00,287.76983631,2.18979419166
 01/04  05:00:00,320.307164303,7.240031450510001
 01/04  06:00:00,383.338945241,12.8820119271
 01/04  07:00:00,669.555962464,661.510596006
 01/04  08:00:00,499.148762385,1088.03049639
 01/04  09:00:00,1046.77899406,456.31643982800006
 01/04  10:00:00,1088.54379588,173.57327248200002
 01/04  11:00:00,1081.77147636,106.665636866
 01/04  12:00:00,1148.02198418,92.3428467849
 01/04  13:00:00,1171.00443584,96.17733873790002
 01/04  14:00:00,1275.10103748,52.49092083399999
 01/04  15:00:00,1284.86198722,33.1820845006
 01/04  16:00:00,1285.41668324,31.2882931211
 01/04  17:00:00,1318.00085509,44.3499114524
 01/04  18:00:00,1162.42103,76.6789338486
 01/04  19:00:00,893.765178008,116.89457815899999
 01/04  20:00:00,818.3176866289999,134.872861984
 01/04  21:00:00,609.2938905,201.411433958
 01/04  22:00:00,550.433196111,251.904818933
 01/04  23:00:00,349.356793336,2.1898733469400002
 01/04  24:00:00,299.992034154,4.35939450654
 01/05  01:00:00,287.76983768,2.18971443398
 01/05  02:00:00,287.769837673,2.18982914851
 01/05  03:00:00,287.769837637,2.18963163099
 01/05  04:00:00,287.769837547,2.18974664021
 01/05  05:00:00,299.992035395,2.18986144849
 01/05  06:00:00,349.358215173,2.19222402715
 01/05  07:00:00,675.880219645,490.97035777199994
 01/05  08:00:00,545.9904219690001,401.585227696
 01/05  09:00:00,1201.69849224,124.640413591
 01/05  10:00:00,1248.3031642,83.19894774630001
 01/05  11:00:00,1314.61812444,63.3718572172
 01/05  12:00:00,1342.24490522,53.3758110522
 01/05  13:00:00,1313.51868784,56.808263682399996
 01/05  14:00:00,1374.56146628,32.410398291
 01/05  15:00:00,1387.45595982,17.742399282
 01/05  16:00:00,1386.08077168,18.0899770959
 01/05  17:00:00,1445.81890488,28.6070933337
 01/05  18:00:00,1354.49862092,36.247562982
 01/05  19:00:00,1142.09901404,79.0736004028
 01/05  20:00:00,1081.79611062,96.97294171940001
 01/05  21:00:00,906.009471152,131.170650705
 01/05  22:00:00,877.649689243,143.947505356
 01/05  23:00:00,349.35679448800005,2.1896809273
 01/05  24:00:00,299.992035356,2.1897959842200003
 01/06  01:00:00,287.769838905,2.18960217408
 01/06  02:00:00,287.769838791,2.18971975452
 01/06  03:00:00,287.76983882400003,2.18983715733
 01/06  04:00:00,287.76983882900004,2.1896418607099997
 01/06  05:00:00,299.992036596,2.18975952387
 01/06  06:00:00,349.358217899,4.36470662292
 01/06  07:00:00,768.2681862589999,325.090744907
 01/06  08:00:00,706.994580495,218.82790188400003
 01/06  09:00:00,1246.06768669,80.9960491383
 01/06  10:00:00,1301.55805708,55.7797765671
 01/06  11:00:00,1316.99231298,44.5131974149
 01/06  12:00:00,1327.95171946,43.7107351088
 01/06  13:00:00,1281.80079914,52.597430823500005
 01/06  14:00:00,1334.12069332,26.394865717
 01/06  15:00:00,1334.02572576,15.947296400599999
 01/06  16:00:00,1328.95819905,21.6837628976
 01/06  17:00:00,1379.27813933,31.590169056300002
 01/06  18:00:00,1242.73682383,50.6673816456
 01/06  19:00:00,981.861423895,104.402325268
 01/06  20:00:00,901.366329663,126.98333982
 01/06  21:00:00,705.48043408,169.949404957
 01/06  22:00:00,640.683756439,193.019502194
 01/06  23:00:00,349.35679578699995,2.18985609534
 01/06  24:00:00,299.992036651,2.18966008461
 01/07  01:00:00,237.92911305099997,2.1897805460599997
 01/07  02:00:00,237.929113177,2.18990027742
 01/07  03:00:00,237.929113134,2.18970708494
 01/07  04:00:00,237.92911315599997,4.35946103013
 01/07  05:00:00,250.151310939,2.18975418356
 01/07  06:00:00,281.373402445,3.99069366369
 01/07  07:00:00,670.2793862130001,632.825672131
 01/07  08:00:00,399.330049585,1098.65803536
 01/07  09:00:00,647.9821462069999,450.350974221
 01/07  10:00:00,611.086179853,237.94387646200002
 01/07  11:00:00,719.76529038,166.731027775
 01/07  12:00:00,714.276423892,149.772282473
 01/07  13:00:00,777.7397516110001,139.801314622
 01/07  14:00:00,843.1211439369999,111.45070327200001
 01/07  15:00:00,631.031817413,120.81245468600001
 01/07  16:00:00,635.912747634,119.447781408
 01/07  17:00:00,666.038848271,155.619413925
 01/07  18:00:00,606.360766568,218.552295416
 01/07  19:00:00,347.929841574,4.362992515369999
 01/07  20:00:00,323.485445465,2.1913588964099997
 01/07  21:00:00,323.485446283,4.36253120898
 01/07  22:00:00,299.041998234,4.3660366528
 01/07  23:00:00,274.59570665900003,2.18988406675
