Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,815.758320597,620.986413012
 01/01  02:00:00,703.384275574,687.2256872730001
 01/01  03:00:00,676.731948692,703.131782748
 01/01  04:00:00,677.6476437619999,698.5779425060001
 01/01  05:00:00,682.528311549,699.647770658
 01/01  06:00:00,679.890066122,710.2311189989999
 01/01  07:00:00,746.501654707,649.53246817
 01/01  08:00:00,749.2390202280001,621.696768984
 01/01  09:00:00,872.265631318,548.956281902
 01/01  10:00:00,1002.57670159,520.3254981709999
 01/01  11:00:00,1084.12686633,534.967812923
 01/01  12:00:00,1110.82239966,543.242805795
 01/01  13:00:00,1136.48213208,531.018900572
 01/01  14:00:00,1135.46935114,512.638148657
 01/01  15:00:00,1140.9431059,479.642079332
 01/01  16:00:00,1142.85951311,473.347270172
 01/01  17:00:00,1117.74012743,519.93992663
 01/01  18:00:00,1076.86870562,557.17064242
 01/01  19:00:00,1038.10320952,593.425319868
 01/01  20:00:00,1018.91426853,575.677965569
 01/01  21:00:00,979.626897813,606.6673346809999
 01/01  22:00:00,966.023091631,612.04923194
 01/01  23:00:00,927.5595801689999,617.830305069
 01/01  24:00:00,913.387500983,600.948167662
 01/02  01:00:00,927.473487017,602.232532061
 01/02  02:00:00,931.9077763739999,608.965936127
 01/02  03:00:00,903.902647517,615.103982705
 01/02  04:00:00,901.8540462289999,611.523245333
 01/02  05:00:00,1003.19828748,583.4643377790001
 01/02  06:00:00,1028.86231099,1147.83226399
 01/02  07:00:00,1263.674493,748.4782223589999
 01/02  08:00:00,1370.88112537,697.681782818
 01/02  09:00:00,1419.99552147,679.1413024369999
 01/02  10:00:00,1460.47355559,637.064939911
 01/02  11:00:00,1483.48577036,631.711160554
 01/02  12:00:00,1488.18460375,608.510812268
 01/02  13:00:00,1435.31043279,581.382063359
 01/02  14:00:00,1466.52855761,565.330179836
 01/02  15:00:00,1462.11426452,540.569176734
 01/02  16:00:00,1459.48802771,535.97726349
 01/02  17:00:00,1473.94907132,556.7329919059999
 01/02  18:00:00,1481.47083198,534.976824284
 01/02  19:00:00,1218.89387806,494.064547146
 01/02  20:00:00,1212.49018138,473.59996162
 01/02  21:00:00,1079.61607363,514.440376953
 01/02  22:00:00,1043.29938753,492.844735875
 01/02  23:00:00,978.5166803010001,503.775518186
 01/02  24:00:00,980.0051507210001,492.638886581
 01/03  01:00:00,967.873788238,477.714372046
 01/03  02:00:00,968.2968645410001,488.748258926
 01/03  03:00:00,962.782442524,489.179542341
 01/03  04:00:00,960.1785083230001,489.90031275
