Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,178.71300226099999,10.003119959
 01/01  02:00:00,196.09815765599998,17.7137881403
 01/01  03:00:00,208.749687371,25.5088783098
 01/01  04:00:00,187.10015561900002,30.1824567318
 01/01  05:00:00,202.00446918,41.398082176100004
 01/01  06:00:00,185.509578183,59.7869839918
 01/01  07:00:00,199.22483359400002,61.6459834003
 01/01  08:00:00,169.475557714,36.7608840387
 01/01  09:00:00,188.16257481,29.9648941754
 01/01  10:00:00,163.068107642,15.9819783404
 01/01  11:00:00,128.97635000100001,16.4096213278
 01/01  12:00:00,100.956903889,4.85426
 01/01  13:00:00,100.10987025700001,4.85426
 01/01  14:00:00,100.241214374,13.452651404300001
 01/01  15:00:00,100.307112715,4.85426
 01/01  16:00:00,100.24450737,4.85426
 01/01  17:00:00,105.957637359,4.85426
 01/01  18:00:00,117.86044701600001,4.85426
 01/01  19:00:00,117.790259812,4.85426
 01/01  20:00:00,118.17119666399999,13.4458137406
 01/01  21:00:00,118.107738911,4.85426
 01/01  22:00:00,117.837014072,4.85426
 01/01  23:00:00,117.50858126799999,4.85426
 01/01  24:00:00,118.455032518,4.85426
 01/02  01:00:00,117.519482114,13.452640338
 01/02  02:00:00,170.264668699,7.99799646037
 01/02  03:00:00,190.36486869599997,10.919032498900002
 01/02  04:00:00,196.67008307400002,14.2680394075
 01/02  05:00:00,203.324535191,24.4932561897
 01/02  06:00:00,202.83328703700002,16.431277423599997
 01/02  07:00:00,189.454342692,1749.52855536
 01/02  08:00:00,351.314834743,1138.10786325
 01/02  09:00:00,443.34281183300004,705.21474761
 01/02  10:00:00,443.30057951699996,489.677519916
 01/02  11:00:00,538.311473117,338.426263105
 01/02  12:00:00,517.435059991,228.83046746
 01/02  13:00:00,555.828425704,164.85587799799998
 01/02  14:00:00,594.075538352,138.472565165
 01/02  15:00:00,620.161060099,117.01290167
 01/02  16:00:00,641.729145677,94.4430282372
 01/02  17:00:00,640.336140506,59.556717827
 01/02  18:00:00,570.269372406,81.2495398853
 01/02  19:00:00,585.77355859,77.2953658631
 01/02  20:00:00,602.998397045,43.1353458175
 01/02  21:00:00,604.520136628,51.220488339700005
 01/02  22:00:00,118.26023816700001,22.1682125643
 01/02  23:00:00,117.94164139200001,4.85426
 01/02  24:00:00,118.850710757,13.4665948071
 01/03  01:00:00,117.959531078,4.85426
 01/03  02:00:00,117.954433173,4.85426
 01/03  03:00:00,117.951542911,4.85426
 01/03  04:00:00,117.949021934,13.452684233900001
 01/03  05:00:00,120.34401401,4.85426
 01/03  06:00:00,119.971989145,4.85426
 01/03  07:00:00,457.88761163099997,215.010973274
 01/03  08:00:00,669.2425067180001,128.429552341
 01/03  09:00:00,805.498843119,80.0088905794
 01/03  10:00:00,825.424722263,75.2655788776
 01/03  11:00:00,854.564334412,93.0220244318
 01/03  12:00:00,926.782340137,93.20225912389999
 01/03  13:00:00,998.929922753,93.3140397988
 01/03  14:00:00,990.56305293,78.238989833
 01/03  15:00:00,991.355841465,68.8127400217
 01/03  16:00:00,995.127325094,40.6140679946
 01/03  17:00:00,1008.12609593,40.3450137567
 01/03  18:00:00,850.593865086,40.3323863376
 01/03  19:00:00,791.2664905739999,49.362857946400005
 01/03  20:00:00,793.2145352260001,13.521358445
 01/03  21:00:00,790.1135796230001,14.5716088518
 01/03  22:00:00,118.033111506,13.511353552000001
 01/03  23:00:00,118.07834465799999,13.4770214596
 01/03  24:00:00,118.96273623399999,4.85426
 01/04  01:00:00,118.06507959700001,4.85426
 01/04  02:00:00,118.04540042200001,13.4527297925
 01/04  03:00:00,118.040714456,4.85426
 01/04  04:00:00,118.036354568,4.85426
 01/04  05:00:00,118.526281901,4.85426
 01/04  06:00:00,118.490893377,13.4528085301
 01/04  07:00:00,545.257380616,123.816502787
 01/04  08:00:00,702.269875498,113.115422329
 01/04  09:00:00,849.0776164439999,62.806003894300005
 01/04  10:00:00,969.2301966639999,80.88124236729999
 01/04  11:00:00,991.467027778,84.0944632474
 01/04  12:00:00,996.734007558,93.1891935835
 01/04  13:00:00,1002.36789547,102.31573896299999
 01/04  14:00:00,1009.25621935,69.232380318
 01/04  15:00:00,1021.28258546,68.8196757086
 01/04  16:00:00,1027.44272923,49.554719328599994
 01/04  17:00:00,1058.25581077,40.3493954322
 01/04  18:00:00,971.172916381,40.3349722531
 01/04  19:00:00,970.8862731060001,40.4660546191
 01/04  20:00:00,964.5154879730001,13.5221079577
 01/04  21:00:00,961.149555975,13.5117249026
 01/04  22:00:00,118.54952916100001,13.511890169800001
 01/04  23:00:00,118.21412887700001,13.4770604822
 01/04  24:00:00,119.08832597700001,13.466730547400001
 01/05  01:00:00,118.19920836600001,4.85426
 01/05  02:00:00,118.160560207,4.85426
 01/05  03:00:00,118.122834325,4.85426
 01/05  04:00:00,118.122504399,13.4528882525
 01/05  05:00:00,118.62046048200001,4.85426
 01/05  06:00:00,118.449157595,4.85426
 01/05  07:00:00,297.830676623,333.014489384
 01/05  08:00:00,382.52981276400004,317.015850618
 01/05  09:00:00,455.933619023,290.10107627400004
 01/05  10:00:00,444.575537751,339.978722661
 01/05  11:00:00,450.585059286,400.561151162
 01/05  12:00:00,451.358879567,513.369831044
 01/05  13:00:00,450.76194654,650.185238887
 01/05  14:00:00,444.94221758699996,752.331621159
 01/05  15:00:00,444.94580302800006,750.8414536560001
 01/05  16:00:00,437.384421586,779.952048413
 01/05  17:00:00,437.504092176,723.6154364610001
 01/05  18:00:00,369.948096028,805.5970977439999
 01/05  19:00:00,369.946216169,816.5056270360001
 01/05  20:00:00,370.503148422,831.188846004
 01/05  21:00:00,370.45799426199994,866.35048584
 01/05  22:00:00,117.75010867799999,13.5109239466
 01/05  23:00:00,117.527577994,13.477062204000001
 01/05  24:00:00,118.594961089,4.85426
 01/06  01:00:00,117.58954687,4.85426
 01/06  02:00:00,117.600464594,13.452793850399999
 01/06  03:00:00,117.58256167399999,4.85426
 01/06  04:00:00,117.565381657,4.85426
 01/06  05:00:00,119.679940696,13.4528906472
