Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,116.184617247,101.80205558
 01/02  02:00:00,106.094200273,87.4603261111
 01/02  03:00:00,126.365762843,110.35324107299999
 01/02  04:00:00,108.31956866200001,89.5801023385
 01/02  05:00:00,152.774713741,126.97406797100001
 01/02  06:00:00,182.844736662,197.93323530900003
 01/02  07:00:00,235.416481851,193.9955441
 01/02  08:00:00,240.937478007,175.251533079
 01/02  09:00:00,242.61503189799998,160.12840883
 01/02  10:00:00,248.83681672,155.18757247899998
 01/02  11:00:00,246.27746331,132.998970689
 01/02  12:00:00,246.222255037,120.21753856299999
 01/02  13:00:00,236.284055977,121.97547398100001
 01/02  14:00:00,246.12262896400003,110.86510074700001
 01/02  15:00:00,245.115690352,118.94376322299999
 01/02  16:00:00,244.053279475,110.550709278
 01/02  17:00:00,245.11804409,112.27861605700001
 01/02  18:00:00,256.275054221,115.433923568
 01/02  19:00:00,164.776380258,96.1178839248
 01/02  20:00:00,166.900974857,93.3668208545
 01/02  21:00:00,143.918171564,106.83596278200001
 01/02  22:00:00,125.65401009899999,91.58227348790001
 01/02  23:00:00,99.32354474629999,81.92164950600001
 01/02  24:00:00,118.56700827200001,105.036591396
 01/03  01:00:00,102.765600366,86.14112138690001
 01/03  02:00:00,122.018274865,108.86853098899999
 01/03  03:00:00,104.77743690000001,88.5905241792
 01/03  04:00:00,124.18777926799999,111.59714302100001
 01/03  05:00:00,143.668235272,125.600259989
 01/03  06:00:00,193.239522483,197.267883402
 01/03  07:00:00,230.49245823299998,191.839562237
 01/03  08:00:00,235.34868242099998,169.555901004
 01/03  09:00:00,240.59375800799998,166.18071940000002
 01/03  10:00:00,249.264365071,145.847348317
 01/03  11:00:00,247.338293398,134.31010257100002
 01/03  12:00:00,247.646215806,135.262347475
 01/03  13:00:00,236.771292124,120.597957636
 01/03  14:00:00,247.675780592,127.652505229
 01/03  15:00:00,247.576349013,117.587165789
 01/03  16:00:00,245.842140115,116.370204512
 01/03  17:00:00,247.038036749,124.098863277
 01/03  18:00:00,257.045741361,122.80396464
 01/03  19:00:00,159.48058087200002,91.5397165609
 01/03  20:00:00,160.01917394,96.4399599845
 01/03  21:00:00,148.346427944,109.517829525
 01/03  22:00:00,123.650285044,93.52753676319999
 01/03  23:00:00,104.357590425,83.3275596631
 01/03  24:00:00,115.26483947700001,106.631855733
 01/04  01:00:00,109.23721075600001,86.7902696676
 01/04  02:00:00,118.60303566299999,118.255245659
 01/04  03:00:00,113.6327547,88.73150803850001
 01/04  04:00:00,121.745712431,111.861139132
 01/04  05:00:00,152.97482282200002,126.126977075
 01/04  06:00:00,184.85107106900003,198.347631485
 01/04  07:00:00,236.20123853,191.92953451900001
 01/04  08:00:00,237.78276357400003,169.04063136899998
 01/04  09:00:00,238.91481743,145.35478385
 01/04  10:00:00,249.069843897,125.015300386
 01/04  11:00:00,248.68908829400002,126.134272397
 01/04  12:00:00,245.693150278,113.476268099
 01/04  13:00:00,233.394093922,118.705117082
 01/04  14:00:00,243.17021643799998,107.16593806700001
 01/04  15:00:00,240.26083196,105.35465304799999
 01/04  16:00:00,235.769760556,114.022689699
 01/04  17:00:00,234.125966674,107.832741839
 01/04  18:00:00,243.572840566,112.076926729
 01/04  19:00:00,153.339729882,93.75239377049999
 01/04  20:00:00,151.698115785,91.9731031676
 01/04  21:00:00,129.98837434700002,105.758601273
 01/04  22:00:00,102.43748426100001,91.4773047357
 01/04  23:00:00,83.0489938195,80.98174674090001
 01/04  24:00:00,105.180102115,104.13922449399999
 01/05  01:00:00,91.3704691976,85.0191209817
 01/05  02:00:00,106.061127051,107.251481955
 01/05  03:00:00,92.2527163014,87.3511053556
 01/05  04:00:00,108.23475137,109.94268020000001
 01/05  05:00:00,127.70886845700001,123.81444002200001
 01/05  06:00:00,173.537053112,195.282815938
 01/05  07:00:00,211.038738043,174.747338238
 01/05  08:00:00,211.61776288299998,148.699661354
 01/05  09:00:00,212.89000670299998,138.361278735
 01/05  10:00:00,226.782921847,121.462991279
 01/05  11:00:00,229.185580167,115.29919107100001
 01/05  12:00:00,232.79884907,119.110904525
 01/05  13:00:00,226.550768319,106.701666138
 01/05  14:00:00,238.382458245,112.289657759
 01/05  15:00:00,239.075783782,101.688727644
 01/05  16:00:00,239.93819635900002,100.995485916
 01/05  17:00:00,230.971109242,111.83696116799999
 01/05  18:00:00,237.477479049,108.039247876
 01/05  19:00:00,143.839527495,81.082190638
 01/05  20:00:00,143.213600035,87.6956406483
 01/05  21:00:00,114.46920477399999,102.278956579
 01/05  22:00:00,94.68903546700001,86.8804944482
 01/05  23:00:00,75.23614267010001,78.9223549304
 01/05  24:00:00,83.2816213632,101.128979649
 01/06  01:00:00,81.4701754498,82.38647338060001
 01/06  02:00:00,87.94074998399999,103.552741611
 01/06  03:00:00,86.12876882639999,93.013107515
 01/06  04:00:00,102.01848601,106.739585437
 01/06  05:00:00,124.41799546200001,121.088175491
 01/06  06:00:00,165.30339088,192.935808325
 01/06  07:00:00,201.349063432,166.538203372
 01/06  08:00:00,209.562023372,138.17851246799998
 01/06  09:00:00,217.030179815,127.512227078
 01/06  10:00:00,235.142241404,118.713278503
 01/06  11:00:00,242.08368461,120.708059259
 01/06  12:00:00,249.852718225,107.20904998299999
 01/06  13:00:00,244.521015531,112.36181917399999
 01/06  14:00:00,258.206689547,100.80713851200001
 01/06  15:00:00,258.725141312,98.8081464586
 01/06  16:00:00,248.85789371299998,108.153027202
 01/06  17:00:00,238.414166532,102.56760907200001
 01/06  18:00:00,245.01981609799998,106.867959177
 01/06  19:00:00,151.280335091,89.0172559041
 01/06  20:00:00,151.59314556,87.4420143709
 01/06  21:00:00,119.769970691,101.74227392700001
 01/06  22:00:00,102.39566302700001,86.73376313370001
 01/06  23:00:00,69.6526068669,79.1991939995
 01/06  24:00:00,84.6062626409,101.717059115
 01/07  01:00:00,69.8660372341,82.82229029359999
 01/07  02:00:00,93.5942564294,105.080280421
 01/07  03:00:00,82.9760885764,85.0979431688
 01/07  04:00:00,98.14625401020001,107.08185794
 01/07  05:00:00,103.02050051799999,127.00349162200001
 01/07  06:00:00,106.517659331,128.599170976
 01/07  07:00:00,120.943974938,114.075398885
