Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.713366322999999,10.967650150699999
 01/01  02:00:00,9.68781249802,3.5931506890800007
 01/01  03:00:00,9.70314425203,3.0211
 01/01  04:00:00,9.711583706939999,3.5931566265
 01/01  05:00:00,9.86910602737,3.0211
 01/01  06:00:00,13.844747141400001,15.190316621600001
 01/01  07:00:00,27.6696007965,21.817176620599998
 01/01  08:00:00,25.725631763200003,27.510502253400002
 01/01  09:00:00,20.770482529000002,19.8244470906
 01/01  10:00:00,20.8452474053,16.3067302643
 01/01  11:00:00,25.895306042199998,37.050398973
 01/01  12:00:00,27.5047411618,45.127531569700004
 01/01  13:00:00,27.5662215614,38.9017920895
 01/01  14:00:00,27.296010285300003,34.9730420219
 01/01  15:00:00,21.8947257243,23.8939619975
 01/01  16:00:00,21.7858519842,21.8202570244
 01/01  17:00:00,21.8998333305,25.3946047588
 01/01  18:00:00,28.4188246696,28.3977472817
 01/01  19:00:00,28.361073958800002,29.5476812813
 01/01  20:00:00,28.483215349499996,30.1215501839
 01/01  21:00:00,23.409310941799998,25.681029568200003
 01/01  22:00:00,23.374113108299998,25.04528188
 01/01  23:00:00,23.2745057883,21.4682859342
 01/01  24:00:00,24.384441001,5.27374661195
 01/02  01:00:00,13.9403468401,9.33582080854
 01/02  02:00:00,9.71653855243,3.59319259009
 01/02  03:00:00,9.73089603862,3.0211
 01/02  04:00:00,9.70904954725,3.59318375083
 01/02  05:00:00,9.84086207549,3.0211
 01/02  06:00:00,13.795746468699999,22.876916669299998
 01/02  07:00:00,27.6335539132,25.9159746233
 01/02  08:00:00,25.721657597100002,31.2666069346
 01/02  09:00:00,20.800724438099998,20.0298302449
 01/02  10:00:00,20.9031857057,19.0430168052
 01/02  11:00:00,26.4003034922,36.4744642105
 01/02  12:00:00,28.3640041859,43.9779914901
 01/02  13:00:00,28.245769884899996,39.4749408028
 01/02  14:00:00,28.008653460900003,34.3988389779
 01/02  15:00:00,22.3336183732,23.8937658353
 01/02  16:00:00,21.9565653631,21.820295129699996
 01/02  17:00:00,22.2831282931,24.8213703729
 01/02  18:00:00,28.679100578499998,28.9807212297
 01/02  19:00:00,28.3402034223,30.123512755900002
 01/02  20:00:00,28.4769557463,30.1251943575
 01/02  21:00:00,23.4219926092,27.1801287749
 01/02  22:00:00,23.307477945100004,26.4532231466
 01/02  23:00:00,23.1958044325,24.2857005744
 01/02  24:00:00,24.321898657600002,9.75668746767
 01/03  01:00:00,13.868795066199999,13.9465810402
 01/03  02:00:00,9.66085383374,3.0211
 01/03  03:00:00,9.689307256760001,3.59316030104
 01/03  04:00:00,9.69627201551,3.0211
 01/03  05:00:00,10.3574292648,3.59316622315
 01/03  06:00:00,14.3308728026,18.4750828599
 01/03  07:00:00,27.9068760082,21.4574131487
