Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,95.07783635370001,97.5874813803
 01/02  02:00:00,79.7596195658,84.6780772485
 01/02  03:00:00,93.73799311299999,106.316978318
 01/02  04:00:00,83.0387861295,86.08751175
 01/02  05:00:00,116.98112909999999,121.379030805
 01/02  06:00:00,147.254394192,189.909980262
 01/02  07:00:00,198.972955277,158.87338351
 01/02  08:00:00,210.865120658,140.907556623
 01/02  09:00:00,217.15439506299998,137.45710419
 01/02  10:00:00,227.623402647,144.315364603
 01/02  11:00:00,225.171080021,132.703594447
 01/02  12:00:00,224.15386354700001,136.72524994399998
 01/02  13:00:00,211.61435505,125.07860411700001
 01/02  14:00:00,223.06427553,125.05020191700001
 01/02  15:00:00,223.99963235,131.854279158
 01/02  16:00:00,225.09484110900001,121.017355943
 01/02  17:00:00,228.43849904,127.847205115
 01/02  18:00:00,243.66824836400002,118.85474483700001
 01/02  19:00:00,153.448944361,87.0506423124
 01/02  20:00:00,155.814519535,91.7781284919
 01/02  21:00:00,130.44371754600002,104.56146290000001
 01/02  22:00:00,108.41452318700001,98.1110397987
 01/02  23:00:00,95.3280106031,78.83328781979999
 01/02  24:00:00,106.03477693399999,100.71672073399999
 01/03  01:00:00,100.64446465299999,81.8393205725
 01/03  02:00:00,109.47797176600001,103.540195774
 01/03  03:00:00,101.862254264,84.2424005172
 01/03  04:00:00,111.147417641,106.007804405
 01/03  05:00:00,141.377127182,119.692952326
 01/03  06:00:00,170.08080933,190.030751602
 01/03  07:00:00,219.87594571900001,174.125147867
 01/03  08:00:00,227.44926150400002,156.79305134700002
 01/03  09:00:00,229.83270554700002,146.23983601700002
 01/03  10:00:00,236.795931579,145.866079399
 01/03  11:00:00,233.63798997900003,126.999605615
 01/03  12:00:00,233.229730847,123.908497269
 01/03  13:00:00,220.185724717,109.62960980700001
 01/03  14:00:00,228.297174207,116.031324833
 01/03  15:00:00,228.789805598,105.72795571700001
 01/03  16:00:00,229.11659402900003,109.16221298399999
 01/03  17:00:00,229.36687717,111.013213925
 01/03  18:00:00,239.908483553,109.570783495
 01/03  19:00:00,149.098948127,83.3354616003
 01/03  20:00:00,150.137050401,89.6806670153
 01/03  21:00:00,125.179861711,111.804356364
 01/03  22:00:00,101.853091461,89.2630401255
 01/03  23:00:00,85.6262803304,79.2952434059
 01/03  24:00:00,98.4261214048,100.57765208299999
 01/04  01:00:00,93.9205926302,81.8532799121
 01/04  02:00:00,102.72728894299999,103.547171259
 01/04  03:00:00,97.32584803290001,84.0997680137
 01/04  04:00:00,104.77741520299999,106.020703309
 01/04  05:00:00,132.817374597,120.07435105
 01/04  06:00:00,161.80416591,190.61482350900002
 01/04  07:00:00,213.40081771099997,173.97442967
 01/04  08:00:00,221.210936568,152.933067096
 01/04  09:00:00,220.660773519,140.76085397
 01/04  10:00:00,225.424416848,134.365603268
 01/04  11:00:00,221.381120344,116.342682355
 01/04  12:00:00,218.58705985900002,120.929173945
 01/04  13:00:00,209.114854208,108.902855642
 01/04  14:00:00,224.44404097700001,114.474766304
 01/04  15:00:00,225.008867744,103.97957234799999
 01/04  16:00:00,224.48489111400002,112.44266163700001
 01/04  17:00:00,225.932008457,104.88660612299999
 01/04  18:00:00,235.204159272,107.243764624
 01/04  19:00:00,140.742430314,80.6091966654
 01/04  20:00:00,140.478126446,95.58552958870001
 01/04  21:00:00,112.226085891,100.949597189
 01/04  22:00:00,91.4102191846,85.2551356595
 01/04  23:00:00,68.7121173921,77.4675251633
 01/04  24:00:00,74.11257829680001,99.7167609159
 01/05  01:00:00,73.4609218204,81.0222721256
 01/05  02:00:00,80.0854665704,101.60970079799999
 01/05  03:00:00,77.8324074378,82.4829433452
 01/05  04:00:00,87.2605897364,103.35827061
 01/05  05:00:00,114.177339555,116.613993361
 01/05  06:00:00,150.879859427,186.960939287
 01/05  07:00:00,191.934708237,153.46022403700002
 01/05  08:00:00,203.018826447,133.779406643
 01/05  09:00:00,207.68626080099997,134.33231932299998
 01/05  10:00:00,218.746087631,119.025613069
 01/05  11:00:00,217.794499775,113.671226727
 01/05  12:00:00,218.891139155,118.1461288
 01/05  13:00:00,207.514582272,106.482572406
 01/05  14:00:00,219.371762196,112.828439341
 01/05  15:00:00,219.637039053,102.554844915
 01/05  16:00:00,219.47882541799999,110.49414260799999
 01/05  17:00:00,219.950101126,103.349470236
 01/05  18:00:00,228.505180899,106.521476116
 01/05  19:00:00,140.468224263,79.9500713247
 01/05  20:00:00,142.960823704,94.74331690209999
 01/05  21:00:00,118.07613983799999,99.9782099977
 01/05  22:00:00,100.54071618100001,83.14562949229999
 01/05  23:00:00,70.9094069443,76.9514556854
 01/05  24:00:00,85.3670814126,98.1896126262
 01/06  01:00:00,75.1768755841,80.8737786996
 01/06  02:00:00,82.3160222522,101.474815955
 01/06  03:00:00,83.7073863917,82.4598899689
 01/06  04:00:00,92.39924636209999,103.53094081100001
 01/06  05:00:00,121.023010982,117.35067472
 01/06  06:00:00,150.69822830799998,187.509775516
 01/06  07:00:00,202.56228931200002,156.005483959
 01/06  08:00:00,214.308841868,135.047898119
 01/06  09:00:00,218.930322719,138.200077034
 01/06  10:00:00,229.74156364099997,124.74462232799999
 01/06  11:00:00,228.760650255,130.17064998
 01/06  12:00:00,225.719069236,116.75746522799999
 01/06  13:00:00,215.207966835,115.368861035
 01/06  14:00:00,224.763611335,123.360077062
 01/06  15:00:00,225.863741108,113.228933821
 01/06  16:00:00,227.66993048400002,118.78612115799999
 01/06  17:00:00,228.467608192,109.027192229
 01/06  18:00:00,239.35852632099997,110.60993328100001
 01/06  19:00:00,151.219211056,92.22280675649999
 01/06  20:00:00,151.659431296,90.17230213959999
 01/06  21:00:00,124.589985545,103.795036165
 01/06  22:00:00,107.194404382,89.254793485
 01/06  23:00:00,85.4651986601,79.257233864
 01/06  24:00:00,103.004697881,101.54805018
 01/07  01:00:00,91.0047637539,82.8673193443
 01/07  02:00:00,108.066355441,104.693138131
 01/07  03:00:00,94.42924820959999,85.1132509667
 01/07  04:00:00,111.123645853,107.111495305
 01/07  05:00:00,117.176184184,127.28621569299999
 01/07  06:00:00,125.347092285,128.493516653
 01/07  07:00:00,149.037902823,143.184163356
 01/07  08:00:00,212.360778953,200.24273532200002
 01/07  09:00:00,194.65014430099998,187.827363223
 01/07  10:00:00,208.80492673900002,174.46499202200002
 01/07  11:00:00,203.062860118,150.972006284
 01/07  12:00:00,198.432100689,142.850136007
 01/07  13:00:00,185.330682783,137.04673428
 01/07  14:00:00,181.536016967,133.442580984
 01/07  15:00:00,179.67426191099997,140.347912053
 01/07  16:00:00,142.862475399,71.7861771741
 01/07  17:00:00,144.948996836,72.81125139310001
 01/07  18:00:00,144.43826641200002,80.3901206394
 01/07  19:00:00,106.456531611,102.83869049799999
 01/07  20:00:00,106.43213593899999,109.379137576
 01/07  21:00:00,89.9000234533,118.16630227799999
 01/07  22:00:00,95.5828207188,99.45591298219999
 01/07  23:00:00,87.0296896415,85.3933075003
 01/07  24:00:00,101.74321833200001,107.373288475
 01/08  01:00:00,87.1660395952,88.0369965563
 01/08  02:00:00,102.642959015,110.696215084
 01/08  03:00:00,89.0253895901,89.6869906756
 01/08  04:00:00,104.62376387399999,112.16485677899999
 01/08  05:00:00,90.29105973940001,90.7207408706
 01/08  06:00:00,105.70817173,113.40524430200001
 01/08  07:00:00,90.7930677023,91.8233314581
 01/08  08:00:00,93.4304563151,114.392799109
 01/08  09:00:00,99.87325841879999,88.33159503969999
 01/08  10:00:00,109.42604583100001,107.13176602700001
 01/08  11:00:00,93.2722909544,88.51264897620001
 01/08  12:00:00,103.97248639600001,99.4517033173
 01/08  13:00:00,91.9153871273,79.8850852242
 01/08  14:00:00,97.1989337222,98.09218348280001
 01/08  15:00:00,82.0009173813,79.1763892247
 01/08  16:00:00,92.22432668020001,97.05609277559999
 01/08  17:00:00,67.5410282069,80.3157149933
 01/08  18:00:00,76.3988503242,106.126628793
 01/08  19:00:00,66.5874119408,88.5069020529
 01/08  20:00:00,74.6903742376,111.022153187
 01/08  21:00:00,65.9813748104,89.9838361315
 01/08  22:00:00,74.4119752989,113.472406904
 01/08  23:00:00,72.8751833142,90.89818734309999
 01/08  24:00:00,83.5680818944,114.436477636
 01/09  01:00:00,75.83812055930001,91.1680946316
 01/09  02:00:00,88.7770130541,113.814889581
 01/09  03:00:00,80.8963562193,91.2764264852
 01/09  04:00:00,93.4746460025,113.623908375
 01/09  05:00:00,109.56956649600001,129.603413914
 01/09  06:00:00,157.586513189,199.432657078
 01/09  07:00:00,199.42035379400002,164.242609206
 01/09  08:00:00,210.38758297299998,142.520506516
 01/09  09:00:00,216.773554166,142.010390431
 01/09  10:00:00,228.928677385,125.48575016
 01/09  11:00:00,231.01162949599998,127.366852704
 01/09  12:00:00,231.67907944,113.746936654
 01/09  13:00:00,218.76810613400002,118.935421632
 01/09  14:00:00,227.796370761,108.23965162399999
 01/09  15:00:00,225.322606575,109.394460115
 01/09  16:00:00,223.303792025,117.05504874100001
 01/09  17:00:00,222.283881108,108.04539728399999
 01/09  18:00:00,235.20280930000004,117.517643382
 01/09  19:00:00,145.506379095,80.2133950445
 01/09  20:00:00,158.584363327,85.18659372569999
 01/09  21:00:00,147.798244611,98.34762086110001
 01/09  22:00:00,107.493761187,72.7420886882
 01/09  23:00:00,100.309216643,94.4281843392
 01/09  24:00:00,93.9309112246,78.6132719916
 01/10  01:00:00,100.978739602,99.136527885
 01/10  02:00:00,94.448255225,81.1627908738
 01/10  03:00:00,99.02483075200001,101.59989332399999
 01/10  04:00:00,93.9636468289,83.2881223397
 01/10  05:00:00,137.756687349,117.55621904799999
 01/10  06:00:00,163.75869539,188.145618556
 01/10  07:00:00,212.14648232599998,168.17514123799998
 01/10  08:00:00,224.642589508,157.174124143
 01/10  09:00:00,229.959358535,135.40737961899998
 01/10  10:00:00,239.45043117900002,123.692647874
 01/10  11:00:00,236.59614618900002,123.788870679
 01/10  12:00:00,236.47457291599997,111.344830999
 01/10  13:00:00,225.994579587,117.356098136
 01/10  14:00:00,237.042748057,106.40181606
 01/10  15:00:00,237.47668969999998,113.05770124600001
 01/10  16:00:00,236.966737754,103.81979287
 01/10  17:00:00,237.742228057,104.755902014
 01/10  18:00:00,250.546707388,116.085559178
 01/10  19:00:00,161.217471042,81.3215205787
 01/10  20:00:00,160.537566594,88.2710246527
 01/10  21:00:00,139.43875243899998,101.686985045
 01/10  22:00:00,120.98430044,87.35064097
 01/10  23:00:00,91.10528530120001,77.7707597876
 01/10  24:00:00,110.046518294,99.06912693129999
 01/11  01:00:00,101.437638769,80.79018859279999
 01/11  02:00:00,109.74170275200001,102.561251357
 01/11  03:00:00,101.961472023,83.7335180105
 01/11  04:00:00,112.714758654,105.563635816
 01/11  05:00:00,144.880840065,119.668182931
 01/11  06:00:00,173.954281879,190.623164209
 01/11  07:00:00,224.61072706099998,192.75619083900003
 01/11  08:00:00,235.72162298700002,165.850582787
 01/11  09:00:00,239.95145820599998,153.059438193
 01/11  10:00:00,249.82309597,139.49664544
 01/11  11:00:00,247.803839751,136.219713994
 01/11  12:00:00,246.22640534200002,119.882810589
 01/11  13:00:00,234.320036262,121.02401121
 01/11  14:00:00,244.32182270400003,106.44990552
 01/11  15:00:00,243.150271524,113.68498576299999
 01/11  16:00:00,242.58484592599999,104.72270758399999
 01/11  17:00:00,240.97494955599998,114.310788587
 01/11  18:00:00,250.044716192,113.721758195
 01/11  19:00:00,158.74198015,83.8042775319
 01/11  20:00:00,159.446488043,89.38143692940001
 01/11  21:00:00,134.518376594,103.038403332
 01/11  22:00:00,114.218393534,88.9605490367
 01/11  23:00:00,92.2597499513,79.04121516949999
 01/11  24:00:00,109.892092586,100.961911751
 01/12  01:00:00,96.5498306027,82.2660389721
 01/12  02:00:00,114.73061906,103.85558197700001
 01/12  03:00:00,99.4645018234,93.1130357508
 01/12  04:00:00,117.385075948,106.43861639
 01/12  05:00:00,140.007863564,120.211438604
 01/12  06:00:00,184.17859831599998,190.803364583
 01/12  07:00:00,222.833571524,190.07803408799998
 01/12  08:00:00,232.389979566,170.533765097
 01/12  09:00:00,234.005554979,154.183472247
 01/12  10:00:00,245.22111030599999,146.999875261
 01/12  11:00:00,245.643755853,127.32578939
 01/12  12:00:00,245.432558525,126.08037688
 01/12  13:00:00,233.784030511,109.24159434399999
 01/12  14:00:00,243.439178621,107.49998455299999
 01/12  15:00:00,242.752136892,117.30185514700001
 01/12  16:00:00,242.297063409,109.737030429
 01/12  17:00:00,241.676552879,119.066521219
 01/12  18:00:00,253.88125854400002,110.961525164
 01/12  19:00:00,166.03711823700002,83.4372610274
 01/12  20:00:00,159.080756427,89.6846024502
 01/12  21:00:00,127.27963207,103.780106025
 01/12  22:00:00,103.78954894299999,97.98961178649999
 01/12  23:00:00,83.0873759306,79.377737019
 01/12  24:00:00,102.291114011,101.52816147899999
 01/13  01:00:00,89.520498784,82.7897466882
 01/13  02:00:00,105.708862886,104.545686465
 01/13  03:00:00,92.3149158762,84.9526753193
 01/13  04:00:00,108.442939255,106.864635478
 01/13  05:00:00,128.46090778299998,120.50415648
 01/13  06:00:00,172.724145665,190.314222402
 01/13  07:00:00,210.810064603,174.16956039599998
 01/13  08:00:00,220.680765805,154.682400854
 01/13  09:00:00,221.67620415099998,142.120283997
 01/13  10:00:00,226.640166228,137.507574277
 01/13  11:00:00,224.01161492,116.53512989
 01/13  12:00:00,223.38345807,120.56026183600001
 01/13  13:00:00,210.13748358700002,109.221047054
 01/13  14:00:00,218.499352374,115.586413055
 01/13  15:00:00,217.476988897,105.177052371
 01/13  16:00:00,216.773971089,113.025322533
 01/13  17:00:00,215.27584108,105.530838852
 01/13  18:00:00,227.471764244,108.500596774
 01/13  19:00:00,139.970210181,82.2380931301
 01/13  20:00:00,143.302968779,88.62861175639999
 01/13  21:00:00,118.21464172399999,110.87399123700001
 01/13  22:00:00,97.4664845936,88.4084406248
 01/13  23:00:00,70.9653801055,78.5461103087
 01/13  24:00:00,79.5412238806,100.783454977
 01/14  01:00:00,80.8669511752,82.1780524526
 01/14  02:00:00,94.6802799851,103.163335321
 01/14  03:00:00,84.03230431899999,83.834721967
 01/14  04:00:00,99.49297271649999,105.41600201700001
 01/14  05:00:00,104.703055937,125.356254885
 01/14  06:00:00,109.84174294700001,126.82994492200001
 01/14  07:00:00,133.033150731,124.955885244
 01/14  08:00:00,195.395701235,179.386293645
 01/14  09:00:00,183.252244078,170.68954093
 01/14  10:00:00,201.668938242,157.499750716
 01/14  11:00:00,199.315434856,159.741120955
 01/14  12:00:00,197.71912642799998,146.87519321
 01/14  13:00:00,186.607889395,143.947531721
 01/14  14:00:00,185.696418939,141.966686267
 01/14  15:00:00,187.579101313,138.352358244
 01/14  16:00:00,149.90053313,76.1364855457
 01/14  17:00:00,154.02259082,83.1219055908
 01/14  18:00:00,154.45727342700002,83.8428693014
 01/14  19:00:00,119.80080362700001,104.06846685200001
 01/14  20:00:00,125.143575688,109.396669401
 01/14  21:00:00,120.65413923,118.25474097
 01/14  22:00:00,110.762013009,99.246426793
 01/14  23:00:00,98.63610506709999,84.9236095451
 01/14  24:00:00,116.468011765,107.157824406
 01/15  01:00:00,100.36284274200001,87.6744355372
 01/15  02:00:00,119.01008474,110.717597731
 01/15  03:00:00,102.962680518,89.7901570384
 01/15  04:00:00,122.15775557399999,112.72633607799999
 01/15  05:00:00,105.998115319,91.033102556
 01/15  06:00:00,123.91569001200001,114.207527432
 01/15  07:00:00,106.326160274,92.46062733229999
 01/15  08:00:00,113.127431233,115.517441115
 01/15  09:00:00,117.467722412,89.6489173757
 01/15  10:00:00,134.941814149,106.190059455
 01/15  11:00:00,114.84919716899999,83.42828118979999
 01/15  12:00:00,131.836982342,100.819315898
 01/15  13:00:00,113.29305330000001,81.0191320196
 01/15  14:00:00,129.531948736,99.5342907651
 01/15  15:00:00,111.48217716299999,81.740922922
 01/15  16:00:00,129.198683752,102.04537504
 01/15  17:00:00,94.7557057585,84.0855835893
 01/15  18:00:00,118.24287674799999,117.95549588700001
 01/15  19:00:00,100.758033163,90.8636291417
 01/15  20:00:00,118.636980944,114.006167763
 01/15  21:00:00,103.735938901,92.4685652946
 01/15  22:00:00,123.403146443,115.54899552799999
 01/15  23:00:00,106.44484399299999,93.51138214139999
 01/15  24:00:00,125.659149445,116.66807405
 01/16  01:00:00,107.165669906,94.30332319860001
 01/16  02:00:00,126.67874552200001,117.342360912
 01/16  03:00:00,109.98834870200001,94.5461039804
 01/16  04:00:00,129.483215057,117.65489483700001
 01/16  05:00:00,107.564268401,95.1193279134
 01/16  06:00:00,120.630461761,118.983883059
 01/16  07:00:00,102.676936166,96.77659192670001
 01/16  08:00:00,108.3558764,120.885695245
 01/16  09:00:00,113.078015805,94.14379413879999
 01/16  10:00:00,131.235151985,114.619099582
 01/16  11:00:00,114.172357624,92.27490121950001
 01/16  12:00:00,131.47789646200002,113.431760234
 01/16  13:00:00,114.97162724799999,91.80944669809999
 01/16  14:00:00,133.73965875,112.832222295
 01/16  15:00:00,115.69169337,91.3418031019
 01/16  16:00:00,133.425460929,112.60994003100001
 01/16  17:00:00,100.691404992,91.38514553719999
 01/16  18:00:00,128.508086943,116.20053062
 01/16  19:00:00,110.575531807,94.9059536436
 01/16  20:00:00,130.394557147,118.58096697200001
 01/16  21:00:00,112.078997435,95.892714586
 01/16  22:00:00,133.637312629,128.17750448
 01/16  23:00:00,115.092251428,96.7065586228
 01/16  24:00:00,137.649740711,120.51779285
 01/17  01:00:00,119.341092955,96.3973792866
 01/17  02:00:00,140.594173707,119.886045305
 01/17  03:00:00,120.55160718200001,96.85977866809999
 01/17  04:00:00,142.387314099,120.865724739
 01/17  05:00:00,158.308791419,138.160456228
 01/17  06:00:00,223.81338912200002,211.855661824
 01/17  07:00:00,267.165537285,215.13895668599997
 01/17  08:00:00,269.35107758,196.10971336900002
 01/17  09:00:00,268.947046972,188.10492618
 01/17  10:00:00,272.897631605,190.44412797299998
 01/17  11:00:00,263.74250915,174.60917961299998
 01/17  12:00:00,256.826719263,175.35765327299998
 01/17  13:00:00,242.554271071,158.286138931
 01/17  14:00:00,251.82315661200002,161.285220762
 01/17  15:00:00,250.415136307,147.734060029
 01/17  16:00:00,248.50698355900002,153.622027681
 01/17  17:00:00,248.233248742,144.258505975
 01/17  18:00:00,263.157283028,151.412536432
 01/17  19:00:00,159.854508761,93.8371241299
 01/17  20:00:00,157.983722791,96.0841766881
 01/17  21:00:00,152.346545913,118.330700921
 01/17  22:00:00,126.616492763,97.86496540290001
 01/17  23:00:00,108.265236212,92.66842744440001
 01/17  24:00:00,118.75046749399999,118.609197285
 01/18  01:00:00,114.64590811,94.6888436793
 01/18  02:00:00,123.052532169,124.172613041
 01/18  03:00:00,119.887417571,104.260385666
 01/18  04:00:00,126.273634698,127.926904708
 01/18  05:00:00,160.2783013,147.445777881
 01/18  06:00:00,191.943190862,202.53482389299998
 01/18  07:00:00,258.196700195,202.892599085
 01/18  08:00:00,256.010507958,185.81426675900002
 01/18  09:00:00,252.120451414,185.755419808
 01/18  10:00:00,258.60511178900003,166.12135975799998
