Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.569683660399999,0.0
 01/02  02:00:00,12.569683660399999,0.0
 01/02  03:00:00,12.569683660399999,0.0
 01/02  04:00:00,12.582668676199999,0.0
 01/02  05:00:00,12.6076607549,0.0
 01/02  06:00:00,12.6264852096,0.0
 01/02  07:00:00,26.9253519171,174.844073204
 01/02  08:00:00,27.8446191415,137.26407343
 01/02  09:00:00,41.348421459,124.721403833
 01/02  10:00:00,58.8893000815,105.84927525399999
 01/02  11:00:00,58.768307751,99.43201942200001
 01/02  12:00:00,58.7048294894,87.9547829554
 01/02  13:00:00,58.6493576946,85.73951689100001
 01/02  14:00:00,58.6853734961,86.33938892229999
 01/02  15:00:00,58.6739663307,84.3548755782
 01/02  16:00:00,58.615816896300004,80.00747666939999
 01/02  17:00:00,59.9814537751,81.3052597393
 01/02  18:00:00,66.9608990613,86.5054149693
 01/02  19:00:00,54.3434972068,90.81923789860001
 01/02  20:00:00,54.388879501800005,97.4889999419
 01/02  21:00:00,49.389027429399995,100.73407413700001
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.569683660399999,0.0
 01/02  24:00:00,12.569683660399999,0.0
 01/03  01:00:00,12.569683660399999,0.0
 01/03  02:00:00,12.602153942300001,0.0
 01/03  03:00:00,12.701141823,1.1587923530700002
 01/03  04:00:00,12.733352506900001,1.26320496862
 01/03  05:00:00,12.807724479400001,2.3895987822699998
 01/03  06:00:00,12.8528701381,3.14053932645
 01/03  07:00:00,27.0446235981,208.597954152
 01/03  08:00:00,27.976347666,168.351564008
 01/03  09:00:00,41.1929191133,143.64522056299998
 01/03  10:00:00,58.5197066022,117.67291247200001
 01/03  11:00:00,58.27685617109999,102.50831300700001
 01/03  12:00:00,58.078245690699994,82.6500050386
 01/03  13:00:00,57.9846831232,74.1914161025
 01/03  14:00:00,57.9168054266,66.00423488060001
 01/03  15:00:00,57.909287399499995,60.766723310500005
 01/03  16:00:00,57.9678425861,56.2891730895
 01/03  17:00:00,59.5453148191,58.3831326275
 01/03  18:00:00,66.6739763786,71.2983414972
 01/03  19:00:00,54.119127310799996,84.5811240641
 01/03  20:00:00,54.1886289438,94.3061279225
 01/03  21:00:00,49.2265729883,102.129127932
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.569683660399999,0.0
 01/04  01:00:00,12.569683660399999,0.0
 01/04  02:00:00,12.569683660399999,0.0
 01/04  03:00:00,12.569683660399999,0.0
 01/04  04:00:00,12.5716732429,0.0
 01/04  05:00:00,12.6414064196,0.7841841961820001
 01/04  06:00:00,12.7370115183,2.68060085465
 01/04  07:00:00,26.9609579831,208.418134138
 01/04  08:00:00,27.8083198682,162.92048188200002
 01/04  09:00:00,41.0322979708,134.562049667
 01/04  10:00:00,58.3139950661,98.8792402875
 01/04  11:00:00,58.04520115930001,78.4075123197
 01/04  12:00:00,57.9052783717,54.912776559300006
 01/04  13:00:00,57.9052783717,32.272720000700005
 01/04  14:00:00,57.9052783717,16.6382707898
 01/04  15:00:00,57.9052783717,11.866167957
 01/04  16:00:00,57.9052783717,7.12560609115
 01/04  17:00:00,59.2829450383,7.064014000419999
 01/04  18:00:00,66.2027339481,16.8296109009
 01/04  19:00:00,53.699243192,31.397109888800003
 01/04  20:00:00,53.82180803439999,46.109605997299994
 01/04  21:00:00,48.852505672,51.9173726806
 01/04  22:00:00,20.693606815,0.0
 01/04  23:00:00,12.569683660399999,0.0
 01/04  24:00:00,12.569683660399999,0.0
 01/05  01:00:00,12.569683660399999,0.0
 01/05  02:00:00,12.569683660399999,0.0
 01/05  03:00:00,12.569683660399999,0.0
 01/05  04:00:00,12.569683660399999,0.0
 01/05  05:00:00,12.569683660399999,0.0
 01/05  06:00:00,12.569683660399999,0.0
 01/05  07:00:00,26.4959751623,152.202966605
 01/05  08:00:00,27.426932870500004,116.547544444
 01/05  09:00:00,40.7140453505,89.7871782933
 01/05  10:00:00,58.038500383199995,60.2653554333
 01/05  11:00:00,57.9052783717,47.6554062612
 01/05  12:00:00,57.9052783717,32.6283626797
 01/05  13:00:00,57.9052783717,26.4781427314
 01/05  14:00:00,57.9052783717,23.2196925347
 01/05  15:00:00,57.9052783717,16.9866814415
 01/05  16:00:00,57.9052783717,10.0519111427
 01/05  17:00:00,59.2829450383,13.1631469568
 01/05  18:00:00,66.1967475804,26.167904065
 01/05  19:00:00,53.673874063999996,35.6742426343
 01/05  20:00:00,53.78105338979999,46.6356282455
 01/05  21:00:00,48.8080356145,50.1501826355
 01/05  22:00:00,20.693606815,0.0
 01/05  23:00:00,12.569683660399999,0.0
 01/05  24:00:00,12.569683660399999,0.0
 01/06  01:00:00,12.569683660399999,0.0
 01/06  02:00:00,12.569683660399999,0.0
 01/06  03:00:00,12.569683660399999,0.0
 01/06  04:00:00,12.569683660399999,0.0
 01/06  05:00:00,12.569683660399999,0.0
