Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,237.928629645,0.02
 01/01  02:00:00,237.928630363,2.1887957663999997
 01/01  03:00:00,237.92863090900002,2.1888241273599998
 01/01  04:00:00,237.92863130799998,2.18885260341
 01/01  05:00:00,250.15082938,2.18888115671
 01/01  06:00:00,274.596641753,2.19124970574
 01/01  07:00:00,323.484016622,2.18890773742
 01/01  08:00:00,313.753745746,2.1889364319599998
 01/01  09:00:00,296.666412525,2.1889651233099996
 01/01  10:00:00,259.999819157,2.18899380382
 01/01  11:00:00,211.11102791599998,2.18902246781
 01/01  12:00:00,211.11197271900002,2.19066170718
 01/01  13:00:00,211.11197261599997,2.19036398477
 01/01  14:00:00,211.11339036599998,4.36607444805
 01/01  15:00:00,211.111972648,2.19046016748
 01/01  16:00:00,211.11102811,2.18899334079
 01/01  17:00:00,259.999819387,2.18902204419
 01/01  18:00:00,347.928412751,2.18879585515
 01/01  19:00:00,347.928412649,2.18882483379
 01/01  20:00:00,323.484016887,2.18885376977
 01/01  21:00:00,323.484016837,0.02
 01/01  22:00:00,299.041038897,4.36272841876
 01/01  23:00:00,274.595225821,2.18890692841
 01/01  24:00:00,250.150830114,2.18893573894
 01/02  01:00:00,287.76983347,2.1898294460799996
 01/02  02:00:00,287.76983342,2.18962488226
 01/02  03:00:00,287.769833366,2.18973137901
 01/02  04:00:00,287.76983342299997,2.18983772466
 01/02  05:00:00,299.992031173,2.18963331455
 01/02  06:00:00,349.358208705,4.364241896519999
 01/02  07:00:00,898.528066563,16.359095196
 01/02  08:00:00,1018.62498769,43.995463467
 01/02  09:00:00,1549.65307425,30.1001102273
 01/02  10:00:00,1530.82266128,28.8786316639
 01/02  11:00:00,1486.03500456,28.737654327199998
 01/02  12:00:00,1496.18113184,28.0261813113
 01/02  13:00:00,1464.27725085,33.3513834887
 01/02  14:00:00,1517.26859018,25.839655520500003
 01/02  15:00:00,1522.42605401,16.9975152494
 01/02  16:00:00,1535.14995617,14.372698276700001
 01/02  17:00:00,1581.91059962,19.0105519191
 01/02  18:00:00,1500.1867795,16.815486013599998
 01/02  19:00:00,1285.44276939,24.374202516399997
 01/02  20:00:00,1256.35015905,25.475956696300003
 01/02  21:00:00,1110.70526468,38.1746597668
 01/02  22:00:00,1084.42214151,36.982937155
 01/02  23:00:00,349.35679039,2.1897888357700004
 01/02  24:00:00,299.992031318,2.1895835585
 01/03  01:00:00,287.769834931,2.18969305985
 01/03  02:00:00,287.769834962,4.35940216932
 01/03  03:00:00,287.769834942,2.1897094694
 01/03  04:00:00,287.769834945,2.18981877087
 01/03  05:00:00,299.99203271700003,2.18961674179
 01/03  06:00:00,349.358210686,2.1919654730700002
 01/03  07:00:00,976.644529767,46.4840943064
 01/03  08:00:00,1068.33700738,53.004288875200004
 01/03  09:00:00,1610.5655372,26.112667962
 01/03  10:00:00,1594.73398934,18.5437117832
 01/03  11:00:00,1548.9371572,18.8559509458
 01/03  12:00:00,1544.10603073,20.5798661256
 01/03  13:00:00,1495.39081114,22.986560557199997
 01/03  14:00:00,1546.32699972,22.2045183359
 01/03  15:00:00,1541.16798789,15.416024289500001
 01/03  16:00:00,1538.38352232,13.182599178499999
 01/03  17:00:00,1587.0659259000001,17.6412345391
 01/03  18:00:00,1531.12029278,11.4743291628
 01/03  19:00:00,1338.60439947,14.544172053199999
 01/03  20:00:00,1318.59322658,16.9022917597
 01/03  21:00:00,1168.47943516,28.2486861083
 01/03  22:00:00,1144.07874608,24.577882925700003
 01/03  23:00:00,349.35679182300004,2.18974437188
 01/03  24:00:00,299.99203272200003,2.18985277553
 01/04  01:00:00,287.769836316,2.1896534704599997
 01/04  02:00:00,287.769836354,2.18976548968
