Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.7331236686,18.435451574000002
 01/01  02:00:00,9.58698731902,3.0211
 01/01  03:00:00,9.618939848730001,3.59317663765
 01/01  04:00:00,9.62323937567,3.0211
 01/01  05:00:00,9.76757355661,3.0211
 01/01  06:00:00,13.8039147288,33.5420909562
 01/01  07:00:00,28.2664693692,39.1638697318
 01/01  08:00:00,26.9603667159,42.2800499213
 01/01  09:00:00,20.716743946199998,34.3953031179
 01/01  10:00:00,20.772040919200002,25.5490676714
 01/01  11:00:00,25.8540561889,39.255755272399995
 01/01  12:00:00,27.0635784648,45.129050679799995
 01/01  13:00:00,26.711236338600003,39.4757839134
 01/01  14:00:00,26.666309999699997,35.5480406979
 01/01  15:00:00,21.4931349172,23.320756615100002
 01/01  16:00:00,21.2360522588,22.394212419699997
 01/01  17:00:00,20.9150609079,25.3949498179
 01/01  18:00:00,28.4097108354,28.9722315244
 01/01  19:00:00,28.388502676999998,30.1236469754
 01/01  20:00:00,28.5406187487,30.122922102199997
 01/01  21:00:00,23.519684430100003,25.969994642
 01/01  22:00:00,23.439464476199998,25.6215588356
 01/01  23:00:00,23.3240361927,21.4685370382
 01/01  24:00:00,24.4861021938,5.3123984896
 01/02  01:00:00,14.0761821802,5.52312420556
 01/02  02:00:00,9.7629550778,3.59316999579
 01/02  03:00:00,9.80040171103,3.0211
 01/02  04:00:00,9.82332295251,3.0211
 01/02  05:00:00,10.0105849267,3.59317590248
 01/02  06:00:00,14.079804624400001,4.56049739089
 01/02  07:00:00,28.587997393400002,15.2429288765
 01/02  08:00:00,27.5698830035,26.1994388576
 01/02  09:00:00,21.0096367781,20.195844529000002
 01/02  10:00:00,21.015317901099998,19.043691395299998
 01/02  11:00:00,26.0149724244,36.4746454427
 01/02  12:00:00,27.540336589699997,44.552846442299995
 01/02  13:00:00,27.231404349,39.4755012357
 01/02  14:00:00,26.9355476661,34.9727762956
 01/02  15:00:00,21.7943740483,23.8943152742
 01/02  16:00:00,21.779746464400002,22.3936142553
 01/02  17:00:00,21.3333709965,25.3950841279
 01/02  18:00:00,28.6604466542,28.9723772191
 01/02  19:00:00,28.434972743000003,30.1251065312
 01/02  20:00:00,28.575816767600003,31.2756935952
 01/02  21:00:00,23.5407381741,26.569577915700002
 01/02  22:00:00,23.4496533656,26.196853825799998
 01/02  23:00:00,23.313462175399998,22.074598877
 01/02  24:00:00,24.4313899643,7.02368019848
 01/03  01:00:00,13.9925845405,10.3460005583
 01/03  02:00:00,9.71781037075,3.32082796619
 01/03  03:00:00,9.774698216689998,3.0211
 01/03  04:00:00,9.7878912797,3.59315061671
 01/03  05:00:00,10.5095619872,3.0211
 01/03  06:00:00,14.5240393611,10.245948848400001
 01/03  07:00:00,28.6794466967,17.5150894906
 01/03  08:00:00,27.1307583928,27.076983267800003
 01/03  09:00:00,20.8816282258,19.7544807957
 01/03  10:00:00,20.9160432927,19.0430803336
 01/03  11:00:00,25.9463810366,37.0487782639
 01/03  12:00:00,27.1029588766,44.552472154499995
 01/03  13:00:00,27.006524031199998,39.4758847264
 01/03  14:00:00,26.9511905634,34.9731577927
 01/03  15:00:00,21.4321273755,23.320658492399996
 01/03  16:00:00,21.0012927882,22.409448120300002
 01/03  17:00:00,20.8730851265,25.3952779825
 01/03  18:00:00,28.4104114106,28.9719764048
 01/03  19:00:00,28.410885645500002,30.6985696907
 01/03  20:00:00,28.418709383699998,30.7007327775
 01/03  21:00:00,23.429299804299998,27.1219692403
 01/03  22:00:00,23.384090740799998,26.198066565100003
 01/03  23:00:00,23.3865217856,22.0439533241
 01/03  24:00:00,24.4488301898,6.6964003138
 01/04  01:00:00,13.9393957756,13.6262513322
 01/04  02:00:00,9.64715749469,3.59318881265
 01/04  03:00:00,9.689542415639998,3.0211
 01/04  04:00:00,9.7441604811,3.0211
 01/04  05:00:00,9.95513811891,3.5931861058699996
