Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,44.4861126022,46.916426968100005
 01/01  02:00:00,47.85761998979999,58.1193439971
 01/01  03:00:00,45.8009126159,60.1008323375
 01/01  04:00:00,47.6451767982,61.3975773493
 01/01  05:00:00,50.3923381759,55.4061813606
 01/01  06:00:00,55.862444962,66.4528704355
 01/01  07:00:00,75.208480297,60.7439913687
 01/01  08:00:00,84.6111580914,69.5056199625
 01/01  09:00:00,99.73238281879999,73.7551076407
 01/01  10:00:00,83.3094100389,82.4147348325
 01/01  11:00:00,59.3717447347,71.31794882140001
 01/01  12:00:00,55.2253615824,59.754237732700005
 01/01  13:00:00,53.5441572898,55.669194125699995
 01/01  14:00:00,52.1809343594,51.4997432871
 01/01  15:00:00,51.6362294971,51.4996028827
 01/01  16:00:00,50.9017091118,53.6329526066
 01/01  17:00:00,55.0238037858,37.698206919499995
 01/01  18:00:00,69.1711666076,24.7764505363
 01/01  19:00:00,85.4130251289,37.0535077785
 01/01  20:00:00,86.1202970485,34.2900447378
 01/01  21:00:00,92.2905382933,43.9117239378
 01/01  22:00:00,90.0133615275,46.577192528699996
 01/01  23:00:00,67.9899777131,56.386412246000006
 01/01  24:00:00,47.376762579799994,47.2845777812
 01/02  01:00:00,42.738708991100005,50.4281178213
 01/02  02:00:00,43.8314123767,52.6556744888
 01/02  03:00:00,44.0486984301,54.0716800108
 01/02  04:00:00,45.9599929772,50.552593419
 01/02  05:00:00,49.292676373599996,58.2110779009
 01/02  06:00:00,57.835524373199995,64.3316744776
 01/02  07:00:00,83.8267819694,71.1576511791
 01/02  08:00:00,96.9804118044,69.6648014047
 01/02  09:00:00,82.8924493202,72.64922676100001
 01/02  10:00:00,75.90215392569999,69.6049086954
 01/02  11:00:00,57.223802179799996,69.0883063251
 01/02  12:00:00,54.8463210243,57.4787168146
 01/02  13:00:00,53.3792233902,52.9613407794
 01/02  14:00:00,52.2026910868,48.913112796899995
 01/02  15:00:00,51.101207907399996,48.6269387917
 01/02  16:00:00,50.2763879325,51.531139750200005
 01/02  17:00:00,54.1876245413,37.3734630237
 01/02  18:00:00,71.9258414452,24.1854028523
 01/02  19:00:00,80.6708423858,42.435287211799995
 01/02  20:00:00,83.3581814746,38.8277433989
 01/02  21:00:00,92.3084007339,35.7547155963
 01/02  22:00:00,87.1170315259,48.344727463599995
 01/02  23:00:00,62.3945643814,43.7432959701
 01/02  24:00:00,43.7501318574,38.1796114281
 01/03  01:00:00,39.4726258159,38.1626657355
 01/03  02:00:00,39.0845625439,38.6564708427
 01/03  03:00:00,38.6848739283,34.1042138533
 01/03  04:00:00,39.4669730762,40.291703730900004
 01/03  05:00:00,41.3963863056,39.7209315534
 01/03  06:00:00,48.5251722707,43.083282843
 01/03  07:00:00,74.96245588800001,40.9070772512
 01/03  08:00:00,89.71056997219999,50.7080674037
 01/03  09:00:00,74.68025982,50.9586217525
 01/03  10:00:00,69.80255180350001,66.2346213439
 01/03  11:00:00,52.4824145782,62.7188378296
 01/03  12:00:00,51.5600961854,53.854106485100004
 01/03  13:00:00,50.8724195251,51.22765801640001
 01/03  14:00:00,50.297276285900004,50.535245771199996
 01/03  15:00:00,49.9972941529,51.4638087784
 01/03  16:00:00,49.3708889937,52.963446733999994
 01/03  17:00:00,53.627589765399996,35.6349962252
 01/03  18:00:00,71.7442870242,20.1207400493
 01/03  19:00:00,80.6948965483,36.4268778633
 01/03  20:00:00,83.41866642800001,24.887154921500002
 01/03  21:00:00,92.8538639105,31.549623508899998
 01/03  22:00:00,87.5190687367,37.8157636387
 01/03  23:00:00,61.7600860339,32.4666893781
 01/03  24:00:00,41.5952453864,27.148434573200003
 01/04  01:00:00,36.8144168818,27.063191293699997
 01/04  02:00:00,35.7919995034,27.6491242143
 01/04  03:00:00,34.7102961752,22.5447076807
 01/04  04:00:00,35.1593305434,28.538035731500003
 01/04  05:00:00,36.9647937219,28.202126361199998
 01/04  06:00:00,44.490147956499996,33.8435930265
 01/04  07:00:00,72.6737787574,34.2496923335
 01/04  08:00:00,89.1163910622,44.2647941379
 01/04  09:00:00,71.8971355944,44.761995508000005
 01/04  10:00:00,67.0391887858,62.0201860874
 01/04  11:00:00,51.015737739799995,62.7662703407
 01/04  12:00:00,50.8080624148,56.126878921199996
 01/04  13:00:00,51.0836990608,55.1111486068
 01/04  14:00:00,51.1136436026,54.6547433326
 01/04  15:00:00,50.9649586173,54.8353896022
 01/04  16:00:00,50.4115378845,56.188454140699996
 01/04  17:00:00,54.5585894401,38.848397231599996
 01/04  18:00:00,71.6187018768,21.2043166203
 01/04  19:00:00,80.6074149295,35.6716205081
 01/04  20:00:00,83.57084894270001,24.5382982223
 01/04  21:00:00,92.8219086898,31.884347573600003
 01/04  22:00:00,87.4662354366,38.0939966946
 01/04  23:00:00,62.0819712845,33.1991205554
 01/04  24:00:00,41.706823824299995,28.387346265700003
 01/05  01:00:00,36.796702963899996,28.811348701100002
 01/05  02:00:00,35.8016890524,28.605044563099998
 01/05  03:00:00,34.7906184894,23.3835051775
 01/05  04:00:00,35.3071756817,29.7216450561
 01/05  05:00:00,37.2152631525,29.9484640074
 01/05  06:00:00,44.651184900299995,34.9142590534
 01/05  07:00:00,73.2827380329,34.0430036369
 01/05  08:00:00,89.7195200757,43.670251309399994
 01/05  09:00:00,72.36972808590001,44.1653249004
 01/05  10:00:00,67.2496101551,61.0615570895
 01/05  11:00:00,50.1189224395,61.250850918400005
 01/05  12:00:00,50.039184711400004,53.069352733900004
 01/05  13:00:00,49.6953729049,51.5171100045
 01/05  14:00:00,49.2911549292,51.6966170997
 01/05  15:00:00,49.100480715699995,51.257972429
 01/05  16:00:00,48.7149039629,52.5252767887
 01/05  17:00:00,53.1800465244,35.0466563896
 01/05  18:00:00,71.84805821260001,18.1498327183
 01/05  19:00:00,81.1195223437,33.0062546801
 01/05  20:00:00,84.0725717854,27.824516424699997
 01/05  21:00:00,93.2805046361,23.965578557399997
 01/05  22:00:00,87.8859220427,36.619282033699996
 01/05  23:00:00,62.3875918248,32.1862142531
 01/05  24:00:00,41.671354766,27.4928486785
 01/06  01:00:00,36.6083734392,28.0100989265
 01/06  02:00:00,35.0341534354,28.4414799302
 01/06  03:00:00,33.2685852065,28.8030297558
 01/06  04:00:00,33.5826298829,23.3657252665
 01/06  05:00:00,35.622513270700004,29.841958672199997
 01/06  06:00:00,43.3314116913,35.1340524464
 01/06  07:00:00,73.6811033418,40.125391743499996
 01/06  08:00:00,89.72345524309999,38.681150024699996
 01/06  09:00:00,72.6392191767,51.6660959888
 01/06  10:00:00,67.5134362622,58.3603403758
 01/06  11:00:00,49.679946770200004,61.846351633599994
 01/06  12:00:00,49.8936884688,56.9861638427
 01/06  13:00:00,49.962941233500004,55.498668147
 01/06  14:00:00,49.7619461863,54.353339902100004
 01/06  15:00:00,49.444977538100005,53.3937794199
 01/06  16:00:00,48.99089254729999,54.1658667628
 01/06  17:00:00,53.4484293616,36.162883133600005
 01/06  18:00:00,72.0182303796,24.9866573489
 01/06  19:00:00,81.0588957962,29.1650464262
 01/06  20:00:00,83.89240840810001,30.154192798
 01/06  21:00:00,93.1255554684,31.795982334899996
 01/06  22:00:00,87.7506516753,32.8440245167
 01/06  23:00:00,62.3050849039,34.1797788355
 01/06  24:00:00,41.8216832636,30.034804533899997
 01/07  01:00:00,37.970107997199996,30.8824765726
 01/07  02:00:00,38.1607742504,31.7741546631
 01/07  03:00:00,34.6190516172,32.4186360455
 01/07  04:00:00,35.3412584352,32.2843995788
 01/07  05:00:00,37.5381971577,27.0102267928
 01/07  06:00:00,42.0705667497,37.8366061898
 01/07  07:00:00,61.1894788372,31.107265913000003
 01/07  08:00:00,73.2500716392,41.2632785458
 01/07  09:00:00,95.0677662758,55.7776017496
 01/07  10:00:00,78.7763160178,68.5341121374
 01/07  11:00:00,53.667232015399996,63.4664193278
 01/07  12:00:00,51.6208295636,54.5098571546
 01/07  13:00:00,51.744646835699996,51.7171112906
 01/07  14:00:00,51.852925978,52.3905023183
 01/07  15:00:00,51.7929034365,45.5353092607
 01/07  16:00:00,51.30384153479999,47.54038735979999
 01/07  17:00:00,55.354857710299996,32.0995094443
 01/07  18:00:00,69.9909848547,17.192186607100002
 01/07  19:00:00,86.8974032884,22.570183293499998
 01/07  20:00:00,87.73017029709999,31.0691282654
 01/07  21:00:00,93.8695291435,34.0437519295
 01/07  22:00:00,91.59767057239999,35.2459415435
 01/07  23:00:00,68.3186183035,36.417604060900004
 01/07  24:00:00,44.4954061916,36.4148447226
 01/08  01:00:00,38.280893744299995,31.3396520959
 01/08  02:00:00,38.3648093027,26.5499806837
 01/08  03:00:00,34.1467023042,32.253216177199995
 01/08  04:00:00,34.615689610100006,31.8777891968
 01/08  05:00:00,36.5754510527,32.4130820218
 01/08  06:00:00,41.131391111199996,32.768459864899995
 01/08  07:00:00,60.9659534275,38.211100538400004
 01/08  08:00:00,73.9253839687,37.7593391864
 01/08  09:00:00,95.7874793276,60.1936877301
 01/08  10:00:00,79.84964135140001,61.302265588999994
 01/08  11:00:00,54.6972644875,59.1315975438
 01/08  12:00:00,52.2479023482,57.291427989700004
 01/08  13:00:00,52.456503015200006,50.295768598
 01/08  14:00:00,52.344808183299996,47.2237963464
 01/08  15:00:00,52.5104108467,46.2822521457
 01/08  16:00:00,51.8160183949,49.393754208599994
 01/08  17:00:00,55.6569697847,34.116891641100004
 01/08  18:00:00,70.408902197,18.523166045
 01/08  19:00:00,87.459006796,29.2264607396
 01/08  20:00:00,88.48246423020001,25.0261298225
 01/08  21:00:00,94.9428258052,32.2146613145
 01/08  22:00:00,92.4601459742,32.8012634529
 01/08  23:00:00,68.786686581,40.1927048839
 01/08  24:00:00,44.8484799705,29.8064148189
 01/09  01:00:00,37.1409000442,29.736478273099998
 01/09  02:00:00,35.3996674839,30.425144741900002
 01/09  03:00:00,33.4258346777,31.0609803006
 01/09  04:00:00,33.6465056686,26.5686376727
 01/09  05:00:00,35.6332797011,32.955041661799996
 01/09  06:00:00,43.310618596000005,37.5047534391
 01/09  07:00:00,73.9422598316,41.740296890799996
 01/09  08:00:00,90.09853282600001,39.9302097665
 01/09  09:00:00,73.0540071392,52.700872597
 01/09  10:00:00,67.9449506542,64.3910359194
 01/09  11:00:00,49.8890285438,58.6732979602
 01/09  12:00:00,49.9196147708,57.9079458821
 01/09  13:00:00,50.07565348560001,54.8592414471
 01/09  14:00:00,50.2485112307,50.873461295
 01/09  15:00:00,49.8683839942,49.491023784700005
 01/09  16:00:00,49.4709257429,49.9335705484
 01/09  17:00:00,53.7900522124,33.7993930087
 01/09  18:00:00,72.4823736625,24.4535483314
 01/09  19:00:00,81.55889113890001,28.883374558899998
 01/09  20:00:00,84.4829336319,30.464489482199998
 01/09  21:00:00,93.7218815991,32.5889404587
 01/09  22:00:00,88.4611951739,39.0129031077
 01/09  23:00:00,62.8711965325,34.734937069299995
 01/09  24:00:00,42.0457070489,30.400011978800002
 01/10  01:00:00,36.9320000369,30.9904796352
 01/10  02:00:00,35.3683624233,25.749400995100004
 01/10  03:00:00,33.7441812661,31.4390094698
 01/10  04:00:00,34.0880960948,31.970618542600004
 01/10  05:00:00,35.9445985134,32.5512497791
 01/10  06:00:00,43.5972784349,31.815510101599997
 01/10  07:00:00,73.9975025395,42.6019040268
 01/10  08:00:00,89.99367403469999,46.4499659501
 01/10  09:00:00,73.0936670351,47.5272646984
 01/10  10:00:00,68.41630060060001,63.469973467799996
 01/10  11:00:00,50.8631145804,60.4668233495
 01/10  12:00:00,50.7935159838,51.2399417783
 01/10  13:00:00,50.8799875472,49.3453534882
 01/10  14:00:00,50.9025916626,46.4631331282
 01/10  15:00:00,51.0810753035,45.5237407897
 01/10  16:00:00,50.7168839071,47.066671274300006
 01/10  17:00:00,55.014953596800005,31.4005689813
 01/10  18:00:00,73.5386169109,16.171333426300002
 01/10  19:00:00,82.5911958383,32.3851304712
 01/10  20:00:00,85.398971018,29.3591145683
 01/10  21:00:00,94.6046961343,26.580740002
 01/10  22:00:00,89.1657633316,39.5093052116
 01/10  23:00:00,63.1270901641,36.6650961889
 01/10  24:00:00,42.1814384428,33.8260039046
 01/11  01:00:00,36.9636394757,36.4283385667
 01/11  02:00:00,36.0725332596,38.295883550999996
 01/11  03:00:00,35.1576931233,39.7908803907
 01/11  04:00:00,35.9275358269,36.4851804981
 01/11  05:00:00,38.6863190659,44.1698867617
 01/11  06:00:00,47.162585129899995,49.667350838699996
 01/11  07:00:00,75.33360859449999,53.9177217966
 01/11  08:00:00,90.4311752387,50.678756263100006
 01/11  09:00:00,75.2177178647,59.2350763041
 01/11  10:00:00,70.335249371,65.3590554041
 01/11  11:00:00,52.7427383693,56.503161424700004
 01/11  12:00:00,52.199381004799996,54.1831702042
 01/11  13:00:00,51.430868858100006,51.6161515517
 01/11  14:00:00,51.288865503400004,48.5464844104
 01/11  15:00:00,50.8849678313,47.4580921099
 01/11  16:00:00,50.2601940613,54.9147123562
 01/11  17:00:00,54.6779852362,26.5988050153
 01/11  18:00:00,72.91782180850001,23.102926572399998
 01/11  19:00:00,81.8449425421,29.326236409099998
 01/11  20:00:00,84.6289545435,32.5489464433
 01/11  21:00:00,93.7941910263,34.5900086757
 01/11  22:00:00,88.3640768934,42.4325925239
 01/11  23:00:00,62.838012540600005,39.380591080900004
 01/11  24:00:00,42.2619814353,35.2022424742
 01/12  01:00:00,37.9951842056,37.1567688493
 01/12  02:00:00,37.450282759400004,39.563560086100004
 01/12  03:00:00,36.3388005997,35.6195901009
 01/12  04:00:00,37.4753316553,42.5201287922
 01/12  05:00:00,40.1102852694,42.6225009608
 01/12  06:00:00,48.35616661979999,48.5742840893
 01/12  07:00:00,75.6933634575,46.9978851921
 01/12  08:00:00,90.77318405930001,56.7068996625
 01/12  09:00:00,75.6530452572,53.6168396456
 01/12  10:00:00,70.6538202413,63.894610971300004
 01/12  11:00:00,52.5717368938,57.4800555912
 01/12  12:00:00,52.064379825799996,46.873165291099994
 01/12  13:00:00,51.824594892600004,46.034818392
 01/12  14:00:00,51.7809521451,42.3188109043
 01/12  15:00:00,51.86431438899999,41.8764818154
 01/12  16:00:00,51.5903096709,43.412217681499996
 01/12  17:00:00,55.76521577729999,26.8768747365
 01/12  18:00:00,74.2021157291,17.1930826928
 01/12  19:00:00,82.9640007034,24.7664178371
 01/12  20:00:00,85.5731241335,29.239417021999998
 01/12  21:00:00,94.62388142610001,33.652684043200004
 01/12  22:00:00,89.1326218842,35.1480756006
 01/12  23:00:00,63.1247458088,37.4038685927
 01/12  24:00:00,42.1888877791,39.5821589696
 01/13  01:00:00,37.0155239756,34.9261071821
 01/13  02:00:00,35.9340315367,30.5454793939
 01/13  03:00:00,35.0299089534,37.8546859859
 01/13  04:00:00,35.7047002604,39.5158595598
 01/13  05:00:00,37.8631866499,40.5592346759
 01/13  06:00:00,46.0631947774,39.8789302567
 01/13  07:00:00,74.959228253,50.910574366700004
 01/13  08:00:00,90.2515123093,54.5705024716
 01/13  09:00:00,74.9481179611,50.656747645500005
 01/13  10:00:00,70.0717362803,60.6382306884
 01/13  11:00:00,52.0821846045,55.6243469212
 01/13  12:00:00,51.8053510813,46.3889607944
 01/13  13:00:00,51.561317665299995,45.6922906012
 01/13  14:00:00,51.9307611909,42.057271406999995
 01/13  15:00:00,52.2102634784,41.7528426348
 01/13  16:00:00,52.0980444902,43.1547847989
 01/13  17:00:00,56.0450204649,26.592577863800003
 01/13  18:00:00,72.81116533069999,10.2954213294
 01/13  19:00:00,83.60248715510001,27.442507026599998
 01/13  20:00:00,86.4527761255,23.870290981999997
 01/13  21:00:00,95.7964184959,19.946323770699998
 01/13  22:00:00,90.4471907648,32.4778295414
 01/13  23:00:00,64.1956830378,28.5620617657
 01/13  24:00:00,42.7529040922,24.648904154
 01/14  01:00:00,38.396531103899996,25.387773065100003
 01/14  02:00:00,38.215836171599996,26.3404795878
 01/14  03:00:00,33.3228138179,27.480504668600002
 01/14  04:00:00,33.2244709029,22.400401868400003
 01/14  05:00:00,34.8034510178,28.6479380412
 01/14  06:00:00,39.169448403800004,34.0667677856
 01/14  07:00:00,59.5360011072,28.326079786199998
 01/14  08:00:00,73.4101426211,39.3444626471
 01/14  09:00:00,96.289350795,54.4298561233
 01/14  10:00:00,80.451723176,56.3701891733
 01/14  11:00:00,55.0521991784,55.795819421400005
 01/14  12:00:00,52.50942719020001,54.941405098900006
 01/14  13:00:00,52.4272043592,49.5027999657
 01/14  14:00:00,52.6785099227,46.6082469232
 01/14  15:00:00,53.106616798699996,45.5468837351
 01/14  16:00:00,52.989434299799996,46.807589138599994
 01/14  17:00:00,56.812869795,30.9186477028
 01/14  18:00:00,69.437191417,15.919327623800001
 01/14  19:00:00,88.2237087651,21.1297833592
 01/14  20:00:00,88.91411213299999,30.6456297581
 01/14  21:00:00,94.9750773619,34.3367519523
 01/14  22:00:00,92.7449065851,35.0656642891
 01/14  23:00:00,69.0624190072,41.782835936
 01/14  24:00:00,44.9621491391,30.7374002764
 01/15  01:00:00,38.6115741198,31.913154845
 01/15  02:00:00,38.4770333401,34.6998413465
 01/15  03:00:00,33.7050333654,32.024810322
 01/15  04:00:00,34.0260288068,23.7581380334
 01/15  05:00:00,36.088804908,30.6745345541
 01/15  06:00:00,40.7945096387,33.4447262266
 01/15  07:00:00,60.740093863999995,39.1020761415
 01/15  08:00:00,73.7845810244,43.8935067955
 01/15  09:00:00,95.6885087317,54.9630905741
 01/15  10:00:00,80.0453272317,66.4968823528
 01/15  11:00:00,54.771780363199994,57.135762693800004
 01/15  12:00:00,52.6116806804,54.46214459270001
 01/15  13:00:00,53.0306386788,47.4876173512
 01/15  14:00:00,53.320685179799995,44.065562665
