Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.569683660399999,0.0
 01/02  02:00:00,12.569683660399999,0.0
 01/02  03:00:00,12.569683660399999,0.0
 01/02  04:00:00,12.569683660399999,0.0
 01/02  05:00:00,12.569683660399999,0.0
 01/02  06:00:00,12.569683660399999,0.0
 01/02  07:00:00,28.1581745962,137.45005742700002
 01/02  08:00:00,30.5444901497,111.007799285
 01/02  09:00:00,42.4736792996,87.42150542
 01/02  10:00:00,59.7742941084,42.2901687211
 01/02  11:00:00,59.727792559300006,20.0666882308
 01/02  12:00:00,59.7594325588,7.984562021830001
 01/02  13:00:00,60.0836197062,5.96707791306
 01/02  14:00:00,60.2690714187,4.42966469606
 01/02  15:00:00,60.492971776800005,2.5875846400699998
 01/02  16:00:00,61.0695397369,1.08282092229
 01/02  17:00:00,60.9041172709,0.664516699733
 01/02  18:00:00,65.6108274021,1.04231890893
 01/02  19:00:00,55.4342138834,2.13664250031
 01/02  20:00:00,55.336292120299994,4.07443617795
 01/02  21:00:00,50.3192706695,10.858775189000001
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.569683660399999,0.0
 01/02  24:00:00,12.569683660399999,0.0
 01/03  01:00:00,12.569683660399999,0.0
 01/03  02:00:00,12.569683660399999,0.0
 01/03  03:00:00,12.569683660399999,0.0
 01/03  04:00:00,12.569683660399999,0.0
 01/03  05:00:00,12.569683660399999,0.0
 01/03  06:00:00,12.569683660399999,0.0
 01/03  07:00:00,27.872791350700002,102.02418397
 01/03  08:00:00,30.349899680500002,81.1605494829
 01/03  09:00:00,42.4201393073,62.599062384899995
 01/03  10:00:00,59.7554288223,31.1722256039
 01/03  11:00:00,59.727792559300006,17.2708656627
 01/03  12:00:00,59.727792559300006,6.44559872718
 01/03  13:00:00,59.753520412700006,4.76770415445
 01/03  14:00:00,59.9410099375,3.23914183317
 01/03  15:00:00,60.2349682896,1.0533354847
 01/03  16:00:00,60.5234816764,0.0
 01/03  17:00:00,60.503366329399995,0.0
 01/03  18:00:00,65.5775962096,0.0
 01/03  19:00:00,55.3957767888,0.352369453464
 01/03  20:00:00,55.336292120299994,1.9495871251099999
 01/03  21:00:00,50.3192706695,10.5054511954
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.569683660399999,0.0
 01/04  01:00:00,12.569683660399999,0.0
 01/04  02:00:00,12.569683660399999,0.0
 01/04  03:00:00,12.569683660399999,0.0
 01/04  04:00:00,12.569683660399999,0.0
 01/04  05:00:00,12.569683660399999,0.0
 01/04  06:00:00,12.569683660399999,0.0
 01/04  07:00:00,28.3123581219,143.679788345
 01/04  08:00:00,30.667695922399997,117.738324658
 01/04  09:00:00,42.558253795,93.79816294540001
 01/04  10:00:00,59.8195916331,57.422022721400005
 01/04  11:00:00,59.727792559300006,35.4603892568
 01/04  12:00:00,59.7401518456,14.4244212898
 01/04  13:00:00,60.0095090416,6.855142838330001
 01/04  14:00:00,60.372553754399995,5.11140962638
 01/04  15:00:00,60.650729793100005,3.7707086821599995
 01/04  16:00:00,60.748489407600005,2.83672543361
 01/04  17:00:00,60.4293168763,2.82569936802
 01/04  18:00:00,65.4451591309,3.2069758433099995
 01/04  19:00:00,55.3575715083,7.06614157771
 01/04  20:00:00,55.336292120299994,17.3191472819
 01/04  21:00:00,50.3192706695,24.7131266273
 01/04  22:00:00,20.693606815,0.0
 01/04  23:00:00,12.569683660399999,0.0
 01/04  24:00:00,12.569683660399999,0.0
 01/05  01:00:00,12.569683660399999,0.0
 01/05  02:00:00,12.569683660399999,0.0
 01/05  03:00:00,12.569683660399999,0.0
 01/05  04:00:00,12.569683660399999,0.0
 01/05  05:00:00,12.569683660399999,0.0
 01/05  06:00:00,12.569683660399999,0.0
 01/05  07:00:00,28.339338806500002,162.671189151
 01/05  08:00:00,30.696880939699998,134.205541225
 01/05  09:00:00,42.5956907244,108.005076136
 01/05  10:00:00,59.8610071592,71.4615302063
 01/05  11:00:00,59.727792559300006,44.8325862328
 01/05  12:00:00,59.7365685853,21.5313094854
 01/05  13:00:00,59.9959431398,10.8395448624
 01/05  14:00:00,60.3635449524,7.581479750689999
 01/05  15:00:00,60.4581067584,5.826846328899999
 01/05  16:00:00,60.3781225214,4.03643269665
 01/05  17:00:00,60.4690681618,3.36963271198
 01/05  18:00:00,65.4639119127,3.96267716321
 01/05  19:00:00,55.341280823999995,10.3162576037
 01/05  20:00:00,55.336292120299994,24.0646661895
 01/05  21:00:00,50.3192706695,36.8509341142
 01/05  22:00:00,20.693606815,0.0
 01/05  23:00:00,12.569683660399999,0.0
 01/05  24:00:00,12.569683660399999,0.0
 01/06  01:00:00,12.569683660399999,0.0
 01/06  02:00:00,12.569683660399999,0.0
 01/06  03:00:00,12.569683660399999,0.0
 01/06  04:00:00,12.569683660399999,0.0
 01/06  05:00:00,12.569683660399999,0.0
 01/06  06:00:00,12.569683660399999,0.0
