Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,117.84118715299999,4.85426
 01/01  02:00:00,117.813521986,4.85426
 01/01  03:00:00,117.79266719200001,4.85426
 01/01  04:00:00,117.77642125,4.85426
 01/01  05:00:00,118.220209918,4.85426
 01/01  06:00:00,118.189257433,4.85426
 01/01  07:00:00,118.212157334,13.444456459300001
 01/01  08:00:00,112.10157200100001,4.85426
 01/01  09:00:00,100.20339491700001,4.85426
 01/01  10:00:00,100.295352444,4.85426
 01/01  11:00:00,100.336341339,4.85426
 01/01  12:00:00,101.19417316100001,13.4502362882
 01/01  13:00:00,121.310830148,4.85426
 01/01  14:00:00,226.694593207,4.85426
 01/01  15:00:00,330.552305734,4.85426
 01/01  16:00:00,271.619706325,13.4445274495
 01/01  17:00:00,273.042458817,4.85426
 01/01  18:00:00,164.73146046600002,4.85426
 01/01  19:00:00,118.205814185,4.85426
 01/01  20:00:00,118.66235235799999,4.85426
 01/01  21:00:00,118.58412419700001,4.85426
 01/01  22:00:00,118.27890954700001,4.85426
 01/01  23:00:00,117.91368986,13.4444908512
 01/01  24:00:00,118.741155237,4.85426
 01/02  01:00:00,117.86094042200001,4.85426
 01/02  02:00:00,117.829599248,4.85426
 01/02  03:00:00,117.81393078100001,4.85426
 01/02  04:00:00,117.829262826,13.450292066300001
 01/02  05:00:00,118.305346789,4.85426
 01/02  06:00:00,118.22732993,4.85426
 01/02  07:00:00,208.943895219,471.95923850300005
 01/02  08:00:00,373.43350123199997,434.625108005
 01/02  09:00:00,483.28354525099996,293.207546285
 01/02  10:00:00,570.9840365,145.301074211
 01/02  11:00:00,766.6060232660001,83.8925052833
 01/02  12:00:00,1020.32105519,92.8990067493
 01/02  13:00:00,1062.28466123,93.00376142100001
 01/02  14:00:00,1057.32788662,59.963764308
 01/02  15:00:00,1057.8282085,59.679361396800005
 01/02  16:00:00,1068.80834738,40.3935315525
 01/02  17:00:00,1115.88598554,40.1594411395
 01/02  18:00:00,1026.55081133,31.3255624894
 01/02  19:00:00,1001.76015933,40.2579045391
 01/02  20:00:00,881.092575284,13.5089637871
 01/02  21:00:00,741.743160035,13.500065978
 01/02  22:00:00,118.37783124299999,13.500816889300001
 01/02  23:00:00,118.034423885,4.85426
 01/02  24:00:00,118.92963425399999,13.4619954882
 01/03  01:00:00,117.998148843,4.85426
 01/03  02:00:00,117.95528875299999,4.85426
 01/03  03:00:00,117.928807942,4.85426
 01/03  04:00:00,117.884767557,13.450386023499998
 01/03  05:00:00,120.069648571,4.85426
