Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.569683660399999,0.0
 01/02  02:00:00,12.569683660399999,0.0
 01/02  03:00:00,12.569683660399999,0.0
 01/02  04:00:00,12.569683660399999,0.0
 01/02  05:00:00,12.569683660399999,0.0
 01/02  06:00:00,12.569683660399999,0.0
 01/02  07:00:00,26.082795032199996,42.258533814699994
 01/02  08:00:00,31.4870726111,32.955822051700004
 01/02  09:00:00,40.9240594925,21.4524680343
 01/02  10:00:00,58.717962256099995,1.49278822662
 01/02  11:00:00,59.765637238800004,0.0
 01/02  12:00:00,61.277472467200006,0.0
 01/02  13:00:00,62.081121406099996,0.0
 01/02  14:00:00,64.5996245991,0.0
 01/02  15:00:00,67.1386637565,0.0
 01/02  16:00:00,69.6422311113,0.0
 01/02  17:00:00,71.2126356616,0.0
 01/02  18:00:00,73.18901467239999,0.0
 01/02  19:00:00,60.88554676729999,0.0
 01/02  20:00:00,57.0287577795,0.0
 01/02  21:00:00,51.2968196612,0.0
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.569683660399999,0.0
 01/02  24:00:00,12.569683660399999,0.0
 01/03  01:00:00,12.569683660399999,0.0
 01/03  02:00:00,12.569683660399999,0.0
 01/03  03:00:00,12.569683660399999,0.0
 01/03  04:00:00,12.569683660399999,0.0
 01/03  05:00:00,12.569683660399999,0.0
 01/03  06:00:00,12.569683660399999,0.0
 01/03  07:00:00,26.140434863400003,49.6298691079
 01/03  08:00:00,31.565239359,43.2635127329
 01/03  09:00:00,40.9455591915,39.4816358444
 01/03  10:00:00,58.597541880600005,26.5547911243
 01/03  11:00:00,58.629073364700005,17.3265205264
 01/03  12:00:00,59.2031594109,1.4871134141100002
 01/03  13:00:00,59.7291365764,0.0
 01/03  14:00:00,60.1995289509,0.0
 01/03  15:00:00,60.5171551613,0.0
 01/03  16:00:00,60.6304604474,0.0
 01/03  17:00:00,60.448194306000005,0.0
 01/03  18:00:00,63.9000323613,0.0
 01/03  19:00:00,54.745181010100005,0.0
 01/03  20:00:00,54.418198466499994,0.0899715921985
 01/03  21:00:00,49.218134184200004,5.359375457790001
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.569683660399999,0.0
 01/04  01:00:00,12.569683660399999,0.0
 01/04  02:00:00,12.569683660399999,0.0
 01/04  03:00:00,12.569683660399999,0.0
 01/04  04:00:00,12.569683660399999,0.0
 01/04  05:00:00,12.569683660399999,0.0
 01/04  06:00:00,12.569683660399999,0.0
 01/04  07:00:00,26.7079099736,110.051466382
 01/04  08:00:00,31.978148313400002,86.9853561943
 01/04  09:00:00,41.232642686999995,67.4370475847
 01/04  10:00:00,58.6141398048,38.6848333544
 01/04  11:00:00,58.597541880600005,22.0867686413
 01/04  12:00:00,58.7606980554,6.27782743464
 01/04  13:00:00,59.190433851899996,4.264876610959999
 01/04  14:00:00,59.5618206,2.99786666311
 01/04  15:00:00,59.8282143133,1.62743199633
 01/04  16:00:00,60.156693888999996,0.351834982067
 01/04  17:00:00,60.046765225200005,0.0
 01/04  18:00:00,62.2315770086,0.0
 01/04  19:00:00,54.5407777814,0.866123663388
 01/04  20:00:00,54.309020698299996,2.77386801806
 01/04  21:00:00,49.1890199908,11.1262734996
 01/04  22:00:00,20.693606815,0.0
 01/04  23:00:00,12.569683660399999,0.0
 01/04  24:00:00,12.569683660399999,0.0
 01/05  01:00:00,12.569683660399999,0.0
 01/05  02:00:00,12.569683660399999,0.0
 01/05  03:00:00,12.569683660399999,0.0
 01/05  04:00:00,12.569683660399999,0.0
 01/05  05:00:00,12.569683660399999,0.0
 01/05  06:00:00,12.569683660399999,0.0
 01/05  07:00:00,26.6460088587,101.338585362
 01/05  08:00:00,31.9023281167,76.2873266397
 01/05  09:00:00,41.1785947711,58.146679605
 01/05  10:00:00,58.604193311,30.4806145827
 01/05  11:00:00,58.597541880600005,15.6997084747
 01/05  12:00:00,58.8817247172,5.97688573029
 01/05  13:00:00,59.454038000699995,4.077329343380001
 01/05  14:00:00,59.8210019518,2.30975681498
 01/05  15:00:00,60.181810947200006,0.616410783419
 01/05  16:00:00,60.5642984632,0.0
 01/05  17:00:00,60.4071649031,0.0
 01/05  18:00:00,62.5185440115,0.0
 01/05  19:00:00,54.677043067700005,0.309614121212
 01/05  20:00:00,54.4730844729,0.873150126416
 01/05  21:00:00,49.3923112517,1.0716140543100001
 01/05  22:00:00,20.693606815,0.0
 01/05  23:00:00,12.569683660399999,0.0
 01/05  24:00:00,12.569683660399999,0.0
 01/06  01:00:00,12.569683660399999,0.0
 01/06  02:00:00,12.569683660399999,0.0
 01/06  03:00:00,12.569683660399999,0.0
 01/06  04:00:00,12.569683660399999,0.0
 01/06  05:00:00,12.569683660399999,0.0
 01/06  06:00:00,12.569683660399999,0.0
 01/06  07:00:00,26.41689198,71.1172449533
 01/06  08:00:00,31.7300216742,51.606249013
