Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.569683660399999,0.0
 01/02  02:00:00,12.569683660399999,0.0
 01/02  03:00:00,12.569683660399999,0.0
 01/02  04:00:00,12.569683660399999,0.0
 01/02  05:00:00,12.569683660399999,0.0
 01/02  06:00:00,12.569683660399999,0.0
 01/02  07:00:00,23.6431389373,134.413187204
 01/02  08:00:00,28.679429729899997,98.52714758280001
 01/02  09:00:00,38.0585283183,82.2184747659
 01/02  10:00:00,55.5746938945,59.630034461099996
 01/02  11:00:00,55.501600607,51.066644951
 01/02  12:00:00,55.4251642359,39.315436541
 01/02  13:00:00,55.401116281899995,36.9303612206
 01/02  14:00:00,55.3901590048,36.0692467453
 01/02  15:00:00,55.403767781599996,38.0693438698
 01/02  16:00:00,55.411439523999995,37.191690661500004
 01/02  17:00:00,56.8213153492,40.6017040033
 01/02  18:00:00,63.75565799100001,46.409275583500005
 01/02  19:00:00,51.113544389,48.6650866511
 01/02  20:00:00,51.149850799700005,53.9843708513
 01/02  21:00:00,46.16043017729999,58.845849077
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.569683660399999,0.0
 01/02  24:00:00,12.569683660399999,0.0
 01/03  01:00:00,12.569683660399999,0.0
 01/03  02:00:00,12.569683660399999,0.0
 01/03  03:00:00,12.569683660399999,0.0
 01/03  04:00:00,12.569683660399999,0.0
 01/03  05:00:00,12.569683660399999,0.0
 01/03  06:00:00,12.569683660399999,0.0
 01/03  07:00:00,23.4675095736,112.260398799
 01/03  08:00:00,28.575930433499998,84.9164527901
 01/03  09:00:00,38.035970989,76.2492831994
 01/03  10:00:00,55.592399379,58.971221050100006
 01/03  11:00:00,55.467987833900004,51.3034001927
 01/03  12:00:00,55.3679762793,39.8275854518
 01/03  13:00:00,55.3349261694,35.8288784514
 01/03  14:00:00,55.3428743354,33.8505747684
 01/03  15:00:00,55.3247243928,32.1113201504
 01/03  16:00:00,55.317025684499995,28.4259797864
 01/03  17:00:00,56.70231421729999,25.903695576799997
 01/03  18:00:00,63.6164825326,27.4877690884
 01/03  19:00:00,50.9963548735,33.5049365042
 01/03  20:00:00,51.071558876000005,44.9339529618
 01/03  21:00:00,46.102285288699996,52.5776034184
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.569683660399999,0.0
 01/04  01:00:00,12.569683660399999,0.0
 01/04  02:00:00,12.569683660399999,0.0
 01/04  03:00:00,12.569683660399999,0.0
 01/04  04:00:00,12.569683660399999,0.0
 01/04  05:00:00,12.569683660399999,0.0
 01/04  06:00:00,12.569683660399999,0.0
 01/04  07:00:00,23.5950349841,133.139695657
 01/04  08:00:00,28.6513957433,99.05089490489999
 01/04  09:00:00,37.9579967707,77.32766318819999
 01/04  10:00:00,55.4185200087,50.791859563
 01/04  11:00:00,55.2727665489,39.4708840969
 01/04  12:00:00,55.1272593072,25.874497654499997
 01/04  13:00:00,55.124260867,24.826760782399997
 01/04  14:00:00,55.047642761700004,24.436020715500003
 01/04  15:00:00,55.0560403892,24.494578651100003
 01/04  16:00:00,55.165599010600005,22.3717073585
 01/04  17:00:00,56.596243690600005,23.453095375
 01/04  18:00:00,63.5804515679,31.688459977399997
 01/04  19:00:00,51.005775904,44.5026156179
 01/04  20:00:00,51.1015543416,58.9811109378
 01/04  21:00:00,46.140670880500004,66.6986583206
 01/04  22:00:00,20.693606815,0.0
 01/04  23:00:00,12.569683660399999,0.0
 01/04  24:00:00,12.569683660399999,0.0
 01/05  01:00:00,12.569683660399999,0.0
 01/05  02:00:00,12.569683660399999,0.0
 01/05  03:00:00,12.569683660399999,0.0
 01/05  04:00:00,12.569683660399999,0.0
 01/05  05:00:00,12.569683660399999,0.0
 01/05  06:00:00,12.569683660399999,0.0
 01/05  07:00:00,23.7516713319,158.495046881
 01/05  08:00:00,28.769445692399998,119.12643747700001
 01/05  09:00:00,38.0684659933,98.2735299741
 01/05  10:00:00,55.3307416742,66.2456850632
 01/05  11:00:00,55.21154559560001,52.1652085263
 01/05  12:00:00,55.186657446999995,38.5230477507
 01/05  13:00:00,55.0477178737,28.0136518733
 01/05  14:00:00,55.0288846962,21.4019246112
 01/05  15:00:00,55.0288846962,19.0683494797
 01/05  16:00:00,55.0288846962,16.1798566748
 01/05  17:00:00,56.4112543391,22.1084499429
 01/05  18:00:00,63.499391117799995,36.7808164489
 01/05  19:00:00,50.9501739158,45.1161670277
 01/05  20:00:00,51.0162599877,52.823959117
 01/05  21:00:00,46.059456949399994,61.72289014850001
 01/05  22:00:00,20.693606815,0.0
 01/05  23:00:00,12.569683660399999,0.0
 01/05  24:00:00,12.569683660399999,0.0
 01/06  01:00:00,12.569683660399999,0.0
 01/06  02:00:00,12.569683660399999,0.0
 01/06  03:00:00,12.569683660399999,0.0
 01/06  04:00:00,12.569683660399999,0.0
 01/06  05:00:00,12.569683660399999,0.0
