Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,37.1511948375,27.6571029348
 01/01  02:00:00,37.0402759507,32.8800585137
 01/01  03:00:00,32.3152832022,27.1323087462
 01/01  04:00:00,32.3985710637,35.1280081164
 01/01  05:00:00,34.146416576,32.326438711
 01/01  06:00:00,38.450028349899995,37.7645730144
 01/01  07:00:00,58.717664954899995,37.9354652129
 01/01  08:00:00,68.55113862350001,42.076327216799996
 01/01  09:00:00,94.1582320781,50.9953461164
 01/01  10:00:00,78.0275814702,60.6843577643
 01/01  11:00:00,52.7890834514,54.081274360900004
 01/01  12:00:00,50.844552089,43.6465388137
 01/01  13:00:00,51.588463291800004,40.581744029
 01/01  14:00:00,52.025914163,42.36789331
 01/01  15:00:00,51.9836998887,36.4453228341
 01/01  16:00:00,51.385252149399996,38.1807479279
 01/01  17:00:00,57.069403068599996,28.568347118600002
 01/01  18:00:00,71.5814681351,14.8754438365
 01/01  19:00:00,86.39678172139999,21.692115183600002
 01/01  20:00:00,87.25485432159999,24.502485458699997
 01/01  21:00:00,93.5056350218,27.560158919299997
 01/01  22:00:00,90.9580407972,35.3600703298
 01/01  23:00:00,67.6106940601,35.0208190969
 01/01  24:00:00,43.6963429267,30.3524562004
 01/02  01:00:00,35.7614696721,27.6931729831
 01/02  02:00:00,34.0244190802,34.96197627
 01/02  03:00:00,32.2132223623,28.527800478299998
 01/02  04:00:00,32.3061262261,33.2392772158
 01/02  05:00:00,34.0241670953,33.884649121500004
 01/02  06:00:00,41.789286617600006,35.1695708702
 01/02  07:00:00,72.6427198499,40.714283535599996
 01/02  08:00:00,85.0622673849,37.1108972069
 01/02  09:00:00,72.14503926,44.9528245746
 01/02  10:00:00,67.4461309264,52.7235243601
 01/02  11:00:00,48.9786767942,44.2507038338
 01/02  12:00:00,49.3535003532,40.716018688000005
 01/02  13:00:00,49.883010945200006,45.415255811099996
 01/02  14:00:00,50.1710592346,36.048752546799996
 01/02  15:00:00,50.5112630783,35.5101935259
 01/02  16:00:00,49.8287364144,37.265076595500005
 01/02  17:00:00,55.8986218881,26.7081344558
 01/02  18:00:00,74.7432234959,10.7030984301
 01/02  19:00:00,81.9874694976,20.5622912668
 01/02  20:00:00,85.0880140436,15.7645891239
 01/02  21:00:00,94.7486532442,17.3181696121
 01/02  22:00:00,89.51454554370001,24.7364815325
 01/02  23:00:00,63.3093876791,25.7797088883
 01/02  24:00:00,41.9857333181,20.6137954562
 01/03  01:00:00,36.3304555167,16.3498296328
 01/03  02:00:00,34.439759851,22.9626039963
 01/03  03:00:00,32.350913600300004,17.4533083633
 01/03  04:00:00,32.1936081009,23.3979067595
 01/03  05:00:00,33.6711932644,24.2231194417
 01/03  06:00:00,41.3431852965,23.7736064168
 01/03  07:00:00,73.0954852145,26.9668642717
 01/03  08:00:00,86.03955781479999,25.300064227800004
 01/03  09:00:00,72.5043727618,39.4177765393
 01/03  10:00:00,67.1748458981,52.212405706999995
 01/03  11:00:00,48.450565233999995,47.1958923396
 01/03  12:00:00,48.3405023392,46.2821387145
 01/03  13:00:00,48.5904206287,50.04357773979999
 01/03  14:00:00,48.739118014300004,42.6783605193
 01/03  15:00:00,48.6634849692,42.8136783845
