Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.569683660399999,0.0
 01/02  02:00:00,12.569683660399999,0.0
 01/02  03:00:00,12.569683660399999,0.0
 01/02  04:00:00,12.569683660399999,0.0
 01/02  05:00:00,12.569683660399999,0.0
 01/02  06:00:00,12.569683660399999,0.0
 01/02  07:00:00,19.2243199717,86.6057561597
 01/02  08:00:00,18.912457578199998,65.2213694055
 01/02  09:00:00,33.8136837147,48.553995717
 01/02  10:00:00,51.2417862439,25.0738407159
 01/02  11:00:00,51.2000514524,16.6845880093
 01/02  12:00:00,51.0868522528,7.701290746930001
 01/02  13:00:00,51.1293098217,2.92156106848
 01/02  14:00:00,51.111329647299996,1.5189408258500001
 01/02  15:00:00,51.0788757123,1.33073346346
 01/02  16:00:00,51.0741428663,1.244145892
 01/02  17:00:00,52.452611142600006,2.68807579325
 01/02  18:00:00,59.406231741000006,6.6093339233899995
 01/02  19:00:00,46.80057282439999,11.1494751903
 01/02  20:00:00,46.8534478568,17.7372005576
 01/02  21:00:00,41.88570095,21.0149694458
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.569683660399999,0.0
 01/02  24:00:00,12.569683660399999,0.0
 01/03  01:00:00,12.569683660399999,0.0
 01/03  02:00:00,12.569683660399999,0.0
 01/03  03:00:00,12.569683660399999,0.0
 01/03  04:00:00,12.569683660399999,0.0
 01/03  05:00:00,12.569683660399999,0.0
 01/03  06:00:00,12.569683660399999,0.0
 01/03  07:00:00,19.1995059476,82.3542700865
 01/03  08:00:00,18.733627706,61.6054463721
 01/03  09:00:00,33.4613553393,41.1493990874
 01/03  10:00:00,51.0741428663,18.5353944355
 01/03  11:00:00,51.0741428663,13.2791499956
 01/03  12:00:00,51.1065328603,4.008353242219999
 01/03  13:00:00,51.736884399,0.8216821351029999
 01/03  14:00:00,52.1752508929,0.0880252112635
 01/03  15:00:00,52.028269664300005,0.0
 01/03  16:00:00,51.493977047,0.0
 01/03  17:00:00,52.5583953133,0.0
 01/03  18:00:00,59.3401428663,0.0
 01/03  19:00:00,46.682642427299996,3.49366002446
 01/03  20:00:00,46.708601109600004,15.286964459000002
 01/03  21:00:00,41.7898719219,21.657830645700002
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.569683660399999,0.0
 01/04  01:00:00,12.569683660399999,0.0
 01/04  02:00:00,12.569683660399999,0.0
 01/04  03:00:00,12.569683660399999,0.0
 01/04  04:00:00,12.569683660399999,0.0
 01/04  05:00:00,12.569683660399999,0.0
 01/04  06:00:00,12.569683660399999,0.0
 01/04  07:00:00,19.5419983779,128.180443823
 01/04  08:00:00,18.9493741966,97.5444710538
 01/04  09:00:00,33.5106560739,69.1030446637
 01/04  10:00:00,51.0741428663,33.861318939600004
 01/04  11:00:00,51.292569907700006,18.0906412308
 01/04  12:00:00,51.889780690600006,5.43772750267
 01/04  13:00:00,52.412645051700004,1.73647660381
 01/04  14:00:00,52.6890678188,0.844823271576
 01/04  15:00:00,52.565801299499995,0.0520570645326
 01/04  16:00:00,52.3493625867,0.0
 01/04  17:00:00,52.928437355,0.0
 01/04  18:00:00,59.3524087933,0.615580092547
 01/04  19:00:00,46.682642427299996,8.25704674592
 01/04  20:00:00,46.682642427299996,17.463822579000002
 01/04  21:00:00,41.7301118673,30.7517374814
 01/04  22:00:00,20.693606815,0.0
 01/04  23:00:00,12.569683660399999,0.0
 01/04  24:00:00,12.569683660399999,0.0
 01/05  01:00:00,12.569683660399999,0.0
 01/05  02:00:00,12.569683660399999,0.0
 01/05  03:00:00,12.569683660399999,0.0
 01/05  04:00:00,12.569683660399999,0.0
 01/05  05:00:00,12.569683660399999,0.0
 01/05  06:00:00,12.569683660399999,0.0
 01/05  07:00:00,19.4407548253,123.416311459
 01/05  08:00:00,18.9571039129,94.75919641959999
 01/05  09:00:00,33.622631243600004,68.5894064234
 01/05  10:00:00,51.0741428663,30.1793880088
 01/05  11:00:00,51.4525021695,11.2803371784
 01/05  12:00:00,52.387242718900005,1.7992715595900002
 01/05  13:00:00,53.14859386,0.11322643031099999
 01/05  14:00:00,53.2890417705,0.0
 01/05  15:00:00,52.7714214308,0.0
 01/05  16:00:00,52.544848707,0.0
 01/05  17:00:00,53.1833842172,0.0
 01/05  18:00:00,59.4740948408,0.0
 01/05  19:00:00,46.682642427299996,1.53670780803
 01/05  20:00:00,46.682642427299996,13.478126561400002
 01/05  21:00:00,41.6686638067,22.7228348442
 01/05  22:00:00,20.693606815,0.0
 01/05  23:00:00,12.569683660399999,0.0
 01/05  24:00:00,12.569683660399999,0.0
 01/06  01:00:00,12.569683660399999,0.0
 01/06  02:00:00,12.569683660399999,0.0
 01/06  03:00:00,12.569683660399999,0.0
 01/06  04:00:00,12.569683660399999,0.0
 01/06  05:00:00,12.569683660399999,0.0
 01/06  06:00:00,12.569683660399999,0.0
 01/06  07:00:00,19.3309421798,112.858253608
