Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,33.5753521762,0.02
 01/01  02:00:00,33.5753521762,0.02
 01/01  03:00:00,33.5753521762,1.10292136427
 01/01  04:00:00,33.5753521762,0.02
 01/01  05:00:00,33.5753521762,0.02
 01/01  06:00:00,33.5753521762,1.10303065856
 01/01  07:00:00,31.108018842899998,0.02
 01/01  08:00:00,18.7713521762,1.10293142056
 01/01  09:00:00,18.7713521762,0.02
 01/01  10:00:00,18.7713521762,0.02
 01/01  11:00:00,18.7713521762,1.10293039519
 01/01  12:00:00,18.7713521762,0.02
 01/01  13:00:00,18.7713521762,1.1030020388600001
 01/01  14:00:00,25.520771441799997,0.02
 01/01  15:00:00,18.7713521762,1.10300333501
 01/01  16:00:00,18.7713521762,0.02
 01/01  17:00:00,23.7060188429,0.02
 01/01  18:00:00,33.5753521762,1.1029286056
 01/01  19:00:00,33.5753521762,0.02
 01/01  20:00:00,33.5753521762,1.10292543834
 01/01  21:00:00,33.5753521762,0.02
 01/01  22:00:00,33.5753521762,0.02
 01/01  23:00:00,33.5753521762,1.1029814538299998
 01/01  24:00:00,33.5753521762,0.02
 01/02  01:00:00,38.9361841996,1.10296620061
 01/02  02:00:00,38.9361841996,0.02
 01/02  03:00:00,38.9361841996,0.02
 01/02  04:00:00,38.9361841996,1.10296191044
 01/02  05:00:00,38.9361841996,0.02
 01/02  06:00:00,41.6166002114,1.1030572853799998
 01/02  07:00:00,83.0838979575,0.02
 01/02  08:00:00,80.889359567,1.1034762978200001
 01/02  09:00:00,136.127455489,2.18826843617
 01/02  10:00:00,132.620235516,1.10412714107
 01/02  11:00:00,134.239154226,2.18837065325
 01/02  12:00:00,138.804512644,2.1891439152000003
 01/02  13:00:00,137.526201034,2.18982833659
 01/02  14:00:00,140.666117739,3.27441219712
 01/02  15:00:00,136.77236135799998,1.10395762826
 01/02  16:00:00,134.21571646799998,2.1880215201400004
 01/02  17:00:00,139.243547469,2.1887530265799997
 01/02  18:00:00,134.72103820200002,1.10378377268
 01/02  19:00:00,96.30551823959999,1.10353991189
 01/02  20:00:00,94.66779483639999,1.1033429650700002
 01/02  21:00:00,80.4918994432,1.10341182413
 01/02  22:00:00,78.30994375979999,0.02
 01/02  23:00:00,41.6166002114,1.1029657086700002
 01/02  24:00:00,38.9361841996,0.02
 01/03  01:00:00,38.9361841996,0.02
 01/03  02:00:00,38.9361841996,1.10296542893
 01/03  03:00:00,38.9361841996,0.02
 01/03  04:00:00,38.9361841996,1.10296631601
 01/03  05:00:00,38.9361841996,0.02
 01/03  06:00:00,41.6166002114,1.1030683989899999
 01/03  07:00:00,66.6656529225,0.02
 01/03  08:00:00,67.23268545270001,1.10344661775
 01/03  09:00:00,126.61026470799999,1.10416563282
 01/03  10:00:00,117.625750052,2.18839124492
 01/03  11:00:00,116.64780095399999,2.18844162687
 01/03  12:00:00,119.234458873,2.1893138073
 01/03  13:00:00,119.11940115,2.18974027255
 01/03  14:00:00,121.53172093799999,2.1895252348599996
 01/03  15:00:00,118.18715844399999,2.1884390448400004
 01/03  16:00:00,118.70848704299999,1.1039166576200001
 01/03  17:00:00,126.662214013,2.18879340101
 01/03  18:00:00,124.816360593,2.18780329554
 01/03  19:00:00,88.2396291716,1.1036044864399999
 01/03  20:00:00,86.8998342284,0.02
 01/03  21:00:00,71.9544950101,1.10339750965
 01/03  22:00:00,71.2554997728,1.10310203942
 01/03  23:00:00,41.6166002114,0.02
 01/03  24:00:00,38.9361841996,1.1029659071200002
 01/04  01:00:00,38.9361841996,0.02
 01/04  02:00:00,38.9361841996,1.10296627451
 01/04  03:00:00,38.9361841996,0.02
 01/04  04:00:00,38.9361841996,0.02
 01/04  05:00:00,38.9361841996,1.1029634238
 01/04  06:00:00,41.6166002114,0.02
 01/04  07:00:00,69.1180356463,1.10308920138
 01/04  08:00:00,71.4969416138,1.10349921693
 01/04  09:00:00,131.67796802200002,1.1041912911
 01/04  10:00:00,128.146526324,2.18838902099
 01/04  11:00:00,129.496082294,2.1885247745900003
 01/04  12:00:00,135.135993371,2.18891581552
 01/04  13:00:00,137.444081284,2.18971982231
 01/04  14:00:00,139.370418177,2.1897361456
 01/04  15:00:00,133.077835641,2.1882652352000003
 01/04  16:00:00,129.328061488,1.10392777963
 01/04  17:00:00,132.275392755,2.18869723638
 01/04  18:00:00,127.510176375,1.10378518996
 01/04  19:00:00,84.82201568100001,1.1037035823
 01/04  20:00:00,81.627699869,1.10344518114
 01/04  21:00:00,69.5347700752,1.10338015028
 01/04  22:00:00,70.6408916724,1.10306541968
 01/04  23:00:00,41.6166002114,0.02
 01/04  24:00:00,38.9361841996,1.10296645829
 01/05  01:00:00,38.9361841996,0.02
 01/05  02:00:00,38.9361841996,0.02
 01/05  03:00:00,38.9361841996,1.1029653321200001
 01/05  04:00:00,38.9361841996,0.02
 01/05  05:00:00,38.9361841996,1.1029657184200001
 01/05  06:00:00,41.6166002114,0.02
 01/05  07:00:00,77.0014074165,1.10304145139
 01/05  08:00:00,73.6029513904,1.5699913673800001
 01/05  09:00:00,127.072627004,1.10411137072
 01/05  10:00:00,119.460366416,2.18836410329
 01/05  11:00:00,121.301542861,1.10414138354
 01/05  12:00:00,127.250221287,2.18897423264
 01/05  13:00:00,130.766865315,3.27445034261
 01/05  14:00:00,135.830322814,2.18967875221
 01/05  15:00:00,132.57284091,2.18804829255
 01/05  16:00:00,131.368098682,1.10395073808
 01/05  17:00:00,129.981305655,2.18887859181
 01/05  18:00:00,124.81568031200001,1.10373027344
 01/05  19:00:00,83.93010000560001,1.10353896623
 01/05  20:00:00,82.7479269626,1.10331636089
 01/05  21:00:00,71.6685754645,1.1034295689
 01/05  22:00:00,75.10647092479999,0.260351950666
 01/05  23:00:00,41.6166002114,1.10307519587
 01/05  24:00:00,38.9361841996,0.02
 01/06  01:00:00,38.9361841996,1.10296658794
 01/06  02:00:00,38.9361841996,0.02
 01/06  03:00:00,38.9361841996,1.1029628890799998
 01/06  04:00:00,38.9361841996,0.02
 01/06  05:00:00,38.9361841996,0.02
 01/06  06:00:00,41.6166002114,1.1030726984499999
 01/06  07:00:00,101.796261718,0.02
 01/06  08:00:00,95.2277634641,17.5359279633
 01/06  09:00:00,136.062685915,3.5928948440599995
 01/06  10:00:00,119.99999467399999,1.10421154583
 01/06  11:00:00,121.246528471,2.18850741881
 01/06  12:00:00,126.15176522799999,2.18929868822
 01/06  13:00:00,125.19245234,2.18950469333
 01/06  14:00:00,126.016977612,3.2746684213700004
 01/06  15:00:00,120.43577264,1.1040372774200002
 01/06  16:00:00,118.500063724,2.18799331523
 01/06  17:00:00,121.167862197,2.1889412208900003
 01/06  18:00:00,120.752386855,1.10371921957
 01/06  19:00:00,86.3233686937,1.10350476012
 01/06  20:00:00,85.7389526754,1.1033339549099999
 01/06  21:00:00,75.1341655655,1.10339536346
 01/06  22:00:00,76.5263849664,0.02
 01/06  23:00:00,41.6166002114,1.10296641971
 01/06  24:00:00,38.9361841996,0.02
 01/07  01:00:00,33.5753521762,1.1029667724299999
 01/07  02:00:00,33.5753521762,0.02
 01/07  03:00:00,33.5753521762,0.02
 01/07  04:00:00,33.5753521762,1.10296553703
 01/07  05:00:00,33.5753521762,0.02
 01/07  06:00:00,33.5753521762,1.1030765118299999
 01/07  07:00:00,83.2431548421,0.02
 01/07  08:00:00,65.4763837423,2.21537169973
 01/07  09:00:00,74.61190396229999,1.26819850208
 01/07  10:00:00,72.55424515189999,1.10359016565
 01/07  11:00:00,74.5307342957,1.10348992324
 01/07  12:00:00,81.41463883819999,1.10368921876
 01/07  13:00:00,83.7075964784,1.10347122329
 01/07  14:00:00,80.23868798720001,1.10351075935
 01/07  15:00:00,50.2037653541,0.02
 01/07  16:00:00,45.5990267262,1.10329543011
 01/07  17:00:00,46.8163783372,1.10328571841
 01/07  18:00:00,55.9638051884,0.02
 01/07  19:00:00,33.5753521762,1.10310395918
 01/07  20:00:00,33.5753521762,0.02
 01/07  21:00:00,33.5753521762,1.10303397393
 01/07  22:00:00,33.5753521762,0.02
 01/07  23:00:00,33.5753521762,1.10303920473
 01/07  24:00:00,33.5753521762,0.02
 01/08  01:00:00,33.5753521762,1.10293095736
 01/08  02:00:00,33.5753521762,0.02
 01/08  03:00:00,33.5753521762,0.02
 01/08  04:00:00,33.5753521762,1.10292799239
 01/08  05:00:00,33.5753521762,0.02
 01/08  06:00:00,33.5753521762,1.1030424793200002
 01/08  07:00:00,31.108018842899998,0.02
 01/08  08:00:00,18.7713521762,0.02
 01/08  09:00:00,18.7713521762,1.1029669608
 01/08  10:00:00,18.7713521762,0.02
 01/08  11:00:00,18.7713521762,1.10296519169
 01/08  12:00:00,19.5379732763,0.02
 01/08  13:00:00,24.102220565,1.10306864528
 01/08  14:00:00,23.714519729499997,0.02
 01/08  15:00:00,20.4821796795,1.10300515243
 01/08  16:00:00,18.7713521762,0.02
 01/08  17:00:00,21.2386855095,0.02
 01/08  18:00:00,33.5753521762,1.10293092665
 01/08  19:00:00,33.5753521762,0.02
 01/08  20:00:00,33.5753521762,0.02
 01/08  21:00:00,33.5753521762,1.1029275414
 01/08  22:00:00,33.5753521762,0.02
 01/08  23:00:00,33.5753521762,1.10292797316
 01/08  24:00:00,33.5753521762,0.02
 01/09  01:00:00,38.9361841996,1.10296688695
 01/09  02:00:00,38.9361841996,0.02
 01/09  03:00:00,38.9361841996,0.02
 01/09  04:00:00,38.9361841996,1.1029665062799998
 01/09  05:00:00,38.9361841996,0.02
 01/09  06:00:00,41.6166002114,1.10307904402
 01/09  07:00:00,137.60141621100001,0.02
 01/09  08:00:00,116.45576816799999,12.199030755799999
 01/09  09:00:00,147.577597508,2.47044378351
