Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.5685781397,17.8603057984
 01/01  02:00:00,9.58396523166,3.0211
 01/01  03:00:00,9.61531159093,3.5931787491900002
 01/01  04:00:00,9.62195555041,3.0211
 01/01  05:00:00,9.76434876514,3.5931846608800004
 01/01  06:00:00,13.655569205599999,35.2072416927
 01/01  07:00:00,27.4943906983,38.5185908532
 01/01  08:00:00,25.570444026999997,40.3009628469
 01/01  09:00:00,20.6047395852,28.210438840300004
 01/01  10:00:00,20.676563496900002,19.477751578499998
 01/01  11:00:00,25.771988368200002,36.4753820937
 01/01  12:00:00,27.8143715927,44.5518536606
 01/01  13:00:00,28.2675636152,38.9006053143
 01/01  14:00:00,28.6508079211,34.398639269600004
 01/01  15:00:00,22.1618968718,23.3203992344
 01/01  16:00:00,21.2360698844,21.819655793400003
 01/01  17:00:00,21.4041381949,24.82091891
 01/01  18:00:00,28.2306522909,28.418993379899998
 01/01  19:00:00,28.182478761,29.546164207199997
 01/01  20:00:00,28.323055198400002,28.971705983499998
 01/01  21:00:00,23.3395397586,25.3956161881
 01/01  22:00:00,23.2905821061,24.4699584464
 01/01  23:00:00,23.1692900179,21.466958875499998
 01/01  24:00:00,24.3057999042,4.16642483789
 01/02  01:00:00,13.8743454318,7.10636962009
 01/02  02:00:00,9.70865211601,3.5931669776999997
 01/02  03:00:00,9.74686023962,3.0211
 01/02  04:00:00,9.75160608977,3.5931728891800003
 01/02  05:00:00,9.925169541919999,3.0211
 01/02  06:00:00,13.814679681800001,7.654780301939999
 01/02  07:00:00,27.6569262944,15.5131610585
 01/02  08:00:00,25.7237865309,25.046479998899997
 01/02  09:00:00,20.7981744607,19.0436613199
 01/02  10:00:00,21.2263152145,18.4674099416
 01/02  11:00:00,27.3676770559,35.8996144662
 01/02  12:00:00,29.889687952,43.9758815916
 01/02  13:00:00,29.1948613864,38.900720550500004
 01/02  14:00:00,29.1490229607,34.3979306587
 01/02  15:00:00,23.1637070879,23.3194876055
 01/02  16:00:00,22.286484771199998,21.818690244899997
 01/02  17:00:00,22.232558649,24.820607997199996
 01/02  18:00:00,28.927973506,28.3966952996
 01/02  19:00:00,28.5986886149,29.5468463029
 01/02  20:00:00,28.6808575508,29.548062398800003
 01/02  21:00:00,23.454943107800002,26.5444842406
 01/02  22:00:00,23.3491794358,24.470979355500003
 01/02  23:00:00,23.198405160700002,21.493662230199998
 01/02  24:00:00,24.2892627504,6.299174353040001
 01/03  01:00:00,13.8441399945,9.90901299755
 01/03  02:00:00,9.68940772142,3.5931891827800007
 01/03  03:00:00,9.73170083511,3.0211
 01/03  04:00:00,9.73379835785,3.5931877208099996
 01/03  05:00:00,10.420085491,3.0211
 01/03  06:00:00,14.3206054746,13.0942469576
 01/03  07:00:00,27.865664142800004,19.3863780561
 01/03  08:00:00,25.701519404499997,26.5090342177
 01/03  09:00:00,20.709572678599997,20.3865893971
 01/03  10:00:00,20.7228104911,19.5338085804
 01/03  11:00:00,25.734507901300002,35.8996039746
 01/03  12:00:00,26.849129146,43.9765849287
 01/03  13:00:00,25.999373392600003,38.900171223600005
 01/03  14:00:00,25.7878385406,34.3978645337
 01/03  15:00:00,20.7911950145,23.3457317171
 01/03  16:00:00,20.7765575257,21.8194763551
 01/03  17:00:00,21.3324800798,24.820848447
 01/03  18:00:00,28.2316060621,28.3969194749
 01/03  19:00:00,28.2312640856,29.546737347199997
 01/03  20:00:00,28.2245462634,30.1211138948
 01/03  21:00:00,23.1941212028,26.0754518636
 01/03  22:00:00,23.129367581500002,26.3888268802
 01/03  23:00:00,23.1197347958,24.362923457199997
 01/03  24:00:00,24.2628834285,8.87981599137
 01/04  01:00:00,13.832408723299999,11.6862188581
 01/04  02:00:00,9.684766114319999,3.0211
 01/04  03:00:00,9.69972239989,3.5931753708
 01/04  04:00:00,9.70070185536,3.0211
 01/04  05:00:00,9.85635539764,3.59318126895
 01/04  06:00:00,13.7635457222,16.5913020853
 01/04  07:00:00,27.588824722600002,22.405824677
 01/04  08:00:00,25.665744683299998,29.7910060083
 01/04  09:00:00,20.7451336074,19.8312558521
 01/04  10:00:00,20.834232987300002,17.8940585309
 01/04  11:00:00,25.9336220147,36.4732202263
 01/04  12:00:00,27.9910081872,43.40318080189999
 01/04  13:00:00,28.125011874699997,39.4739862439
 01/04  14:00:00,27.6209435623,33.824286450500004
 01/04  15:00:00,21.6900881204,23.3200640904
 01/04  16:00:00,20.9719062135,21.8197975406
 01/04  17:00:00,21.3983579993,24.820856116599998
 01/04  18:00:00,28.2691710589,28.3969060277
 01/04  19:00:00,28.2211336329,29.547513942
 01/04  20:00:00,28.3099563597,30.4862526578
 01/04  21:00:00,23.2742755009,28.249447002199997
 01/04  22:00:00,23.1950366379,28.1393109035
 01/04  23:00:00,23.080808861799998,25.7781291446
 01/04  24:00:00,24.2138946492,10.756234595699999
 01/05  01:00:00,13.759134946,16.8161893547
 01/05  02:00:00,9.608729871849999,3.59318184445
 01/05  03:00:00,9.639043239580001,3.0211
 01/05  04:00:00,9.64858815199,3.0211
 01/05  05:00:00,9.79194651637,3.59318773232
 01/05  06:00:00,13.6794385122,26.0929034471
 01/05  07:00:00,27.5080146455,31.343106956
 01/05  08:00:00,25.5753097124,34.6222304927
 01/05  09:00:00,20.6031691299,23.6731039476
 01/05  10:00:00,20.6779057565,19.0027709058
 01/05  11:00:00,25.736000058800002,35.8997050171
 01/05  12:00:00,26.923894413699998,43.9769523608
 01/05  13:00:00,26.845395820900002,38.9003953721
 01/05  14:00:00,27.0016036325,34.397886771799996
 01/05  15:00:00,21.654187902399997,23.3194625801
 01/05  16:00:00,21.349449356199997,21.819566371
 01/05  17:00:00,21.3951054072,24.820871536
 01/05  18:00:00,28.2136431588,28.3970219658
 01/05  19:00:00,28.162420946199997,29.5475157281
 01/05  20:00:00,28.2641440085,30.1537494952
 01/05  21:00:00,23.2109378636,30.7587813911
 01/05  22:00:00,23.1060249788,35.6053206344
 01/05  23:00:00,22.988584096700002,35.4630901581
 01/05  24:00:00,24.1412440827,26.2977308081
 01/06  01:00:00,13.6712328104,36.8099015246
 01/06  02:00:00,9.52094486805,3.0211
 01/06  03:00:00,9.55067000545,3.0211
 01/06  04:00:00,9.558988344189999,3.5931628797900004
 01/06  05:00:00,10.2291714136,3.0211
 01/06  06:00:00,14.1324037852,42.487326799099996
 01/06  07:00:00,27.692748030100002,43.5533909585
 01/06  08:00:00,25.5423022522,45.3750422624
 01/06  09:00:00,20.592260063,28.5812672598
 01/06  10:00:00,20.665864386,20.3781309387
 01/06  11:00:00,25.7341327308,35.8997197305
 01/06  12:00:00,26.904249333800003,43.9768786453
 01/06  13:00:00,26.1666386744,38.8998221879
 01/06  14:00:00,25.8197023307,34.3977118163
 01/06  15:00:00,20.810926341400002,23.320265892600002
 01/06  16:00:00,20.7694002138,21.846207710599998
 01/06  17:00:00,21.2820430128,24.849839046
 01/06  18:00:00,28.1470211971,28.547970231300003
 01/06  19:00:00,28.1391563571,30.023807551999997
 01/06  20:00:00,28.1192263263,32.4842718636
 01/06  21:00:00,23.0963232546,30.4957172963
 01/06  22:00:00,23.0554073822,30.1120294889
 01/06  23:00:00,23.042933963899998,28.5099211856
 01/06  24:00:00,24.186895369299997,14.2518672609
 01/07  01:00:00,13.7503097306,20.5382020255
 01/07  02:00:00,9.60787727511,3.0211
 01/07  03:00:00,9.646355204610002,3.5931610257499997
 01/07  04:00:00,9.65146290973,3.0211
 01/07  05:00:00,9.80118032513,3.5931669467100003
 01/07  06:00:00,13.7070959961,22.3883549126
 01/07  07:00:00,27.537735905100003,28.263608652600002
 01/07  08:00:00,25.588777319699997,35.063030925300005
 01/07  09:00:00,20.596016763399998,27.3603182433
 01/07  10:00:00,20.6582055123,21.5113420507
 01/07  11:00:00,25.7377253587,36.47426995
 01/07  12:00:00,26.912309798200003,43.977948694700004
 01/07  13:00:00,26.8574139378,40.0497131738
 01/07  14:00:00,26.8106195648,34.972915884
 01/07  15:00:00,21.256434163399998,23.8950116324
 01/07  16:00:00,20.8312622129,22.3946820327
 01/07  17:00:00,21.3342531568,25.394954549899996
 01/07  18:00:00,28.1876453814,28.6757895274
 01/07  19:00:00,28.1379747701,31.957443286300002
 01/07  20:00:00,28.245745622399998,35.4767948744
 01/07  21:00:00,23.2191582807,34.091374039099996
 01/07  22:00:00,23.127926232300002,36.8450352093
 01/07  23:00:00,23.005397914299998,37.249196419099995
 01/07  24:00:00,24.1607090389,27.6639165689
 01/08  01:00:00,13.6913034922,36.1680264829
 01/08  02:00:00,9.538785763789999,3.0211
 01/08  03:00:00,9.57081502314,3.0211
 01/08  04:00:00,9.58166217842,3.59315453379
 01/08  05:00:00,9.7219552694,3.0211
 01/08  06:00:00,13.627628261400002,43.630983038100005
 01/08  07:00:00,27.4652773251,47.1660025617
 01/08  08:00:00,25.545795462399997,46.31150032
 01/08  09:00:00,20.584639621300003,32.410846719
 01/08  10:00:00,20.6544031276,20.9410270129
 01/08  11:00:00,25.7610187438,36.4754835642
 01/08  12:00:00,26.9223651037,43.9780216088
 01/08  13:00:00,26.096628697899998,39.4738371018
 01/08  14:00:00,25.949601776199998,34.398543971100004
 01/08  15:00:00,20.8580870035,23.3202660283
 01/08  16:00:00,20.8246555021,21.8196167036
 01/08  17:00:00,21.3300608271,24.8209579407
 01/08  18:00:00,28.1817971564,28.8889015339
 01/08  19:00:00,28.1245861612,32.7558937928
 01/08  20:00:00,28.2273858606,39.646000012399995
 01/08  21:00:00,23.2033885582,37.0632418157
 01/08  22:00:00,23.125486288,37.3711761174
 01/08  23:00:00,23.0080925184,37.4318974738
 01/08  24:00:00,24.1642440484,27.595365045599998
 01/09  01:00:00,13.6890609989,35.9425743295
 01/09  02:00:00,9.54360746891,3.5931642799400003
 01/09  03:00:00,9.56769358787,3.0211
 01/09  04:00:00,9.58363054749,3.0211
 01/09  05:00:00,9.73862135953,3.5931701957199995
 01/09  06:00:00,13.6578627622,36.6927606395
 01/09  07:00:00,27.5005149581,40.0963451975
