Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,71.2529515494,88.793442406
 01/02  02:00:00,67.2818049728,77.3566279503
 01/02  03:00:00,75.6696530396,97.2272236278
 01/02  04:00:00,67.8655719582,78.8760319983
 01/02  05:00:00,101.616125523,110.343969635
 01/02  06:00:00,120.09148996399999,178.746842563
 01/02  07:00:00,170.54489137299998,144.86899007600002
 01/02  08:00:00,188.161183112,124.13169829200001
 01/02  09:00:00,198.82906045299998,115.413414426
 01/02  10:00:00,213.103999645,117.08402463
 01/02  11:00:00,214.76152506,103.57729770600001
 01/02  12:00:00,217.39016658,100.077085715
 01/02  13:00:00,207.703948053,105.99255608200001
 01/02  14:00:00,216.378872212,95.70873498600001
 01/02  15:00:00,216.07985851,103.093909458
 01/02  16:00:00,214.592065233,94.41719254680001
 01/02  17:00:00,216.368368288,96.57678162549999
 01/02  18:00:00,224.019756686,99.2860969137
 01/02  19:00:00,135.95924777,82.0539634834
 01/02  20:00:00,134.579881226,79.7603610082
 01/02  21:00:00,110.968328183,94.0286126311
 01/02  22:00:00,84.9739049697,69.2452074113
 01/02  23:00:00,71.73381496430001,90.8423883193
 01/02  24:00:00,66.1716113137,75.454740168
 01/03  01:00:00,73.2236020555,95.8721004133
 01/03  02:00:00,67.3879572178,77.9077842199
 01/03  03:00:00,76.5686374382,97.9422618525
 01/03  04:00:00,69.1725062109,79.7631932147
 01/03  05:00:00,99.967345632,111.701148065
 01/03  06:00:00,126.44728182200001,180.454850428
 01/03  07:00:00,177.448214828,146.002302912
 01/03  08:00:00,191.673501699,125.29092187399999
 01/03  09:00:00,199.132482916,125.25923589799999
 01/03  10:00:00,213.590530712,109.54873616299999
 01/03  11:00:00,220.460873685,104.16073226700001
 01/03  12:00:00,231.61526703,108.405417695
 01/03  13:00:00,212.610584667,97.48099951549999
 01/03  14:00:00,222.443669041,104.10089380299999
 01/03  15:00:00,221.56845773400002,93.9236021942
 01/03  16:00:00,220.65192792099998,93.60051115719999
 01/03  17:00:00,224.43207253900002,103.965066958
 01/03  18:00:00,235.28797932400002,97.6480026908
 01/03  19:00:00,144.706219682,72.0186234896
 01/03  20:00:00,142.033369196,78.3833819405
 01/03  21:00:00,116.952861766,92.6993548604
 01/03  22:00:00,84.87882904109999,55.1650203327
 01/03  23:00:00,89.62780315059999,89.84233225930001
 01/03  24:00:00,84.4558254372,73.123347639
 01/04  01:00:00,91.7127709741,93.10399423870001
 01/04  02:00:00,79.9227460711,84.6638066065
 01/04  03:00:00,94.5432993842,95.2842884035
 01/04  04:00:00,85.0160793753,77.2129377416
 01/04  05:00:00,122.629635721,108.035262948
 01/04  06:00:00,144.807559561,176.62781240799998
 01/04  07:00:00,195.77869907099998,142.423097203
 01/04  08:00:00,209.510564086,121.905483354
 01/04  09:00:00,216.212843425,113.612742529
 01/04  10:00:00,232.954835959,106.89547885799999
 01/04  11:00:00,242.95345497099999,110.1007179
 01/04  12:00:00,243.04601049099998,97.8398473042
 01/04  13:00:00,229.259556929,104.269989072
 01/04  14:00:00,228.367180895,93.9386758557
 01/04  15:00:00,224.964162733,101.083490863
 01/04  16:00:00,225.587226624,92.0840248436
 01/04  17:00:00,224.829476368,94.2536155124
 01/04  18:00:00,230.470211837,97.4693060566
 01/04  19:00:00,138.580006623,80.7488348859
 01/04  20:00:00,138.128824592,78.40471881239999
 01/04  21:00:00,114.766783178,92.6316025879
 01/04  22:00:00,80.4454161725,55.361398325399996
 01/04  23:00:00,75.803067775,90.81322889360001
 01/04  24:00:00,72.3887628563,74.2082678288
 01/05  01:00:00,81.5130263545,94.1534458021
 01/05  02:00:00,71.7674288698,76.8200519979
 01/05  03:00:00,81.42930669319999,96.77242232200001
 01/05  04:00:00,73.7808533439,78.7781492245
 01/05  05:00:00,105.672367777,110.361912248
 01/05  06:00:00,130.191515025,179.030829732
 01/05  07:00:00,182.809011441,144.54820558
 01/05  08:00:00,196.135876742,123.884300445
 01/05  09:00:00,200.90997705900003,124.119914636
 01/05  10:00:00,216.390271448,108.569513149
 01/05  11:00:00,221.293316615,103.34176284
 01/05  12:00:00,226.045171164,108.015174953
 01/05  13:00:00,216.22842889999998,97.0898383544
 01/05  14:00:00,229.001359409,103.365232731
 01/05  15:00:00,227.91201304,93.2132673082
 01/05  16:00:00,224.26162636,93.0312238192
 01/05  17:00:00,221.302116232,103.742604682
 01/05  18:00:00,229.98793687,98.1718667985
 01/05  19:00:00,138.849281916,72.6618106782
 01/05  20:00:00,137.514183144,78.9686560539
 01/05  21:00:00,113.639468499,93.06487491909999
 01/05  22:00:00,81.9781904442,55.3943086327
 01/05  23:00:00,92.54420584350001,89.4924548472
 01/05  24:00:00,86.99498244530001,72.7621953939
 01/06  01:00:00,97.01775802790002,92.64772544770001
 01/06  02:00:00,87.1656838058,83.9455035622
 01/06  03:00:00,100.68716985,94.76391726879999
 01/06  04:00:00,90.9921997015,76.8806194854
 01/06  05:00:00,136.116524059,106.625651315
 01/06  06:00:00,153.588597399,175.346774637
