Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,16.2473931675,10.3520704155
 01/01  02:00:00,15.7133223078,11.390272613699999
 01/01  03:00:00,15.405350639000002,10.6476891953
 01/01  04:00:00,15.2618702104,10.830807346099999
 01/01  05:00:00,17.3554952412,11.5743156495
 01/01  06:00:00,21.9158886466,15.2462656823
 01/01  07:00:00,26.336847424499997,23.8232159352
 01/01  08:00:00,24.6598813639,21.8180300508
 01/01  09:00:00,22.6449869913,19.1994310555
 01/01  10:00:00,19.9120162418,15.8065024245
 01/01  11:00:00,16.8066054548,14.311276980799999
 01/01  12:00:00,16.9611176074,11.3737437356
 01/01  13:00:00,16.983836669000002,9.52121089096
 01/01  14:00:00,16.3924673479,8.490571091669999
 01/01  15:00:00,16.1922520817,7.4734794864600005
 01/01  16:00:00,17.6533083554,8.14323279164
 01/01  17:00:00,26.8088105713,9.417556889530001
 01/01  18:00:00,37.709045636,11.8003883738
 01/01  19:00:00,40.1116037583,13.382213885399999
 01/01  20:00:00,39.0968862188,12.8772259325
 01/01  21:00:00,38.6217187152,12.1925983294
 01/01  22:00:00,33.0876740804,10.718242225
 01/01  23:00:00,25.929790322,11.051347742
 01/01  24:00:00,19.9488504151,10.0514567655
 01/02  01:00:00,16.202440739500002,8.485828166769998
 01/02  02:00:00,15.642220630799999,9.18791944953
 01/02  03:00:00,15.3389823825,8.88078280379
 01/02  04:00:00,15.195869871400001,9.22611834237
 01/02  05:00:00,17.2738541191,9.64669146077
 01/02  06:00:00,21.799984205700003,12.0827784013
 01/02  07:00:00,26.2713418969,20.8910205312
 01/02  08:00:00,24.7665784665,21.2090780327
 01/02  09:00:00,23.990050006399997,20.2209125114
 01/02  10:00:00,21.4251509931,16.2469677023
 01/02  11:00:00,19.2157940996,13.3844669797
 01/02  12:00:00,19.8931060864,10.624028559400001
 01/02  13:00:00,19.8015548165,9.12425719485
 01/02  14:00:00,19.6152083267,7.90268889425
 01/02  15:00:00,19.4164136576,6.77325484495
 01/02  16:00:00,20.5988170189,7.484944208560001
 01/02  17:00:00,29.446470981799997,8.687779789239999
 01/02  18:00:00,38.3934205935,11.431711657200001
 01/02  19:00:00,40.3793019962,13.3802313702
 01/02  20:00:00,39.1606760724,13.6570494463
 01/02  21:00:00,38.4964044863,13.867018256400002
 01/02  22:00:00,32.9262011876,12.607999111
 01/02  23:00:00,25.866874712399998,13.4299113761
 01/02  24:00:00,19.976961775899998,12.033955491099999
 01/03  01:00:00,16.3648200389,12.090930501199999
 01/03  02:00:00,16.0037394762,17.038313951
 01/03  03:00:00,15.8089554537,18.5845315021
 01/03  04:00:00,15.723452593,19.691451633499998
 01/03  05:00:00,17.9460854991,22.8339783746
 01/03  06:00:00,22.4113074062,24.7625313606
 01/03  07:00:00,26.805612329499997,33.9966364638
 01/03  08:00:00,25.1201086519,30.439901768000002
 01/03  09:00:00,24.3339551787,24.2988981649
 01/03  10:00:00,21.8539419827,18.3848819916
