Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,95.4562135676,1.77125
 01/01  02:00:00,93.8313552608,1.77125
 01/01  03:00:00,92.8017808863,1.77125
 01/01  04:00:00,91.9780699628,2.9155381908
 01/01  05:00:00,97.92488537770001,1.77125
 01/01  06:00:00,96.8670303569,1.77125
 01/01  07:00:00,126.098088301,254.038424692
 01/01  08:00:00,130.07314314200002,231.471967915
 01/01  09:00:00,166.90580302799998,188.199315774
 01/01  10:00:00,143.901575622,168.956858167
 01/01  11:00:00,176.100377064,156.085059532
 01/01  12:00:00,205.482880946,146.102803545
 01/01  13:00:00,214.865537838,132.581109564
 01/01  14:00:00,212.13681385599997,130.032658314
 01/01  15:00:00,206.419245203,127.794185534
 01/01  16:00:00,202.30650467900003,123.64764703799999
 01/01  17:00:00,203.77163673299998,135.51541101200002
 01/01  18:00:00,184.566862126,163.602553784
 01/01  19:00:00,190.27622733099997,171.28274469299998
 01/01  20:00:00,173.053903083,174.55798357
 01/01  21:00:00,163.859928362,176.25431102299999
 01/01  22:00:00,148.924362015,133.126364129
 01/01  23:00:00,98.2192611197,1.77125
 01/01  24:00:00,131.084521601,2.9154910064599995
 01/02  01:00:00,104.856644731,2.355
 01/02  02:00:00,96.01408306329999,2.355
 01/02  03:00:00,95.2836255303,3.49926166715
 01/02  04:00:00,94.081854893,2.355
 01/02  05:00:00,100.18312092299999,2.355
 01/02  06:00:00,99.72991193629998,2.355
 01/02  07:00:00,139.92996036,203.89827876200002
 01/02  08:00:00,141.767778733,198.84026083400002
 01/02  09:00:00,219.29505553799999,169.281177513
 01/02  10:00:00,246.810306534,133.199827967
 01/02  11:00:00,237.16348419599998,112.07619914799999
 01/02  12:00:00,264.312947245,98.4895230181
 01/02  13:00:00,245.188519457,94.7959175853
 01/02  14:00:00,241.64540138400002,90.2312680609
 01/02  15:00:00,235.922127502,90.59481343649999
 01/02  16:00:00,232.88971015599998,88.5470995189
 01/02  17:00:00,235.24668299799998,104.738647355
 01/02  18:00:00,243.873980661,129.606401717
 01/02  19:00:00,242.44276805,144.36742298
 01/02  20:00:00,227.944771326,165.170004958
 01/02  21:00:00,200.09494911099998,185.70921692599998
 01/02  22:00:00,140.87284449,152.781733911
 01/02  23:00:00,91.3297734574,2.355
 01/02  24:00:00,125.265516632,3.49933100548
 01/03  01:00:00,95.7976031266,2.355
 01/03  02:00:00,87.2650367056,2.355
 01/03  03:00:00,86.0978599858,3.4992765358699995
 01/03  04:00:00,85.2332595321,2.355
 01/03  05:00:00,106.633244421,2.355
 01/03  06:00:00,106.12397742899999,3.49926319246
 01/03  07:00:00,147.12559931,304.471791011
 01/03  08:00:00,140.824162841,271.984993119
 01/03  09:00:00,209.566257176,206.746821243
 01/03  10:00:00,238.86105982700002,152.181447131
 01/03  11:00:00,231.00636624700002,120.567725729
 01/03  12:00:00,264.089253494,83.9168819287
 01/03  13:00:00,247.842746746,62.9642905818
 01/03  14:00:00,242.874055946,61.7441189028
 01/03  15:00:00,240.741876152,55.683316338800005
 01/03  16:00:00,236.57422005799998,53.3614633379
 01/03  17:00:00,236.127463853,78.8215256154
 01/03  18:00:00,244.324720603,98.6856123485
 01/03  19:00:00,241.675870668,117.88315142799999
 01/03  20:00:00,221.305488586,128.236055822
 01/03  21:00:00,194.26549844599998,143.010093872
 01/03  22:00:00,136.383734342,129.74043090700002
 01/03  23:00:00,91.4345615351,3.49938778384
 01/03  24:00:00,124.765272772,2.355
 01/04  01:00:00,95.3024864952,2.355
 01/04  02:00:00,86.8067862874,3.49922677865
 01/04  03:00:00,85.6539722807,2.355
 01/04  04:00:00,83.2100781676,2.355
 01/04  05:00:00,87.5039600499,2.355
 01/04  06:00:00,86.35920075799999,3.49922367825
 01/04  07:00:00,128.558154835,255.681235772
 01/04  08:00:00,128.759632913,216.47690162799998
 01/04  09:00:00,208.77548117900002,169.98912549
 01/04  10:00:00,237.60731652400003,118.12979151299999
 01/04  11:00:00,229.39484881,90.5459928616
 01/04  12:00:00,260.283932448,69.2318798188
 01/04  13:00:00,243.946044941,58.0093894209
 01/04  14:00:00,243.84895292299998,44.071593676000006
 01/04  15:00:00,239.68054602900003,40.5595589082
 01/04  16:00:00,235.895166363,43.503546998800005
 01/04  17:00:00,237.956909569,59.979132957
 01/04  18:00:00,247.752691317,76.7717622406
 01/04  19:00:00,244.56959093900002,91.6741797934
 01/04  20:00:00,225.852237757,126.793167822
 01/04  21:00:00,198.488904402,141.751883363
 01/04  22:00:00,140.68673127,111.45636608
 01/04  23:00:00,91.5870923203,3.4994265003300007
 01/04  24:00:00,123.71698232700001,2.355
 01/05  01:00:00,94.73356481729999,2.355
 01/05  02:00:00,86.4359415568,3.4992507655900003
 01/05  03:00:00,84.9948337574,2.355
 01/05  04:00:00,84.2321540163,2.355
 01/05  05:00:00,89.92290577290001,3.49925447396
 01/05  06:00:00,88.78197353649999,2.355
