Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,117.59478640100001,4.85426
 01/01  02:00:00,117.58075339,4.85426
 01/01  03:00:00,118.78886529,6.0803151154799995
 01/01  04:00:00,119.391032861,6.820922063049999
 01/01  05:00:00,119.823476396,6.874791310780001
 01/01  06:00:00,120.266747474,7.81422572631
 01/01  07:00:00,120.82121064200001,16.8964684285
 01/01  08:00:00,108.647216753,7.7614567369000005
 01/01  09:00:00,101.63188026700001,7.11486538237
 01/01  10:00:00,100.60963512,5.506426833330001
 01/01  11:00:00,99.9935588834,4.85426
 01/01  12:00:00,100.86551099299999,13.4507084256
 01/01  13:00:00,100.007381595,4.85426
 01/01  14:00:00,100.08574661899999,4.85426
 01/01  15:00:00,100.073954858,4.85426
 01/01  16:00:00,100.027817032,13.444671431300002
 01/01  17:00:00,102.807363945,4.85426
 01/01  18:00:00,117.740619681,4.85426
 01/01  19:00:00,117.73993574,4.85426
 01/01  20:00:00,118.174330356,4.85426
 01/01  21:00:00,118.151254276,4.85426
 01/01  22:00:00,117.926165432,4.85426
 01/01  23:00:00,117.61481404700001,13.444699086300002
 01/01  24:00:00,118.512056299,4.85426
 01/02  01:00:00,117.61588718899999,4.85426
 01/02  02:00:00,117.618383649,4.85426
 01/02  03:00:00,117.61937654200001,13.4505016752
 01/02  04:00:00,117.62120288,4.85426
 01/02  05:00:00,118.05029517700001,4.85426
 01/02  06:00:00,118.93661573700001,5.893236036769999
 01/02  07:00:00,190.083763774,1254.82771298
 01/02  08:00:00,355.102438494,852.962233563
 01/02  09:00:00,441.362144804,592.624196291
 01/02  10:00:00,441.37615821599996,457.09822881300005
 01/02  11:00:00,447.384850342,422.32901572
 01/02  12:00:00,449.952521859,324.691788772
 01/02  13:00:00,461.40436620599996,282.688229545
 01/02  14:00:00,449.694355595,316.278924995
 01/02  15:00:00,441.41187781599996,382.73872905300004
 01/02  16:00:00,433.55784700099997,382.41956575800003
 01/02  17:00:00,431.495616794,284.74495638400003
