Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.569683660399999,0.0
 01/02  02:00:00,12.569683660399999,0.0
 01/02  03:00:00,12.569683660399999,0.0
 01/02  04:00:00,12.569683660399999,0.0
 01/02  05:00:00,12.569683660399999,0.0
 01/02  06:00:00,12.569683660399999,0.0
 01/02  07:00:00,25.3659717911,127.314940489
 01/02  08:00:00,25.106270057399996,98.3995104933
 01/02  09:00:00,39.7930076746,74.5014019994
 01/02  10:00:00,57.171041946,47.7279756064
 01/02  11:00:00,57.11917023229999,36.1656603741
 01/02  12:00:00,57.11917023229999,25.165020322800004
 01/02  13:00:00,57.11917023229999,22.1386572616
 01/02  14:00:00,57.11917023229999,19.5597589353
 01/02  15:00:00,57.11917023229999,17.2156350318
 01/02  16:00:00,57.11917023229999,18.4455138768
 01/02  17:00:00,59.874503565699996,26.532855112100002
 01/02  18:00:00,65.5290213532,37.221909635900005
 01/02  19:00:00,53.0031146563,44.7798903596
 01/02  20:00:00,53.077821993,52.2375492752
 01/02  21:00:00,48.09582542729999,55.998054465299994
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.569683660399999,0.0
 01/02  24:00:00,12.569683660399999,0.0
 01/03  01:00:00,12.569683660399999,0.0
 01/03  02:00:00,12.569683660399999,0.0
 01/03  03:00:00,12.569683660399999,0.0
 01/03  04:00:00,12.569683660399999,0.0
 01/03  05:00:00,12.569683660399999,0.0
 01/03  06:00:00,12.582598219600001,0.0
 01/03  07:00:00,25.3659717911,155.540868951
 01/03  08:00:00,25.223894945599998,153.765754926
 01/03  09:00:00,40.2499794592,128.08016524200002
 01/03  10:00:00,57.5351026813,90.5026599547
 01/03  11:00:00,57.2193013115,66.6512418941
 01/03  12:00:00,57.11917023229999,39.1699763676
 01/03  13:00:00,57.11917023229999,24.4495099892
 01/03  14:00:00,57.11917023229999,13.3176749806
 01/03  15:00:00,57.173694242399996,4.64630518314
 01/03  16:00:00,57.2015001925,3.61255874188
 01/03  17:00:00,59.874503565699996,5.237822034280001
 01/03  18:00:00,65.4024582575,20.943695111500002
 01/03  19:00:00,52.923571325299996,37.8562594674
 01/03  20:00:00,53.0662445246,53.4095200072
 01/03  21:00:00,48.128520323500005,63.2562439792
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.569683660399999,0.0
 01/04  01:00:00,12.569683660399999,0.0
 01/04  02:00:00,12.569683660399999,0.0
 01/04  03:00:00,12.569683660399999,0.0
 01/04  04:00:00,12.569683660399999,0.0
 01/04  05:00:00,12.569683660399999,0.0
 01/04  06:00:00,12.569683660399999,0.0
 01/04  07:00:00,25.3659717911,155.540868951
 01/04  08:00:00,25.223894945599998,154.584509513
 01/04  09:00:00,40.191435718899996,127.896443914
 01/04  10:00:00,57.3985424389,84.35490742479999
 01/04  11:00:00,57.1765015991,56.7978409684
 01/04  12:00:00,57.11917023229999,27.215779013800002
 01/04  13:00:00,57.11917023229999,11.0335872685
 01/04  14:00:00,57.1317255685,5.456809400830001
 01/04  15:00:00,57.1969812704,3.4433910210400005
 01/04  16:00:00,57.2456674792,1.9672536223500001
 01/04  17:00:00,59.8898998357,2.09273306563
 01/04  18:00:00,65.3851702323,3.08488165952
 01/04  19:00:00,52.748916873999995,9.49591390253
 01/04  20:00:00,52.8261693668,15.5317700522
 01/04  21:00:00,47.8567519191,19.6208353148
 01/04  22:00:00,20.693606815,0.0
 01/04  23:00:00,12.569683660399999,0.0
 01/04  24:00:00,12.569683660399999,0.0
 01/05  01:00:00,12.569683660399999,0.0
 01/05  02:00:00,12.569683660399999,0.0
 01/05  03:00:00,12.569683660399999,0.0
 01/05  04:00:00,12.569683660399999,0.0
 01/05  05:00:00,12.569683660399999,0.0
 01/05  06:00:00,12.569683660399999,0.0
 01/05  07:00:00,25.3659717911,155.540868951
 01/05  08:00:00,25.223894945599998,149.184095525
 01/05  09:00:00,40.1058535092,119.684207247
 01/05  10:00:00,57.3190783663,77.47881019319999
 01/05  11:00:00,57.12070584,48.217619042399996
 01/05  12:00:00,57.11917023229999,23.6986444457
 01/05  13:00:00,57.1309739428,8.43013969682
 01/05  14:00:00,57.2588190591,4.137729602559999
 01/05  15:00:00,57.2665686395,3.25351260609
 01/05  16:00:00,57.236157587200005,2.7640142122799998
 01/05  17:00:00,59.8770257403,3.2614621409099995
 01/05  18:00:00,65.3851702323,11.2703391011
 01/05  19:00:00,52.8341299108,31.6027538071
 01/05  20:00:00,53.0241469836,50.967330325
 01/05  21:00:00,48.0763793744,57.9289760836
 01/05  22:00:00,20.693606815,0.0
 01/05  23:00:00,12.569683660399999,0.0
 01/05  24:00:00,12.569683660399999,0.0
 01/06  01:00:00,12.569683660399999,0.0
 01/06  02:00:00,12.569683660399999,0.0
 01/06  03:00:00,12.569683660399999,0.0
 01/06  04:00:00,12.569683660399999,0.0
 01/06  05:00:00,12.569683660399999,0.0
