Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,57.871831710600006,0.640468756386
 01/01  02:00:00,54.4566883741,1.05387072859
 01/01  03:00:00,62.9936245804,3.27861227598
 01/01  04:00:00,57.2800806529,1.8852552803799998
 01/01  05:00:00,65.1233699599,2.7580681190200003
 01/01  06:00:00,58.669766386999996,3.3429007387199996
 01/01  07:00:00,67.4354371664,3.3537371802
 01/01  08:00:00,49.7767313518,3.74289188371
 01/01  09:00:00,45.246293799600004,3.3809013571099995
 01/01  10:00:00,32.3868765648,1.55980268615
 01/01  11:00:00,29.6675314861,1.63032974614
 01/01  12:00:00,25.8521916288,0.02
 01/01  13:00:00,24.1823725112,1.1030550206999998
 01/01  14:00:00,20.837983840299998,0.02
 01/01  15:00:00,18.7713521762,1.10300296667
 01/01  16:00:00,18.7713521762,0.02
 01/01  17:00:00,23.7060188429,0.02
 01/01  18:00:00,36.006483372699996,1.10292981827
 01/01  19:00:00,38.8259994282,0.02
 01/01  20:00:00,39.018973001300004,1.10292805856
 01/01  21:00:00,47.0336119029,0.02
 01/01  22:00:00,46.235274518199994,0.02
 01/01  23:00:00,52.3442823958,1.1030420037100002
 01/01  24:00:00,50.1239808352,0.09233542796710001
 01/02  01:00:00,61.2194171862,1.60893375778
 01/02  02:00:00,57.6491522494,0.769469913144
 01/02  03:00:00,64.4199099022,1.5997091376800001
 01/02  04:00:00,59.057200281099995,2.33331102886
 01/02  05:00:00,65.43725219310001,2.00307404331
 01/02  06:00:00,62.3112204936,2.61253286107
 01/02  07:00:00,229.841238531,0.44411270780900003
 01/02  08:00:00,211.776776246,37.9346905263
 01/02  09:00:00,222.03767895400003,31.6935526054
 01/02  10:00:00,192.333819315,15.897659513599999
 01/02  11:00:00,173.265341293,4.48830523544
 01/02  12:00:00,162.572330397,2.18913088853
 01/02  13:00:00,163.983389129,2.18981579159
 01/02  14:00:00,152.86856453299998,3.27439312722
 01/02  15:00:00,145.611405633,1.10395181354
 01/02  16:00:00,142.316977413,2.1880095161
 01/02  17:00:00,149.786252561,2.18874083244
