Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,38.7665757107,17.116012172
 01/01  02:00:00,38.1637118899,24.98375063
 01/01  03:00:00,33.0434240121,19.4872662972
 01/01  04:00:00,32.797650762800004,25.5137757724
 01/01  05:00:00,34.1619651282,21.2931773978
 01/01  06:00:00,38.1831755506,26.0843421768
 01/01  07:00:00,58.8126922858,24.7136362125
 01/01  08:00:00,69.41843468319999,26.926693547600003
 01/01  09:00:00,95.6839086063,39.7908025659
 01/01  10:00:00,80.032952739,50.3126425969
 01/01  11:00:00,54.3989582887,43.5470527878
 01/01  12:00:00,53.0128046667,35.9846722668
 01/01  13:00:00,54.864317407399994,35.708329692199996
 01/01  14:00:00,55.4285262553,41.3312989051
 01/01  15:00:00,55.5060980075,35.5116193582
 01/01  16:00:00,55.1519367632,35.5097546282
 01/01  17:00:00,60.2244682337,23.9335606087
 01/01  18:00:00,75.12842555430001,7.219755759319999
 01/01  19:00:00,90.472614007,10.340095937200001
 01/01  20:00:00,91.6939983672,12.6044542768
 01/01  21:00:00,98.39552685780001,14.2303558828
 01/01  22:00:00,95.85770777399999,21.1776448913
 01/01  23:00:00,71.3991121153,23.465650548200003
 01/01  24:00:00,46.1470519359,19.3308197065
 01/02  01:00:00,37.7152862647,13.9405160179
 01/02  02:00:00,35.626601952899996,19.943543138699997
 01/02  03:00:00,33.4908090804,13.3968675723
 01/02  04:00:00,33.3983051235,17.672461019100002
 01/02  05:00:00,34.9088651153,17.218906988
 01/02  06:00:00,42.6370293703,16.4303450339
 01/02  07:00:00,75.0304243418,20.455028193
 01/02  08:00:00,89.0564979585,19.4238796353
 01/02  09:00:00,74.3491505134,33.6635807514
 01/02  10:00:00,69.02667053020001,45.349803775699996
 01/02  11:00:00,49.9873514213,40.7852398601
 01/02  12:00:00,49.70940590520001,40.9804592313
 01/02  13:00:00,49.8265738211,46.8005913164
 01/02  14:00:00,49.8783248903,39.0872281325
 01/02  15:00:00,49.8132571133,39.084575648299996
 01/02  16:00:00,49.579532579399995,40.271570331999996
 01/02  17:00:00,56.1833887686,27.7634307781
