Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,85.3722645139,1.77125
 01/01  02:00:00,84.9961385108,1.77125
 01/01  03:00:00,84.7938865768,2.91552562693
 01/01  04:00:00,84.7981795876,1.77125
 01/01  05:00:00,91.576701784,1.77125
 01/01  06:00:00,91.4643560631,1.77125
 01/01  07:00:00,126.757018212,323.462810066
 01/01  08:00:00,130.392240045,296.696919245
 01/01  09:00:00,162.002241555,252.375898678
 01/01  10:00:00,138.792529386,226.877727775
 01/01  11:00:00,173.262147581,191.260593405
 01/01  12:00:00,201.872342708,175.10206037
 01/01  13:00:00,208.422399302,150.933615937
 01/01  14:00:00,206.13597403400001,140.381459988
 01/01  15:00:00,201.821314936,133.447772
 01/01  16:00:00,198.461739795,133.745488244
 01/01  17:00:00,200.349349043,144.913397301
 01/01  18:00:00,181.4872593,187.51722660599998
 01/01  19:00:00,185.87927831,210.425766767
 01/01  20:00:00,166.720336085,221.950139213
 01/01  21:00:00,157.190369795,240.153359613
 01/01  22:00:00,140.884613636,214.619007953
 01/01  23:00:00,87.5861962519,1.77125
 01/01  24:00:00,121.711964264,1.77125
 01/02  01:00:00,93.41987220440001,3.4992213202399998
 01/02  02:00:00,85.7428145176,2.355
 01/02  03:00:00,84.639413563,2.355
 01/02  04:00:00,83.7010237091,3.49926814482
 01/02  05:00:00,89.5089707759,2.355
 01/02  06:00:00,88.4166224628,2.355
 01/02  07:00:00,133.588374812,369.61930602800004
 01/02  08:00:00,133.73277783700001,347.64082202099996
 01/02  09:00:00,206.86664171200002,294.521183989
 01/02  10:00:00,233.861759075,237.462118017
 01/02  11:00:00,225.850209055,208.661328064
 01/02  12:00:00,256.737898876,172.667860631
 01/02  13:00:00,238.56151639200002,156.37190114700002
 01/02  14:00:00,235.62307570099998,151.638108919
 01/02  15:00:00,231.121953048,146.431700335
 01/02  16:00:00,227.348502787,143.056502749
 01/02  17:00:00,229.623696413,153.266583205
 01/02  18:00:00,238.52043507599998,170.220794735
 01/02  19:00:00,236.264472589,195.59754412799998
 01/02  20:00:00,220.89159348,215.61885014900002
 01/02  21:00:00,195.62914022,227.021380834
 01/02  22:00:00,137.204052051,202.621433457
 01/02  23:00:00,86.0291726407,2.355
 01/02  24:00:00,120.58693971299999,3.49931471053
 01/03  01:00:00,89.59227939700001,2.355
 01/03  02:00:00,81.7219273641,2.355
 01/03  03:00:00,80.41438129,3.4992710846099997
 01/03  04:00:00,79.26542851229999,2.355
 01/03  05:00:00,107.17185541399999,18.1413944197
 01/03  06:00:00,107.02742106299999,18.3264549712
 01/03  07:00:00,147.277022274,392.750676316
 01/03  08:00:00,138.86467533200002,374.11076422300005
 01/03  09:00:00,202.624258387,321.826669731
 01/03  10:00:00,227.50861907700002,253.373533198
 01/03  11:00:00,218.48117108099999,211.903662938
 01/03  12:00:00,249.004009913,180.120217228
 01/03  13:00:00,229.427853406,164.29283863700002
 01/03  14:00:00,226.663222735,151.130985215
 01/03  15:00:00,222.856575112,146.702350231
 01/03  16:00:00,219.94799442299998,146.33759326700002
 01/03  17:00:00,224.782493206,160.646565389
 01/03  18:00:00,234.818932995,179.887129008
 01/03  19:00:00,232.11157799999998,204.09009506400002
 01/03  20:00:00,209.347576857,223.721752084
 01/03  21:00:00,184.380944915,238.01664007099998
 01/03  22:00:00,128.310956135,211.624514412
 01/03  23:00:00,82.0426902709,3.4994491078199994
 01/03  24:00:00,117.142743403,2.355
 01/04  01:00:00,86.2331954875,2.355
 01/04  02:00:00,78.6670287801,3.49925317876
 01/04  03:00:00,78.2750309809,2.355
 01/04  04:00:00,77.9666940612,2.355
 01/04  05:00:00,94.0880369751,26.027046174400002
 01/04  06:00:00,93.6424861569,29.201918442100002
 01/04  07:00:00,130.760832628,405.09566002800005
 01/04  08:00:00,129.670082121,382.433597049
 01/04  09:00:00,202.539679589,324.262516496
 01/04  10:00:00,227.71689914700002,260.288009234
 01/04  11:00:00,218.642370473,232.03053202
 01/04  12:00:00,249.81236649599998,192.761363557
 01/04  13:00:00,229.788021199,172.95347911599998
 01/04  14:00:00,227.696456522,162.05174063
 01/04  15:00:00,225.05163570599998,149.95561303899999
 01/04  16:00:00,223.22182756700002,141.21851809999998
 01/04  17:00:00,225.34648684799998,151.784769198
 01/04  18:00:00,235.652228804,174.383497022
 01/04  19:00:00,235.173010489,194.91175450400002
 01/04  20:00:00,219.400240693,217.421551974
 01/04  21:00:00,194.273947437,229.562104019
 01/04  22:00:00,136.606042293,200.56331277700002
 01/04  23:00:00,85.79133871270001,2.355
 01/04  24:00:00,120.53014957399999,2.355
 01/05  01:00:00,90.0187622061,3.4992288377800005
 01/05  02:00:00,82.24066099619999,2.355
 01/05  03:00:00,81.28823424720001,2.355
 01/05  04:00:00,80.5321275734,3.4992090424300004
 01/05  05:00:00,89.6898092383,10.3515302789
 01/05  06:00:00,92.5155570934,17.8033555397
 01/05  07:00:00,131.78140966799998,380.863894265
 01/05  08:00:00,131.568419827,352.54941243699994
 01/05  09:00:00,204.77963780599998,298.823651205
 01/05  10:00:00,230.83173560900002,248.703978711
 01/05  11:00:00,222.236860712,215.011192828
 01/05  12:00:00,251.717164967,186.56634788
 01/05  13:00:00,230.77482973099998,173.91003567799999
 01/05  14:00:00,229.940934946,164.062532288
 01/05  15:00:00,226.535217832,166.152377152
 01/05  16:00:00,224.10537454599998,166.280954639
 01/05  17:00:00,228.646603074,184.15560849
 01/05  18:00:00,239.491089555,195.564262553
 01/05  19:00:00,237.603547451,203.826431456
 01/05  20:00:00,222.670103316,215.61483139799998
 01/05  21:00:00,196.96034377200002,225.82162029900002
 01/05  22:00:00,138.810489157,194.875278303
 01/05  23:00:00,88.2542781266,2.355
 01/05  24:00:00,122.80666281399999,3.4992880991199993
 01/06  01:00:00,92.8947806082,2.355
 01/06  02:00:00,85.4847318534,2.355
 01/06  03:00:00,84.9312834312,3.49923368921
 01/06  04:00:00,84.5724766309,2.355
