Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,181.33241720799998,135.389093659
 01/01  02:00:00,171.40316494200002,105.55765687799999
 01/01  03:00:00,149.393409273,103.97094522200001
 01/01  04:00:00,146.749489772,102.767527181
 01/01  05:00:00,154.006774492,129.50708694899998
 01/01  06:00:00,167.683088977,163.37207583
 01/01  07:00:00,250.881218635,221.99472130700002
 01/01  08:00:00,317.005455306,451.35866705300003
 01/01  09:00:00,380.18603503199995,609.762150591
 01/01  10:00:00,309.286371877,508.714719551
 01/01  11:00:00,243.06657356,437.610212711
 01/01  12:00:00,235.70239418900002,382.880066421
 01/01  13:00:00,242.351108425,300.51909484099997
 01/01  14:00:00,241.284373654,253.72923969400003
 01/01  15:00:00,263.701967416,232.37445886
 01/01  16:00:00,267.583586055,226.74523934099997
 01/01  17:00:00,281.465424691,215.205880603
 01/01  18:00:00,271.924113455,251.987095748
 01/01  19:00:00,344.272696934,362.65669956
 01/01  20:00:00,367.60192441,371.560518788
 01/01  21:00:00,404.182617843,358.226415958
 01/01  22:00:00,382.93638756300004,322.815601353
 01/01  23:00:00,325.844567527,431.60453318699996
 01/01  24:00:00,235.32913056200002,285.691591536
 01/02  01:00:00,172.378653833,133.236706994
 01/02  02:00:00,156.422651857,105.209917318
 01/02  03:00:00,144.075657871,103.48173665700001
 01/02  04:00:00,145.35636828399998,98.9291005699
 01/02  05:00:00,155.562856167,120.35460605799999
 01/02  06:00:00,190.975183227,211.278765306
 01/02  07:00:00,327.929483204,351.02282079300005
 01/02  08:00:00,388.924536944,472.40177885400004
 01/02  09:00:00,334.607117603,383.47735919900003
 01/02  10:00:00,318.661308688,326.534187862
 01/02  11:00:00,225.92245227700002,302.09314461
 01/02  12:00:00,230.541942502,247.671029093
 01/02  13:00:00,260.237603218,237.71918566
 01/02  14:00:00,219.44352707599998,239.012040013
 01/02  15:00:00,218.21853638099998,236.081464204
 01/02  16:00:00,228.250573575,234.605654665
