Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,239.29367987900002,5.61124185355
 01/01  02:00:00,239.63755322400002,10.874822106199998
 01/01  03:00:00,239.297177031,10.1194907223
 01/01  04:00:00,239.640453594,12.9303575148
 01/01  05:00:00,251.52191723400003,9.78974153299
 01/01  06:00:00,276.311066937,17.126755103599997
 01/01  07:00:00,324.857628459,11.7212111138
 01/01  08:00:00,306.92622548,16.3956422894
 01/01  09:00:00,298.037312161,12.316984113499998
 01/01  10:00:00,261.71094719900003,13.2314283992
 01/01  11:00:00,212.47901396700001,8.309085582289999
 01/01  12:00:00,212.819367573,12.996372535
 01/01  13:00:00,212.134976437,6.42898755007
 01/01  14:00:00,211.113165457,2.19198550966
 01/01  15:00:00,211.111823418,2.18975841465
 01/01  16:00:00,211.110928577,2.1883761283500003
 01/01  17:00:00,268.543386526,2.18841614761
 01/01  18:00:00,347.928312904,2.18845608712
 01/01  19:00:00,349.28827160099996,2.6712893818
 01/01  20:00:00,325.185364661,6.581669658019999
 01/01  21:00:00,324.845674988,6.14509680164
 01/01  22:00:00,300.402719275,6.23125377319
 01/01  23:00:00,275.957793509,6.829476434400001
 01/01  24:00:00,251.513858015,7.181967911819999
 01/02  01:00:00,289.473066971,8.059561615680002
 01/02  02:00:00,289.132787153,7.193044872430001
 01/02  03:00:00,289.474996374,7.36318332021
 01/02  04:00:00,288.79228205,6.17337581962
 01/02  05:00:00,311.492101128,4.16817800791
 01/02  06:00:00,355.775694948,7.710814619260002
 01/02  07:00:00,424.910071538,386.735139874
 01/02  08:00:00,506.18242429400004,320.86667253400003
 01/02  09:00:00,1069.21306057,179.193458495
 01/02  10:00:00,1108.4527252999999,139.242988811
 01/02  11:00:00,1072.0851107,121.34079434700001
 01/02  12:00:00,1085.68875576,102.49613145299999
 01/02  13:00:00,1160.41243012,113.082608208
 01/02  14:00:00,1155.82525805,80.363337945
 01/02  15:00:00,1097.24969804,58.7543795553
 01/02  16:00:00,1126.55755426,55.7139544844
 01/02  17:00:00,1138.06282024,65.90211537399999
 01/02  18:00:00,995.420398472,85.7266720071
 01/02  19:00:00,748.036196432,149.333605214
 01/02  20:00:00,723.6097563989999,173.610907766
 01/02  21:00:00,574.127118934,220.23540040000003
 01/02  22:00:00,560.07359435,220.798185526
 01/02  23:00:00,349.35666483,2.18916717758
 01/02  24:00:00,299.991905773,2.18904331883
 01/03  01:00:00,287.769708433,2.1891929716900003
 01/03  02:00:00,287.769708412,2.18906996364
 01/03  03:00:00,287.769708433,0.02
 01/03  04:00:00,287.769708422,2.1892189382
 01/03  05:00:00,299.991906299,2.1890959944
 01/03  06:00:00,349.358009599,4.36231546076
 01/03  07:00:00,471.01233933699996,533.135797436
 01/03  08:00:00,506.694933864,931.621714665
 01/03  09:00:00,1045.80553702,263.605019913
 01/03  10:00:00,1009.00097301,135.386930848
 01/03  11:00:00,975.19997017,107.670593862
 01/03  12:00:00,1047.29040259,85.4830374979
 01/03  13:00:00,1122.6735094,94.4358249358
 01/03  14:00:00,1249.65651152,62.8952087538
 01/03  15:00:00,1162.61649322,58.4565759556
 01/03  16:00:00,1122.3725103,53.03348618810001
 01/03  17:00:00,1119.43701727,63.8158381465
 01/03  18:00:00,993.34595971,85.7138358445
 01/03  19:00:00,748.0309147930001,138.664902
 01/03  20:00:00,723.6070799160001,167.675710829
 01/03  21:00:00,574.132607892,223.284044406
 01/03  22:00:00,549.69424176,239.80503264900003
 01/03  23:00:00,349.356665487,2.18902061991
 01/03  24:00:00,299.991906267,2.18916980138
 01/04  01:00:00,287.76970907599997,2.1890483172
 01/04  02:00:00,287.769708975,2.1891983761200002
 01/04  03:00:00,287.76970895200003,2.1890763042200003
 01/04  04:00:00,287.769708977,0.02
 01/04  05:00:00,299.991906768,2.1892263517700004
 01/04  06:00:00,349.35800999800006,4.36246107064
 01/04  07:00:00,424.82540848400004,487.055230351
 01/04  08:00:00,506.50666726800006,762.988296383
 01/04  09:00:00,1046.15173453,596.4353698809999
 01/04  10:00:00,1009.44914421,487.04403238
 01/04  11:00:00,960.532784907,421.97360025
 01/04  12:00:00,960.380761142,290.47006629099997
 01/04  13:00:00,910.489184208,256.236427807
 01/04  14:00:00,960.209975762,171.54965256399998
 01/04  15:00:00,960.1450579030001,125.87159174899999
 01/04  16:00:00,960.131051587,116.797571421
 01/04  17:00:00,1017.57021835,126.078478692
 01/04  18:00:00,947.505307865,188.702275418
 01/04  19:00:00,748.358649595,356.85494856300005
 01/04  20:00:00,723.868372677,317.829303188
 01/04  21:00:00,574.7260602580001,593.197564512
 01/04  22:00:00,551.112676024,860.6630440619999
 01/04  23:00:00,349.356666187,2.18923550969
 01/04  24:00:00,299.99190703,2.1891135409299998
 01/05  01:00:00,287.76970979099997,2.18926495644
 01/05  02:00:00,287.769709676,2.1891437752200003
 01/05  03:00:00,287.769709736,2.18889818814
 01/05  04:00:00,287.769709547,2.18917378523
 01/05  05:00:00,301.013778552,4.243571943919999
 01/05  06:00:00,350.37993103599996,4.28132701519
 01/05  07:00:00,424.990507887,306.20241207
 01/05  08:00:00,507.325899708,853.360370275
 01/05  09:00:00,1046.46767085,487.548286189
 01/05  10:00:00,1009.55497949,365.973093434
 01/05  11:00:00,960.5796571789999,334.68848655799997
 01/05  12:00:00,960.4062388489999,246.74229167299998
 01/05  13:00:00,910.44490356,194.04951837099998
 01/05  14:00:00,960.165630713,122.34356135700001
 01/05  15:00:00,960.051015002,53.6313572139
 01/05  16:00:00,960.025720507,36.7596041302
 01/05  17:00:00,1017.49102137,62.7775082569
 01/05  18:00:00,947.734837787,313.603213573
 01/05  19:00:00,748.842587819,542.630641736
 01/05  20:00:00,724.875116207,647.401038951
 01/05  21:00:00,575.564190928,585.3546149069999
 01/05  22:00:00,551.147537559,556.42243841
 01/05  23:00:00,349.356666759,2.1892605636400004
 01/05  24:00:00,299.99190757,2.18913869231
 01/06  01:00:00,287.769710375,2.18929090564
 01/06  02:00:00,287.769710252,2.1891705838999997
 01/06  03:00:00,287.769710305,2.18905023607
 01/06  04:00:00,289.472783714,4.82299013269
 01/06  05:00:00,301.355500772,4.717504202
 01/06  06:00:00,351.064464389,6.09465624864
 01/06  07:00:00,425.08455169800004,309.301182153
 01/06  08:00:00,507.646497064,962.6878661060001
 01/06  09:00:00,1047.17205773,681.380320041
 01/06  10:00:00,1010.46616952,556.742001365
 01/06  11:00:00,961.5112209710001,478.443202679
 01/06  12:00:00,961.295108453,406.02635966
 01/06  13:00:00,910.9476579889999,285.058865916
 01/06  14:00:00,960.5532318789999,254.576196062
 01/06  15:00:00,960.395032591,204.881177163
 01/06  16:00:00,960.276305683,163.005422244
 01/06  17:00:00,1017.82199127,230.881194399
 01/06  18:00:00,948.152931803,469.96062439300005
 01/06  19:00:00,749.484733191,659.640807241
 01/06  20:00:00,725.079148978,557.592025489
 01/06  21:00:00,575.6087127559999,559.538759716
 01/06  22:00:00,551.178112258,576.280745353
 01/06  23:00:00,349.356666912,2.1892778321599997
 01/06  24:00:00,299.991907855,2.18926506534
 01/07  01:00:00,237.92898349900003,2.1891457550499998
 01/07  02:00:00,237.928983654,2.1889072875
 01/07  03:00:00,238.95085776099998,3.8220526739699996
 01/07  04:00:00,239.292954274,4.9098646932
 01/07  05:00:00,251.85745314,6.11829237095
 01/07  06:00:00,275.964351593,6.27744969842
 01/07  07:00:00,425.13973138,347.62806986
 01/07  08:00:00,408.10334169699996,1095.85421988
 01/07  09:00:00,648.573861622,829.388283822
 01/07  10:00:00,611.868688754,705.833688176
 01/07  11:00:00,562.957548484,648.752463352
 01/07  12:00:00,562.9345408180001,611.109176168
 01/07  13:00:00,562.714218085,517.62351112
 01/07  14:00:00,562.500260225,490.40359389400004
 01/07  15:00:00,313.010500508,432.49477287199994
 01/07  16:00:00,313.08153567,593.517200204
 01/07  17:00:00,370.84746282699996,771.625742581
 01/07  18:00:00,375.796735776,909.9280794660001
 01/07  19:00:00,347.929660106,2.19057598832
 01/07  20:00:00,323.485264224,2.1906585426099996
 01/07  21:00:00,323.48526457599996,2.19074098758
 01/07  22:00:00,299.04176557700004,4.36391326452
 01/07  23:00:00,274.595577029,2.18908282
 01/07  24:00:00,251.51384383099997,5.44946880846
 01/08  01:00:00,239.632751595,6.753278835080001
 01/08  02:00:00,239.293353293,4.4533239431
 01/08  03:00:00,239.634762608,7.8943067125
 01/08  04:00:00,239.29522685900002,7.70649275967
 01/08  05:00:00,251.85939304,9.32772984382
 01/08  06:00:00,275.965432962,9.07333872109
 01/08  07:00:00,325.194827111,10.7433009998
 01/08  08:00:00,306.58178353200003,8.65821536225
 01/08  09:00:00,298.37906899,11.9989809817
 01/08  10:00:00,261.372821317,11.772253527
 01/08  11:00:00,212.822204863,11.3747912121
 01/08  12:00:00,212.481895267,10.2304120854
 01/08  13:00:00,212.82260794599998,11.296328666099999
 01/08  14:00:00,212.481247178,10.9758652299
 01/08  15:00:00,212.822002831,11.56099209
 01/08  16:00:00,212.47920060200002,7.333738940419999
 01/08  17:00:00,270.255130695,12.298586826500001
 01/08  18:00:00,349.300650409,12.2077970824
 01/08  19:00:00,349.64442565300004,15.3200648841
 01/08  20:00:00,324.85839082,11.682947264700001
 01/08  21:00:00,325.201359778,16.5510923563
 01/08  22:00:00,300.416101741,14.6825293929
 01/08  23:00:00,276.313280205,17.4304711659
 01/08  24:00:00,251.526423715,15.3413469491
 01/09  01:00:00,289.486530269,16.9334199247
 01/09  02:00:00,289.14358184099996,14.4165487091
 01/09  03:00:00,289.486186417,17.051791598
 01/09  04:00:00,289.143018723,14.3076131545
 01/09  05:00:00,301.707773544,16.9549967951
 01/09  06:00:00,350.73024163699995,13.794836849200001
 01/09  07:00:00,425.452728665,815.126069974
 01/09  08:00:00,506.54458495800003,701.544087464
 01/09  09:00:00,1045.86032358,347.88765911400003
 01/09  10:00:00,1009.13225197,297.711826731
 01/09  11:00:00,960.2005356469999,255.094429935
 01/09  12:00:00,960.160791962,214.676613029
 01/09  13:00:00,910.301643047,193.265533959
 01/09  14:00:00,960.0735333089999,114.242165968
 01/09  15:00:00,960.0335282389999,68.44848615779999
 01/09  16:00:00,960.02671336,63.1649208225
 01/09  17:00:00,1017.48628676,92.73457962280001
 01/09  18:00:00,952.7673998839999,133.830895935
 01/09  19:00:00,748.061240542,193.513486464
 01/09  20:00:00,723.621127714,199.83285742700002
 01/09  21:00:00,574.133841241,247.063176543
 01/09  22:00:00,549.707532091,275.493319477
 01/09  23:00:00,349.356668489,0.02
 01/09  24:00:00,299.99190932,2.18921026777
 01/10  01:00:00,287.769712022,2.1890931208400004
 01/10  02:00:00,287.769712063,2.18924874613
 01/10  03:00:00,287.769712066,2.18913152333
 01/10  04:00:00,287.769712158,2.18928709436
 01/10  05:00:00,299.99190989,2.18916991847
 01/10  06:00:00,349.358014689,2.19110563824
 01/10  07:00:00,424.856099944,560.483721674
 01/10  08:00:00,506.410252007,712.196068983
 01/10  09:00:00,1045.71512922,216.007800791
 01/10  10:00:00,1008.98795444,145.422048496
 01/10  11:00:00,1040.61771655,113.673490172
 01/10  12:00:00,1118.33853704,92.3618753037
 01/10  13:00:00,1073.34974786,109.3989936
 01/10  14:00:00,1158.20526927,73.2261014125
 01/10  15:00:00,1201.79216637,51.297689508299996
 01/10  16:00:00,1165.56068113,47.248396476
 01/10  17:00:00,1175.93549586,63.9882401394
 01/10  18:00:00,1065.46861205,86.53113057700001
 01/10  19:00:00,806.4114093219999,138.789478411
 01/10  20:00:00,744.377694232,154.114933858
 01/10  21:00:00,574.0997342869999,204.12116061400002
 01/10  22:00:00,549.665143066,219.112612811
 01/10  23:00:00,349.35666887400004,2.18912917963
 01/10  24:00:00,299.991909842,2.18928479257
 01/11  01:00:00,287.769712363,2.18916874086
 01/11  02:00:00,287.769712425,2.18905216277
 01/11  03:00:00,287.76971230000004,2.18920875315
 01/11  04:00:00,287.769712276,2.1890922288900003
 01/11  05:00:00,299.991910102,0.02
 01/11  06:00:00,349.358015025,4.36277307054
 01/11  07:00:00,445.72593095400003,639.854009829
 01/11  08:00:00,507.61459204199997,1598.44101479
 01/11  09:00:00,1047.16670304,874.0529501760001
 01/11  10:00:00,1010.44765479,613.183644359
 01/11  11:00:00,961.496952512,480.030780441
 01/11  12:00:00,961.399178592,373.893843656
 01/11  13:00:00,910.709887717,164.992920595
 01/11  14:00:00,960.153568017,68.2539748266
 01/11  15:00:00,960.04662975,35.3897049528
 01/11  16:00:00,960.0409579980001,33.367513740300005
 01/11  17:00:00,1017.50264887,53.238133213699996
 01/11  18:00:00,947.545843014,147.025112461
 01/11  19:00:00,748.529794357,342.333938337
 01/11  20:00:00,724.924377045,676.314626592
 01/11  21:00:00,575.584485716,607.963888917
 01/11  22:00:00,551.1729292780001,586.803934364
 01/11  23:00:00,349.356669184,2.18926215424
 01/11  24:00:00,299.991910103,2.1892533966900003
 01/12  01:00:00,287.769712746,2.1891376847
 01/12  02:00:00,287.769712879,2.1892947732
 01/12  03:00:00,287.769712826,2.18917892069
 01/12  04:00:00,289.473770493,5.2984693278699995
 01/12  05:00:00,301.35569109200003,4.907080182950001
 01/12  06:00:00,351.06450112199997,6.29003504701
 01/12  07:00:00,425.099661515,328.407885566
 01/12  08:00:00,507.724471441,1043.71520609
 01/12  09:00:00,1047.18686296,731.616842597
 01/12  10:00:00,1010.42556271,548.852588283
 01/12  11:00:00,961.4708833469999,428.742528795
 01/12  12:00:00,960.3020577389999,85.7316708595
 01/12  13:00:00,910.8196640230001,53.9084105063
 01/12  14:00:00,961.445069533,39.5449765403
 01/12  15:00:00,961.171623887,24.2586100525
 01/12  16:00:00,960.3177617489999,20.7261120756
 01/12  17:00:00,1017.46697522,35.833970268899996
 01/12  18:00:00,947.36147864,52.9457337738
 01/12  19:00:00,748.052626021,85.4753601991
 01/12  20:00:00,723.655230879,125.932715331
 01/12  21:00:00,574.41047707,324.690849391
 01/12  22:00:00,550.679076064,712.555970805
 01/12  23:00:00,349.356669688,2.18904934186
 01/12  24:00:00,299.991910512,2.18920677217
 01/13  01:00:00,287.769713125,2.1890919469599996
 01/13  02:00:00,287.769713096,2.1892499290000003
 01/13  03:00:00,287.769713024,2.1891347042700002
 01/13  04:00:00,287.769713075,0.02
 01/13  05:00:00,299.991910863,2.18929261556
 01/13  06:00:00,349.358016355,4.362635658269999
 01/13  07:00:00,424.939707343,308.204994423
 01/13  08:00:00,507.557447286,975.5274329460001
 01/13  09:00:00,1047.09954794,640.193021727
 01/13  10:00:00,1010.32167824,481.007336274
 01/13  11:00:00,960.790895618,273.359017207
 01/13  12:00:00,960.830576448,318.512614413
 01/13  13:00:00,910.672358031,208.45366197599998
 01/13  14:00:00,960.300075033,59.1257613054
 01/13  15:00:00,960.554136932,25.176501349200002
 01/13  16:00:00,960.109503291,22.9140589044
 01/13  17:00:00,1008.92110766,35.677722186
 01/13  18:00:00,947.372303217,57.0495497633
 01/13  19:00:00,748.068640563,97.54915325200001
 01/13  20:00:00,723.715186088,164.015176765
 01/13  21:00:00,574.771382569,532.610501401
 01/13  22:00:00,551.098885618,752.965320732
 01/13  23:00:00,349.35666996300006,2.18927409175
 01/13  24:00:00,299.991910919,2.1890482084
 01/14  01:00:00,237.92898640400003,2.18920709446
 01/14  02:00:00,237.92898649400001,2.1890924257599997
 01/14  03:00:00,237.928986531,2.18925113569
 01/14  04:00:00,238.610032787,3.3591505746900006
 01/14  05:00:00,251.513922935,4.80699822375
 01/14  06:00:00,276.302756305,6.4884897079499995
 01/14  07:00:00,425.08322175,340.107553334
 01/14  08:00:00,407.990608227,1014.98399881
 01/14  09:00:00,648.339596437,688.1364099680001
 01/14  10:00:00,611.106350832,466.943454233
 01/14  11:00:00,561.935412491,370.248082474
 01/14  12:00:00,561.769959267,321.17468938
 01/14  13:00:00,561.6281424069999,248.40667310900002
 01/14  14:00:00,561.398219426,106.903992421
 01/14  15:00:00,317.584895015,118.89885537100001
 01/14  16:00:00,317.613842656,150.798067953
 01/14  17:00:00,361.199830819,239.8779512
 01/14  18:00:00,374.46378676,360.74170710199996
 01/14  19:00:00,347.929664001,2.19048862128
 01/14  20:00:00,323.48526835900003,2.19057701211
 01/14  21:00:00,323.485269035,2.1906652854799997
 01/14  22:00:00,299.041770553,4.36406028851
 01/14  23:00:00,274.595579863,2.18911330491
 01/14  24:00:00,250.151184328,2.18927201593
 01/15  01:00:00,237.92853808599997,2.1885120492200003
 01/15  02:00:00,237.92853765599997,0.02
 01/15  03:00:00,237.928537678,2.18856326854
 01/15  04:00:00,239.289762407,7.311276444480001
 01/15  05:00:00,251.85292491799999,9.2775359725
 01/15  06:00:00,275.959027224,8.69203666138
 01/15  07:00:00,325.187499416,10.7303674378
 01/15  08:00:00,306.573262413,9.46345844881
 01/15  09:00:00,298.366586355,5.1679695062099995
 01/15  10:00:00,261.019249808,4.62197525995
 01/15  11:00:00,211.110933872,2.1885404666999997
 01/15  12:00:00,211.11183123799998,2.18999729438
 01/15  13:00:00,211.111831231,2.19000970438
 01/15  14:00:00,211.11317844599998,4.36416636512
 01/15  15:00:00,211.111831253,2.18993471422
 01/15  16:00:00,211.11093349200002,2.18849243221
 01/15  17:00:00,259.999724384,0.02
 01/15  18:00:00,347.92831826400004,2.18854381723
 01/15  19:00:00,347.928318526,2.1883697793
 01/15  20:00:00,323.483922705,2.18842139208
 01/15  21:00:00,323.483922218,0.02
 01/15  22:00:00,299.040873863,4.36140821456
 01/15  23:00:00,275.275239233,2.08287994895
 01/15  24:00:00,251.51090647599997,6.26993832794
 01/16  01:00:00,238.94862198599998,5.20567211237
 01/16  02:00:00,238.94861231599998,5.19743924705
 01/16  03:00:00,239.289092788,6.677405322439999
 01/16  04:00:00,239.28928784400003,4.71633708388
 01/16  05:00:00,251.51149075799998,6.8943953895600005
 01/16  06:00:00,275.617048657,5.72745443493
 01/16  07:00:00,324.50455891900003,5.79676493278
 01/16  08:00:00,306.230529651,5.70369476853
 01/16  09:00:00,296.66631862099996,2.1884487477400003
 01/16  10:00:00,259.999724745,0.02
 01/16  11:00:00,211.11093368,2.18850079184
 01/16  12:00:00,211.111831801,2.18984880398
 01/16  13:00:00,339.10366864900004,2.18973204181
 01/16  14:00:00,364.60968658,4.36439330806
 01/16  15:00:00,405.225032294,2.19003651996
 01/16  16:00:00,211.11093407400003,2.18856937849
 01/16  17:00:00,259.999725077,2.18839586164
 01/16  18:00:00,347.928317999,0.02
 01/16  19:00:00,347.928318295,2.1884479799400003
 01/16  20:00:00,323.48392306700003,2.18850000775
 01/16  21:00:00,323.483923071,2.18855195123
 01/16  22:00:00,299.040873669,2.19054456469
 01/16  23:00:00,274.59513186,2.1883853127400004
 01/16  24:00:00,250.150735829,2.18843745686
 01/17  01:00:00,287.769714325,0.02
 01/17  02:00:00,287.769714328,2.18928001882
 01/17  03:00:00,287.769714357,2.18916701989
 01/17  04:00:00,287.76971450400004,2.18905400549
 01/17  05:00:00,299.991912282,2.18921476962
 01/17  06:00:00,349.35801887900004,4.3627811723
 01/17  07:00:00,424.834148956,438.661721774
 01/17  08:00:00,506.14135090599996,347.287631935
 01/17  09:00:00,1045.63736486,120.502264258
 01/17  10:00:00,1008.93123113,75.2511810468
 01/17  11:00:00,1049.64517839,57.268433778100004
 01/17  12:00:00,1100.76408679,47.757990939399996
 01/17  13:00:00,1070.70272371,63.5128614651
 01/17  14:00:00,1144.77041177,25.9406213039
 01/17  15:00:00,1161.84961898,16.0292399024
 01/17  16:00:00,1156.22454721,14.268490688599998
 01/17  17:00:00,1109.2093385,29.4153886771
 01/17  18:00:00,947.3102898330001,46.776840952700006
 01/17  19:00:00,747.979292914,84.8262772003
 01/17  20:00:00,723.547681998,103.80923146200001
 01/17  21:00:00,574.0628849980001,148.444790924
 01/17  22:00:00,549.6369675130001,173.050512565
 01/17  23:00:00,349.356671341,2.1893005370900003
 01/17  24:00:00,299.991912215,2.1891868061
 01/18  01:00:00,287.769714821,2.18907437836
 01/18  02:00:00,287.769714818,2.18923559688
 01/18  03:00:00,287.76971485,2.18912307095
 01/18  04:00:00,287.769714909,2.18928419271
 01/18  05:00:00,299.991912647,2.18917170882
 01/18  06:00:00,349.35801847,2.19126272254
 01/18  07:00:00,424.68329735199995,329.010603982
