Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,66.14201141550001,1.27677906486
 01/01  02:00:00,60.4463618358,0.787002391011
 01/01  03:00:00,61.8677389625,1.97440844405
 01/01  04:00:00,54.4942884873,0.209997315479
 01/01  05:00:00,60.2222393556,1.4024218221399998
 01/01  06:00:00,54.491868215,0.14546636699999999
 01/01  07:00:00,61.050297870600005,1.35119259801
 01/01  08:00:00,49.9217913091,0.129538832946
 01/01  09:00:00,45.3946685287,1.29712297975
 01/01  10:00:00,33.379738702800005,0.0772940523106
 01/01  11:00:00,37.8356223967,0.0928506422446
 01/01  12:00:00,32.0200099225,1.15908692737
 01/01  13:00:00,34.2739218588,0.036846034807500004
 01/01  14:00:00,30.8618221686,1.10317832999
 01/01  15:00:00,31.689356624200002,1.10314003104
 01/01  16:00:00,26.908038590500002,0.02
 01/01  17:00:00,35.7486632094,1.10285346208
 01/01  18:00:00,47.0239703232,0.02
 01/01  19:00:00,53.738664861000004,0.02
 01/01  20:00:00,51.41663254189999,1.10298388807
 01/01  21:00:00,58.5322221123,0.20455715644699998
 01/01  22:00:00,53.7808915882,1.25145854002
 01/01  23:00:00,62.9283679479,0.851570242661
 01/01  24:00:00,60.4328111302,2.01176190357
 01/02  01:00:00,71.3386390093,1.7661321906
 01/02  02:00:00,64.6750266893,2.5346103383000003
 01/02  03:00:00,72.2346780899,2.22544929652
 01/02  04:00:00,65.11615294010001,2.7556878425700004
 01/02  05:00:00,72.45285123010001,2.2700004598
 01/02  06:00:00,70.3289219369,2.86399361115
 01/02  07:00:00,272.449990283,0.48344609745800005
 01/02  08:00:00,239.34619935900002,57.9298750317
 01/02  09:00:00,240.21865579599998,49.92700202899999
 01/02  10:00:00,215.41382993099998,43.7576222704
 01/02  11:00:00,200.18605187,40.8638200994
 01/02  12:00:00,194.05201870099998,41.0455940689
 01/02  13:00:00,192.122549282,40.1542844242
 01/02  14:00:00,171.36054374399998,39.1721643258
 01/02  15:00:00,158.17479899100002,37.1530930336
 01/02  16:00:00,148.43232759999998,39.0730507656
 01/02  17:00:00,161.659571776,40.3852789037
 01/02  18:00:00,175.195074255,45.8975811037
 01/02  19:00:00,151.425198319,52.5513146415
 01/02  20:00:00,153.787708816,57.5708214374
 01/02  21:00:00,151.25892020700002,68.2277679706
 01/02  22:00:00,154.786539879,74.4791283352
 01/02  23:00:00,41.6166002114,1.10307937482
 01/02  24:00:00,38.9361841996,0.02
 01/03  01:00:00,47.2796769924,1.9654590002799999
 01/03  02:00:00,46.959390321099995,1.3596706882299998
 01/03  03:00:00,50.3129179533,3.6539172756199996
 01/03  04:00:00,51.2448405021,2.43259307026
 01/03  05:00:00,61.4897464262,5.38320426246
 01/03  06:00:00,66.3059938009,3.7014966297000003
 01/03  07:00:00,231.17138494099999,2.02594284626
 01/03  08:00:00,196.512527527,80.9379025496
 01/03  09:00:00,199.61309821900002,70.19754888109999
 01/03  10:00:00,178.08703578599997,64.0515832015
 01/03  11:00:00,167.429313425,55.837824068100005
 01/03  12:00:00,158.28902148,49.3747114326
 01/03  13:00:00,158.76588940000002,43.696141017799995
 01/03  14:00:00,144.980728569,37.5362873187
