Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,22.236500151199998,66.4896991833
 01/01  02:00:00,14.7570746002,3.3598800000000004
 01/01  03:00:00,14.782736800799999,3.9319309754500003
 01/01  04:00:00,14.794825648699998,3.3598800000000004
 01/01  05:00:00,14.9385276043,3.93193691241
 01/01  06:00:00,22.3778942264,67.8803846922
 01/01  07:00:00,38.321908585100005,81.2393072633
 01/01  08:00:00,42.6147394205,74.98150843270001
 01/01  09:00:00,41.5885236128,71.6749073144
 01/01  10:00:00,34.138886981700004,54.7394881756
 01/01  11:00:00,41.6732860527,65.3314967395
 01/01  12:00:00,42.4133765073,56.3631458728
 01/01  13:00:00,41.775568116,52.1615527514
 01/01  14:00:00,34.2581009673,43.846365946400006
 01/01  15:00:00,34.2379358728,33.4588352993
 01/01  16:00:00,34.209533750300004,47.977910467700006
 01/01  17:00:00,42.678533254499996,70.609088315
 01/01  18:00:00,45.827506980200006,84.2077302893
 01/01  19:00:00,45.8087473207,90.5935634251
 01/01  20:00:00,38.4496562734,72.4890838639
 01/01  21:00:00,38.4219126064,70.2731606521
 01/01  22:00:00,38.3359805456,76.2088312513
 01/01  23:00:00,38.202138975100006,78.8964592934
 01/01  24:00:00,38.977044428,70.6827423909
 01/02  01:00:00,22.233478398699997,74.0015901309
 01/02  02:00:00,14.731893708800001,3.3598800000000004
 01/02  03:00:00,14.770011797999999,3.3598800000000004
 01/02  04:00:00,14.7831115278,3.93195510599
 01/02  05:00:00,14.9342253304,3.3598800000000004
 01/02  06:00:00,22.372396213600002,65.7170014208
 01/02  07:00:00,38.3187949283,77.31925229609999
 01/02  08:00:00,42.6182117436,86.30143667280001
 01/02  09:00:00,41.5841377422,83.56509966520001
 01/02  10:00:00,34.1187315839,66.0898251088
 01/02  11:00:00,41.6304974264,75.8796424737
 01/02  12:00:00,42.4108645055,56.839827423
 01/02  13:00:00,41.9098196331,52.1664144007
 01/02  14:00:00,34.5249410227,42.6448632475
 01/02  15:00:00,34.3538391731,32.5567534646
 01/02  16:00:00,34.295563979899995,41.5108681778
 01/02  17:00:00,42.758187324,57.6067769242
 01/02  18:00:00,45.8834815062,64.4361293268
 01/02  19:00:00,45.8530868829,69.04412997729999
 01/02  20:00:00,38.4866799727,58.8764799641
 01/02  21:00:00,38.4430849808,63.4029173293
 01/02  22:00:00,38.358984188200004,66.2355178071
 01/02  23:00:00,38.245333190100006,59.3247691183
 01/02  24:00:00,39.0077008966,49.4825298799
 01/03  01:00:00,22.2834662219,52.8865351383
 01/03  02:00:00,14.758729488399998,3.3598800000000004
 01/03  03:00:00,14.783213231800001,3.9319319464499998
 01/03  04:00:00,14.7894443527,3.3598800000000004
 01/03  05:00:00,15.4372132853,3.3598800000000004
 01/03  06:00:00,22.8671229006,73.8215711742
 01/03  07:00:00,38.5272537439,85.5816976383
 01/03  08:00:00,42.5969339309,94.5830227659
 01/03  09:00:00,41.5732658702,89.8412064429
 01/03  10:00:00,34.133945290300005,62.1401948258
 01/03  11:00:00,41.6723793419,63.9024026072
 01/03  12:00:00,42.4418422217,53.3306143791
 01/03  13:00:00,42.1619051802,52.161435339499995
 01/03  14:00:00,34.775836875900005,42.645853153699996
 01/03  15:00:00,34.3971046476,32.5573539635
 01/03  16:00:00,34.2967203287,41.4917877409
 01/03  17:00:00,42.775232355300005,57.6190468371
 01/03  18:00:00,45.867675964700005,64.8498059596
 01/03  19:00:00,45.83770374,72.0809425339
 01/03  20:00:00,38.3135739413,65.0540499981
 01/03  21:00:00,38.2888386376,69.1311760678
 01/03  22:00:00,38.2412670638,70.4016867942
 01/03  23:00:00,38.2323039511,63.54089146689999
 01/03  24:00:00,38.9999721239,54.18259367180001
 01/04  01:00:00,22.280516541599997,52.3828310854
 01/04  02:00:00,14.751435213099999,3.3598800000000004
 01/04  03:00:00,14.7769805794,3.93193922438
 01/04  04:00:00,14.7933737171,3.3598800000000004
 01/04  05:00:00,14.9315199852,3.9319451482099996
 01/04  06:00:00,22.3701220184,63.5075823038
 01/04  07:00:00,38.3358355271,67.0814293243
 01/04  08:00:00,42.649158784899996,70.7816997747
 01/04  09:00:00,41.6296500873,64.5418550866
 01/04  10:00:00,34.1892851079,41.9638207896
 01/04  11:00:00,41.7244925321,52.344383727
 01/04  12:00:00,42.468091797,53.3282304316
 01/04  13:00:00,42.7070760591,52.161520142600004
 01/04  14:00:00,36.467750700100005,42.0709180798
 01/04  15:00:00,36.1874429529,33.1328241866
 01/04  16:00:00,35.2940311026,40.9070873454
 01/04  17:00:00,43.0137617837,58.189448946000006
 01/04  18:00:00,45.8858948685,62.3305872661
 01/04  19:00:00,45.8459991368,69.3310001823
 01/04  20:00:00,38.4584860781,64.6173747851
 01/04  21:00:00,38.4241002906,68.80341194649999
 01/04  22:00:00,38.344910933,70.702647633
 01/04  23:00:00,38.2262149054,65.9695612873
