Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,39.747225304299995,0.02
 01/01  02:00:00,41.19586763,0.02
 01/01  03:00:00,40.3323942468,1.10294923944
 01/01  04:00:00,42.0715185075,0.02
 01/01  05:00:00,41.098626031500004,0.02
 01/01  06:00:00,43.0341653197,1.10301792958
 01/01  07:00:00,42.0723626186,0.02
 01/01  08:00:00,33.0462095308,1.10294925101
 01/01  09:00:00,22.7137873307,0.02
 01/01  10:00:00,21.546882660799998,1.1030077297799998
 01/01  11:00:00,19.6814955529,0.02
 01/01  12:00:00,18.7713521762,0.02
 01/01  13:00:00,18.7713521762,1.10303622511
 01/01  14:00:00,18.7713521762,1.10320752055
 01/01  15:00:00,18.7713521762,0.02
 01/01  16:00:00,18.7713521762,0.02
 01/01  17:00:00,21.2386855095,1.1029447693899999
 01/01  18:00:00,33.5753521762,0.02
 01/01  19:00:00,33.5753521762,1.1027235706999998
 01/01  20:00:00,33.5753521762,0.02
 01/01  21:00:00,33.5753521762,1.1029504615899999
 01/01  22:00:00,33.5753521762,0.02
 01/01  23:00:00,38.8700871559,0.02
 01/01  24:00:00,39.2145867965,1.1029510733499999
 01/02  01:00:00,44.88670468229999,0.02
 01/02  02:00:00,45.1258159128,1.10299101498
 01/02  03:00:00,46.1405562372,0.02
 01/02  04:00:00,43.484035858,1.10299225018
 01/02  05:00:00,46.6992550712,0.02
 01/02  06:00:00,47.825600205,1.10310922687
 01/02  07:00:00,219.54452068900002,0.02
 01/02  08:00:00,190.337570252,1.10360021798
 01/02  09:00:00,208.19200782,2.18837501122
 01/02  10:00:00,187.96140446299998,2.18885695895
 01/02  11:00:00,175.51603069400002,2.18875543112
 01/02  12:00:00,170.558981079,2.18961896696
 01/02  13:00:00,173.98974403,2.19016912691
 01/02  14:00:00,163.749755185,3.2753265001700003
 01/02  15:00:00,156.328722583,2.18859341962
 01/02  16:00:00,154.19981967,1.1041298467799998
 01/02  17:00:00,160.501994889,2.18920782439
 01/02  18:00:00,168.956658151,2.1882814003999997
 01/02  19:00:00,142.968577626,1.1037245605200001
 01/02  20:00:00,141.312728232,1.10338002381
 01/02  21:00:00,134.90008620700002,1.10349903095
 01/02  22:00:00,135.7034495,1.10310740131
 01/02  23:00:00,41.6166002114,0.02
 01/02  24:00:00,38.9361841996,0.02
 01/03  01:00:00,38.9361841996,1.1029911974200002
 01/03  02:00:00,38.9361841996,0.02
 01/03  03:00:00,38.9361841996,1.10299147484
 01/03  04:00:00,38.9361841996,0.02
 01/03  05:00:00,38.9361841996,1.10299116293
 01/03  06:00:00,41.6166002114,0.02
 01/03  07:00:00,169.305884666,1.10307933355
 01/03  08:00:00,151.24500632,2.7016883538
 01/03  09:00:00,173.06626252599997,1.14825074255
 01/03  10:00:00,151.451752683,2.18873699045
 01/03  11:00:00,135.093399998,2.18866493562
 01/03  12:00:00,133.250997702,2.18919845062
 01/03  13:00:00,135.889661209,3.2753554466400003
 01/03  14:00:00,127.93428866200001,3.2753391014999997
 01/03  15:00:00,130.951240557,1.1041273774
 01/03  16:00:00,125.657533025,2.1884404776700004
 01/03  17:00:00,143.350553483,2.18929887405
 01/03  18:00:00,153.94388297700002,2.1877259515
 01/03  19:00:00,125.277486638,1.10370848499
 01/03  20:00:00,126.358089097,1.10340147334
 01/03  21:00:00,119.676221556,1.10344997602
 01/03  22:00:00,119.83520237799999,0.02
 01/03  23:00:00,41.6166002114,1.10298879015
 01/03  24:00:00,38.9361841996,0.02
 01/04  01:00:00,38.9361841996,0.02
 01/04  02:00:00,38.9361841996,1.1029921256
 01/04  03:00:00,38.9361841996,0.02
 01/04  04:00:00,38.9361841996,1.10298895276
 01/04  05:00:00,38.9361841996,0.02
 01/04  06:00:00,41.6166002114,1.1031077711
 01/04  07:00:00,146.317653129,0.02
 01/04  08:00:00,134.900787841,1.1035795879899999
 01/04  09:00:00,160.519824107,2.18849247354
 01/04  10:00:00,144.975339862,2.18865809854
 01/04  11:00:00,140.14348111799998,2.18909301842
 01/04  12:00:00,136.646764485,2.18964586885
 01/04  13:00:00,143.678465942,3.27566509163
 01/04  14:00:00,141.689582519,2.1904083657599998
 01/04  15:00:00,137.501738354,2.18879372622
 01/04  16:00:00,135.973477103,2.18824282409
 01/04  17:00:00,145.760402852,2.18927928159
 01/04  18:00:00,153.690976312,1.1039228513400001
 01/04  19:00:00,123.70459525,1.10371286859
 01/04  20:00:00,124.283871946,1.1034393383299999
 01/04  21:00:00,116.18102992,1.1035359910100002
 01/04  22:00:00,117.276941617,1.10311685894
 01/04  23:00:00,41.6166002114,0.02
 01/04  24:00:00,38.9361841996,1.10299155957
 01/05  01:00:00,38.9361841996,0.02
 01/05  02:00:00,38.9361841996,1.10299165023
 01/05  03:00:00,38.9361841996,0.02
