Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,33.5753521762,0.02
 01/01  02:00:00,33.5753521762,0.02
 01/01  03:00:00,33.5753521762,1.10293137364
 01/01  04:00:00,33.5753521762,0.02
 01/01  05:00:00,33.5753521762,0.02
 01/01  06:00:00,33.5753521762,1.10303212912
 01/01  07:00:00,31.108018842899998,0.02
 01/01  08:00:00,18.7713521762,1.10296600831
 01/01  09:00:00,18.7713521762,0.02
 01/01  10:00:00,18.7713521762,0.02
 01/01  11:00:00,18.7713521762,1.10296381221
 01/01  12:00:00,25.523929912199996,0.02
 01/01  13:00:00,28.8023746641,1.1030036519600002
 01/01  14:00:00,34.4782612777,0.02
 01/01  15:00:00,26.991025892399996,1.10304520611
 01/01  16:00:00,18.7713521762,0.02
 01/01  17:00:00,23.7060188429,0.02
 01/01  18:00:00,33.5753521762,1.10292675491
 01/01  19:00:00,33.5753521762,0.02
 01/01  20:00:00,33.5753521762,1.10293162831
 01/01  21:00:00,33.5753521762,0.02
 01/01  22:00:00,33.5753521762,0.02
 01/01  23:00:00,33.5753521762,1.10298023607
 01/01  24:00:00,33.5753521762,0.02
 01/02  01:00:00,38.9361841996,1.1029659998
 01/02  02:00:00,38.9361841996,0.02
 01/02  03:00:00,38.9361841996,1.10296584654
 01/02  04:00:00,38.9361841996,0.02
 01/02  05:00:00,38.9361841996,0.02
 01/02  06:00:00,41.6166002114,1.1030609985100002
 01/02  07:00:00,140.165141069,0.02
 01/02  08:00:00,114.52000360299999,16.8932423695
 01/02  09:00:00,141.359894821,2.33402366879
 01/02  10:00:00,129.847248767,1.10427708859
 01/02  11:00:00,129.209528834,2.1883928235299996
 01/02  12:00:00,133.369284271,2.18916776562
 01/02  13:00:00,135.024368286,2.18985130275
 01/02  14:00:00,135.209632463,3.27444710851
 01/02  15:00:00,129.93482177200002,1.1039682654799998
 01/02  16:00:00,128.105398334,2.1878468636400004
 01/02  17:00:00,130.59981728,2.18877870271
 01/02  18:00:00,126.405382165,1.1037938864299999
 01/02  19:00:00,90.3885695316,1.10354906859
 01/02  20:00:00,88.8168423688,1.10335000958
 01/02  21:00:00,77.9497245078,1.1034197191600001
 01/02  22:00:00,79.6856467354,0.02
 01/02  23:00:00,41.6166002114,1.10296616325
 01/02  24:00:00,38.9361841996,0.02
 01/03  01:00:00,38.9361841996,0.02
 01/03  02:00:00,38.9361841996,1.10296355384
 01/03  03:00:00,38.9361841996,0.02
 01/03  04:00:00,38.9361841996,1.1029661686299999
 01/03  05:00:00,38.9361841996,0.02
 01/03  06:00:00,41.6166002114,1.1030719424200002
 01/03  07:00:00,94.1055684054,0.02
 01/03  08:00:00,85.3346497383,1.46100330856
 01/03  09:00:00,131.570123081,2.18828193028
 01/03  10:00:00,127.452078071,1.1041653554700002
 01/03  11:00:00,127.978890972,2.1884641343099998
 01/03  12:00:00,131.42396568700002,2.18930115043
 01/03  13:00:00,131.060055557,2.18976285134
 01/03  14:00:00,130.773107277,2.18954803469
 01/03  15:00:00,124.896922975,2.18846089033
 01/03  16:00:00,124.282653324,2.1878385892
 01/03  17:00:00,131.46331749,1.10447555895
 01/03  18:00:00,128.283282772,2.1878231804
 01/03  19:00:00,91.42066045709998,1.1035010919700001
 01/03  20:00:00,89.24687108280001,0.02
 01/03  21:00:00,76.89575197010001,1.1034050511700002
 01/03  22:00:00,77.7473828722,1.10310544955
 01/03  23:00:00,41.6166002114,0.02
 01/03  24:00:00,38.9361841996,1.1029644377799999
 01/04  01:00:00,38.9361841996,0.02
 01/04  02:00:00,38.9361841996,1.10296643181
 01/04  03:00:00,38.9361841996,0.02
 01/04  04:00:00,38.9361841996,0.02
 01/04  05:00:00,38.9361841996,1.10296574101
 01/04  06:00:00,41.6166002114,0.02
 01/04  07:00:00,82.818447293,1.10307707605
 01/04  08:00:00,75.6498596469,1.10350803702
 01/04  09:00:00,129.960379066,1.10420694465
 01/04  10:00:00,126.97042488,2.1884112338599997
 01/04  11:00:00,128.01125572,2.1885480569099998
 01/04  12:00:00,131.823990076,2.1889398066999997
 01/04  13:00:00,133.50523895799998,2.18974367586
 01/04  14:00:00,137.281583428,2.1897613005700003
 01/04  15:00:00,128.463046187,2.1882869860799996
 01/04  16:00:00,123.835070016,1.10393905463
 01/04  17:00:00,128.674651385,2.18843621814
 01/04  18:00:00,124.975569027,1.10379231891
 01/04  19:00:00,88.3375415474,1.10371596675
 01/04  20:00:00,88.45759229120002,1.10345366485
 01/04  21:00:00,72.567844864,1.10338848009
 01/04  22:00:00,71.2784592141,1.10306939661
 01/04  23:00:00,41.6166002114,0.02
 01/04  24:00:00,38.9361841996,1.10296614894
 01/05  01:00:00,38.9361841996,0.02
 01/05  02:00:00,38.9361841996,0.02
 01/05  03:00:00,38.9361841996,1.1029663114100001
 01/05  04:00:00,38.9361841996,0.02
 01/05  05:00:00,38.9361841996,1.1029638219600002
 01/05  06:00:00,41.6166002114,0.02
 01/05  07:00:00,91.5932280943,1.10304274081
 01/05  08:00:00,81.584331053,7.61218915531
 01/05  09:00:00,128.913186466,1.10412412644
 01/05  10:00:00,121.405038733,2.18852960071
 01/05  11:00:00,123.27076071799999,1.1041525976200002
 01/05  12:00:00,127.070870565,2.1889984255
 01/05  13:00:00,127.95353677899999,3.27448617274
 01/05  14:00:00,130.667386735,2.18970212111
 01/05  15:00:00,128.128895393,2.18807063026
 01/05  16:00:00,126.80431398399999,1.10396190913
 01/05  17:00:00,128.27146461200002,2.18890332109
 01/05  18:00:00,120.689606129,1.1037404014399999
 01/05  19:00:00,84.2522518837,1.10354836546
 01/05  20:00:00,84.3962885506,1.10332415584
 01/05  21:00:00,72.8080570969,1.10343741004
 01/05  22:00:00,75.5484822205,0.02
 01/05  23:00:00,41.6166002114,1.10309419626
 01/05  24:00:00,38.9361841996,0.02
 01/06  01:00:00,38.9361841996,1.10296658681
 01/06  02:00:00,38.9361841996,0.02
 01/06  03:00:00,38.9361841996,1.10296616187
 01/06  04:00:00,38.9361841996,0.02
 01/06  05:00:00,38.9361841996,0.02
 01/06  06:00:00,41.6166002114,1.1030743088700001
 01/06  07:00:00,107.254985299,0.02
 01/06  08:00:00,93.4466423265,27.796112272
 01/06  09:00:00,133.33696967,7.58094659503
 01/06  10:00:00,119.545387643,1.10420424506
 01/06  11:00:00,119.59071638200001,2.18853046582
 01/06  12:00:00,126.231975693,2.1888643867299997
 01/06  13:00:00,127.327952791,3.2742928072299997
 01/06  14:00:00,128.999048151,2.1896655755000003
 01/06  15:00:00,124.334192626,1.10404835473
 01/06  16:00:00,121.74458746,2.1880160918900002
 01/06  17:00:00,123.37217975200001,2.18896813057
 01/06  18:00:00,119.50401315200001,1.1037295775700002
 01/06  19:00:00,87.096228224,1.10351430609
 01/06  20:00:00,89.92766609200001,6.900582292619999
 01/06  21:00:00,84.2402824043,20.8890248409
 01/06  22:00:00,88.98248053440001,29.202455480999998
 01/06  23:00:00,41.6166002114,1.10296531911
 01/06  24:00:00,38.9361841996,0.02
 01/07  01:00:00,33.5753521762,1.10296650802
 01/07  02:00:00,33.5753521762,0.02
 01/07  03:00:00,33.5753521762,0.02
 01/07  04:00:00,33.5753521762,1.1029665149099999
 01/07  05:00:00,33.5753521762,0.02
 01/07  06:00:00,33.5753521762,1.10307937376
 01/07  07:00:00,130.400558705,0.06384581016890001
 01/07  08:00:00,95.3512237926,31.856098914
 01/07  09:00:00,89.9232600168,4.974228890319999
 01/07  10:00:00,83.5925330108,1.10359892733
 01/07  11:00:00,83.14802666060001,1.1034985878399999
 01/07  12:00:00,86.9655500814,1.10357098595
 01/07  13:00:00,85.5401847824,1.10348048192
 01/07  14:00:00,79.1808785926,1.10351940692
 01/07  15:00:00,53.31131413520001,0.02
 01/07  16:00:00,52.1977411597,1.10330233706
 01/07  17:00:00,54.022126336499994,1.10329280299
 01/07  18:00:00,64.1094821913,0.0677765553663
 01/07  19:00:00,33.5753521762,1.10309938617
 01/07  20:00:00,33.5753521762,0.02
 01/07  21:00:00,33.5753521762,1.1030368399
 01/07  22:00:00,33.5753521762,0.02
 01/07  23:00:00,33.5753521762,1.1030397364700002
 01/07  24:00:00,33.5753521762,0.02
 01/08  01:00:00,33.5753521762,1.1029286009000001
 01/08  02:00:00,33.5753521762,0.02
 01/08  03:00:00,33.5753521762,0.02
 01/08  04:00:00,33.5753521762,1.10292395408
 01/08  05:00:00,33.5753521762,0.02
 01/08  06:00:00,33.5753521762,1.10304339207
 01/08  07:00:00,31.108018842899998,0.02
 01/08  08:00:00,18.7713521762,1.10293204784
 01/08  09:00:00,18.7713521762,0.02
 01/08  10:00:00,18.7713521762,0.02
 01/08  11:00:00,18.7713521762,1.1029308675799998
 01/08  12:00:00,18.7713521762,0.02
 01/08  13:00:00,18.7713521762,1.10300416797
 01/08  14:00:00,18.7713521762,0.02
 01/08  15:00:00,18.7713521762,1.10300035603
 01/08  16:00:00,18.7713521762,0.02
 01/08  17:00:00,23.7060188429,0.02
 01/08  18:00:00,33.5753521762,1.10292840074
 01/08  19:00:00,33.5753521762,0.02
 01/08  20:00:00,33.5753521762,0.02
 01/08  21:00:00,33.5753521762,1.1029232327
 01/08  22:00:00,33.5753521762,0.02
 01/08  23:00:00,33.5753521762,1.10292335736
 01/08  24:00:00,33.5753521762,0.02
 01/09  01:00:00,38.9361841996,1.10296598466
 01/09  02:00:00,38.9361841996,0.02
 01/09  03:00:00,38.9361841996,0.02
 01/09  04:00:00,38.9361841996,1.10296697311
 01/09  05:00:00,38.9361841996,0.02
 01/09  06:00:00,41.6166002114,1.10308160578
 01/09  07:00:00,152.882533189,0.02
 01/09  08:00:00,133.449172056,9.297932092089999
 01/09  09:00:00,158.463185028,2.66141977928
