Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,38.847130933,12.6353599055
 01/01  02:00:00,38.4593233688,18.572892419400002
 01/01  03:00:00,33.366480541,13.966777775499999
 01/01  04:00:00,33.1331607311,20.4576239473
 01/01  05:00:00,34.531278734299995,15.8549998925
 01/01  06:00:00,38.5936775535,20.6661499448
 01/01  07:00:00,59.264244984799994,19.346714353699998
 01/01  08:00:00,69.9058005628,22.0137688782
 01/01  09:00:00,96.2763288223,35.7433633494
 01/01  10:00:00,79.84977251699999,49.3554464129
 01/01  11:00:00,53.8312843317,46.43364415479999
 01/01  12:00:00,51.4030331785,40.354965688600004
 01/01  13:00:00,51.901830685200004,39.7565877061
 01/01  14:00:00,52.474537272,42.461285859899995
 01/01  15:00:00,52.54298399060001,36.5228878345
 01/01  16:00:00,52.1833511863,38.938683748
 01/01  17:00:00,57.8350044563,29.2914347154
 01/01  18:00:00,72.7538297861,12.0403198098
 01/01  19:00:00,88.1404942402,14.7013347608
 01/01  20:00:00,89.52575392680001,15.280740346099998
 01/01  21:00:00,96.217989775,17.0237113113
 01/01  22:00:00,93.96261253459998,23.687058906300003
 01/01  23:00:00,70.2133542574,23.6254663227
 01/01  24:00:00,45.563912153800004,18.150689798800002
 01/02  01:00:00,37.5086010402,12.6473840244
 01/02  02:00:00,35.4649908922,19.5670636642
 01/02  03:00:00,33.2131232089,15.581060304300001
 01/02  04:00:00,32.9823852216,22.097265269
 01/02  05:00:00,34.471211858000004,22.2706787038
 01/02  06:00:00,42.1821606376,21.4848668404
 01/02  07:00:00,74.08764532069999,26.437797191199998
 01/02  08:00:00,87.27944970540001,24.6221993563
 01/02  09:00:00,73.4741017523,38.229453672199995
 01/02  10:00:00,68.2499073326,49.9859427686
 01/02  11:00:00,49.4279113454,44.4933831071
 01/02  12:00:00,49.6055833137,41.5315559804
 01/02  13:00:00,50.2329100151,46.0885647919
 01/02  14:00:00,50.910826782700006,37.0111408847
 01/02  15:00:00,51.1880760476,36.5807677015
 01/02  16:00:00,50.301829948299996,38.735497463
 01/02  17:00:00,56.420387393999995,28.7451766694
 01/02  18:00:00,75.5554071319,11.4284876202
 01/02  19:00:00,82.8531911667,21.1574296496
