Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,117.80394590600001,4.85426
 01/01  02:00:00,117.79175173600001,4.85426
 01/01  03:00:00,117.77252563,4.85426
 01/01  04:00:00,117.830122144,4.85426
 01/01  05:00:00,118.320613638,4.85426
 01/01  06:00:00,118.28442558299999,4.85426
 01/01  07:00:00,115.411541495,13.444534132000001
 01/01  08:00:00,100.333602695,4.85426
 01/01  09:00:00,100.33996011,4.85426
 01/01  10:00:00,100.44290934200001,4.85426
 01/01  11:00:00,100.498438193,4.85426
 01/01  12:00:00,101.339775191,13.4507065164
 01/01  13:00:00,123.28679218100001,4.85426
 01/01  14:00:00,219.307116071,4.85426
 01/01  15:00:00,203.553598579,4.85426
 01/01  16:00:00,192.822846397,13.4446712656
 01/01  17:00:00,140.133522345,4.85426
 01/01  18:00:00,118.152893439,4.85426
 01/01  19:00:00,118.11566382,4.85426
 01/01  20:00:00,118.547076553,4.85426
 01/01  21:00:00,118.47140648700001,4.85426
 01/01  22:00:00,118.21157666,4.85426
 01/01  23:00:00,117.84632611200001,13.444697569
 01/01  24:00:00,118.684108381,4.85426
 01/02  01:00:00,117.794969379,4.85426
 01/02  02:00:00,117.78526139799999,4.85426
 01/02  03:00:00,117.77349703799999,13.4505001323
 01/02  04:00:00,117.753485074,4.85426
 01/02  05:00:00,118.17106897299999,4.85426
 01/02  06:00:00,118.1404519,4.85426
 01/02  07:00:00,185.932501615,690.410640447
 01/02  08:00:00,348.53415704099996,513.8357561390001
 01/02  09:00:00,490.012891561,254.791517695
 01/02  10:00:00,627.903657599,90.7695362784
 01/02  11:00:00,804.8392656039999,83.9003286131
 01/02  12:00:00,837.4883253080001,84.0087416102
 01/02  13:00:00,845.535758362,93.0392382328
 01/02  14:00:00,837.785201867,68.94265502649999
 01/02  15:00:00,837.998477717,59.69889339229999
 01/02  16:00:00,839.1950642139999,40.4186369821
 01/02  17:00:00,855.7039747160001,40.1753160885
 01/02  18:00:00,703.617060928,31.340806503400003
 01/02  19:00:00,565.7930734319999,42.70962023
 01/02  20:00:00,485.788222543,35.1224284784
 01/02  21:00:00,479.655244104,52.264412165500005
 01/02  22:00:00,118.160299705,13.501362528800001
 01/02  23:00:00,117.857181877,4.85426
 01/02  24:00:00,118.81504060700001,13.462464505
 01/03  01:00:00,117.879163277,4.85426
 01/03  02:00:00,117.857407744,4.85426
 01/03  03:00:00,117.839239088,4.85426
 01/03  04:00:00,117.821705741,13.4505547267
 01/03  05:00:00,119.919397319,4.85426
 01/03  06:00:00,119.57687577200001,4.85426
 01/03  07:00:00,186.621849399,695.9266681889999
 01/03  08:00:00,348.519273564,503.055350026
 01/03  09:00:00,466.08071232300006,281.584609557
 01/03  10:00:00,561.385000099,135.108732826
 01/03  11:00:00,731.404937897,83.8965113147
 01/03  12:00:00,812.760147382,84.0157647564
 01/03  13:00:00,804.88869183,93.03817463799999
 01/03  14:00:00,798.941620306,68.9386221046
 01/03  15:00:00,803.523732595,59.704858485600006
 01/03  16:00:00,762.032450885,41.0295495379
 01/03  17:00:00,644.043397353,40.901974571
 01/03  18:00:00,518.423831266,73.7220276205
 01/03  19:00:00,477.93858305199996,90.43222842200001
 01/03  20:00:00,450.166012976,74.7438827223
 01/03  21:00:00,448.05439388800005,90.3846748378
 01/03  22:00:00,117.87036537799999,13.5015367805
 01/03  23:00:00,117.89597499700001,4.85426
 01/03  24:00:00,118.793911419,13.4624616011
 01/04  01:00:00,117.858965912,4.85426
 01/04  02:00:00,117.83323239,4.85426
 01/04  03:00:00,117.810767411,4.85426
 01/04  04:00:00,117.791746262,4.85426
 01/04  05:00:00,118.209069483,13.4507181546
 01/04  06:00:00,118.181839815,4.85426
