Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,239.81107101799998,15.3722570789
 01/01  02:00:00,239.437456064,17.5076892705
 01/01  03:00:00,239.819169148,26.1038028967
 01/01  04:00:00,239.44298407099998,23.383609244099997
 01/01  05:00:00,252.050662771,35.9750954346
 01/01  06:00:00,276.117036735,29.814639195599998
 01/01  07:00:00,325.390157226,42.6606051908
 01/01  08:00:00,306.730343444,29.6818008961
 01/01  09:00:00,298.557755475,27.075742195
 01/01  10:00:00,282.97951704,12.109736472
 01/01  11:00:00,211.11101598099998,0.02
 01/01  12:00:00,211.111955445,4.36105354369
 01/01  13:00:00,263.09717629200003,2.19049580142
 01/01  14:00:00,483.581475615,4.36613098968
 01/01  15:00:00,258.207165131,2.1905050917099995
 01/01  16:00:00,211.11101642900002,2.1887473856799997
 01/01  17:00:00,268.543474229,2.18887547096
 01/01  18:00:00,347.928400785,2.18875106993
 01/01  19:00:00,348.677390409,2.00474888551
 01/01  20:00:00,324.982894475,7.124423622360001
 01/01  21:00:00,325.360417244,11.3343639386
 01/01  22:00:00,300.543131112,12.730706639500001
 01/01  23:00:00,276.473179072,10.838002848599999
 01/01  24:00:00,251.65380763,11.5115882084
 01/02  01:00:00,289.650092979,15.4996335576
 01/02  02:00:00,289.274902671,13.7760738726
 01/02  03:00:00,289.65329815900003,18.9695241046
 01/02  04:00:00,289.276894375,15.9479973934
 01/02  05:00:00,301.87703139900003,20.6734074538
 01/02  06:00:00,350.86650329400004,19.5096046825
 01/02  07:00:00,428.877154413,1159.88115601
 01/02  08:00:00,509.95435463900003,852.162604892
 01/02  09:00:00,1049.15757092,318.555715002
 01/02  10:00:00,1106.46699765,168.673284051
 01/02  11:00:00,1227.31233373,108.756543116
 01/02  12:00:00,1249.88574537,112.93417128200001
 01/02  13:00:00,1206.18065484,140.83263332299998
 01/02  14:00:00,1262.60376504,109.971357741
 01/02  15:00:00,1244.3700299,117.356435766
 01/02  16:00:00,1175.46223243,143.675209757
 01/02  17:00:00,1168.7405269,174.867840908
 01/02  18:00:00,1019.96141371,219.109635507
 01/02  19:00:00,751.483372087,290.105937495
 01/02  20:00:00,727.049310462,307.77462083
 01/02  21:00:00,577.57045936,365.054943659
 01/02  22:00:00,563.354141743,382.16938231800003
 01/02  23:00:00,349.35677485900004,2.18968602902
 01/02  24:00:00,299.99201581,2.18976174212
 01/03  01:00:00,287.769818605,2.1895331292200004
 01/03  02:00:00,287.769818571,2.18961014089
 01/03  03:00:00,287.769818597,2.18968705182
 01/03  04:00:00,287.769818667,2.18976386096
 01/03  05:00:00,299.992016474,2.18953490511
 01/03  06:00:00,349.358184994,4.3643000304
 01/03  07:00:00,428.31316727800004,702.0001725689999
 01/03  08:00:00,509.611315149,562.004688924
 01/03  09:00:00,1049.13380455,330.312673171
 01/03  10:00:00,1012.51103721,387.68021700400004
 01/03  11:00:00,963.5897361130001,346.70520019199995
 01/03  12:00:00,963.4995014000001,230.264025858
 01/03  13:00:00,913.665679707,236.640664542
 01/03  14:00:00,963.470868518,192.470060631
 01/03  15:00:00,1009.35236945,177.90513050599998
 01/03  16:00:00,975.742742936,196.297131093
 01/03  17:00:00,1020.92832506,231.600776004
 01/03  18:00:00,950.81525576,264.885947241
 01/03  19:00:00,751.516470919,354.711976241
 01/03  20:00:00,727.0670286789999,349.87458823099996
 01/03  21:00:00,577.56065668,372.583748198
 01/03  22:00:00,558.414837286,374.94063277199996
 01/03  23:00:00,349.356775465,2.1897221344799997
 01/03  24:00:00,299.992016435,2.18919549797
 01/04  01:00:00,287.769819148,2.18957153691
 01/04  02:00:00,287.769819147,2.18964962651
 01/04  03:00:00,287.76981919900004,2.18972761694
 01/04  04:00:00,287.76981928,2.18949954507
 01/04  05:00:00,299.992017026,2.1895778566599997
 01/04  06:00:00,349.35818592699997,4.36439291041
 01/04  07:00:00,433.47586531,559.244792417
 01/04  08:00:00,509.53330668300003,484.32973616199996
 01/04  09:00:00,1049.10795793,308.61556953400003
 01/04  10:00:00,1012.47377309,350.927148525
 01/04  11:00:00,1007.41323611,305.05800682
 01/04  12:00:00,1055.18737698,207.50777418400003
 01/04  13:00:00,1104.61763852,202.407557758
 01/04  14:00:00,1249.6310104,161.83368745
 01/04  15:00:00,1289.86166777,112.969923059
