Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,22.335599774400002,49.7902652772
 01/01  02:00:00,14.7914776083,3.3598800000000004
 01/01  03:00:00,14.8152406588,3.9319318215400005
 01/01  04:00:00,14.8256376443,3.3598800000000004
 01/01  05:00:00,14.974206031900001,3.9319377571499996
 01/01  06:00:00,22.462374131799997,58.666290974300004
 01/01  07:00:00,38.4291515977,65.46480197140001
 01/01  08:00:00,41.6593050511,61.66269463
 01/01  09:00:00,41.674921208200004,61.9930197809
 01/01  10:00:00,34.2256340734,48.5855511026
 01/01  11:00:00,41.7602820104,60.9673325246
 01/01  12:00:00,42.5175224778,53.3305747814
 01/01  13:00:00,41.8741697755,50.997973536
 01/01  14:00:00,34.347491714499995,42.6898309352
 01/01  15:00:00,34.3497598979,32.0441238644
 01/01  16:00:00,34.3060972105,41.984759236500004
 01/01  17:00:00,42.766976341100005,61.8646819355
 01/01  18:00:00,45.92573792020001,70.5063248669
 01/01  19:00:00,45.910331821899995,75.18368623229999
 01/01  20:00:00,38.5475608442,59.7910795617
 01/01  21:00:00,38.5176549027,59.2369324327
 01/01  22:00:00,38.4314119458,62.5135986449
 01/01  23:00:00,38.3177451754,55.2773121585
 01/01  24:00:00,39.0731186374,42.5598028551
 01/02  01:00:00,22.3547609433,45.6516935258
 01/02  02:00:00,14.7965364252,3.9319342180400003
 01/02  03:00:00,14.8233991874,3.3598800000000004
 01/02  04:00:00,14.835170158099999,3.9319401498400004
 01/02  05:00:00,14.9851268499,3.3598800000000004
 01/02  06:00:00,22.470300938,47.1503147237
 01/02  07:00:00,38.4365958202,53.47152486939999
 01/02  08:00:00,41.680834746500004,57.8424921603
 01/02  09:00:00,41.70578864,57.25483749560001
 01/02  10:00:00,34.279499158200004,36.192375399999996
 01/02  11:00:00,42.3872121925,51.0073787237
 01/02  12:00:00,43.9913259505,52.16331271520001
 01/02  13:00:00,44.377035612200004,51.0003290846
 01/02  14:00:00,36.2045157203,42.0615123839
 01/02  15:00:00,34.6102964249,31.9749228558
 01/02  16:00:00,34.3527871185,40.337665543600004
 01/02  17:00:00,42.843993530300004,57.02577219609999
 01/02  18:00:00,45.9497810408,60.6708407133
 01/02  19:00:00,45.919631648999996,67.52434319380001
 01/02  20:00:00,38.5411188634,60.0554934419
 01/02  21:00:00,38.5239759289,57.1152906186
 01/02  22:00:00,38.4485631933,55.927982002
 01/02  23:00:00,38.326037004899995,50.5760440896
 01/02  24:00:00,39.0742679434,43.05426056
 01/03  01:00:00,22.355920968299998,46.48740168689999
 01/03  02:00:00,14.7940772175,3.9319324994300002
 01/03  03:00:00,14.8173648724,3.3598800000000004
 01/03  04:00:00,14.8249448727,3.3598800000000004
 01/03  05:00:00,15.4834499384,3.9319384339599996
 01/03  06:00:00,22.9662589818,56.0056662068
 01/03  07:00:00,38.642035308800004,64.23964063439999
 01/03  08:00:00,41.6504544132,72.73794931649999
 01/03  09:00:00,41.688351196300005,65.280515165
 01/03  10:00:00,34.2702646955,37.894485259899994
 01/03  11:00:00,41.8792947151,50.998909806099995
 01/03  12:00:00,45.6024559608,52.1624338619
 01/03  13:00:00,48.5841349074,50.99897486850001
 01/03  14:00:00,41.220643462,42.0628838002
 01/03  15:00:00,40.308418541,31.974924634
 01/03  16:00:00,36.8151827596,40.3263049814
 01/03  17:00:00,43.7791253384,57.0256082642
 01/03  18:00:00,46.837168619399996,59.34803466899999
 01/03  19:00:00,46.910794982,62.8487354601
 01/03  20:00:00,38.9125630478,47.3204990154
 01/03  21:00:00,38.791482321,44.978514618599995
 01/03  22:00:00,38.4134492617,37.8154949727
 01/03  23:00:00,38.3912200063,27.202770404699997
 01/03  24:00:00,39.1346015777,14.7833416243
 01/04  01:00:00,22.4103771463,18.8146054307
 01/04  02:00:00,14.8421665946,3.9319517248199998
 01/04  03:00:00,14.8656902412,3.3598800000000004
 01/04  04:00:00,14.8725302073,3.3598800000000004
 01/04  05:00:00,15.0289758266,3.9319576287599998
 01/04  06:00:00,22.503002747600004,32.0608700628
 01/04  07:00:00,38.456026522100004,41.173284233400004
 01/04  08:00:00,41.7156009157,42.5059475547
 01/04  09:00:00,41.7672698584,46.1253554401
 01/04  10:00:00,34.3179836727,35.4697779515
 01/04  11:00:00,41.8029738462,50.9995823734
 01/04  12:00:00,42.477037528000004,52.1919848695
 01/04  13:00:00,46.754950780200005,51.5749990751
 01/04  14:00:00,42.0696360666,41.484188369
 01/04  15:00:00,39.7411865066,31.975142504
 01/04  16:00:00,37.1968528908,40.326019261999996
 01/04  17:00:00,44.51801965439999,57.0257993429
 01/04  18:00:00,46.6233270515,59.347553616999996
 01/04  19:00:00,46.3938077441,62.848916676099996
 01/04  20:00:00,38.5860862363,47.400121976899996
 01/04  21:00:00,38.5462028572,45.014504582700006
 01/04  22:00:00,38.452394263,44.565895817299996
 01/04  23:00:00,38.3231427773,40.3197956433
 01/04  24:00:00,39.0715620406,34.1483331367
 01/05  01:00:00,22.352305812399997,38.6960636272
 01/05  02:00:00,14.787563670299999,3.93196095579
 01/05  03:00:00,14.8092784329,3.3598800000000004
 01/05  04:00:00,14.8155041922,3.9319410064199998
 01/05  05:00:00,14.961302551800001,3.3598800000000004
 01/05  06:00:00,22.438537816900002,54.2434214204
 01/05  07:00:00,38.3963345695,62.544818916400004
 01/05  08:00:00,41.675242652399994,56.7594340212
 01/05  09:00:00,41.740912804699995,47.090309839700005
 01/05  10:00:00,34.3232547564,35.4677302846
 01/05  11:00:00,43.5227453241,50.998052752
 01/05  12:00:00,48.629132592299996,52.1625007688
 01/05  13:00:00,47.643071074,50.9957330968
 01/05  14:00:00,37.4673772685,41.4855279927
 01/05  15:00:00,35.4799174235,31.9756756919
 01/05  16:00:00,34.3651944596,40.3421223609
 01/05  17:00:00,42.799129528099996,57.523002023400004
 01/05  18:00:00,45.9510029375,59.6044794542
 01/05  19:00:00,45.9605921079,62.2697787421
 01/05  20:00:00,38.5985525512,47.686897449700005
 01/05  21:00:00,38.5579498979,48.9683932121
 01/05  22:00:00,38.4658681597,51.0871511532
 01/05  23:00:00,38.3405400326,45.832593956400004
 01/05  24:00:00,39.088304374699995,38.3626262894
 01/06  01:00:00,22.3701635933,42.3863607849
 01/06  02:00:00,14.806823519100002,3.3598800000000004
 01/06  03:00:00,14.829993036900001,3.9319480628900005
 01/06  04:00:00,14.837472565999999,3.3598800000000004
 01/06  05:00:00,15.4958987103,3.3598800000000004
 01/06  06:00:00,22.977576482199996,51.904543753999995
 01/06  07:00:00,38.6529104309,59.0314136951
 01/06  08:00:00,41.6689215496,66.0360876163
 01/06  09:00:00,41.7094744774,59.052038662200005
 01/06  10:00:00,34.276375017199996,36.3567723415
 01/06  11:00:00,41.8995599444,50.998528881300004
 01/06  12:00:00,43.8377057604,52.161703818999996
 01/06  13:00:00,44.7527311849,50.998212449300006
 01/06  14:00:00,36.3145106013,41.4852154762
 01/06  15:00:00,34.5694755666,32.5526158375
 01/06  16:00:00,34.3398983657,40.3681318664
 01/06  17:00:00,42.795460886,57.1743910749
 01/06  18:00:00,45.9481255564,61.662982742
 01/06  19:00:00,45.9315179247,65.1946653554
 01/06  20:00:00,38.415511443,55.9246004334
 01/06  21:00:00,38.3877862186,58.230729178599994
 01/06  22:00:00,38.3330281423,59.9642820666
 01/06  23:00:00,38.3197574723,54.2141568033
 01/06  24:00:00,39.0758599848,46.5297538592
 01/07  01:00:00,22.3559359706,49.704424949300005
