Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,17.970443005099998,54.7285782794
 01/01  02:00:00,17.4652739087,55.8661660479
 01/01  03:00:00,17.1011491069,53.5409249158
 01/01  04:00:00,17.0225545978,55.3116777837
 01/01  05:00:00,19.2115604823,58.5918613758
 01/01  06:00:00,23.6623587509,60.8134705608
 01/01  07:00:00,28.7536752287,68.0571001833
 01/01  08:00:00,27.7753124152,66.0627236929
 01/01  09:00:00,23.6885723834,62.9111077419
 01/01  10:00:00,20.8612896455,60.4755211538
 01/01  11:00:00,17.8960045989,57.6817239933
 01/01  12:00:00,17.9867509296,53.473894988400005
 01/01  13:00:00,17.7010454931,48.7338702201
 01/01  14:00:00,17.2767239452,47.9668225574
 01/01  15:00:00,17.1314245035,47.0314135004
 01/01  16:00:00,18.5340008654,49.065282298999996
 01/01  17:00:00,27.6781457112,48.3657792445
 01/01  18:00:00,38.237699319499995,45.9949673362
 01/01  19:00:00,40.3488170197,44.8288337917
 01/01  20:00:00,39.4176419043,45.031459997
 01/01  21:00:00,39.0333709864,45.099937729
 01/01  22:00:00,33.6411374189,44.162706028100004
 01/01  23:00:00,26.9270302454,47.9294725438
 01/01  24:00:00,21.255967038399998,48.714249233500006
 01/02  01:00:00,17.7457125757,49.2229442241
 01/02  02:00:00,17.2239393215,49.8725290264
 01/02  03:00:00,16.9783273001,50.4652330553
 01/02  04:00:00,16.843786241,50.717383938100006
 01/02  05:00:00,18.9454053151,51.987176912399995
 01/02  06:00:00,23.456545487600003,55.9214891678
 01/02  07:00:00,28.6838953091,66.6507642487
 01/02  08:00:00,28.0375035806,67.7929708261
 01/02  09:00:00,25.6364216236,71.2908940295
 01/02  10:00:00,22.7837008839,67.35831567689999
 01/02  11:00:00,19.816180148,64.1571440484
 01/02  12:00:00,19.9565146182,60.974894873800004
 01/02  13:00:00,19.6372660744,59.279964381099994
 01/02  14:00:00,19.3105698642,56.752385274
 01/02  15:00:00,19.0497381415,52.6765652177
 01/02  16:00:00,20.1300203328,47.186962046400005
 01/02  17:00:00,29.3831966196,49.3809619973
 01/02  18:00:00,38.5508976533,48.922501673199996
 01/02  19:00:00,40.460721415500004,47.765311007600005
 01/02  20:00:00,39.546123044299996,48.4587291264
 01/02  21:00:00,39.2201322453,50.0073833064
 01/02  22:00:00,33.8936757646,50.7063920904
 01/02  23:00:00,27.3139571138,58.000878906800004
 01/02  24:00:00,21.764962826399998,62.0452264869
 01/03  01:00:00,18.418963578,66.941290455
 01/03  02:00:00,18.043930551400003,71.51065526890001
 01/03  03:00:00,17.7773934799,71.3638676335
 01/03  04:00:00,17.7092497686,73.1899721451
 01/03  05:00:00,19.7784758763,73.4052365005
 01/03  06:00:00,24.1068975957,72.2973218325
 01/03  07:00:00,29.2140585943,79.8403010695
 01/03  08:00:00,28.3959022077,76.84339351
 01/03  09:00:00,25.822342675500003,75.8338797801
 01/03  10:00:00,22.8174898309,68.0972339109
 01/03  11:00:00,19.7707464195,62.847693363699996
 01/03  12:00:00,19.6435917144,53.3413011566
 01/03  13:00:00,19.29968421,51.1724013428
 01/03  14:00:00,18.8016203724,44.7901554027
 01/03  15:00:00,18.786174429000003,46.829215964300005
 01/03  16:00:00,20.197945357000002,49.1930116188
 01/03  17:00:00,29.343926978600003,48.6003826031
 01/03  18:00:00,38.47932335,47.5320577073
 01/03  19:00:00,40.4384818942,47.4219892632
 01/03  20:00:00,39.4893568701,47.098139848900004
 01/03  21:00:00,39.0946339619,46.785712668500004
 01/03  22:00:00,33.787032424,48.0420576399
 01/03  23:00:00,27.186537091399998,54.8291677295
 01/03  24:00:00,21.725697661799998,61.2086713015
 01/04  01:00:00,18.4033686366,66.74622971859999
 01/04  02:00:00,18.1316804362,74.090287246
 01/04  03:00:00,18.0289996664,78.3151481852
 01/04  04:00:00,17.96227328,80.1482793628
 01/04  05:00:00,20.0147280399,79.8650470019
 01/04  06:00:00,24.357139862100002,79.0388302405
 01/04  07:00:00,29.412962883200002,85.10632271909999
 01/04  08:00:00,28.717622823000003,85.0881401479
 01/04  09:00:00,26.340132377699998,88.98267779620001
 01/04  10:00:00,23.3965299122,82.6418634692
 01/04  11:00:00,20.2895112148,75.8310131713
 01/04  12:00:00,20.2525953853,67.9702192622
 01/04  13:00:00,19.7204821529,60.794600858100004
 01/04  14:00:00,19.3857156821,58.0234268496
 01/04  15:00:00,19.2064047888,56.154336802399996
 01/04  16:00:00,20.4542153136,54.4428216413
