Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,16.1764291877,11.8537948794
 01/01  02:00:00,15.6291896513,11.9258020251
 01/01  03:00:00,15.3627100778,11.9285695068
 01/01  04:00:00,15.2232951624,12.0863190467
 01/01  05:00:00,17.2879486554,12.4128140437
 01/01  06:00:00,21.759990026599997,15.5816801725
 01/01  07:00:00,26.993345173,27.3542640994
 01/01  08:00:00,26.1587049298,28.8417487887
 01/01  09:00:00,22.2440903493,29.568405343000002
 01/01  10:00:00,19.4140309169,26.992361218699997
 01/01  11:00:00,16.4815586458,25.0247656293
 01/01  12:00:00,16.6189784441,21.7653732956
 01/01  13:00:00,16.4679420765,20.058464001500003
 01/01  14:00:00,16.022513576199998,18.7633717127
 01/01  15:00:00,15.8761029968,17.5642736392
 01/01  16:00:00,17.2296899253,18.5331741752
 01/01  17:00:00,26.3887748027,18.4513405098
 01/01  18:00:00,37.0865735821,19.8623313264
 01/01  19:00:00,39.3015371542,21.560580416700002
 01/01  20:00:00,38.3412319584,20.9176391687
 01/01  21:00:00,37.9192054383,19.7206943821
 01/01  22:00:00,32.4759663588,17.501323481500002
 01/01  23:00:00,25.6158140069,17.481569554900002
 01/01  24:00:00,19.8126354561,14.6719605507
 01/02  01:00:00,16.1856022051,12.090892417000001
 01/02  02:00:00,15.636686770199999,12.1561482468
 01/02  03:00:00,15.3900797459,12.616570508499999
 01/02  04:00:00,15.2715765272,13.274226969
 01/02  05:00:00,17.3544560168,14.051585036099999
 01/02  06:00:00,21.8563681972,17.8968161386
 01/02  07:00:00,27.1231548864,30.4226535912
 01/02  08:00:00,26.5426380036,33.3310430593
 01/02  09:00:00,24.2035157721,34.893062550500005
 01/02  10:00:00,21.3895284747,32.520688241900004
 01/02  11:00:00,18.536380251700002,32.5804641267
 01/02  12:00:00,18.744186061500002,31.120082585100004
 01/02  13:00:00,18.4475967539,29.8684418638
 01/02  14:00:00,18.1445968386,27.949864385
 01/02  15:00:00,17.9755548818,26.0902008603
 01/02  16:00:00,19.3287926799,27.004232472800002
 01/02  17:00:00,28.5353044137,28.0029124716
 01/02  18:00:00,37.6700770988,28.9514443632
 01/02  19:00:00,39.6528936701,29.577687627
 01/02  20:00:00,38.7065963802,29.3192463003
 01/02  21:00:00,38.2946182533,28.546602951300002
 01/02  22:00:00,32.8833604457,26.9215835268
 01/02  23:00:00,26.0480221661,27.640470933400003
 01/02  24:00:00,20.2818047057,25.834619444899996
 01/03  01:00:00,16.8198926488,27.2554460194
 01/03  02:00:00,16.2910697584,27.7930023518
 01/03  03:00:00,15.9615477153,26.317076797800002
 01/03  04:00:00,15.8418465191,26.9573634079
 01/03  05:00:00,17.9216692189,27.630204768800002
 01/03  06:00:00,22.4495624073,32.1616458611
 01/03  07:00:00,27.736332844099998,45.2952296113
 01/03  08:00:00,27.2675485352,51.1785061387
 01/03  09:00:00,24.9334309959,53.336335140100005
 01/03  10:00:00,21.9030397781,44.9978156092
 01/03  11:00:00,18.919748635,41.5606051958
 01/03  12:00:00,18.9260912697,35.0150013982
 01/03  13:00:00,18.5294242276,31.2454517652
 01/03  14:00:00,18.2331233883,29.6970450228
 01/03  15:00:00,18.0400459324,27.5310379269
 01/03  16:00:00,19.3872931163,28.3593705943
 01/03  17:00:00,28.608300831799998,29.7887624427
 01/03  18:00:00,37.834097745,33.1386008869
 01/03  19:00:00,39.8813407579,35.4287365617
 01/03  20:00:00,39.0154491082,37.239549495700004
 01/03  21:00:00,38.672802288,38.243227535
 01/03  22:00:00,33.3191747228,38.1282520843
 01/03  23:00:00,26.5568547338,40.770529652600004
 01/03  24:00:00,20.839341045599998,40.30861301
 01/04  01:00:00,17.2870938297,39.7151553974
 01/04  02:00:00,16.77900233,40.8297399096
 01/04  03:00:00,16.5475106621,41.7591856084
 01/04  04:00:00,16.443302346,42.7946125582
 01/04  05:00:00,18.566639841700002,44.738521785
 01/04  06:00:00,23.1324935774,50.4742710396
 01/04  07:00:00,28.3679074539,62.124553683900004
 01/04  08:00:00,27.694195324499997,62.820770117399995
 01/04  09:00:00,25.3580007504,65.31027408
