Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,17.8848896779,39.3957508556
 01/01  02:00:00,17.446185963199998,32.3346702558
 01/01  03:00:00,18.162495138,43.788607522
 01/01  04:00:00,17.4498646284,32.3932349142
 01/01  05:00:00,18.1287646332,43.2622938717
 01/01  06:00:00,17.389487424400002,31.4421248728
 01/01  07:00:00,18.000414596600002,41.2322094206
 01/01  08:00:00,11.397061725899999,30.7603645838
 01/01  09:00:00,9.05565164166,40.8883130247
 01/01  10:00:00,8.31241225837,29.0061251339
 01/01  11:00:00,8.79104412435,36.6994103268
 01/01  12:00:00,8.111657191239999,25.847670574099997
 01/01  13:00:00,8.58433094111,33.431212242600004
 01/01  14:00:00,8.01162819486,24.268920992199998
 01/01  15:00:00,8.51491796522,32.3385560747
 01/01  16:00:00,8.04200985353,24.7555363812
 01/01  17:00:00,11.636615284200001,34.6619765412
 01/01  18:00:00,17.0997189359,26.868821136399998
 01/01  19:00:00,17.8128889555,38.2560296054
 01/01  20:00:00,17.2790796296,29.698680817800003
 01/01  21:00:00,17.9924175451,41.104575276300004
 01/01  22:00:00,17.3819162825,31.3257623338
 01/01  23:00:00,18.114938590799998,43.05188421890001
 01/01  24:00:00,17.4659427065,32.6525039037
 01/02  01:00:00,18.1945365153,44.299693807
 01/02  02:00:00,17.5170300487,33.4497823069
 01/02  03:00:00,18.3016860275,45.9902102988
 01/02  04:00:00,17.6351835727,35.3060819714
 01/02  05:00:00,18.4290116735,47.9800610076
 01/02  06:00:00,17.7067279935,36.418483296
 01/02  07:00:00,27.185474096300002,64.2594929174
 01/02  08:00:00,41.7268799311,53.0100406304
 01/02  09:00:00,58.231019421199996,46.6514522789
 01/02  10:00:00,70.20506829199999,39.489878516
 01/02  11:00:00,70.20506829199999,38.1100451791
 01/02  12:00:00,70.20506829199999,39.8063257708
 01/02  13:00:00,63.7122440176,42.2983179963
 01/02  14:00:00,70.20506829199999,38.3397734419
 01/02  15:00:00,70.20506829199999,35.4724342464
 01/02  16:00:00,70.20506829199999,35.4458623406
 01/02  17:00:00,73.1794016254,39.2326083622
 01/02  18:00:00,31.972472508699997,39.2571568124
 01/02  19:00:00,17.9492218278,39.3969682299
 01/02  20:00:00,19.0698160329,57.295103671999996
 01/02  21:00:00,18.2724900984,44.7581039079
 01/02  22:00:00,19.3642673097,62.189140129799995
 01/02  23:00:00,18.4566436523,47.7920473868
 01/02  24:00:00,19.5628585859,65.4702878119
 01/03  01:00:00,18.6436483451,50.85350491729999
 01/03  02:00:00,19.8531951348,70.23146037800001
 01/03  03:00:00,18.6451130167,50.9289214104
 01/03  04:00:00,19.7183529587,68.1042628961
 01/03  05:00:00,18.6713616263,51.3753705684
 01/03  06:00:00,19.8429448616,70.12602247640001
 01/03  07:00:00,27.185474096300002,89.6999546425
 01/03  08:00:00,41.702077900999996,85.92261267209999
 01/03  09:00:00,58.231019421199996,79.0879735496
 01/03  10:00:00,70.20506829199999,62.901826140299995
 01/03  11:00:00,70.20506829199999,51.518202879200004
 01/03  12:00:00,70.20506829199999,41.1080499633
 01/03  13:00:00,63.7122440176,34.4462037346
 01/03  14:00:00,70.20506829199999,30.7945811321
 01/03  15:00:00,70.20506829199999,30.9608038465
 01/03  16:00:00,70.20506829199999,32.014193186199996
 01/03  17:00:00,73.1794016254,38.157895353200004
 01/03  18:00:00,32.2514012432,43.5226409463
 01/03  19:00:00,18.4939409682,47.984733687600006
 01/03  20:00:00,20.0514408536,72.7130026027
 01/03  21:00:00,19.2328394779,59.98782508
 01/03  22:00:00,20.739017167,83.6194776959
 01/03  23:00:00,19.8025885319,70.7833931503
