Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,22.3985141671,51.4746002748
 01/01  02:00:00,14.777924739100001,3.3598800000000004
 01/01  03:00:00,14.793382180999998,3.9319312477900006
 01/01  04:00:00,14.7931312449,3.3598800000000004
 01/01  05:00:00,14.943320137999999,3.9319371819
 01/01  06:00:00,22.513515815599998,64.6128659716
 01/01  07:00:00,38.482457047800004,69.3687942528
 01/01  08:00:00,41.7093499508,66.86400383649999
 01/01  09:00:00,41.7303496602,66.3402219955
 01/01  10:00:00,34.2893554499,49.0983734555
 01/01  11:00:00,41.8358502206,57.740562688800004
 01/01  12:00:00,42.8315813434,53.336470248299996
 01/01  13:00:00,43.3581600754,50.9981271175
 01/01  14:00:00,35.4081661031,42.6485986438
 01/01  15:00:00,35.1996193177,31.9767026775
 01/01  16:00:00,35.2107262442,40.9022543074
 01/01  17:00:00,43.8468644794,57.0257685405
 01/01  18:00:00,46.408809777100004,59.3468301928
 01/01  19:00:00,46.051054829899996,61.6974733522
 01/01  20:00:00,38.699760966999996,44.998571713100006
 01/01  21:00:00,38.66476685,42.759573201500004
 01/01  22:00:00,38.5700782013,38.1985777963
 01/01  23:00:00,38.4403948264,30.7540570308
 01/01  24:00:00,39.1315934836,35.2168274984
 01/02  01:00:00,22.4189293454,47.579947974700005
 01/02  02:00:00,14.7749583523,3.9319586615699995
 01/02  03:00:00,14.7971476705,3.3598800000000004
 01/02  04:00:00,14.79313317,3.9319387033199997
 01/02  05:00:00,14.932083475599999,3.3598800000000004
 01/02  06:00:00,22.490304676599997,63.171990171800005
 01/02  07:00:00,38.4485038058,71.1086101942
 01/02  08:00:00,41.7638572777,52.8753038638
 01/02  09:00:00,41.8724033104,45.5767551733
 01/02  10:00:00,35.0567112533,35.4672461149
 01/02  11:00:00,45.200688319399994,50.9978851035
 01/02  12:00:00,50.016167826499995,52.1619161978
 01/02  13:00:00,51.9437456447,50.999324614799995
 01/02  14:00:00,43.3865928849,42.0612506189
 01/02  15:00:00,41.9856769397,31.975602806199998
 01/02  16:00:00,39.5905171417,40.3251613527
 01/02  17:00:00,46.0450994285,57.025746338000005
 01/02  18:00:00,48.9529090925,59.3473567216
 01/02  19:00:00,48.868504652700004,62.8491157911
 01/02  20:00:00,40.0126134641,47.32037855
 01/02  21:00:00,38.9949902236,44.980433214399994
 01/02  22:00:00,38.552679549400004,39.6825270906
 01/02  23:00:00,38.3813961077,44.300601129899995
 01/02  24:00:00,39.1263105383,40.2811930315
 01/03  01:00:00,22.412331900700003,44.2897921175
 01/03  02:00:00,14.7639879456,3.93192713276
 01/03  03:00:00,14.783842783599999,3.3598800000000004
 01/03  04:00:00,14.7927408395,3.3598800000000004
 01/03  05:00:00,15.5574037386,3.93195896115
 01/03  06:00:00,23.2261473734,18.19602546
 01/03  07:00:00,38.8620646944,24.4793935304
 01/03  08:00:00,41.856959892,38.4013121423
 01/03  09:00:00,42.0418374291,46.149388549799994
 01/03  10:00:00,35.4930905396,35.463041626999996
 01/03  11:00:00,44.0803216282,50.998886898500004
 01/03  12:00:00,47.110904552600005,52.1630073568
 01/03  13:00:00,49.125271614,50.9998040452
 01/03  14:00:00,41.0207755515,42.0627652429
 01/03  15:00:00,38.9407986725,31.973853959
 01/03  16:00:00,36.3083503293,40.3252838315
 01/03  17:00:00,43.9148103825,57.025831729
 01/03  18:00:00,46.940435743,59.348039765699994
 01/03  19:00:00,47.2059789595,62.8484951875
 01/03  20:00:00,39.0684822992,47.3204632671
 01/03  21:00:00,38.780235684699996,44.9769792937
 01/03  22:00:00,38.489166386,37.8151211517
 01/03  23:00:00,38.4781459351,27.1911060427
 01/03  24:00:00,39.236115820500004,14.220954295999999
 01/04  01:00:00,22.509347439099997,14.6178162244
 01/04  02:00:00,14.8526878131,3.93194658169
 01/04  03:00:00,14.8721739266,3.3598800000000004
 01/04  04:00:00,14.880992535,3.3598800000000004
 01/04  05:00:00,15.038090246,3.93195249381
 01/04  06:00:00,22.5957854251,28.111201716
 01/04  07:00:00,38.4957365867,51.8272081225
 01/04  08:00:00,41.7127623861,67.0994881364
 01/04  09:00:00,41.7570241906,59.9940317746
 01/04  10:00:00,34.3461942116,36.1038874989
 01/04  11:00:00,42.2576648772,51.0030324995
 01/04  12:00:00,46.4683804349,52.1623280579
 01/04  13:00:00,48.2694924831,51.577190344099996
 01/04  14:00:00,39.8650710463,41.484082021300004
 01/04  15:00:00,38.5284264986,31.9750575557
 01/04  16:00:00,36.9550646713,40.3253054015
 01/04  17:00:00,44.6545761382,57.025455205600004
 01/04  18:00:00,47.1188911829,59.3480804011
 01/04  19:00:00,47.036700866000004,62.849359758599995
 01/04  20:00:00,39.090826341799996,47.3222472349
 01/04  21:00:00,38.6369079868,45.635753647
 01/04  22:00:00,38.5030169567,49.910875761999996
 01/04  23:00:00,38.3654451447,50.56576678
 01/04  24:00:00,39.11568823,47.464730054499995
 01/05  01:00:00,22.3955657108,51.1472026374
 01/05  02:00:00,14.7460587758,3.93196784815
 01/05  03:00:00,14.762930253599999,3.3598800000000004
 01/05  04:00:00,14.771509607,3.93193928676
 01/05  05:00:00,14.922087284100002,3.3598800000000004
 01/05  06:00:00,22.481366524200002,66.09499443060001
 01/05  07:00:00,38.4446559796,71.83813238970001
 01/05  08:00:00,41.690742385,77.3402142432
 01/05  09:00:00,41.7373905779,68.093686421
 01/05  10:00:00,34.3610688555,36.9889642119
 01/05  11:00:00,42.8611629253,50.9988700238
 01/05  12:00:00,47.4685312679,52.1630454227
 01/05  13:00:00,50.834913625,50.997333729
 01/05  14:00:00,43.2892265586,41.4855031267
 01/05  15:00:00,41.9777396177,31.975354506
 01/05  16:00:00,38.2098225879,40.3264917362
 01/05  17:00:00,44.6470482721,57.027506830600004
 01/05  18:00:00,47.3508893104,59.921724905
 01/05  19:00:00,47.206339116,62.269491554
 01/05  20:00:00,38.9279659284,47.3258470846
 01/05  21:00:00,38.6557798952,45.055979568400005
 01/05  22:00:00,38.5324658452,44.5778344613
 01/05  23:00:00,38.4006385235,41.094945679
 01/05  24:00:00,39.1580536496,32.2806945771
 01/06  01:00:00,22.440364475,37.3630189278
 01/06  02:00:00,14.793517787699999,3.3598800000000004
 01/06  03:00:00,14.8147225493,3.93194291197
 01/06  04:00:00,14.8104783433,3.3598800000000004
 01/06  05:00:00,15.466615709000001,3.3598800000000004
 01/06  06:00:00,23.0235968663,59.986223780799996
 01/06  07:00:00,38.6892532344,67.3995407589
 01/06  08:00:00,41.7102482315,72.8927883952
 01/06  09:00:00,41.7544510773,63.585849154799995
 01/06  10:00:00,34.3446930612,36.6265081793
 01/06  11:00:00,42.192067374299995,51.0031130553
 01/06  12:00:00,47.0706159074,52.1623740087
 01/06  13:00:00,49.9823817179,50.998269174300006
 01/06  14:00:00,42.0324139306,41.4850103441
 01/06  15:00:00,40.8034068897,32.5530010549
 01/06  16:00:00,39.2021734414,40.3254428079
 01/06  17:00:00,45.4704847995,57.0264511757
 01/06  18:00:00,47.1280285166,59.347234622799995
 01/06  19:00:00,46.5956092705,62.8497878133
 01/06  20:00:00,38.4821882508,48.0758742632
 01/06  21:00:00,38.4454424867,51.0313688696
 01/06  22:00:00,38.3971669612,52.7385512224
 01/06  23:00:00,38.3752010981,51.3310966784
 01/06  24:00:00,39.1301164123,45.416371857399994
 01/07  01:00:00,22.4069305378,49.956045128
 01/07  02:00:00,14.7550479174,3.9319587009900006
 01/07  03:00:00,14.7788510272,3.3598800000000004
 01/07  04:00:00,14.785132118699998,3.3598800000000004
 01/07  05:00:00,14.9315828753,3.93196459385
 01/07  06:00:00,22.485100226500002,69.3716125517
 01/07  07:00:00,38.43451587,80.4850563612
 01/07  08:00:00,41.6795813499,70.7120345471
 01/07  09:00:00,41.7141749495,66.1195863959
 01/07  10:00:00,34.2672586416,55.2529759171
 01/07  11:00:00,41.8147394446,57.8205667434
 01/07  12:00:00,42.5830495714,53.336968003500004
 01/07  13:00:00,42.4341450379,53.330457126800006
 01/07  14:00:00,34.7696770809,43.81342698939999
 01/07  15:00:00,34.5243331436,34.300504421199996
 01/07  16:00:00,34.4093103266,43.2476860229
 01/07  17:00:00,42.8437218563,59.02525053390001
 01/07  18:00:00,45.9888482732,69.3094700529
 01/07  19:00:00,45.984889889399994,68.6167722521
 01/07  20:00:00,38.625145079,52.1272358344
 01/07  21:00:00,38.5798327004,62.25328467640001
 01/07  22:00:00,38.4892994829,61.7335652803
 01/07  23:00:00,38.388260211500004,49.8636878081
 01/07  24:00:00,39.156672590300005,40.094530627800005
 01/08  01:00:00,22.4478680869,44.915406526000005
 01/08  02:00:00,14.7983110524,3.3598800000000004
 01/08  03:00:00,14.820314222,3.93197092574
 01/08  04:00:00,14.8328088736,3.3598800000000004
 01/08  05:00:00,14.9767652568,3.9319250604600002
 01/08  06:00:00,22.5318185401,58.6559096939
 01/08  07:00:00,38.4759619839,70.7883461024
 01/08  08:00:00,41.7128302467,65.1708758517
 01/08  09:00:00,41.7323183784,64.6663772399
 01/08  10:00:00,34.275436825199996,52.212950945500005
 01/08  11:00:00,41.9636558089,55.1305508616
 01/08  12:00:00,44.562911721999996,53.3282539811
 01/08  13:00:00,45.5039965748,50.995679000100004
 01/08  14:00:00,38.1802005889,42.645957894
 01/08  15:00:00,37.744150087600005,31.975697637199996
 01/08  16:00:00,36.685333562800004,40.3260935857
 01/08  17:00:00,44.4759076645,57.6014332341
 01/08  18:00:00,47.173762331499994,59.3461183103
 01/08  19:00:00,46.9138696498,61.6790968936
 01/08  20:00:00,38.7289665369,45.0000310566
 01/08  21:00:00,38.6644879545,42.6445685913
 01/08  22:00:00,38.5987230861,36.6851847076
 01/08  23:00:00,38.486448097,26.002267727399996
 01/08  24:00:00,39.2649938864,12.9939003871
 01/09  01:00:00,22.554016507100002,8.12737753918
 01/09  02:00:00,14.8790107779,3.93197584551
 01/09  03:00:00,14.8940354611,3.3598800000000004
 01/09  04:00:00,14.9075012155,3.9319300244
 01/09  05:00:00,15.0709884433,3.3598800000000004
 01/09  06:00:00,22.628631966799997,20.4525521063
 01/09  07:00:00,38.5899829849,27.3322126598
 01/09  08:00:00,41.8198859889,38.9713940979
 01/09  09:00:00,41.839173879,46.1502562711
 01/09  10:00:00,34.4061213696,35.4674229615
 01/09  11:00:00,42.4049479741,50.9972605118
 01/09  12:00:00,45.613020644799995,52.1623925868
 01/09  13:00:00,48.7417217636,50.9974409709
 01/09  14:00:00,41.1116955636,41.4846840796
 01/09  15:00:00,39.7569707461,31.9771958947
 01/09  16:00:00,38.1489709107,40.901746586
 01/09  17:00:00,46.2400547994,57.0260683919
 01/09  18:00:00,48.575928242399996,59.3467231315
 01/09  19:00:00,47.790192371,62.84988885600001
 01/09  20:00:00,39.1787960207,47.320197496400006
 01/09  21:00:00,38.8772149094,44.9795002289
 01/09  22:00:00,38.5927636033,37.8274994594
 01/09  23:00:00,38.4388401025,28.7117885225
 01/09  24:00:00,39.1773919602,24.0903612462
 01/10  01:00:00,22.4629409327,27.911559381
 01/10  02:00:00,14.8089272569,3.9319562378699993
 01/10  03:00:00,14.8229411637,3.3598800000000004
 01/10  04:00:00,14.837410865999999,3.9319362790199994
 01/10  05:00:00,15.5329464586,3.3598800000000004
 01/10  06:00:00,23.0960140537,37.85568526
 01/10  07:00:00,38.7586422334,45.0529879634
 01/10  08:00:00,41.7503247434,55.138786319
 01/10  09:00:00,41.7885834459,50.978562248500005
 01/10  10:00:00,34.3705296286,35.4680423738
 01/10  11:00:00,42.286089711,50.997728618500005
 01/10  12:00:00,45.9377675353,52.1637331354
 01/10  13:00:00,48.119316606400005,50.997058368299996
 01/10  14:00:00,40.646744503600004,41.4856226929
 01/10  15:00:00,40.1932132893,31.976829953400003
 01/10  16:00:00,38.229539336500004,40.9018217747
 01/10  17:00:00,45.3531519068,57.025874166099996
 01/10  18:00:00,47.5952897803,59.346675356300004
 01/10  19:00:00,47.1811680549,62.8497066861
 01/10  20:00:00,38.657134566799996,47.3435199743
 01/10  21:00:00,38.5142347554,44.9919124841
 01/10  22:00:00,38.4387606898,40.5188422661
 01/10  23:00:00,38.4094421806,39.6511491849
 01/10  24:00:00,39.1630561642,32.3795679941
 01/11  01:00:00,22.4476261469,35.0410552122
 01/11  02:00:00,14.805767628800002,3.93196691589
 01/11  03:00:00,14.8363297897,3.3598800000000004
 01/11  04:00:00,14.8510458771,3.931946977
 01/11  05:00:00,14.989626115999998,3.3598800000000004
 01/11  06:00:00,22.5417047527,46.2087333725
 01/11  07:00:00,38.4972908314,55.713637935600005
 01/11  08:00:00,41.7550933104,59.5918003686
 01/11  09:00:00,41.8013591204,52.312905630299994
 01/11  10:00:00,34.3579598719,35.4711234902
 01/11  11:00:00,41.904968320500004,50.999113765299995
 01/11  12:00:00,44.841797271400004,52.1623780158
 01/11  13:00:00,47.0578117309,50.997593746899994
 01/11  14:00:00,38.5779071631,41.4855926461
 01/11  15:00:00,36.613910403,31.9775243132
 01/11  16:00:00,35.4091457818,40.9020237846
 01/11  17:00:00,43.442754567799994,57.02659501310001
 01/11  18:00:00,46.3564500694,59.3474462258
 01/11  19:00:00,46.3245866017,62.8498321379
 01/11  20:00:00,38.64514048,47.4174344569
 01/11  21:00:00,38.605217034,47.4153744228
 01/11  22:00:00,38.525140842,48.8785559491
 01/11  23:00:00,38.4130884562,42.197399159899994
 01/11  24:00:00,39.1656611108,35.7154946196
 01/12  01:00:00,22.4423595962,44.2601454713
 01/12  02:00:00,14.780205661199998,3.93197243439
 01/12  03:00:00,14.8045812456,3.3598800000000004
 01/12  04:00:00,14.8191407251,3.9319562085800004
 01/12  05:00:00,14.968493086099999,3.3598800000000004
 01/12  06:00:00,22.541995552,52.537929115299995
 01/12  07:00:00,38.5157393786,57.768160607700004
 01/12  08:00:00,41.7561813541,67.7626279081
 01/12  09:00:00,41.753905419,73.0580462121
 01/12  10:00:00,34.2826956281,56.8592027215
 01/12  11:00:00,41.801331955,64.7183875364
 01/12  12:00:00,42.552245079,52.546490015799996
 01/12  13:00:00,42.1921527821,50.9978471888
 01/12  14:00:00,34.4145673147,41.485863696799996
 01/12  15:00:00,34.4005205897,32.5829788311
 01/12  16:00:00,34.3626193404,40.3432120453
 01/12  17:00:00,42.8144078778,61.8938471403
 01/12  18:00:00,45.994058069,64.9332126165
 01/12  19:00:00,45.9902996233,65.2101693357
 01/12  20:00:00,38.6236016282,55.5633427963
 01/12  21:00:00,38.5859681674,57.633151657700004
 01/12  22:00:00,38.4983266423,61.3735109465
 01/12  23:00:00,38.3836177801,56.027299644799996
 01/12  24:00:00,39.135318746100005,51.9384257507
 01/13  01:00:00,22.4092479369,54.7922504263
 01/13  02:00:00,14.7664263653,3.3598800000000004
 01/13  03:00:00,14.788684499,3.93197149112
 01/13  04:00:00,14.7949281726,3.3598800000000004
 01/13  05:00:00,15.4534133997,3.93192562874
 01/13  06:00:00,23.0233374471,63.841717170500004
 01/13  07:00:00,38.7020757051,71.1208339942
 01/13  08:00:00,41.711754483600004,80.6441343872
 01/13  09:00:00,41.7401575921,75.4748546142
