Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,76.3429153953,1.77125
 01/01  02:00:00,75.78067831979999,1.77125
 01/01  03:00:00,84.8526346282,15.184123218900002
 01/01  04:00:00,89.4951008225,23.510918713400002
 01/01  05:00:00,96.1910072442,28.116585556399997
 01/01  06:00:00,91.0778159811,22.7086199686
 01/01  07:00:00,126.986963415,436.18473354300005
 01/01  08:00:00,126.03519173299999,405.29839819800003
 01/01  09:00:00,158.120635294,320.83490429200003
 01/01  10:00:00,132.477075922,247.706963833
 01/01  11:00:00,166.81063252,221.14825781599998
 01/01  12:00:00,197.26513939,222.187397102
 01/01  13:00:00,205.154850155,201.06935619900003
 01/01  14:00:00,203.480150128,183.07730102
 01/01  15:00:00,198.99613719799999,174.199268219
 01/01  16:00:00,195.26276018099998,176.69551701
 01/01  17:00:00,201.623311388,190.450846567
 01/01  18:00:00,179.221491942,250.94741522799998
 01/01  19:00:00,185.319014316,281.37197755
 01/01  20:00:00,165.38895551299998,289.911140073
 01/01  21:00:00,156.627016077,294.794392634
 01/01  22:00:00,142.243159703,257.23826311
 01/01  23:00:00,77.3526195548,1.77125
 01/01  24:00:00,113.075999245,2.9155410337700003
 01/02  01:00:00,84.4454433053,2.355
 01/02  02:00:00,87.2100583292,15.3577372479
 01/02  03:00:00,87.2733917476,18.6938847029
 01/02  04:00:00,91.7869442501,28.3220361839
 01/02  05:00:00,98.49037937989999,26.244203524
 01/02  06:00:00,93.3753316037,22.108739061999998
 01/02  07:00:00,141.18072280799998,394.518159685
 01/02  08:00:00,140.16610676,364.959992115
 01/02  09:00:00,212.85066729099998,311.10957762
 01/02  10:00:00,237.152748675,267.04217786099997
 01/02  11:00:00,227.48649982700002,249.973372657
 01/02  12:00:00,258.330997455,228.999959758
 01/02  13:00:00,238.175230828,222.454454498
 01/02  14:00:00,234.99332437099997,217.748196852
 01/02  15:00:00,231.17659979799998,215.11765990599997
 01/02  16:00:00,228.225642474,211.16396983099997
 01/02  17:00:00,234.832418025,217.40107513599997
 01/02  18:00:00,241.305456653,231.594559749
 01/02  19:00:00,240.70312241099998,241.867031068
 01/02  20:00:00,224.672924088,254.44895648099998
 01/02  21:00:00,199.545941287,264.713840001
 01/02  22:00:00,142.37189036700002,242.57553562799998
 01/02  23:00:00,80.5657996721,2.355
 01/02  24:00:00,116.295013456,3.49933405521
 01/03  01:00:00,84.9317501304,2.355
 01/03  02:00:00,87.4320630964,14.681469050899999
 01/03  03:00:00,87.50139998030001,17.3539193911
 01/03  04:00:00,91.970895072,28.735285480500004
 01/03  05:00:00,114.59854820000001,34.4164281126
 01/03  06:00:00,112.996533376,30.2414388158
 01/03  07:00:00,157.658303106,437.77242642199997
 01/03  08:00:00,149.25061142799998,400.180370494
 01/03  09:00:00,212.899775372,334.439925942
 01/03  10:00:00,237.109155623,271.289142776
 01/03  11:00:00,228.267852069,234.773733345
 01/03  12:00:00,261.13259368900003,192.963939881
 01/03  13:00:00,242.67446319099997,170.421349244
 01/03  14:00:00,240.06270247700002,154.266033446
 01/03  15:00:00,235.278952638,150.817710649
 01/03  16:00:00,230.232497337,154.425317611
 01/03  17:00:00,235.753303799,178.42305059
 01/03  18:00:00,241.499649454,217.86632449599998
 01/03  19:00:00,240.67926696799998,246.245986717
 01/03  20:00:00,217.664508882,263.107374632
 01/03  21:00:00,193.184371999,271.54811224400004
 01/03  22:00:00,137.53180356200002,247.16232994700002
 01/03  23:00:00,79.6699089955,3.49947098502
 01/03  24:00:00,115.36133425700001,2.355
 01/04  01:00:00,84.3697309026,2.355
 01/04  02:00:00,82.5516943245,9.62181392508
 01/04  03:00:00,92.08475842040001,21.424775403599998
 01/04  04:00:00,87.4021504508,17.6664449805
 01/04  05:00:00,98.4742755694,33.2283133591
 01/04  06:00:00,98.66270455809999,33.2390089426
 01/04  07:00:00,141.36121023,410.278013856
 01/04  08:00:00,140.207806936,384.730138286
 01/04  09:00:00,212.87619204,346.339342858
