Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,98.31729755879999,45.8372519763
 01/01  02:00:00,103.608204696,51.924205560699995
 01/01  03:00:00,94.0640265562,39.4648336214
 01/01  04:00:00,103.337377074,66.9427737194
 01/01  05:00:00,110.99005619100001,76.0852830761
 01/01  06:00:00,102.593739499,72.6282384096
 01/01  07:00:00,137.653135752,618.5805223230001
 01/01  08:00:00,139.967859713,568.468766276
 01/01  09:00:00,168.800743514,495.114997249
 01/01  10:00:00,141.22059691799998,460.658328036
 01/01  11:00:00,175.919173868,404.60534533699996
 01/01  12:00:00,207.480239451,369.907338676
 01/01  13:00:00,214.788761163,328.880923643
 01/01  14:00:00,211.953749049,310.407075259
 01/01  15:00:00,208.157855565,285.405836892
 01/01  16:00:00,204.77998014599999,270.870290209
 01/01  17:00:00,208.190793185,280.952878828
 01/01  18:00:00,189.88413528599997,350.67273540599996
 01/01  19:00:00,196.30854220700002,382.81827591
 01/01  20:00:00,176.21862279299998,409.417268254
 01/01  21:00:00,167.31797556,438.090518616
 01/01  22:00:00,153.183180776,398.866484185
 01/01  23:00:00,79.0206847785,7.290008105960001
 01/01  24:00:00,131.15643012700002,40.989258239
 01/02  01:00:00,106.70654525100001,39.680656679
 01/02  02:00:00,101.66859931,67.5678814203
 01/02  03:00:00,105.53566911,74.8212914043
 01/02  04:00:00,101.352693558,73.7379975323
 01/02  05:00:00,109.25492558200001,110.764092696
 01/02  06:00:00,114.67779406700001,125.539354039
 01/02  07:00:00,152.19194336799998,588.203806665
 01/02  08:00:00,154.124565329,554.0838634119999
 01/02  09:00:00,223.75234827900002,512.135528224
 01/02  10:00:00,247.65972302900002,446.760448506
 01/02  11:00:00,237.88154351,396.756651818
 01/02  12:00:00,268.94005744099996,355.871313804
 01/02  13:00:00,248.758942776,332.078807804
 01/02  14:00:00,245.359803958,306.735451395
 01/02  15:00:00,241.57935676099999,299.11408878599997
 01/02  16:00:00,238.17601209900002,296.53368824
 01/02  17:00:00,241.556113712,318.697375075
 01/02  18:00:00,251.679449783,331.688828089
 01/02  19:00:00,251.17730634,341.957904046
 01/02  20:00:00,234.925776724,363.041348197
 01/02  21:00:00,209.910811037,368.440499806
 01/02  22:00:00,153.175152757,361.00682397400004
 01/02  23:00:00,83.92314119529999,15.7853599482
 01/02  24:00:00,138.759698658,47.798863149700004
 01/03  01:00:00,102.796852824,45.827051008599994
 01/03  02:00:00,105.46425106299999,82.0668619855
 01/03  03:00:00,105.483862344,84.2688994841
 01/03  04:00:00,97.5485061425,76.1434542837
 01/03  05:00:00,129.059364618,121.837025974
 01/03  06:00:00,131.523776055,132.379875665
 01/03  07:00:00,168.689681269,594.691404931
 01/03  08:00:00,163.239092783,545.691061098
 01/03  09:00:00,223.837718615,477.827382292
 01/03  10:00:00,247.727671023,404.13947121
 01/03  11:00:00,237.931871529,370.22725071199994
 01/03  12:00:00,268.974652364,333.564482248
 01/03  13:00:00,248.84927140099998,303.63895044099996
 01/03  14:00:00,245.466439598,271.37176871599996
 01/03  15:00:00,241.68743296,260.635325538
 01/03  16:00:00,238.312592943,260.75561567299997
 01/03  17:00:00,241.704438297,273.706166193
 01/03  18:00:00,251.83149272400001,304.452315526
 01/03  19:00:00,251.24357993099997,329.097189463
 01/03  20:00:00,228.39103871,344.795950802
 01/03  21:00:00,203.78235344799998,368.522368155
 01/03  22:00:00,148.429568966,363.804671234
 01/03  23:00:00,81.2611202531,9.27465844408
 01/03  24:00:00,136.450434543,45.528609455200005
 01/04  01:00:00,104.75362993700001,43.11092687479999
 01/04  02:00:00,103.539440469,73.41969738659999
 01/04  03:00:00,105.49508333,80.8115684654
 01/04  04:00:00,98.36931800110001,65.1355704613
 01/04  05:00:00,111.016569589,109.198842149
 01/04  06:00:00,113.511025349,110.56189344799999
 01/04  07:00:00,152.19650709299998,570.476582836
 01/04  08:00:00,154.14905060200002,535.931196079
 01/04  09:00:00,223.760071664,486.572979963
 01/04  10:00:00,247.712513188,409.19437751699996
 01/04  11:00:00,237.921165735,359.972578594
 01/04  12:00:00,268.975498963,308.591525935
 01/04  13:00:00,248.872619485,282.15587283
 01/04  14:00:00,245.52420529900002,271.56881704
 01/04  15:00:00,241.77509119400003,250.37275341400002
 01/04  16:00:00,238.406547663,245.76531700299998
 01/04  17:00:00,241.805551949,267.80875282700003
 01/04  18:00:00,251.896510681,302.527233207
 01/04  19:00:00,251.26389419400002,327.010246127
 01/04  20:00:00,234.99372156200002,359.073269345
 01/04  21:00:00,209.945660148,382.144184576
 01/04  22:00:00,153.169520195,365.937242907
 01/04  23:00:00,81.2351555408,9.47418780948
 01/04  24:00:00,136.439397006,46.290175935
 01/05  01:00:00,104.693537061,42.989905360200005
 01/05  02:00:00,103.520967234,75.02827954840001
 01/05  03:00:00,105.47995102600001,82.1602165285
 01/05  04:00:00,98.35971456200001,65.1968512958
 01/05  05:00:00,111.09728886299999,110.894044899
 01/05  06:00:00,113.997249751,119.464156459
 01/05  07:00:00,152.18990206200002,576.939852591
 01/05  08:00:00,154.137985812,535.9855163880001
 01/05  09:00:00,223.759681097,486.45079408199996
 01/05  10:00:00,247.710880424,413.055970481
 01/05  11:00:00,237.91551637799998,358.35285589
 01/05  12:00:00,268.965172103,307.413343922
 01/05  13:00:00,248.84755369099997,283.35202678
 01/05  14:00:00,245.464644789,263.183296322
 01/05  15:00:00,241.74390282299998,240.81260202599998
 01/05  16:00:00,238.400303627,236.774653562
 01/05  17:00:00,241.83768843400003,258.209942425
 01/05  18:00:00,251.954609392,281.579479514
 01/05  19:00:00,251.30402395,312.07632504400004
 01/05  20:00:00,235.066247111,326.842547469
 01/05  21:00:00,210.044224135,344.771453679
 01/05  22:00:00,153.218370564,334.915208793
 01/05  23:00:00,78.7014731779,3.49950869294
 01/05  24:00:00,131.516064049,38.052871986599996
 01/06  01:00:00,109.21683276,51.1288561793
 01/06  02:00:00,100.463535834,43.2507788558
 01/06  03:00:00,103.616226904,72.3233195583
 01/06  04:00:00,103.518916998,78.4974280766
 01/06  05:00:00,122.800533986,66.292985578
 01/06  06:00:00,125.915389887,96.39355071969999
 01/06  07:00:00,168.721045755,561.836192118
 01/06  08:00:00,163.283037145,534.8504588469999
 01/06  09:00:00,223.844708144,474.70826746800003
 01/06  10:00:00,247.70177158200002,401.85949733300004
 01/06  11:00:00,237.931744535,351.08714278300005
 01/06  12:00:00,269.001336767,316.301184858
 01/06  13:00:00,248.95411306900002,284.986398378
 01/06  14:00:00,245.579199741,262.97484954
 01/06  15:00:00,241.82172434400002,248.271756678
 01/06  16:00:00,238.46449800099998,242.64783298400002
 01/06  17:00:00,241.864510967,269.001251609
 01/06  18:00:00,251.94119656,299.632554992
 01/06  19:00:00,251.29153139,312.971982685
 01/06  20:00:00,228.450518527,335.81587434
 01/06  21:00:00,203.852260897,371.42711776699997
 01/06  22:00:00,148.443996595,369.89962055300003
 01/06  23:00:00,81.2682580012,9.14788500306
 01/06  24:00:00,133.40404043799998,42.0017821622
 01/07  01:00:00,104.374443317,41.6439375448
 01/07  02:00:00,99.33640103809999,71.0440488605
 01/07  03:00:00,103.215422437,83.3711848301
 01/07  04:00:00,98.99680375620001,72.3373371751
 01/07  05:00:00,108.730675637,120.604173948
 01/07  06:00:00,112.39009514700001,130.727603072
 01/07  07:00:00,137.966194871,609.156692089
 01/07  08:00:00,139.887330555,573.77794839
 01/07  09:00:00,196.260898581,516.347708887
 01/07  10:00:00,213.118828339,452.28867030199996
 01/07  11:00:00,237.88453898,390.30647182
 01/07  12:00:00,268.940462778,351.34482364
 01/07  13:00:00,248.75545403400002,316.943425645
 01/07  14:00:00,245.34725914599997,294.60905083299997
 01/07  15:00:00,241.58502902,287.202351121
 01/07  16:00:00,238.19165964400003,277.292002885
 01/07  17:00:00,241.58422809200002,298.997203489
 01/07  18:00:00,251.692401514,339.313467262
 01/07  19:00:00,237.405543521,390.934735501
 01/07  20:00:00,191.668800497,417.613702215
 01/07  21:00:00,181.373077051,437.990485663
 01/07  22:00:00,138.90941390700002,433.225969212
 01/07  23:00:00,84.2907829767,24.7988984107
 01/07  24:00:00,134.275198564,47.3888850053
 01/08  01:00:00,109.213287257,87.12897324149999
 01/08  02:00:00,100.564185264,98.9753557866
 01/08  03:00:00,100.739949699,96.5959894436
 01/08  04:00:00,106.460935985,137.78750926799998
 01/08  05:00:00,109.019503896,132.532571873
 01/08  06:00:00,107.14086262200001,120.761199411
 01/08  07:00:00,137.500635076,698.4088569869999
 01/08  08:00:00,139.85665429899998,644.8681567159999
 01/08  09:00:00,168.766512154,549.603397696
 01/08  10:00:00,141.064358142,529.105913345
 01/08  11:00:00,175.771282133,478.052909586
 01/08  12:00:00,207.344718394,436.085252485
 01/08  13:00:00,214.547197535,386.436294385
 01/08  14:00:00,211.54052571900002,357.79105671599996
 01/08  15:00:00,207.781748855,345.198379003
 01/08  16:00:00,204.37303815099997,345.955333309
 01/08  17:00:00,207.765039174,369.520127755
 01/08  18:00:00,189.469675117,467.67864358400004
 01/08  19:00:00,196.120800132,511.084299925
 01/08  20:00:00,175.964964734,534.653259475
 01/08  21:00:00,167.073407366,557.2878014519999
 01/08  22:00:00,153.107804544,529.61653626
 01/08  23:00:00,85.5907964228,21.7575140977
 01/08  24:00:00,140.957425066,79.4988644425
 01/09  01:00:00,108.603193733,94.8775454975
 01/09  02:00:00,101.50725615,88.05807332030001
 01/09  03:00:00,108.637992506,141.240736105
 01/09  04:00:00,105.351776091,133.980839938
 01/09  05:00:00,109.19120214600001,112.260559565
 01/09  06:00:00,114.73261107799999,163.173455828
 01/09  07:00:00,152.171243221,630.1137269980001
 01/09  08:00:00,154.089412894,579.079378447
 01/09  09:00:00,223.744639562,519.336622783
 01/09  10:00:00,247.727918375,460.407159219
 01/09  11:00:00,237.846704525,412.64435350699995
 01/09  12:00:00,268.90026701700003,379.259715444
 01/09  13:00:00,248.697394178,347.084067394
 01/09  14:00:00,245.236026105,307.91775531900004
 01/09  15:00:00,241.478589008,287.806031987
 01/09  16:00:00,238.107448528,283.847635373
 01/09  17:00:00,241.52089025,305.76926350900004
 01/09  18:00:00,251.657595304,330.36485669999996
 01/09  19:00:00,251.159775401,354.34406232699996
 01/09  20:00:00,234.91475675,378.84475815900004
 01/09  21:00:00,209.870792639,400.85196353099997
 01/09  22:00:00,153.152262052,372.48924922099997
 01/09  23:00:00,78.5638743168,3.4994411877599996
 01/09  24:00:00,131.553147799,33.9140661411
 01/10  01:00:00,108.496316951,40.5638285173
 01/10  02:00:00,100.540546981,33.8701858791
 01/10  03:00:00,103.832271895,49.4310348743
 01/10  04:00:00,103.774024925,47.266670341899996
 01/10  05:00:00,123.121590938,36.5611482284
 01/10  06:00:00,126.41680848799999,52.5550400839
 01/10  07:00:00,168.95880831899998,447.382842457
 01/10  08:00:00,163.776266646,408.42900883
 01/10  09:00:00,224.12151368099998,352.84425520699995
 01/10  10:00:00,248.418758686,298.55880205799997
 01/10  11:00:00,238.614625405,275.925846674
 01/10  12:00:00,269.328149028,246.75384863099998
 01/10  13:00:00,250.16922553700002,234.06942548700002
 01/10  14:00:00,247.9401154,228.30361562099998
 01/10  15:00:00,244.44554858700002,218.692346388
 01/10  16:00:00,241.299623173,214.400566946
 01/10  17:00:00,244.508574676,226.18915249
 01/10  18:00:00,253.350072404,241.93607288299998
 01/10  19:00:00,251.694925308,257.062545061
 01/10  20:00:00,228.844893079,272.98992161
 01/10  21:00:00,204.37471802599998,281.39471684
 01/10  22:00:00,148.771417773,259.57170517599997
 01/10  23:00:00,79.3045168693,3.49949848139
 01/10  24:00:00,120.487415488,12.055440051800002
 01/11  01:00:00,100.135249755,35.1082612097
 01/11  02:00:00,95.9466354242,32.2705780354
 01/11  03:00:00,105.85657048600001,53.976716316099996
 01/11  04:00:00,105.98854675700001,55.3721523167
 01/11  05:00:00,102.962873694,46.028897996800005
 01/11  06:00:00,111.712530746,79.8811624466
 01/11  07:00:00,152.23541899399999,540.9589685880001
 01/11  08:00:00,154.186125291,515.52130388
 01/11  09:00:00,223.768607923,469.41309495400003
 01/11  10:00:00,247.59237031900003,414.459186436
 01/11  11:00:00,237.923256232,378.020948696
 01/11  12:00:00,268.956640656,353.09938870300005
 01/11  13:00:00,248.707983235,314.070722236
 01/11  14:00:00,245.457025245,286.758385171
 01/11  15:00:00,241.73390502700002,275.252760849
 01/11  16:00:00,238.39484250900003,264.892417375
 01/11  17:00:00,241.790489273,265.67596571
 01/11  18:00:00,251.94552407900002,282.162965686
 01/11  19:00:00,251.315997192,313.422467451
 01/11  20:00:00,235.078108563,333.004323784
 01/11  21:00:00,210.02716722099998,348.197743263
 01/11  22:00:00,153.21719199999998,318.643866304
 01/11  23:00:00,78.8021442079,3.49951392264
 01/11  24:00:00,125.841585924,21.5742324319
 01/12  01:00:00,106.636816425,44.4862400402
 01/12  02:00:00,101.786903185,47.5961679805
 01/12  03:00:00,100.51128371200001,39.7479342113
 01/12  04:00:00,105.593097375,64.8415903387
 01/12  05:00:00,108.23442602600001,63.8138021708
 01/12  06:00:00,106.542154024,52.9185080841
 01/12  07:00:00,151.931363947,533.758521403
 01/12  08:00:00,154.222402329,489.19546521
 01/12  09:00:00,223.785543591,426.059031986
 01/12  10:00:00,247.776548719,345.31219083
 01/12  11:00:00,238.033357574,284.893694009
 01/12  12:00:00,269.054662008,239.64998643099997
 01/12  13:00:00,249.01431319999998,228.749448691
 01/12  14:00:00,245.69945777700002,225.264364277
 01/12  15:00:00,241.89766743400003,221.49521043400003
 01/12  16:00:00,238.545630222,209.330947062
 01/12  17:00:00,242.016280604,220.230620811
 01/12  18:00:00,252.214119033,235.21153598900003
