Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,263.291978814,523.2276633480001
 01/01  02:00:00,259.02451553,512.419424116
 01/01  03:00:00,264.399903445,696.4907995389999
 01/01  04:00:00,259.033234276,471.336294619
 01/01  05:00:00,276.621091121,642.735124521
 01/01  06:00:00,295.688119136,432.60897482
 01/01  07:00:00,349.904091353,575.154356275
 01/01  08:00:00,334.789320169,377.582594254
 01/01  09:00:00,322.890763175,417.266244341
 01/01  10:00:00,280.814480026,203.214908235
 01/01  11:00:00,236.231964914,199.708497324
 01/01  12:00:00,230.15353199,114.720826
 01/01  13:00:00,234.89146578900002,123.83752148
 01/01  14:00:00,230.12209842099998,90.60843606709999
 01/01  15:00:00,234.858865706,101.65380346399999
 01/01  16:00:00,230.101363515,74.6510672023
 01/01  17:00:00,310.158716955,135.488450256
 01/01  18:00:00,368.652271976,149.384523275
 01/01  19:00:00,373.903312636,258.302090964
 01/01  20:00:00,344.28769441699995,234.11925447099998
 01/01  21:00:00,349.53644802199995,343.61406470599997
 01/01  22:00:00,319.875857871,270.950443803
 01/01  23:00:00,300.691250736,393.651058598
 01/01  24:00:00,271.016365075,305.03850867299997
 01/02  01:00:00,313.86842633099997,400.026472934
 01/02  02:00:00,308.630217023,300.024590837
 01/02  03:00:00,313.88886474599997,417.869780466
 01/02  04:00:00,308.649310055,318.10501127
 01/02  05:00:00,326.146408419,451.865327149
 01/02  06:00:00,370.2369137,313.763066087
 01/02  07:00:00,435.14128435199996,3264.24482212
 01/02  08:00:00,523.758983028,2438.68919207
 01/02  09:00:00,1053.31245891,1432.45056147
 01/02  10:00:00,1015.9002152,938.633591473
 01/02  11:00:00,966.55328731,600.237889979
 01/02  12:00:00,966.3942819839999,485.40696195699996
 01/02  13:00:00,916.5700718239999,525.899157771
 01/02  14:00:00,966.250868064,365.95055865
 01/02  15:00:00,966.176909447,291.06641821700003
 01/02  16:00:00,966.144551653,256.08269082099997
 01/02  17:00:00,1040.6740267999999,270.96861564799997
 01/02  18:00:00,953.544713012,391.29856979
 01/02  19:00:00,754.383295725,641.33007113
 01/02  20:00:00,730.084097273,814.6580431919999
 01/02  21:00:00,580.8010852140001,1068.00479691
 01/02  22:00:00,556.395148518,1062.40070465
 01/02  23:00:00,349.35692289900004,4.36087819471
 01/02  24:00:00,299.992163394,2.19032411594
 01/03  01:00:00,287.76996695599996,2.19037272674
 01/03  02:00:00,287.769967149,2.1904198698900004
 01/03  03:00:00,287.76996731099996,4.3609811894199995
 01/03  04:00:00,289.393025242,9.98585059448
 01/03  05:00:00,302.02308696,14.2591021578
 01/03  06:00:00,350.985240382,16.3254989968
 01/03  07:00:00,431.860599887,1490.84840153
 01/03  08:00:00,521.54772953,1239.0736409
 01/03  09:00:00,1051.97061701,500.83115423199996
 01/03  10:00:00,1015.06517674,262.639836538
 01/03  11:00:00,966.17228606,209.844407649
 01/03  12:00:00,968.2589264860001,190.82595216200002
 01/03  13:00:00,919.3760257710001,217.62431180099998
 01/03  14:00:00,969.414703933,184.324167014
 01/03  15:00:00,967.633112773,154.726885968
 01/03  16:00:00,966.142433773,232.15481977299999
 01/03  17:00:00,1032.3107603,458.190263282
 01/03  18:00:00,953.9765661819999,790.274986305
