Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,57.3744348962,26.072301805100004
 01/01  02:00:00,56.0436871565,11.7777193435
 01/01  03:00:00,56.8409124816,17.939546246400003
 01/01  04:00:00,56.868948632700004,22.4187970694
 01/01  05:00:00,57.6759675113,28.4365078073
 01/01  06:00:00,57.4836467725,30.2075960829
 01/01  07:00:00,58.461752871499996,41.5769121865
 01/01  08:00:00,52.3169567751,21.4793142671
 01/01  09:00:00,47.797850349799994,12.7697136234
 01/01  10:00:00,47.633430425,11.170142936
 01/01  11:00:00,47.4426424849,8.95648035795
 01/01  12:00:00,48.0006551293,7.426163658089999
 01/01  13:00:00,46.9044998229,6.09151468355
 01/01  14:00:00,46.9571314705,3.22568
 01/01  15:00:00,46.977747306000005,6.08934800254
 01/01  16:00:00,46.9680057642,3.22568
 01/01  17:00:00,48.2870248631,6.08940826588
 01/01  18:00:00,55.4149586081,3.22568
 01/01  19:00:00,55.413676083,6.089269857070001
 01/01  20:00:00,55.627030383299996,3.22568
 01/01  21:00:00,55.611130000500005,6.0893302314
 01/01  22:00:00,56.2900167004,7.108682985260001
 01/01  23:00:00,56.4612820246,18.4229796665
 01/01  24:00:00,58.4851195238,40.8461395169
 01/02  01:00:00,57.4997764175,43.029547016
 01/02  02:00:00,58.688995135,76.91168533279999
 01/02  03:00:00,58.33788614229999,74.0684949492
 01/02  04:00:00,59.1958248035,104.092323478
 01/02  05:00:00,58.63888819140001,83.1781880866
 01/02  06:00:00,60.215520094,127.444181592
 01/02  07:00:00,66.05409972529999,692.855612463
 01/02  08:00:00,126.57934821,476.377508607
 01/02  09:00:00,166.108277847,411.941048195
 01/02  10:00:00,165.655238651,381.26910615199995
 01/02  11:00:00,169.550388636,343.632192094
 01/02  12:00:00,170.276089978,290.129600121
 01/02  13:00:00,169.374507026,265.829162172
 01/02  14:00:00,165.067891522,250.42272160099998
 01/02  15:00:00,164.832218241,226.795323161
 01/02  16:00:00,162.63965268,207.93312511
 01/02  17:00:00,163.983517308,198.079305128
 01/02  18:00:00,128.086512874,241.79586003400001
 01/02  19:00:00,128.532768806,290.400957839
 01/02  20:00:00,128.975803947,293.22645322299996
 01/02  21:00:00,128.970095126,294.485721206
 01/02  22:00:00,55.431236787799996,11.878461956199999
 01/02  23:00:00,55.327118602700004,8.971936315239999
 01/02  24:00:00,56.1282142262,6.09600234089
 01/03  01:00:00,55.360518349799996,6.0914689735300005
 01/03  02:00:00,56.247385468900006,7.27073097454
 01/03  03:00:00,56.0664834974,7.48162196923
 01/03  04:00:00,56.542070779899994,6.905864092380001
 01/03  05:00:00,58.904339228699996,31.9820360082
 01/03  06:00:00,59.774422683500006,54.2415424649
 01/03  07:00:00,66.4046170887,551.510559642
 01/03  08:00:00,126.58130228600001,461.831959813
 01/03  09:00:00,165.847392477,383.199821606
 01/03  10:00:00,165.545495361,338.012272448
 01/03  11:00:00,169.497426305,302.965799045
 01/03  12:00:00,169.940326298,245.377636985
 01/03  13:00:00,168.709483043,217.234245403
