Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,12.866437355999999,4.06965877362
 01/02  02:00:00,12.947940873699999,5.510350140060001
 01/02  03:00:00,13.036840196400002,6.506245700700001
 01/02  04:00:00,13.193820584800001,9.14890082832
 01/02  05:00:00,13.232572264100002,9.34572597118
 01/02  06:00:00,13.3652067539,11.7507810244
 01/02  07:00:00,28.665997099000002,231.37918492400001
 01/02  08:00:00,32.2094888388,186.003792815
 01/02  09:00:00,42.653014602,159.15409741
 01/02  10:00:00,59.872586087200006,128.79833301
 01/02  11:00:00,59.6085207787,118.409411401
 01/02  12:00:00,59.426030235,105.35421535799999
 01/02  13:00:00,59.384220004700005,101.890554976
 01/02  14:00:00,59.4909787286,101.12933977600001
 01/02  15:00:00,59.76753345979999,100.579037677
 01/02  16:00:00,59.7690923835,97.604688039
 01/02  17:00:00,62.6834070865,101.0277218
 01/02  18:00:00,68.3610351894,106.37476714600001
 01/02  19:00:00,55.792353348199995,113.58325052200001
 01/02  20:00:00,55.885788133999995,124.5881399
 01/02  21:00:00,50.9167439194,129.92481437700002
 01/02  22:00:00,20.693606815,0.0
 01/02  23:00:00,12.569683660399999,0.0
 01/02  24:00:00,12.7964851556,3.79502950325
 01/03  01:00:00,13.0753555905,7.444538285499999
 01/03  02:00:00,13.2758689256,10.4236623306
 01/03  03:00:00,13.343992916900001,11.054502288399998
 01/03  04:00:00,13.521324742000001,14.028058489600001
 01/03  05:00:00,14.003882888,19.758563653499998
 01/03  06:00:00,14.2928323736,24.287615174699997
 01/03  07:00:00,28.9450726888,263.217140632
 01/03  08:00:00,32.4484946803,217.00974995400003
 01/03  09:00:00,42.8361722598,183.70355051099997
 01/03  10:00:00,60.01465213979999,149.786122059
 01/03  11:00:00,59.735954504,137.057551995
 01/03  12:00:00,59.566109843599996,124.682465688
 01/03  13:00:00,59.492014991400005,117.812160154
 01/03  14:00:00,59.5603662129,115.49938860600001
 01/03  15:00:00,59.8922523941,114.796361132
 01/03  16:00:00,59.887988165900005,110.09657640399999
 01/03  17:00:00,62.85714486689999,116.45799787700001
 01/03  18:00:00,68.5159669398,123.10165834700001
 01/03  19:00:00,55.9214949665,127.911590062
 01/03  20:00:00,55.966771127600005,132.33005693299998
 01/03  21:00:00,50.9663936869,134.081772555
 01/03  22:00:00,20.693606815,0.0
 01/03  23:00:00,12.569683660399999,0.0
 01/03  24:00:00,12.765348418499999,3.0882561719700004
 01/04  01:00:00,13.005991625,6.2820063057599995
 01/04  02:00:00,13.197988901199999,9.40640446243
 01/04  03:00:00,13.230713915299999,9.283158428010001
 01/04  04:00:00,13.3955607296,12.347657271600001
 01/04  05:00:00,13.3940359329,11.5132622625
 01/04  06:00:00,13.5775392042,15.027392884300001
 01/04  07:00:00,28.7843000531,243.65224692200002
 01/04  08:00:00,32.3528232421,201.03284011
 01/04  09:00:00,43.0373335698,174.125678376
 01/04  10:00:00,60.2823690422,139.052020174
 01/04  11:00:00,60.25150403,131.307514915
 01/04  12:00:00,59.81233095859999,111.49909786200001
 01/04  13:00:00,59.497602758999996,99.9408060756
 01/04  14:00:00,59.450883365900005,96.8965347115
 01/04  15:00:00,59.582761077200004,95.0627078385
 01/04  16:00:00,59.6710754737,88.28284401100001
 01/04  17:00:00,62.6214508106,88.46834499639999
 01/04  18:00:00,68.3069543075,93.50528517110001
 01/04  19:00:00,55.725228343999994,98.01395358270001
 01/04  20:00:00,55.7626427051,101.928440951
 01/04  21:00:00,50.7536132304,103.18580321399999
 01/04  22:00:00,20.693606815,0.0
 01/04  23:00:00,12.569683660399999,0.0
 01/04  24:00:00,12.569683660399999,0.0
 01/05  01:00:00,12.58223536,0.0
 01/05  02:00:00,12.7359678085,2.0081154454299996
 01/05  03:00:00,12.911635207,4.762376690330001
 01/05  04:00:00,13.022827942300001,6.41409009998
 01/05  05:00:00,13.0991872823,7.58982706732
 01/05  06:00:00,13.146383958800001,8.13063692722
 01/05  07:00:00,28.4914552896,206.39725856599998
 01/05  08:00:00,32.0387755844,160.88384681899998
 01/05  09:00:00,42.50303966,137.122254011
 01/05  10:00:00,59.7601395409,111.30766216100001
 01/05  11:00:00,59.5850905684,101.209070243
 01/05  12:00:00,59.751306213599996,92.3633644817
 01/05  13:00:00,59.678278326400005,87.8862887839
 01/05  14:00:00,59.8053830941,86.38487433450001
 01/05  15:00:00,59.934677495600006,85.3713622813
 01/05  16:00:00,59.9127830482,80.4686446914
 01/05  17:00:00,61.31830881649999,81.381371113
 01/05  18:00:00,68.284519723,83.7034024849
 01/05  19:00:00,55.666393561899994,86.5905220979
 01/05  20:00:00,55.702306713999995,90.762996906
 01/05  21:00:00,50.697918174799995,92.2622110135
 01/05  22:00:00,20.693606815,0.0
 01/05  23:00:00,12.569683660399999,0.0
 01/05  24:00:00,12.569683660399999,0.0
 01/06  01:00:00,12.569683660399999,0.0
 01/06  02:00:00,12.5874855872,0.0
 01/06  03:00:00,12.6620769578,0.642608319565
 01/06  04:00:00,12.7252715268,1.3456152623299997
 01/06  05:00:00,12.83379203,3.25014933894
 01/06  06:00:00,12.9068981719,4.400406247
 01/06  07:00:00,28.352261039000002,185.956737959
 01/06  08:00:00,31.9209701211,143.96099432
 01/06  09:00:00,42.382760016,118.542648679
 01/06  10:00:00,59.6229709646,89.14913683270001
