Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,103.228108755,90.7406314557
 01/02  02:00:00,96.8151005119,78.4215107633
 01/02  03:00:00,115.60147269,98.87929904219999
 01/02  04:00:00,100.693629747,80.1442230351
 01/02  05:00:00,145.848163981,112.52132675700001
 01/02  06:00:00,172.777289209,174.708878315
 01/02  07:00:00,231.563070355,174.70037112
 01/02  08:00:00,242.28708622599999,155.6253122
 01/02  09:00:00,243.71932786,140.45763018600002
 01/02  10:00:00,246.434079859,131.71112554799998
 01/02  11:00:00,240.73360113400003,111.580535043
 01/02  12:00:00,237.899099162,114.6926492
 01/02  13:00:00,224.723838318,101.767404509
 01/02  14:00:00,233.989055409,104.967642885
 01/02  15:00:00,239.028633675,97.8723773699
 01/02  16:00:00,241.254442902,93.10018867209999
 01/02  17:00:00,245.858264775,93.2538639203
 01/02  18:00:00,251.415612026,106.206976755
 01/02  19:00:00,162.058033105,75.7144921375
 01/02  20:00:00,162.584066286,80.4023448263
 01/02  21:00:00,140.525357455,93.35204693989999
 01/02  22:00:00,114.78504014100001,82.2303576947
 01/02  23:00:00,92.3121087596,73.1392362887
 01/02  24:00:00,103.29680792299999,93.50236408479999
 01/03  01:00:00,92.22705624940001,76.1675915841
 01/03  02:00:00,104.713447251,96.6135660351
 01/03  03:00:00,97.5575842117,78.3492545375
 01/03  04:00:00,111.152136644,107.456692104
 01/03  05:00:00,140.840727985,110.580110114
 01/03  06:00:00,165.133005723,174.720933735
 01/03  07:00:00,223.81935734799998,163.93363197
 01/03  08:00:00,234.869392432,145.842402236
 01/03  09:00:00,238.93985949900002,137.20561833899998
 01/03  10:00:00,247.930353182,139.178225025
 01/03  11:00:00,246.441525524,127.427793736
 01/03  12:00:00,246.785555065,133.966075553
 01/03  13:00:00,234.014888816,119.768841506
 01/03  14:00:00,244.304895037,124.38289522299999
 01/03  15:00:00,245.50393899,112.55646290700001
 01/03  16:00:00,246.200493375,117.84565560799999
 01/03  17:00:00,253.451438477,114.999486943
 01/03  18:00:00,263.143099883,138.462078032
 01/03  19:00:00,168.533656686,89.69919890540001
 01/03  20:00:00,170.12662551100001,90.9841237699
 01/03  21:00:00,153.598897794,101.038666081
 01/03  22:00:00,131.268369014,87.32220052139999
 01/03  23:00:00,102.917298768,78.3296710755
 01/03  24:00:00,123.873070724,102.651069116
 01/04  01:00:00,108.512560222,90.5881329291
 01/04  02:00:00,131.53017256799998,128.34050482700002
 01/04  03:00:00,113.50395228200001,109.100853639
 01/04  04:00:00,136.069739771,137.78545901299998
 01/04  05:00:00,158.91438724100001,155.844062423
 01/04  06:00:00,201.234319935,199.156271812
 01/04  07:00:00,253.49436924900002,212.08010032599998
 01/04  08:00:00,254.049535988,179.318015008
 01/04  09:00:00,253.966900444,152.44159472
 01/04  10:00:00,261.225526924,136.683887125
 01/04  11:00:00,257.696660434,110.09535110700001
 01/04  12:00:00,255.951288555,108.872972284
 01/04  13:00:00,243.58925729400002,96.5527066787
 01/04  14:00:00,254.076235465,100.87411255399999
 01/04  15:00:00,255.216630125,89.01589936459999
 01/04  16:00:00,253.857697546,96.86879200700001
 01/04  17:00:00,256.870782099,91.754132635
 01/04  18:00:00,260.98192816200003,105.12849110799999
 01/04  19:00:00,168.223068354,75.23297233310001
 01/04  20:00:00,166.811210654,80.1255571741
 01/04  21:00:00,145.493517007,93.6459423836
 01/04  22:00:00,118.460770673,83.1470149744
 01/04  23:00:00,96.143236613,73.6488564942
 01/04  24:00:00,111.54978250399999,94.0248329149
 01/05  01:00:00,101.25901573200001,76.4385379557
 01/05  02:00:00,112.54426689299999,96.7544265423
 01/05  03:00:00,101.354660996,78.09575886489999
 01/05  04:00:00,112.59540269600001,98.1253218775
 01/05  05:00:00,142.045446955,109.51419561600001
 01/05  06:00:00,169.973360121,173.63404324799998
 01/05  07:00:00,227.66980996,157.447514536
 01/05  08:00:00,236.65058426,144.37180656
 01/05  09:00:00,239.331020235,114.702321829
 01/05  10:00:00,251.22003581,104.161558322
 01/05  11:00:00,255.30414354799998,106.51632729100001
 01/05  12:00:00,252.19171615,102.027260864
 01/05  13:00:00,236.728965741,90.81143990209999
 01/05  14:00:00,244.820819795,97.6636042184
 01/05  15:00:00,241.491244752,88.1571686724
 01/05  16:00:00,239.08327801099998,97.703959269
 01/05  17:00:00,242.12768624900002,92.0869329407
 01/05  18:00:00,251.746030555,95.89462568399999
 01/05  19:00:00,162.875271887,83.3824572349
 01/05  20:00:00,164.488409942,79.7919872096
 01/05  21:00:00,143.378152774,92.9057654842
 01/05  22:00:00,116.24337687799999,82.110521095
 01/05  23:00:00,92.61260636620001,72.96975281600001
 01/05  24:00:00,107.442699471,93.0978412799
 01/06  01:00:00,97.3908092568,75.7155118394
 01/06  02:00:00,110.436104101,96.0019391832
 01/06  03:00:00,100.62294323299999,77.7612142281
 01/06  04:00:00,112.770045944,98.17097789549999
 01/06  05:00:00,142.608408263,109.543554496
 01/06  06:00:00,168.36762045700002,173.82017712
 01/06  07:00:00,228.011494784,165.856842104
 01/06  08:00:00,237.91450316099997,150.61560858
 01/06  09:00:00,237.044750245,139.560146479
 01/06  10:00:00,248.686233425,110.303886423
 01/06  11:00:00,253.053845375,107.394432174
 01/06  12:00:00,256.130306968,93.4749473038
 01/06  13:00:00,246.79242848799998,98.8960143131
 01/06  14:00:00,256.906636452,96.589605781
 01/06  15:00:00,256.21830809200003,86.1682290249
 01/06  16:00:00,254.681780183,94.5686801123
 01/06  17:00:00,256.82842481299997,89.3207381225
 01/06  18:00:00,263.483829662,94.36834230059999
 01/06  19:00:00,170.187555922,74.1046879364
 01/06  20:00:00,168.017193894,89.2707724035
 01/06  21:00:00,146.19655327200002,94.3351277731
 01/06  22:00:00,121.959696132,84.5043011755
 01/06  23:00:00,97.05180323399999,78.111402732
 01/06  24:00:00,116.53636575899999,100.17238584
 01/07  01:00:00,101.970377765,83.7410440685
 01/07  02:00:00,121.344224131,108.43081443700001
 01/07  03:00:00,106.18486120700001,88.6065672344
 01/07  04:00:00,126.21712538,111.390539635
 01/07  05:00:00,137.088775476,134.675218506
 01/07  06:00:00,140.584059147,130.364617509
 01/07  07:00:00,170.754155865,152.136147379
 01/07  08:00:00,232.417663828,200.191628835
 01/07  09:00:00,213.41344480700002,176.491677095
 01/07  10:00:00,229.007761198,149.545238654
 01/07  11:00:00,232.61457596900001,123.666492824
 01/07  12:00:00,233.329195612,117.70302229100001
 01/07  13:00:00,221.601471492,114.21128165299999
 01/07  14:00:00,221.95699539999998,111.36410205600001
 01/07  15:00:00,217.58553575099998,118.181426547
 01/07  16:00:00,179.149970051,58.992603557299994
 01/07  17:00:00,179.177720337,63.729842708599996
 01/07  18:00:00,173.136885922,87.9029128401
 01/07  19:00:00,133.772926887,94.7828226541
 01/07  20:00:00,133.34170931100002,99.1019779557
 01/07  21:00:00,123.40545247899999,108.241629369
 01/07  22:00:00,108.206598481,91.74469113209999
 01/07  23:00:00,101.392904352,78.73414122770001
 01/07  24:00:00,115.159228104,99.55256407459999
 01/08  01:00:00,105.048007339,81.38642512310001
 01/08  02:00:00,117.345157301,103.097922432
 01/08  03:00:00,109.21283406399999,83.5671201059
 01/08  04:00:00,120.127563879,105.311484333
 01/08  05:00:00,112.655703839,93.67809574450001
 01/08  06:00:00,122.54977377200001,106.98914576600001
 01/08  07:00:00,116.13853607899999,86.1639909478
 01/08  08:00:00,112.93076076,107.03784215299999
 01/08  09:00:00,122.16266777700001,81.5017252455
 01/08  10:00:00,129.762102258,94.8476226649
 01/08  11:00:00,121.546147634,73.8709196973
 01/08  12:00:00,138.654385609,88.3030241085
 01/08  13:00:00,123.44706115299999,70.5756612382
 01/08  14:00:00,137.81827021200002,86.5137642725
 01/08  15:00:00,120.83014681200001,69.7607667537
 01/08  16:00:00,135.24033824100002,86.1244513208
 01/08  17:00:00,106.06679196799999,72.3411456703
 01/08  18:00:00,117.762529455,96.97166418479999
 01/08  19:00:00,105.042814979,81.26845522149999
 01/08  20:00:00,117.465723743,102.891081704
