Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,125.984262106,48.7038060795
 01/01  02:00:00,126.013899761,49.711984055600006
 01/01  03:00:00,133.297770749,78.7806258021
 01/01  04:00:00,131.899988891,67.80874863359999
 01/01  05:00:00,136.22516604700002,110.870234741
 01/01  06:00:00,149.087907652,92.70672621969999
 01/01  07:00:00,150.337753442,148.51558932
 01/01  08:00:00,119.134174966,85.1641243417
 01/01  09:00:00,116.51199080299999,98.12605505110001
 01/01  10:00:00,105.46208113700001,64.3470048749
 01/01  11:00:00,104.99530839399999,51.079186953100006
 01/01  12:00:00,104.899344557,24.2445985599
 01/01  13:00:00,103.221231875,24.043732262
 01/01  14:00:00,100.336965471,5.79641105418
 01/01  15:00:00,99.9715700353,4.85426
 01/01  16:00:00,99.92280916809999,4.85426
 01/01  17:00:00,108.667366014,13.4476077574
 01/01  18:00:00,117.577935758,4.85426
 01/01  19:00:00,120.919068147,9.105943433530001
 01/01  20:00:00,121.332284461,10.6025514704
 01/01  21:00:00,122.62637175,16.403765633699997
 01/01  22:00:00,121.75282624200001,30.4440624615
 01/01  23:00:00,122.455655455,31.6664905395
 01/01  24:00:00,122.42618657700001,33.611128066300004
 01/02  01:00:00,127.096091425,54.9460256466
 01/02  02:00:00,132.084811353,70.2409675098
 01/02  03:00:00,134.426063,92.4474701111
 01/02  04:00:00,142.587805844,92.2462331017
 01/02  05:00:00,144.153019363,139.478199797
 01/02  06:00:00,149.961793411,139.053713821
 01/02  07:00:00,195.60413512099998,2756.97875833
 01/02  08:00:00,357.998664623,2237.84123767
 01/02  09:00:00,445.71289547199996,1748.28269045
 01/02  10:00:00,445.47287748400004,1437.9189363
 01/02  11:00:00,451.05516266,1189.74965117
 01/02  12:00:00,451.22929356599997,961.608477028
 01/02  13:00:00,449.94527781,855.2352214760001
 01/02  14:00:00,443.783747605,771.0005283910001
 01/02  15:00:00,443.72551834,675.971451035
 01/02  16:00:00,435.99888563900004,667.891260697
 01/02  17:00:00,440.77194099900004,860.9337150110001
 01/02  18:00:00,370.514529075,1074.29670387
 01/02  19:00:00,370.551174076,1167.93587326
 01/02  20:00:00,370.95687065699997,1142.41381584
 01/02  21:00:00,370.927644824,1102.49349998
 01/02  22:00:00,118.65014490200001,22.431784645
 01/02  23:00:00,118.820767806,5.457096432999999
 01/02  24:00:00,120.286923038,14.484881904000002
 01/03  01:00:00,118.884622189,6.10429139811
 01/03  02:00:00,120.89994912700001,7.05430140094
 01/03  03:00:00,121.72467774399999,17.328517345799998
 01/03  04:00:00,122.311455654,10.7602564653
 01/03  05:00:00,127.709254955,15.0288908997
 01/03  06:00:00,128.72622932299998,26.6803154699
 01/03  07:00:00,195.960035607,2185.49614103
 01/03  08:00:00,356.548578842,1867.23871642
 01/03  09:00:00,445.32172679300004,1597.86416855
 01/03  10:00:00,445.321955225,1502.51779066
 01/03  11:00:00,451.325152706,1477.18302128
 01/03  12:00:00,452.34917776,1427.43285315
 01/03  13:00:00,451.283804846,1362.31848745
 01/03  14:00:00,445.30937939,1304.65033291
 01/03  15:00:00,445.28423754,1273.57502561
 01/03  16:00:00,437.4061369,1181.60677956
 01/03  17:00:00,441.384146779,1226.61038795
 01/03  18:00:00,370.713085025,1642.13928055
 01/03  19:00:00,370.787891369,1817.00039996
 01/03  20:00:00,370.77637645699997,1773.3764371
 01/03  21:00:00,370.79129935300006,1770.07349254
 01/03  22:00:00,118.90584123299999,27.119502136799998
 01/03  23:00:00,121.288200797,12.734793548699999
 01/03  24:00:00,126.42670812700001,34.2158614188
 01/04  01:00:00,127.14204059,32.8552793107
 01/04  02:00:00,136.32163965700002,72.4887882485
 01/04  03:00:00,149.304091726,95.9117279847
 01/04  04:00:00,152.673944741,133.604562353
 01/04  05:00:00,160.044750552,139.977260527
 01/04  06:00:00,157.477970538,193.99181860599998
 01/04  07:00:00,195.776281891,2991.8670637
 01/04  08:00:00,358.20075536800005,2554.66199778
 01/04  09:00:00,445.69423083699996,1902.27112998
 01/04  10:00:00,445.403047706,1502.36381641
 01/04  11:00:00,451.226580678,1213.3247950999998
 01/04  12:00:00,451.16696438599996,880.585517201
 01/04  13:00:00,449.746370341,703.135978777
 01/04  14:00:00,444.420333277,622.262680194
 01/04  15:00:00,445.159263132,627.627576992
 01/04  16:00:00,437.00650336800004,680.8853836569999
 01/04  17:00:00,440.61478627699995,806.7971632030001
 01/04  18:00:00,370.497753356,1026.36218512
 01/04  19:00:00,370.51870810599996,1071.6838181
 01/04  20:00:00,370.936740594,1092.85755873
 01/04  21:00:00,370.955687656,1296.85923626
 01/04  22:00:00,118.886194823,22.702453518800002
 01/04  23:00:00,119.19182231799999,6.08968883286
 01/04  24:00:00,119.961390706,15.8889803752
 01/05  01:00:00,121.82535044299999,8.99937933529
 01/05  02:00:00,122.19911852799999,19.3086874952
 01/05  03:00:00,121.88843765700001,10.7589190735
 01/05  04:00:00,122.198917452,12.8735639015
 01/05  05:00:00,124.62754948,23.1512393565
 01/05  06:00:00,126.830622595,18.523131020999998
 01/05  07:00:00,195.027898471,2070.52738699
 01/05  08:00:00,356.282428446,1647.10806446
 01/05  09:00:00,444.73080852199996,1088.55332148
 01/05  10:00:00,443.91887135400003,836.238838923
 01/05  11:00:00,450.08537403800005,782.497665249
 01/05  12:00:00,452.64945612099996,785.05399494
 01/05  13:00:00,453.124272383,828.785121668
 01/05  14:00:00,448.12533515300004,881.550467431
 01/05  15:00:00,448.550741835,962.460625196
 01/05  16:00:00,439.34753034,921.719562598
 01/05  17:00:00,438.435629259,833.452782963
 01/05  18:00:00,370.492914363,1019.01128977
 01/05  19:00:00,370.52591991400004,1174.56126399
