Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,155.017031479,192.96622912
 01/01  02:00:00,152.252026864,152.99965643
 01/01  03:00:00,156.387382769,230.77367598599997
 01/01  04:00:00,161.143431558,159.308563898
 01/01  05:00:00,160.719053607,243.884458941
 01/01  06:00:00,157.246537219,162.566683064
 01/01  07:00:00,156.293121501,233.841988797
 01/01  08:00:00,146.478961827,133.57662544
 01/01  09:00:00,126.911777896,178.27369075599998
 01/01  10:00:00,125.280895488,116.10321177799999
 01/01  11:00:00,116.563060241,126.82490726700001
 01/01  12:00:00,107.294399427,70.7963559598
 01/01  13:00:00,112.25864681600001,86.02344759209998
 01/01  14:00:00,103.854458903,50.1728223554
 01/01  15:00:00,104.89497888,63.8790748983
 01/01  16:00:00,103.82707056,48.0635724534
 01/01  17:00:00,112.298235617,77.3427014846
 01/01  18:00:00,127.260586887,62.75472662520001
 01/01  19:00:00,133.776640223,108.347186975
 01/01  20:00:00,133.357789223,94.58532556879999
 01/01  21:00:00,138.279892066,163.344428846
 01/01  22:00:00,152.693859209,172.9831996
 01/01  23:00:00,162.957505211,252.81570824599999
 01/01  24:00:00,159.91449298,179.408209765
 01/02  01:00:00,159.61217139200002,274.354874274
 01/02  02:00:00,159.977141235,204.90839396099997
 01/02  03:00:00,166.506556803,322.736902572
 01/02  04:00:00,164.241633719,233.93572850299998
 01/02  05:00:00,168.907709902,359.731357419
 01/02  06:00:00,169.942841369,270.208115038
 01/02  07:00:00,195.98136077,3083.04325664
 01/02  08:00:00,364.44122489800003,2796.26217506
 01/02  09:00:00,447.24898383,2575.71153418
 01/02  10:00:00,446.353951315,2375.27700529
 01/02  11:00:00,451.802354056,2150.79133543
 01/02  12:00:00,452.669285091,1849.86899224
 01/02  13:00:00,451.497491347,1643.59698305
 01/02  14:00:00,445.44659825900004,1554.86454378
 01/02  15:00:00,445.41765558099996,1510.76499667
 01/02  16:00:00,437.541832022,1427.59719596
 01/02  17:00:00,435.57911286800004,1394.3960458
 01/02  18:00:00,370.842290167,1573.04604945
 01/02  19:00:00,370.858649391,1603.90278833
 01/02  20:00:00,371.258420789,1573.5753287
 01/02  21:00:00,371.22983199,1584.41305355
 01/02  22:00:00,119.194961477,27.258910780100003
 01/02  23:00:00,120.555306857,11.7722494832
 01/02  24:00:00,122.961351803,30.0506059296
 01/03  01:00:00,122.202312904,23.2796113584
 01/03  02:00:00,126.57922779200001,39.945582288699995
 01/03  03:00:00,126.24234302100001,49.113026891800004
 01/03  04:00:00,135.561381404,63.1395251181
 01/03  05:00:00,132.711767961,59.6724753484
 01/03  06:00:00,137.126104301,97.28905215879999
 01/03  07:00:00,196.33134686900001,2494.3055489
 01/03  08:00:00,363.53129632699995,2099.99646895
 01/03  09:00:00,445.542185966,1755.44662463
 01/03  10:00:00,445.48445183900003,1640.38232169
 01/03  11:00:00,451.404712688,1516.910978
 01/03  12:00:00,452.41073397099996,1365.62491867
 01/03  13:00:00,451.329676481,1214.57341196
 01/03  14:00:00,445.318339976,1120.79419658
 01/03  15:00:00,445.295292271,1112.32314643
 01/03  16:00:00,437.430029063,1059.92459258
 01/03  17:00:00,435.40714223599997,1040.1769118
 01/03  18:00:00,370.65553827400004,1278.27176976
 01/03  19:00:00,370.68504947599996,1356.65638952
 01/03  20:00:00,370.66447029,1345.18131988
 01/03  21:00:00,370.67601061,1384.5449428
 01/03  22:00:00,118.764353164,23.931869191300002
 01/03  23:00:00,118.826254097,7.354802834339999
 01/03  24:00:00,121.630015214,19.4271099263
 01/04  01:00:00,121.53027090100001,11.0455855943
 01/04  02:00:00,122.55219069700001,16.4104627279
 01/04  03:00:00,123.464487395,26.4339527505
 01/04  04:00:00,127.20918756100001,29.4037248636
 01/04  05:00:00,126.60920369200001,28.979116422399997
 01/04  06:00:00,133.511598021,60.7805219887
 01/04  07:00:00,195.60494429,2506.65558136
 01/04  08:00:00,363.204679553,2159.84016704
 01/04  09:00:00,445.478466844,1756.46270801
 01/04  10:00:00,445.399469647,1513.74362716
 01/04  11:00:00,451.34761764,1400.16775022
 01/04  12:00:00,452.342056849,1307.49039878
 01/04  13:00:00,451.208128171,1118.83764278
 01/04  14:00:00,444.503865785,924.258906868
 01/04  15:00:00,444.268115696,873.4502522380001
 01/04  16:00:00,436.41681636,812.053790834
 01/04  17:00:00,434.641648246,762.6503472989999
 01/04  18:00:00,370.49991350199997,965.409580395
 01/04  19:00:00,370.552916924,1020.96949347
 01/04  20:00:00,369.65783944699996,578.187684582
 01/04  21:00:00,369.131242676,398.726553314
 01/04  22:00:00,117.726699848,22.193923779499997
