Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,16.3576836804,19.7573182459
 01/01  02:00:00,15.7127330502,16.981551163699997
 01/01  03:00:00,15.465679551600001,17.7983466254
 01/01  04:00:00,15.366656448699999,19.2551277156
 01/01  05:00:00,17.4626644011,20.5007224258
 01/01  06:00:00,21.9886809136,24.9896648315
 01/01  07:00:00,27.260626403200003,37.5756356171
 01/01  08:00:00,26.3708874616,37.0312651817
 01/01  09:00:00,22.4230084612,33.575864006799996
 01/01  10:00:00,19.7052110902,27.6286131919
 01/01  11:00:00,16.9924319081,23.3040823844
 01/01  12:00:00,17.4107807227,18.5847540732
 01/01  13:00:00,17.42572666,16.2324012884
 01/01  14:00:00,16.930201308,15.096783260999999
 01/01  15:00:00,16.5969068235,14.1503414672
 01/01  16:00:00,17.7248500581,15.6527193779
 01/01  17:00:00,28.4708323209,18.094999756500002
 01/01  18:00:00,37.4492570615,21.6524343307
 01/01  19:00:00,39.7038723139,24.704823171100003
 01/01  20:00:00,38.723809474,25.2175479484
 01/01  21:00:00,38.2895076457,24.863400043800002
 01/01  22:00:00,32.8402943278,23.9117685983
 01/01  23:00:00,25.9388378024,25.928120503200002
 01/01  24:00:00,20.1217302683,26.242668387800002
 01/02  01:00:00,16.576058362999998,27.245332087199998
 01/02  02:00:00,16.080442540299998,29.3237330538
 01/02  03:00:00,15.856523770099999,30.8110576144
 01/02  04:00:00,15.7409578579,31.574800723699997
 01/02  05:00:00,17.8538408121,33.295869305
 01/02  06:00:00,22.4214827688,39.1671010437
 01/02  07:00:00,27.7075618718,52.1273365316
 01/02  08:00:00,27.0207809683,52.2897597991
 01/02  09:00:00,24.5017862217,49.8800916712
 01/02  10:00:00,21.578793305300003,43.11234498899999
 01/02  11:00:00,18.6861054875,37.5486862823
 01/02  12:00:00,18.8493392558,31.2671892056
 01/02  13:00:00,18.4937597455,27.0801721214
 01/02  14:00:00,18.0898122066,25.0772699969
 01/02  15:00:00,17.851548853900002,24.4838701485
 01/02  16:00:00,19.1942749888,24.7461939475
 01/02  17:00:00,30.1773701333,26.2185596922
 01/02  18:00:00,37.6356286309,27.784700397800002
 01/02  19:00:00,39.6807394862,28.773891746999997
 01/02  20:00:00,38.7123966177,28.3726267615
 01/02  21:00:00,38.2799890881,27.652071586799998
 01/02  22:00:00,32.812039018,25.049747990900002
 01/02  23:00:00,25.8801016129,25.226189147800003
 01/02  24:00:00,19.989333051,22.0461781004
 01/03  01:00:00,16.3171835052,18.482185871
 01/03  02:00:00,15.7488836395,18.1833704204
 01/03  03:00:00,15.4559048879,17.5171139322
 01/03  04:00:00,15.3012801624,17.2533813946
 01/03  05:00:00,17.3677101622,17.6040554605
 01/03  06:00:00,21.8594697203,21.0810572277
 01/03  07:00:00,27.0995436026,32.8481037963
 01/03  08:00:00,26.4160565256,33.1929604965
 01/03  09:00:00,23.9541754035,32.4497477365
 01/03  10:00:00,21.129091033599998,29.8583480593
 01/03  11:00:00,18.2438460405,25.2223157516
 01/03  12:00:00,18.5189355736,19.1800427833
 01/03  13:00:00,18.0559609302,17.074007295999998
 01/03  14:00:00,17.7764003474,14.794881335
 01/03  15:00:00,17.549836415599998,13.387433798499998
 01/03  16:00:00,18.8655536479,14.5795464929
 01/03  17:00:00,29.891839426599997,16.3240237526
 01/03  18:00:00,37.4162408412,18.610716246400003
 01/03  19:00:00,39.5125790855,20.5317591237
 01/03  20:00:00,38.5432938704,20.7962116152
 01/03  21:00:00,38.1058554804,20.162579464100002
 01/03  22:00:00,32.6250673459,18.773044614
 01/03  23:00:00,25.6732209754,19.991198635099998
 01/03  24:00:00,19.8583254237,18.4556327272
 01/04  01:00:00,16.2783678474,17.664589023399998
 01/04  02:00:00,15.7516464404,18.5845182575
 01/04  03:00:00,15.502021295599999,19.218026664
 01/04  04:00:00,15.3652145446,19.484054775
 01/04  05:00:00,17.3992023285,18.8512557103
 01/04  06:00:00,21.905555887800002,22.6982322802
 01/04  07:00:00,27.2335717646,36.959308685399996
 01/04  08:00:00,26.575596117199996,38.1241142038
 01/04  09:00:00,24.0569731616,35.7164003216
 01/04  10:00:00,21.2518594796,33.667084015
 01/04  11:00:00,18.2469446056,29.4350513698
 01/04  12:00:00,18.4757579821,23.086803977600002
 01/04  13:00:00,18.2659838455,19.1912953278
 01/04  14:00:00,18.0085192027,15.8416591368
 01/04  15:00:00,17.822478862,13.422177337699999
 01/04  16:00:00,19.1018230487,14.1569073822
 01/04  17:00:00,29.997955261599998,15.4253951701
 01/04  18:00:00,37.46802731,18.3215214335
 01/04  19:00:00,39.5453756919,20.6174533764
 01/04  20:00:00,38.5651907345,20.175161551400002
 01/04  21:00:00,38.1144649025,19.6860915677
 01/04  22:00:00,32.6555245301,18.5306275894
 01/04  23:00:00,25.719348871799998,19.1949928825
 01/04  24:00:00,19.8248126643,16.5240084705
 01/05  01:00:00,16.1660872454,14.3843993852
 01/05  02:00:00,15.6559186519,15.8265207445
 01/05  03:00:00,15.4502055248,17.8688868672
 01/05  04:00:00,15.3873595769,20.456297112799998
 01/05  05:00:00,17.504828947100002,22.3202886295
 01/05  06:00:00,22.024564337399998,26.517091113699998
 01/05  07:00:00,27.290185206,38.9096860777
 01/05  08:00:00,26.6156305466,39.491234616199996
 01/05  09:00:00,24.216412949099997,40.799783288200004
 01/05  10:00:00,21.5103791144,41.9720957205
 01/05  11:00:00,18.620982515599998,41.123409431700004
 01/05  12:00:00,18.766676655799998,37.9570900493
 01/05  13:00:00,18.4678330065,36.6430247062
 01/05  14:00:00,18.2132104583,36.10806462
 01/05  15:00:00,18.0668865199,34.7621111831
 01/05  16:00:00,19.3987357488,34.9240556173
 01/05  17:00:00,30.3834194371,35.4463435634
 01/05  18:00:00,37.8015924429,36.9456731848
 01/05  19:00:00,39.8099727535,37.8810945421
 01/05  20:00:00,38.8455518242,37.2030441904
 01/05  21:00:00,38.4219939889,36.240449009
 01/05  22:00:00,33.042896488400004,36.0664784158
 01/05  23:00:00,26.232559098299998,38.4158643576
 01/05  24:00:00,20.4590417294,37.18437797
 01/06  01:00:00,16.9060614916,37.566100298
 01/06  02:00:00,16.410631080399998,39.6916503891
 01/06  03:00:00,16.254547256400002,43.5665797586
 01/06  04:00:00,16.3086797642,50.135069513999994
 01/06  05:00:00,18.2784156918,47.2784877738
 01/06  06:00:00,22.7442918675,49.72408092
 01/06  07:00:00,28.006395090199998,62.1138353324
 01/06  08:00:00,27.3308164771,62.5985874369
 01/06  09:00:00,25.0784105271,69.4379277458
 01/06  10:00:00,22.225694986799997,65.2239455988
 01/06  11:00:00,18.9651408183,52.2748853426
 01/06  12:00:00,18.9409199163,43.773392254300006
 01/06  13:00:00,18.5628775622,40.0154084841
 01/06  14:00:00,18.359353958499998,41.2043388021
 01/06  15:00:00,18.1019579415,36.577315602199995
 01/06  16:00:00,19.3639295773,34.461124991700004
 01/06  17:00:00,30.358714925100003,35.1264077123
 01/06  18:00:00,37.7706043317,36.2834661666
 01/06  19:00:00,39.8737621876,40.0627521966
 01/06  20:00:00,38.9205323884,39.6744550775
 01/06  21:00:00,38.4169604913,36.2508821928
 01/06  22:00:00,32.9958297441,34.584855310900004
 01/06  23:00:00,26.171133346199998,36.251081001399996
 01/06  24:00:00,20.3988245925,34.970119728600004
 01/07  01:00:00,16.8288053174,34.646230645100005
 01/07  02:00:00,16.3137281228,36.0446215126
 01/07  03:00:00,16.0653921484,36.8011243586
 01/07  04:00:00,15.967659729600001,38.4850771512
 01/07  05:00:00,18.0674225333,39.9442763733
 01/07  06:00:00,22.5274317205,42.1128137408
 01/07  07:00:00,27.891691515300003,57.4432290082
 01/07  08:00:00,26.984321833400003,56.8291461852
 01/07  09:00:00,22.7709709092,48.974470105200005
 01/07  10:00:00,19.8436693335,43.3381546105
 01/07  11:00:00,16.8574858467,39.670436019600004
 01/07  12:00:00,16.9396216948,34.7059604888
 01/07  13:00:00,16.7398565546,31.5711732428
 01/07  14:00:00,16.2503819516,28.975988714499998
 01/07  15:00:00,16.0683671713,26.7333322886
 01/07  16:00:00,17.4274695971,27.788733511799997
 01/07  17:00:00,28.4917907796,30.7085561504
 01/07  18:00:00,37.4468148709,32.5544140195
