Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,60.30865966060001,0.530123110099
 01/01  02:00:00,56.6626125545,0.5326037877359999
 01/01  03:00:00,64.246122711,2.24921433398
 01/01  04:00:00,57.679114147,0.8260678575749999
 01/01  05:00:00,65.29170915510001,2.45363337805
 01/01  06:00:00,58.244219986800005,0.939242663847
 01/01  07:00:00,65.4502141075,2.41168426164
 01/01  08:00:00,48.400211609399996,0.853014593927
 01/01  09:00:00,48.3664675084,2.45536502477
 01/01  10:00:00,35.5460922648,0.561312821669
 01/01  11:00:00,37.475419832600004,0.41341338835600006
 01/01  12:00:00,31.7323058684,1.12623803635
 01/01  13:00:00,32.0172142772,1.10309112176
 01/01  14:00:00,27.1720619644,0.02
 01/01  15:00:00,30.9153227646,1.10308506871
 01/01  16:00:00,31.531709789,0.02
 01/01  17:00:00,47.9808012592,1.1030459188200001
 01/01  18:00:00,50.188081008299996,0.02
 01/01  19:00:00,56.4242295507,1.1029885028
 01/01  20:00:00,52.2567089819,0.02
 01/01  21:00:00,58.5536399736,0.0627428916327
 01/01  22:00:00,53.5746369621,1.1742322825
 01/01  23:00:00,60.5813682247,0.285945812162
 01/01  24:00:00,55.398769333699995,1.3296383493700001
 01/02  01:00:00,66.63335201539999,0.7581743294679999
 01/02  02:00:00,60.8476020596,1.66059490365
 01/02  03:00:00,68.2404077004,1.3336492061299998
 01/02  04:00:00,62.134162815299995,2.1201165720599997
 01/02  05:00:00,69.934817483,1.7731986492299998
 01/02  06:00:00,65.397109228,2.29907960316
 01/02  07:00:00,273.967465336,1.3586449652200001
 01/02  08:00:00,231.94062004,37.9364774839
 01/02  09:00:00,239.371355697,35.2616379682
 01/02  10:00:00,214.092715973,30.1327471717
 01/02  11:00:00,200.371738025,26.7056566332
 01/02  12:00:00,193.295932587,26.816135956500002
 01/02  13:00:00,195.736407659,27.7045868806
 01/02  14:00:00,184.392000406,31.4639028138
 01/02  15:00:00,177.411225471,32.0637376665
 01/02  16:00:00,173.778382247,33.007601535
 01/02  17:00:00,186.51121322400002,41.5203514494
 01/02  18:00:00,187.68779975799998,46.0021128168
 01/02  19:00:00,161.47043402100002,50.9283691645
 01/02  20:00:00,162.390777244,51.5303081809
 01/02  21:00:00,156.619315941,52.278040015600006
 01/02  22:00:00,157.41225409999998,54.0605301719
 01/02  23:00:00,41.6166002114,0.02
 01/02  24:00:00,38.9361841996,1.10304056026
 01/03  01:00:00,41.9457194214,0.153039975824
 01/03  02:00:00,45.543721759899995,1.2235918274
 01/03  03:00:00,49.0927300257,0.697119930212
 01/03  04:00:00,47.8757691447,1.84331213896
 01/03  05:00:00,53.956144541899995,2.0556850817099996
 01/03  06:00:00,56.176459665500005,2.78199821052
 01/03  07:00:00,223.17578151599997,0.35049376688699996
 01/03  08:00:00,188.29944337,64.7703382514
 01/03  09:00:00,209.29458092599998,60.124176988500004
 01/03  10:00:00,190.852183083,60.076557866499996
 01/03  11:00:00,182.902036358,62.203225564300006
 01/03  12:00:00,179.598991243,63.93636844939999
 01/03  13:00:00,184.2592638,64.8493205371
 01/03  14:00:00,176.222056415,67.2118432892
 01/03  15:00:00,171.156160338,67.0322509561
 01/03  16:00:00,169.80760378899998,65.2766414293
 01/03  17:00:00,180.783407954,61.4623742709
 01/03  18:00:00,179.983986515,57.1112604793
 01/03  19:00:00,153.523490838,61.068145127200005
 01/03  20:00:00,153.562137347,63.55955694
 01/03  21:00:00,149.941915727,67.1658228804
 01/03  22:00:00,151.792902259,68.5897930414
 01/03  23:00:00,41.6166002114,0.02
 01/03  24:00:00,38.9361841996,1.1030428966099999
 01/04  01:00:00,45.4688171825,0.595847075137
 01/04  02:00:00,48.6663301389,1.86704653646
 01/04  03:00:00,48.5285453851,1.7673771732700003
 01/04  04:00:00,51.566306831400006,3.49623871508
 01/04  05:00:00,52.68823141,2.92081075603
 01/04  06:00:00,60.833173004399995,4.67209255763
 01/04  07:00:00,220.68123547,0.214228209975
 01/04  08:00:00,185.68120347,84.8067474307
 01/04  09:00:00,194.478106424,84.01989529949999
 01/04  10:00:00,167.777783822,84.6655259052
 01/04  11:00:00,160.972123171,79.2168108521
 01/04  12:00:00,158.292958926,72.29326691760001
 01/04  13:00:00,160.3398982,67.5586258371
 01/04  14:00:00,152.639195454,64.4524658527
 01/04  15:00:00,141.699642275,63.107849093999995
 01/04  16:00:00,141.67403578399998,66.6023131102
 01/04  17:00:00,162.07263992,71.7131006676
 01/04  18:00:00,168.05108872899999,72.5641582627
 01/04  19:00:00,143.208148302,78.6879819262
 01/04  20:00:00,144.655871993,81.395390835
 01/04  21:00:00,141.283159144,85.6155104607
 01/04  22:00:00,144.810647891,84.786799305
 01/04  23:00:00,41.6166002114,1.10324459144
 01/04  24:00:00,40.4848333666,1.6824822921200002
