Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,33.5753521762,0.02
 01/01  02:00:00,33.5753521762,0.02
 01/01  03:00:00,33.5753521762,1.1029276377600001
 01/01  04:00:00,33.5753521762,0.02
 01/01  05:00:00,33.5753521762,0.02
 01/01  06:00:00,33.5753521762,1.10302625619
 01/01  07:00:00,33.5753521762,0.02
 01/01  08:00:00,23.7060188429,1.10292512246
 01/01  09:00:00,18.7713521762,0.02
 01/01  10:00:00,18.7713521762,0.02
 01/01  11:00:00,18.7713521762,1.1029208126
 01/01  12:00:00,18.7713521762,0.02
 01/01  13:00:00,18.7713521762,1.10299804876
 01/01  14:00:00,18.7713521762,0.02
 01/01  15:00:00,18.7713521762,1.10300094025
 01/01  16:00:00,18.7713521762,0.02
 01/01  17:00:00,18.7713521762,0.02
 01/01  18:00:00,26.173352176199998,1.10293120567
 01/01  19:00:00,33.5753521762,0.02
 01/01  20:00:00,33.5753521762,1.10293051157
 01/01  21:00:00,33.5753521762,0.02
 01/01  22:00:00,33.5753521762,0.02
 01/01  23:00:00,33.5753521762,1.10298016594
 01/01  24:00:00,33.5753521762,0.02
 01/02  01:00:00,38.9361841996,1.10296332614
 01/02  02:00:00,38.9361841996,0.02
 01/02  03:00:00,38.9361841996,0.02
 01/02  04:00:00,38.9361841996,1.1029657637
 01/02  05:00:00,38.9361841996,0.02
 01/02  06:00:00,41.6166002114,1.1030761952700001
 01/02  07:00:00,125.274584006,0.02
 01/02  08:00:00,118.0161446,1.1034527989799998
 01/02  09:00:00,154.937796395,2.18821698745
 01/02  10:00:00,144.588199591,1.1042243573200001
 01/02  11:00:00,144.480395198,2.18852409667
 01/02  12:00:00,147.299370254,2.18905277535
 01/02  13:00:00,147.99909252700002,2.18973149869
 01/02  14:00:00,148.5987199,3.27457142333
 01/02  15:00:00,142.164129195,1.1040956498299999
 01/02  16:00:00,140.61616000799998,2.18809749405
 01/02  17:00:00,143.161504167,2.1886351316
 01/02  18:00:00,141.180613858,1.10373009425
 01/02  19:00:00,111.942553174,1.10360203587
 01/02  20:00:00,109.725213285,1.1033028090700001
 01/02  21:00:00,97.544451234,1.10336657415
 01/02  22:00:00,98.44468675729999,0.02
 01/02  23:00:00,41.6166002114,0.02
 01/02  24:00:00,38.9361841996,1.10296202064
 01/03  01:00:00,38.9361841996,0.02
 01/03  02:00:00,38.9361841996,1.10296571781
 01/03  03:00:00,38.9361841996,0.02
 01/03  04:00:00,38.9361841996,1.10296587611
 01/03  05:00:00,38.9361841996,0.02
 01/03  06:00:00,41.6166002114,1.10307089043
 01/03  07:00:00,98.823872354,0.02
 01/03  08:00:00,103.259782021,1.1034989122799999
 01/03  09:00:00,151.61880058100002,1.1040794465700001
 01/03  10:00:00,138.432940183,2.18838419598
 01/03  11:00:00,140.14645522200001,2.18867987702
 01/03  12:00:00,146.761923762,2.18916100784
 01/03  13:00:00,146.910229767,2.1899560645299996
 01/03  14:00:00,147.405573162,2.1896464090200003
 01/03  15:00:00,143.743816743,2.18848245472
 01/03  16:00:00,143.860591613,1.10403385299
 01/03  17:00:00,145.670298514,2.1886286520200002
 01/03  18:00:00,141.222112511,2.18765046448
 01/03  19:00:00,111.08844908299999,1.1035377477500001
 01/03  20:00:00,109.12248999100001,0.02
 01/03  21:00:00,94.6911442185,1.1033410157999999
 01/03  22:00:00,94.4534302033,1.10307704761
 01/03  23:00:00,41.6166002114,0.02
 01/03  24:00:00,38.9361841996,1.1029655602700001
 01/04  01:00:00,38.9361841996,0.02
 01/04  02:00:00,38.9361841996,0.02
 01/04  03:00:00,38.9361841996,1.10296465909
 01/04  04:00:00,38.9361841996,0.02
 01/04  05:00:00,38.9361841996,1.10296636051
 01/04  06:00:00,41.6166002114,0.02
 01/04  07:00:00,88.2886581692,1.10303578716
 01/04  08:00:00,96.6026292973,1.10343352494
 01/04  09:00:00,151.372873268,1.10408196562
 01/04  10:00:00,141.611864924,2.1883300738
 01/04  11:00:00,141.40299428,2.18836717186
 01/04  12:00:00,148.880720511,1.10465196533
 01/04  13:00:00,155.058641914,3.27473392429
 01/04  14:00:00,157.543160757,2.18954639283
 01/04  15:00:00,153.533812157,2.18822018939
 01/04  16:00:00,152.35914593299998,1.10403554211
 01/04  17:00:00,152.387574926,2.1889045979299997
 01/04  18:00:00,145.065984729,1.10380400816
 01/04  19:00:00,111.005127584,1.1036074653799999
 01/04  20:00:00,108.154998643,1.10337157788
 01/04  21:00:00,93.99760211479999,1.103403227
 01/04  22:00:00,92.8666756264,1.10308006847
 01/04  23:00:00,41.6166002114,0.02
 01/04  24:00:00,38.9361841996,0.02
 01/05  01:00:00,38.9361841996,1.10296532708
 01/05  02:00:00,38.9361841996,0.02
 01/05  03:00:00,38.9361841996,1.10296661698
 01/05  04:00:00,38.9361841996,0.02
 01/05  05:00:00,38.9361841996,1.10296559397
 01/05  06:00:00,41.6166002114,0.02
 01/05  07:00:00,81.9621667888,1.10303649286
 01/05  08:00:00,92.4509456141,0.02
 01/05  09:00:00,151.26086469700002,2.18790108991
 01/05  10:00:00,141.31560751700002,2.18841335629
 01/05  11:00:00,136.960723422,1.1042819107200001
 01/05  12:00:00,137.302292715,2.18878366185
 01/05  13:00:00,136.566366907,3.27450585888
 01/05  14:00:00,134.79997060899998,2.18981138819
 01/05  15:00:00,128.39102803,1.10411180981
 01/05  16:00:00,127.36892971600001,2.18817995243
 01/05  17:00:00,130.963976839,2.18880583022
 01/05  18:00:00,128.045072254,1.10381903646
 01/05  19:00:00,103.241949656,1.10356603112
 01/05  20:00:00,106.63590506799999,1.1033149097900001
 01/05  21:00:00,98.55372871559999,1.1032006161399999
 01/05  22:00:00,100.55878696299999,0.02
 01/05  23:00:00,41.6166002114,1.1030047789200002
 01/05  24:00:00,38.9361841996,0.02
 01/06  01:00:00,38.9361841996,1.10296581987
 01/06  02:00:00,38.9361841996,0.02
 01/06  03:00:00,38.9361841996,0.02
 01/06  04:00:00,38.9361841996,1.1029668418799998
 01/06  05:00:00,38.9361841996,0.02
 01/06  06:00:00,41.6166002114,1.10307677302
 01/06  07:00:00,146.886497824,0.02
 01/06  08:00:00,124.48787477399999,16.3541479348
 01/06  09:00:00,150.612909996,5.317126056459999
 01/06  10:00:00,134.3180413,1.10424267304
 01/06  11:00:00,132.951408939,2.1883476888900004
 01/06  12:00:00,137.538521071,2.189121986
 01/06  13:00:00,141.19621464,2.1898206017099997
 01/06  14:00:00,140.586065297,3.27441881382
 01/06  15:00:00,135.705016205,1.1039619591399998
 01/06  16:00:00,134.817219548,2.18784027913
 01/06  17:00:00,136.432126575,2.18878246891
 01/06  18:00:00,132.531460471,1.10380211875
 01/06  19:00:00,107.234349645,1.1035544132700001
 01/06  20:00:00,107.224694245,1.10335538577
 01/06  21:00:00,97.39233328579999,1.1034271811299998
 01/06  22:00:00,99.37952769290001,0.02
 01/06  23:00:00,41.6166002114,1.10296700537
 01/06  24:00:00,38.9361841996,0.02
 01/07  01:00:00,33.5753521762,0.02
 01/07  02:00:00,33.5753521762,1.10296610676
 01/07  03:00:00,33.5753521762,0.02
 01/07  04:00:00,33.5753521762,1.1029658139299998
 01/07  05:00:00,33.5753521762,0.02
 01/07  06:00:00,33.5753521762,1.10307700129
 01/07  07:00:00,111.54264697100001,0.02
 01/07  08:00:00,95.8284007556,1.10318517003
 01/07  09:00:00,108.780173266,1.10332485877
 01/07  10:00:00,108.182350148,1.10353404828
 01/07  11:00:00,104.32213400799999,1.10343751656
 01/07  12:00:00,105.769275834,1.10363289864
 01/07  13:00:00,104.74664585299999,1.1035263749600002
 01/07  14:00:00,100.967615686,1.1034614069600002
 01/07  15:00:00,82.7435951617,0.02
 01/07  16:00:00,85.3164207751,1.103286791
 01/07  17:00:00,87.3382892139,1.10331081362
 01/07  18:00:00,92.7025022406,0.02
 01/07  19:00:00,33.5753521762,1.10308193854
 01/07  20:00:00,33.5753521762,0.02
 01/07  21:00:00,33.5753521762,1.1030356165200002
 01/07  22:00:00,33.5753521762,0.02
 01/07  23:00:00,33.5753521762,1.10297658942
 01/07  24:00:00,33.5753521762,0.02
 01/08  01:00:00,33.5753521762,1.1029320389100001
 01/08  02:00:00,33.5753521762,0.02
 01/08  03:00:00,33.5753521762,0.02
 01/08  04:00:00,33.5753521762,1.1029302961
 01/08  05:00:00,33.5753521762,0.02
 01/08  06:00:00,33.5753521762,1.10304385244
 01/08  07:00:00,33.5753521762,0.02
 01/08  08:00:00,23.7060188429,0.02
 01/08  09:00:00,18.7713521762,1.1029260423
 01/08  10:00:00,18.7713521762,0.02
 01/08  11:00:00,18.7713521762,1.10293254654
 01/08  12:00:00,18.7713521762,0.02
 01/08  13:00:00,18.7713521762,0.02
 01/08  14:00:00,18.7713521762,1.1030647687700001
 01/08  15:00:00,18.7713521762,1.10299976648
 01/08  16:00:00,18.7713521762,0.02
 01/08  17:00:00,18.7713521762,0.02
 01/08  18:00:00,26.173352176199998,1.1029312282700001
 01/08  19:00:00,33.5753521762,0.02
 01/08  20:00:00,33.5753521762,0.02
 01/08  21:00:00,33.5753521762,1.10292865282
 01/08  22:00:00,33.5753521762,0.02
 01/08  23:00:00,33.5753521762,1.10292792982
 01/08  24:00:00,33.5753521762,0.02
 01/09  01:00:00,38.9361841996,0.02
 01/09  02:00:00,38.9361841996,1.1029672114799998
 01/09  03:00:00,38.9361841996,0.02
 01/09  04:00:00,38.9361841996,1.10296727435
 01/09  05:00:00,38.9361841996,0.02
 01/09  06:00:00,41.6166002114,1.10308436713
 01/09  07:00:00,108.16495290799999,0.02
 01/09  08:00:00,111.94737221,1.10349515141
 01/09  09:00:00,155.23990448799998,2.18819803158
 01/09  10:00:00,143.219478803,1.10423213599
