Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,4.58920285936,0.02
 01/01  02:00:00,4.72688066244,0.45307827500500003
 01/01  03:00:00,4.4556369588999996,0.02
 01/01  04:00:00,4.2280187684,0.453072162659
 01/01  05:00:00,4.2280187684,0.453084221839
 01/01  06:00:00,4.2280187684,0.02
 01/01  07:00:00,4.2280187684,0.453069623634
 01/01  08:00:00,2.3088521017400003,0.02
 01/01  09:00:00,2.2009376683099995,0.453081654647
 01/01  10:00:00,2.8057267685900005,0.453078973026
 01/01  11:00:00,2.6888721507200004,0.02
 01/01  12:00:00,2.5137560482900003,0.45308847408799996
 01/01  13:00:00,2.7740089023400003,0.453085281332
 01/01  14:00:00,2.69462812103,0.02
 01/01  15:00:00,3.4188671685400003,0.4529799944
 01/01  16:00:00,3.5581356434300004,0.453082008519
 01/01  17:00:00,3.70774110561,0.02
 01/01  18:00:00,3.7084171630800005,0.4530804371
 01/01  19:00:00,4.98017215984,0.02
 01/01  20:00:00,4.81143051939,0.453075257471
 01/01  21:00:00,4.9440685968,0.45307045380000005
 01/01  22:00:00,4.76734975401,0.02
 01/01  23:00:00,4.8725156902,0.453054747739
 01/01  24:00:00,4.70710866839,0.453084989427
 01/02  01:00:00,5.1357867398699995,0.02
 01/02  02:00:00,5.12285918867,0.453084694173
 01/02  03:00:00,4.7780241307999995,0.02
 01/02  04:00:00,4.7780241307999995,0.45306509169799997
 01/02  05:00:00,4.7780241307999995,0.45308099057499995
 01/02  06:00:00,5.053026812,0.02
 01/02  07:00:00,10.234047261699999,0.453072598024
 01/02  08:00:00,8.857470713089999,0.45309151472099995
 01/02  09:00:00,16.0285662183,0.453113348342
 01/02  10:00:00,16.4746700371,0.02
 01/02  11:00:00,16.873654624,0.453118002817
 01/02  12:00:00,17.0664616207,0.453134862762
 01/02  13:00:00,16.4259198291,0.453124109071
 01/02  14:00:00,17.3771583024,0.453144213275
 01/02  15:00:00,17.55767394,0.453099679262
 01/02  16:00:00,17.6340831026,0.453120284374
 01/02  17:00:00,17.4512073743,0.45313075285300003
 01/02  18:00:00,12.473183956199998,0.02
 01/02  19:00:00,11.6952870875,0.453112623376
 01/02  20:00:00,11.5893001392,0.453093783639
 01/02  21:00:00,10.7800191674,0.453075145748
 01/02  22:00:00,10.4859982626,0.02
 01/02  23:00:00,5.17868621401,0.45308599660300003
 01/02  24:00:00,5.211486123219999,0.453078818653
 01/03  01:00:00,4.88864814192,0.02
 01/03  02:00:00,4.7780241307999995,0.45305901201800003
 01/03  03:00:00,4.7780241307999995,0.02
 01/03  04:00:00,4.7780241307999995,0.453074959306
 01/03  05:00:00,4.7780241307999995,0.453056872886
 01/03  06:00:00,5.053026812,0.02
 01/03  07:00:00,9.60893145144,0.453082532662
 01/03  08:00:00,8.3406256791,0.453103115184
 01/03  09:00:00,15.5557574051,0.453124076797
 01/03  10:00:00,16.1309099313,0.02
 01/03  11:00:00,16.4961906979,0.453128819031
 01/03  12:00:00,16.6539193331,0.45313213359099996
 01/03  13:00:00,16.0018070771,0.453134993927
 01/03  14:00:00,17.0005092868,0.453100288711
 01/03  15:00:00,17.2959944759,0.453110472809
 01/03  16:00:00,17.4773705866,0.453115693974
 01/03  17:00:00,17.4154758604,0.453129064199
 01/03  18:00:00,12.5129835253,0.453102752786
 01/03  19:00:00,11.8655066672,0.02
 01/03  20:00:00,11.8526425624,0.453085506782
 01/03  21:00:00,11.1853790098,0.45308605195699997
 01/03  22:00:00,10.941608265,0.02
 01/03  23:00:00,5.30069108686,0.453085485764
 01/03  24:00:00,5.23142738465,0.453078243445
