Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,22.8910664816,8.17715162714
 01/01  02:00:00,14.993230518699999,3.3598800000000004
 01/01  03:00:00,15.020753318399999,3.9319396927800008
 01/01  04:00:00,15.0313137762,3.3598800000000004
 01/01  05:00:00,15.204896370799998,3.3598800000000004
 01/01  06:00:00,23.0919528828,9.45021947316
 01/01  07:00:00,39.0265691067,19.586163048299998
 01/01  08:00:00,42.4582810956,27.9362974491
 01/01  09:00:00,46.18814168310001,36.2861062446
 01/01  10:00:00,40.1217745726,27.9365482777
 01/01  11:00:00,52.4973608337,50.997026643999995
 01/01  12:00:00,56.011463797,50.9948921375
 01/01  13:00:00,57.7224222678,48.6768292442
 01/01  14:00:00,49.5347608354,40.9025315534
 01/01  15:00:00,49.229076875699995,30.8173972346
 01/01  16:00:00,48.553142155699994,38.5918133148
 01/01  17:00:00,56.2393670696,55.8665721449
 01/01  18:00:00,56.5263972351,57.603474811800005
 01/01  19:00:00,57.675231448299996,59.3438029683
 01/01  20:00:00,47.4926126466,42.070007200300005
 01/01  21:00:00,46.033865343900004,40.9039900236
 01/01  22:00:00,41.9592444691,34.2950032129
 01/01  23:00:00,39.7042527364,23.629029805
 01/01  24:00:00,39.7548693117,12.3868994257
 01/02  01:00:00,22.9102338497,7.59626352635
 01/02  02:00:00,14.996353750199999,3.3598800000000004
 01/02  03:00:00,15.020717704800001,3.9319414517699998
 01/02  04:00:00,15.0270687061,3.3598800000000004
 01/02  05:00:00,15.192663476300002,3.3598800000000004
 01/02  06:00:00,23.026433359699997,9.89750221855
 01/02  07:00:00,39.0063255515,19.586182166
 01/02  08:00:00,42.2458110974,36.0681769257
 01/02  09:00:00,43.805437655,43.231461266800004
 01/02  10:00:00,40.0340979888,33.1370080191
 01/02  11:00:00,50.5342857903,49.2545894734
 01/02  12:00:00,54.49010607899999,49.8358229589
 01/02  13:00:00,56.4006921239,49.2524285134
 01/02  14:00:00,47.4529584633,39.7462807582
 01/02  15:00:00,45.736070759300006,30.8165594906
 01/02  16:00:00,44.7642070339,38.5922301713
 01/02  17:00:00,53.6050401315,55.867154222799996
 01/02  18:00:00,55.7767833902,57.603694087700006
 01/02  19:00:00,57.8562849905,59.9305483279
 01/02  20:00:00,47.6284343341,44.394076973199994
 01/02  21:00:00,46.4937006818,42.644287228
 01/02  22:00:00,43.4945404825,34.8805746613
 01/02  23:00:00,41.2984776628,24.7849958799
 01/02  24:00:00,40.1904868902,12.9647301218
 01/03  01:00:00,22.931599725399998,7.59087907707
 01/03  02:00:00,15.0143985986,3.3598800000000004
 01/03  03:00:00,15.036782947699999,3.9319729729699997
 01/03  04:00:00,15.043676926600002,3.3598800000000004
 01/03  05:00:00,15.8156782927,3.93192711819
 01/03  06:00:00,23.7083020351,8.71927450121
 01/03  07:00:00,39.3004724472,19.5861030873
 01/03  08:00:00,42.5968727707,36.0451519529
 01/03  09:00:00,46.6465966507,43.2314590204
 01/03  10:00:00,43.1630606817,33.7141874638
 01/03  11:00:00,52.4722999166,48.6780350969
 01/03  12:00:00,55.86249467060001,50.4115594083
 01/03  13:00:00,57.1911257587,48.676256612299994
 01/03  14:00:00,48.3410559255,39.7464669995
