Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,15.1069992076,0.0
 01/02  02:00:00,15.1069992076,0.0
 01/02  03:00:00,15.1069992076,0.0
 01/02  04:00:00,15.1069992076,0.0
 01/02  05:00:00,15.1069992076,0.0
 01/02  06:00:00,15.1069992076,0.0
 01/02  07:00:00,24.0223464227,0.0
 01/02  08:00:00,21.7221630641,0.0
 01/02  09:00:00,33.4504594351,0.0
 01/02  10:00:00,53.8931647074,0.0
 01/02  11:00:00,62.8489699633,0.0
 01/02  12:00:00,68.9973442197,0.0
 01/02  13:00:00,72.4013567813,0.0
 01/02  14:00:00,74.7901187242,0.0
 01/02  15:00:00,75.8824765734,0.0
 01/02  16:00:00,76.5406849382,0.0
 01/02  17:00:00,74.5164635279,0.0
 01/02  18:00:00,75.2658814104,0.0
 01/02  19:00:00,63.3589542175,0.0
 01/02  20:00:00,58.281047855699995,0.0
 01/02  21:00:00,50.712181250200004,0.0
 01/02  22:00:00,22.3776491824,0.0
 01/02  23:00:00,15.1069992076,0.0
 01/02  24:00:00,15.1069992076,0.0
 01/03  01:00:00,15.1069992076,0.0
 01/03  02:00:00,15.1069992076,0.0
 01/03  03:00:00,15.1069992076,0.0
 01/03  04:00:00,15.1069992076,0.0
 01/03  05:00:00,15.1069992076,0.0
 01/03  06:00:00,15.1069992076,0.0
 01/03  07:00:00,24.0223464227,0.0
 01/03  08:00:00,21.7221630641,0.0
 01/03  09:00:00,33.4550646286,0.0
 01/03  10:00:00,59.720029582600006,0.0
 01/03  11:00:00,66.69275461069999,0.0
 01/03  12:00:00,70.986238069,0.0
 01/03  13:00:00,71.7666869399,0.0
 01/03  14:00:00,73.2141477215,0.0
 01/03  15:00:00,75.1422658992,0.0
 01/03  16:00:00,75.1108402479,0.0
 01/03  17:00:00,73.158043096,0.0
 01/03  18:00:00,73.9321403932,0.0
 01/03  19:00:00,62.8138350058,0.0
 01/03  20:00:00,59.1231623483,0.0
 01/03  21:00:00,52.147577893999994,0.0
 01/03  22:00:00,22.3776491824,0.0
 01/03  23:00:00,15.1069992076,0.0
 01/03  24:00:00,15.1069992076,0.0
 01/04  01:00:00,15.1069992076,0.0
 01/04  02:00:00,15.1069992076,0.0
 01/04  03:00:00,15.1069992076,0.0
 01/04  04:00:00,15.1069992076,0.0
 01/04  05:00:00,15.1069992076,0.0
 01/04  06:00:00,15.1069992076,0.0
 01/04  07:00:00,24.0223464227,0.0
 01/04  08:00:00,21.7221630641,0.0
 01/04  09:00:00,33.4504594351,0.0
 01/04  10:00:00,53.7480341355,0.0
 01/04  11:00:00,59.7485404603,0.0
 01/04  12:00:00,64.8724039257,0.0
 01/04  13:00:00,67.5945001453,0.0
 01/04  14:00:00,69.168727644,0.0
 01/04  15:00:00,68.851238563,0.0
 01/04  16:00:00,68.6064512625,0.0
 01/04  17:00:00,65.7771169158,0.0
 01/04  18:00:00,66.0550658842,0.0
 01/04  19:00:00,54.2042349651,0.0
 01/04  20:00:00,50.319719347399996,0.0
 01/04  21:00:00,45.04760577850001,0.0
 01/04  22:00:00,22.3776491824,0.0
 01/04  23:00:00,15.1069992076,0.0
 01/04  24:00:00,15.1069992076,0.0
 01/05  01:00:00,15.1069992076,0.0
 01/05  02:00:00,15.1069992076,0.0
 01/05  03:00:00,15.1069992076,0.0
 01/05  04:00:00,15.1069992076,0.0
 01/05  05:00:00,15.1069992076,0.0
 01/05  06:00:00,15.1069992076,0.0
 01/05  07:00:00,24.0223464227,0.0
 01/05  08:00:00,21.7221630641,0.0
 01/05  09:00:00,33.4504594351,0.0
 01/05  10:00:00,50.339365495200006,0.0
 01/05  11:00:00,55.2217703768,0.0
 01/05  12:00:00,60.328201705299996,0.0
 01/05  13:00:00,63.4725543041,0.0
 01/05  14:00:00,64.93588707880001,0.0
 01/05  15:00:00,64.3018134456,0.0
 01/05  16:00:00,64.1314869837,0.0
 01/05  17:00:00,62.118997657200005,0.0
 01/05  18:00:00,62.8007626795,0.0
 01/05  19:00:00,55.8965586996,0.0
 01/05  20:00:00,53.5188782232,0.0
 01/05  21:00:00,48.2145870609,0.0
 01/05  22:00:00,22.3776491824,0.0
 01/05  23:00:00,15.1069992076,0.0
 01/05  24:00:00,15.1069992076,0.0
 01/06  01:00:00,15.1069992076,0.0
 01/06  02:00:00,15.1069992076,0.0
 01/06  03:00:00,15.1069992076,0.0
 01/06  04:00:00,15.1069992076,0.0
 01/06  05:00:00,15.1069992076,0.0
 01/06  06:00:00,15.1069992076,0.0
 01/06  07:00:00,24.0223464227,0.0
 01/06  08:00:00,21.7221630641,0.0
 01/06  09:00:00,36.2769196713,0.0
 01/06  10:00:00,61.5376090188,0.0
 01/06  11:00:00,64.0160541526,0.0
 01/06  12:00:00,67.7714003505,0.0
 01/06  13:00:00,70.4073943016,0.0
 01/06  14:00:00,72.32563820729999,0.0
 01/06  15:00:00,73.0477371251,0.0
 01/06  16:00:00,73.3333537523,0.0
 01/06  17:00:00,71.5758458614,0.0
 01/06  18:00:00,71.7448683203,0.0
 01/06  19:00:00,64.0114194396,0.0
 01/06  20:00:00,60.71359224,0.0
 01/06  21:00:00,55.200198755200006,0.0
 01/06  22:00:00,22.3776491824,0.0
 01/06  23:00:00,15.1069992076,0.0
 01/06  24:00:00,15.1069992076,0.0
 01/07  01:00:00,14.657580751600001,0.0
 01/07  02:00:00,14.657580751600001,0.0
 01/07  03:00:00,14.657580751600001,0.0
 01/07  04:00:00,14.657580751600001,0.0
 01/07  05:00:00,14.657580751600001,0.0
 01/07  06:00:00,14.657580751600001,0.0
 01/07  07:00:00,23.5729279667,0.0
 01/07  08:00:00,17.1746753849,0.0
 01/07  09:00:00,25.7054909395,0.0
 01/07  10:00:00,50.5393511683,0.0
 01/07  11:00:00,71.6534507683,0.0
 01/07  12:00:00,77.8132090128,0.0
 01/07  13:00:00,79.11787392789999,0.0
 01/07  14:00:00,79.23781484060001,0.0
 01/07  15:00:00,78.0126522678,0.0
 01/07  16:00:00,75.2838388997,0.0
 01/07  17:00:00,66.34407943869999,0.0
 01/07  18:00:00,62.62838983,0.0
 01/07  19:00:00,48.4141427854,0.0
 01/07  20:00:00,37.3882306825,0.0
 01/07  21:00:00,36.435654956,0.0
 01/07  22:00:00,26.745508718299998,0.0
 01/07  23:00:00,14.657580751600001,0.0
 01/07  24:00:00,14.657580751600001,0.0
 01/08  01:00:00,14.657580751600001,0.0
 01/08  02:00:00,14.657580751600001,0.0
 01/08  03:00:00,14.657580751600001,0.0
 01/08  04:00:00,14.657580751600001,0.0
 01/08  05:00:00,14.657580751600001,0.0
 01/08  06:00:00,14.657580751600001,0.0
 01/08  07:00:00,14.657580751600001,0.0
 01/08  08:00:00,5.08674741827,0.0
 01/08  09:00:00,15.260508718299999,0.0043861201353599995
 01/08  10:00:00,15.260508718299999,0.0
 01/08  11:00:00,28.9029717559,0.0
 01/08  12:00:00,28.927976771500003,0.0
 01/08  13:00:00,40.243451777800004,0.0
 01/08  14:00:00,41.516686080999996,0.0
 01/08  15:00:00,41.7153986051,0.0
 01/08  16:00:00,41.6875959376,0.0
 01/08  17:00:00,40.926386541599996,0.0
 01/08  18:00:00,32.769883788,0.0
 01/08  19:00:00,31.2929963975,0.0
 01/08  20:00:00,14.657580751600001,0.0
 01/08  21:00:00,14.657580751600001,0.0
 01/08  22:00:00,14.657580751600001,0.0
 01/08  23:00:00,14.657580751600001,0.0
 01/08  24:00:00,14.657580751600001,0.0
 01/09  01:00:00,15.1069992076,0.0
 01/09  02:00:00,15.1069992076,0.0
 01/09  03:00:00,15.1069992076,0.0
 01/09  04:00:00,15.1069992076,0.0
 01/09  05:00:00,15.1069992076,0.0
 01/09  06:00:00,15.1069992076,0.0
 01/09  07:00:00,24.0223464227,39.276679447199996
 01/09  08:00:00,21.7221630641,29.065843471300003
 01/09  09:00:00,33.4504594351,9.22327008896
 01/09  10:00:00,49.8427363279,0.0
 01/09  11:00:00,49.8427363279,0.0
 01/09  12:00:00,50.849723538999996,0.0
 01/09  13:00:00,54.6158388295,0.0
 01/09  14:00:00,57.2345014705,0.0
 01/09  15:00:00,59.556546074799996,0.0
 01/09  16:00:00,61.3556324121,0.0
 01/09  17:00:00,60.084887477399995,0.0
 01/09  18:00:00,59.8390647664,0.0
 01/09  19:00:00,51.3227144712,0.0
 01/09  20:00:00,49.533005432399996,0.0
 01/09  21:00:00,44.9354594351,0.0
 01/09  22:00:00,22.3776491824,0.0
 01/09  23:00:00,15.1069992076,0.0
 01/09  24:00:00,15.1069992076,0.0
 01/10  01:00:00,15.1069992076,0.0
 01/10  02:00:00,15.1069992076,0.0
 01/10  03:00:00,15.1069992076,0.0
 01/10  04:00:00,15.1069992076,0.0
 01/10  05:00:00,15.1069992076,0.0
 01/10  06:00:00,15.1069992076,0.0
 01/10  07:00:00,24.0223464227,47.3574344489
 01/10  08:00:00,21.7221630641,31.558923153800002
 01/10  09:00:00,33.4504594351,3.8165794617800004
 01/10  10:00:00,49.8427363279,0.0
 01/10  11:00:00,50.6160897021,0.0
 01/10  12:00:00,55.7052090489,0.0
 01/10  13:00:00,59.1056904836,0.0
 01/10  14:00:00,61.6953925663,0.0
 01/10  15:00:00,61.810363207600005,0.0
 01/10  16:00:00,61.5059843991,0.0
 01/10  17:00:00,60.6904454829,0.0
 01/10  18:00:00,62.3774176451,0.0
 01/10  19:00:00,54.5724556617,0.0
 01/10  20:00:00,50.7407684625,0.0
 01/10  21:00:00,45.10706198020001,0.0
 01/10  22:00:00,22.3776491824,0.0
 01/10  23:00:00,15.1069992076,0.0
 01/10  24:00:00,15.1069992076,0.0
 01/11  01:00:00,15.1069992076,0.0
 01/11  02:00:00,15.1069992076,0.0
 01/11  03:00:00,15.1069992076,0.0
 01/11  04:00:00,15.1069992076,0.0
 01/11  05:00:00,15.1069992076,0.0
 01/11  06:00:00,15.1069992076,0.0
 01/11  07:00:00,24.0223464227,18.101714580699998
 01/11  08:00:00,21.7221630641,9.766201055739998
 01/11  09:00:00,33.4504594351,0.0347230493942
 01/11  10:00:00,50.3166113714,0.0
 01/11  11:00:00,55.77464579390001,0.0
 01/11  12:00:00,60.673818526000005,0.0
 01/11  13:00:00,64.11843821800001,0.0
 01/11  14:00:00,67.0096288049,0.0
 01/11  15:00:00,66.4313810942,0.0
 01/11  16:00:00,66.1739582439,0.0
 01/11  17:00:00,64.8757103889,0.0
 01/11  18:00:00,64.9681998011,0.0
 01/11  19:00:00,55.7875222992,0.0
 01/11  20:00:00,51.0531164483,0.0
 01/11  21:00:00,45.167382895699994,0.0
 01/11  22:00:00,22.3776491824,0.0
 01/11  23:00:00,15.1069992076,0.0
 01/11  24:00:00,15.1069992076,0.0
 01/12  01:00:00,15.1069992076,0.0
 01/12  02:00:00,15.1069992076,0.0
 01/12  03:00:00,15.1069992076,0.0
 01/12  04:00:00,15.1069992076,0.0
 01/12  05:00:00,15.1069992076,0.0
 01/12  06:00:00,15.1069992076,0.0
 01/12  07:00:00,24.0223464227,4.02927107404
 01/12  08:00:00,21.7221630641,0.683849286789
 01/12  09:00:00,33.4504594351,0.0
 01/12  10:00:00,53.69538982899999,0.0
 01/12  11:00:00,60.1679695005,0.0
 01/12  12:00:00,64.5029469073,0.0
 01/12  13:00:00,67.9159959633,0.0
 01/12  14:00:00,70.4920667637,0.0
 01/12  15:00:00,72.4804911091,0.0
 01/12  16:00:00,72.3583165932,0.0
 01/12  17:00:00,70.5763383897,0.0
 01/12  18:00:00,69.3500520484,0.0
 01/12  19:00:00,59.646364452,0.0
 01/12  20:00:00,55.291638672,0.0
 01/12  21:00:00,49.1005897971,0.0
 01/12  22:00:00,22.3776491824,0.0
 01/12  23:00:00,15.1069992076,0.0
 01/12  24:00:00,15.1069992076,0.0
 01/13  01:00:00,15.1069992076,0.0
 01/13  02:00:00,15.1069992076,0.0
 01/13  03:00:00,15.1069992076,0.0
 01/13  04:00:00,15.1069992076,0.0
 01/13  05:00:00,15.1069992076,0.0
 01/13  06:00:00,15.1069992076,0.0
 01/13  07:00:00,24.0223464227,0.0
 01/13  08:00:00,21.7221630641,0.0
 01/13  09:00:00,34.5457659279,0.0
 01/13  10:00:00,60.831071870500004,0.0
 01/13  11:00:00,65.0141369919,0.0
 01/13  12:00:00,69.42212187310001,0.0
 01/13  13:00:00,70.6429180241,0.0
 01/13  14:00:00,72.9163433843,0.0
 01/13  15:00:00,74.7667851093,0.0
 01/13  16:00:00,74.768302952,0.0
 01/13  17:00:00,73.1901791754,0.0
 01/13  18:00:00,72.764362828,0.0
 01/13  19:00:00,64.5547713417,0.0
 01/13  20:00:00,61.7029755431,0.0
 01/13  21:00:00,55.726301721999995,0.0
 01/13  22:00:00,22.3776491824,0.0
 01/13  23:00:00,15.1069992076,0.0
 01/13  24:00:00,15.1069992076,0.0
 01/14  01:00:00,14.657580751600001,0.0
 01/14  02:00:00,14.657580751600001,0.0
 01/14  03:00:00,14.657580751600001,0.0
 01/14  04:00:00,14.657580751600001,0.0
 01/14  05:00:00,14.657580751600001,0.0
 01/14  06:00:00,14.657580751600001,0.0
 01/14  07:00:00,23.5747936145,0.0
