Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,44.67957348,0.9161117949619999
 01/01  02:00:00,44.9243118626,5.95128023284
 01/01  03:00:00,39.8512703391,0.256575025242
 01/01  04:00:00,38.9036669844,6.084863202209999
 01/01  05:00:00,40.5935163454,0.0703586118805
 01/01  06:00:00,45.029900513,5.8834500073500005
 01/01  07:00:00,66.1204941474,6.11497916454
 01/01  08:00:00,80.7348474739,11.621087056099999
 01/01  09:00:00,110.735548557,29.4551773846
 01/01  10:00:00,98.12118913270001,47.338116452200005
 01/01  11:00:00,73.69105829829999,41.4177932829
 01/01  12:00:00,73.0527923639,35.5432496444
 01/01  13:00:00,74.1435608014,35.5064432973
 01/01  14:00:00,75.2907362663,41.3291170006
 01/01  15:00:00,75.3065355251,35.509906467600004
 01/01  16:00:00,73.6471160049,35.5092789488
 01/01  17:00:00,75.64190500779999,23.7848388231
 01/01  18:00:00,83.9483709871,5.76570122894
 01/01  19:00:00,100.203352241,5.7706782362
 01/01  20:00:00,100.521683541,5.78055136007
 01/01  21:00:00,106.170483819,6.17088815147
 01/01  22:00:00,103.026512758,12.530237047
 01/01  23:00:00,78.159388694,6.987950681939999
 01/01  24:00:00,52.0787495808,13.2716856526
 01/02  01:00:00,42.7345553698,3.3918443939099996
 01/02  02:00:00,39.4961684713,11.1723047623
 01/02  03:00:00,36.3566448968,6.43045771168
 01/02  04:00:00,35.8296133503,11.5385790604
 01/02  05:00:00,37.1202533005,11.2425850419
 01/02  06:00:00,44.465467366300004,12.711868141199998
 01/02  07:00:00,77.9357019862,18.988175796700002
 01/02  08:00:00,94.2659313962,18.4865478352
 01/02  09:00:00,81.2801204093,29.9471111621
 01/02  10:00:00,81.3656047825,35.5743537123
 01/02  11:00:00,64.8595223843,41.3770527588
 01/02  12:00:00,68.1994088379,35.5129503219
 01/02  13:00:00,71.5765391589,35.5076256344
 01/02  14:00:00,71.9575887829,41.3309724367
 01/02  15:00:00,72.6093143337,35.511360859499995
 01/02  16:00:00,71.68436027029999,35.5068393683
 01/02  17:00:00,74.5623887759,23.7857687326
 01/02  18:00:00,86.9820274834,5.77088725336
 01/02  19:00:00,95.2396638564,11.571600952999999
 01/02  20:00:00,98.2972509533,5.78080665285
 01/02  21:00:00,107.477639537,5.79724551207
 01/02  22:00:00,101.736915035,11.582663399300001
 01/02  23:00:00,74.2518715282,11.5520319627
 01/02  24:00:00,50.9675904709,6.089975899520001
 01/03  01:00:00,44.561124383599996,0.312607657478
 01/03  02:00:00,42.0882601031,5.90120733492
 01/03  03:00:00,39.0848101447,0.679900537494
 01/03  04:00:00,38.6679549796,6.324477083940001
 01/03  05:00:00,40.102805484,0.40233705933499997
 01/03  06:00:00,48.0946455848,11.8875174179
 01/03  07:00:00,82.46698524520001,11.9057064023
 01/03  08:00:00,97.8231597693,12.4927423407
 01/03  09:00:00,81.926364115,25.956407550100003
 01/03  10:00:00,77.8619214701,38.9269657842
 01/03  11:00:00,58.556411062399995,42.0281712432
 01/03  12:00:00,59.543987567100004,36.1782332853
 01/03  13:00:00,60.2262478118,36.7804181451
 01/03  14:00:00,60.63176316,41.330438021
 01/03  15:00:00,60.2107308441,35.5105022418
 01/03  16:00:00,59.800841680699996,35.5119335507
 01/03  17:00:00,63.341337446800004,23.809185030500004
 01/03  18:00:00,77.4608124186,6.91003068382
 01/03  19:00:00,87.6820100457,14.392106786400001
 01/03  20:00:00,90.15179485870001,10.6722817668
 01/03  21:00:00,99.0309154751,14.3119327694
 01/03  22:00:00,93.1887228605,22.029452070300003
 01/03  23:00:00,65.761432378,24.583867111500002
 01/03  24:00:00,43.055257840900005,15.965868442
 01/04  01:00:00,37.0192543959,23.9325164179
