Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,22.6887454066,53.745995503900005
 01/01  02:00:00,14.7668370442,3.3598800000000004
 01/01  03:00:00,14.760347684300001,3.9319735527999997
 01/01  04:00:00,14.7627249238,3.3598800000000004
 01/01  05:00:00,14.9203479046,3.93192772302
 01/01  06:00:00,22.770520986100003,72.7349046005
 01/01  07:00:00,37.679306571,75.6143198595
 01/01  08:00:00,41.997461039499996,61.1258951092
 01/01  09:00:00,42.0673062647,47.656934595100005
 01/01  10:00:00,34.6331744479,31.853452229899997
 01/01  11:00:00,42.172394727,53.3363850417
 01/01  12:00:00,42.941355732199995,53.330454303100005
 01/01  13:00:00,42.8157754285,50.9963495996
 01/01  14:00:00,34.9171857739,42.6469066017
 01/01  15:00:00,34.7360466479,31.9761143951
 01/01  16:00:00,34.7233037102,40.3429123032
 01/01  17:00:00,43.2417041185,57.0260743718
 01/01  18:00:00,46.346219562200005,59.492774602
 01/01  19:00:00,46.3409804721,61.6797164607
 01/01  20:00:00,38.983950120900005,45.0864316046
 01/01  21:00:00,38.9424883693,44.8738879627
 01/01  22:00:00,38.8375695936,52.2183650435
 01/01  23:00:00,38.6972618996,51.551889338
 01/01  24:00:00,39.4336140578,45.320245389200004
 01/02  01:00:00,22.7000540511,54.22905742020001
 01/02  02:00:00,14.7755601396,3.3598800000000004
 01/02  03:00:00,14.7881328922,3.3598800000000004
 01/02  04:00:00,14.784334389300001,3.9319745782899997
 01/02  05:00:00,14.9195210996,3.3598800000000004
 01/02  06:00:00,22.7406710579,85.4475750133
 01/02  07:00:00,37.6741453132,78.343893073
 01/02  08:00:00,42.063663401199996,59.8093148221
 01/02  09:00:00,42.1287334451,54.489029945
 01/02  10:00:00,34.6773042004,37.507236859
 01/02  11:00:00,42.2167092604,50.9956949671
 01/02  12:00:00,43.0324108231,52.1615265365
 01/02  13:00:00,44.687932606000004,50.994697795600004
 01/02  14:00:00,38.174621424,41.4850257225
 01/02  15:00:00,35.9257262871,31.975361687800003
 01/02  16:00:00,34.7512056887,40.3259960346
 01/02  17:00:00,43.8865274111,57.025373771800005
 01/02  18:00:00,47.5155956378,59.3478148952
 01/02  19:00:00,47.9344040182,62.8471810912
 01/02  20:00:00,39.710496467199995,47.320372507799995
 01/02  21:00:00,39.4459334407,44.976455073900006
 01/02  22:00:00,38.9667884451,37.237643784
 01/02  23:00:00,38.839373557100004,27.1932801044
 01/02  24:00:00,39.594653265,14.7958338046
 01/03  01:00:00,22.8773294125,8.17526292191
 01/03  02:00:00,14.964571454300001,3.3598800000000004
 01/03  03:00:00,14.9940210469,3.93196992804
 01/03  04:00:00,15.008713079200001,3.3598800000000004
 01/03  05:00:00,15.7879220624,3.9319758030900003
 01/03  06:00:00,23.656139763600002,8.62266596023
 01/03  07:00:00,38.2882897241,20.735596213399997
 01/03  08:00:00,42.2857059617,38.4148465118
 01/03  09:00:00,42.8004187827,46.1495367391
 01/03  10:00:00,34.8827402664,35.4628435128
 01/03  11:00:00,43.0420558653,50.9979149821
 01/03  12:00:00,46.8372686226,52.161246264300004
 01/03  13:00:00,49.1577744796,50.9978095485
 01/03  14:00:00,40.021939510900005,41.4855415453
 01/03  15:00:00,37.6521768122,31.9765393241
 01/03  16:00:00,36.654172419,40.9013137818
 01/03  17:00:00,46.5865294367,57.022893725299994
 01/03  18:00:00,49.529771403299996,59.3483551846
 01/03  19:00:00,50.566016556099996,62.8491770008
 01/03  20:00:00,41.7295396574,46.7401108757
 01/03  21:00:00,41.4042846225,44.982832226599996
 01/03  22:00:00,39.699172793,37.7995130538
 01/03  23:00:00,39.010227595500005,27.112198056500002
 01/03  24:00:00,39.6276585584,14.221103791800001
 01/04  01:00:00,22.901856793,8.774425297210001
 01/04  02:00:00,14.9778209325,3.3598800000000004
 01/04  03:00:00,14.9994974473,3.9319452327199995
 01/04  04:00:00,15.008877815899998,3.3598800000000004
 01/04  05:00:00,15.1744898443,3.3598800000000004
 01/04  06:00:00,23.0255436693,10.6346918127
 01/04  07:00:00,37.9548555572,20.1617935562
 01/04  08:00:00,42.2569506483,38.9974473849
 01/04  09:00:00,42.1247930306,60.0687560904
 01/04  10:00:00,34.548356109299995,65.7796668355
 01/04  11:00:00,42.1410080564,59.6703630616
 01/04  12:00:00,45.9804913292,52.1620640333
 01/04  13:00:00,50.288095641800005,50.9968686442
 01/04  14:00:00,41.6544999457,41.4839485671
 01/04  15:00:00,39.807228468699996,31.976783910300004
 01/04  16:00:00,38.4149024312,40.4956671664
 01/04  17:00:00,47.219525029799996,57.4326522345
 01/04  18:00:00,49.5637763996,59.3462023497
 01/04  19:00:00,50.8098991892,62.8499891762
 01/04  20:00:00,42.3721038465,46.7403341596
 01/04  21:00:00,42.711189333200004,44.982831167700006
 01/04  22:00:00,40.8253625212,37.7997707156
 01/04  23:00:00,39.7204993102,27.1122256952
 01/04  24:00:00,39.8189776269,14.119247084100001
 01/05  01:00:00,22.958904640300002,8.731539226989998
 01/05  02:00:00,15.0358149666,3.3598800000000004
 01/05  03:00:00,15.0603870934,3.9319744590400005
 01/05  04:00:00,15.069871342999999,3.3598800000000004
 01/05  05:00:00,15.260006121199998,3.93192861188
 01/05  06:00:00,24.253736579499996,8.39526263464
 01/05  07:00:00,42.19267647,20.1616169851
 01/05  08:00:00,53.118748310200004,38.9738940985
 01/05  09:00:00,49.609261778400004,46.148045269499995
 01/05  10:00:00,38.9743610198,35.4640841936
 01/05  11:00:00,47.4544263235,50.9980533593
 01/05  12:00:00,50.469049268,52.1607771492
 01/05  13:00:00,51.6520589382,50.9979034212
 01/05  14:00:00,41.5663709672,41.4859750436
 01/05  15:00:00,38.3024996821,32.5538351417
 01/05  16:00:00,35.0860720213,40.3246517529
 01/05  17:00:00,43.4769923904,57.0354037441
 01/05  18:00:00,46.4083201018,59.368015119700004
 01/05  19:00:00,46.3766965858,63.018264711899995
 01/05  20:00:00,38.990591017199996,52.388687303999994
 01/05  21:00:00,38.877265241799996,55.517010375299996
 01/05  22:00:00,38.7841151329,59.2215213346
 01/05  23:00:00,38.660686690300004,56.3638523136
 01/05  24:00:00,39.4143167731,51.372746631800005
 01/06  01:00:00,22.6741241896,56.9772001958
 01/06  02:00:00,14.756770165599999,3.9319524309400005
 01/06  03:00:00,14.7753103996,3.3598800000000004
 01/06  04:00:00,14.7830424052,3.3598800000000004
 01/06  05:00:00,15.445239738,3.93195833376
 01/06  06:00:00,23.280486244699997,72.1431727486
 01/06  07:00:00,37.890110625300004,81.5937492526
 01/06  08:00:00,41.9597514266,91.3384518637
 01/06  09:00:00,41.960212028899996,97.14582244729999
 01/06  10:00:00,34.4773767073,85.1844620232
 01/06  11:00:00,41.9771289666,98.27884007770001
 01/06  12:00:00,42.7242865263,86.73383642360001
 01/06  13:00:00,42.0474916218,71.1232685748
 01/06  14:00:00,34.5446211986,55.06846794770001
 01/06  15:00:00,34.5526560615,48.300780985699994
 01/06  16:00:00,34.536122893000005,61.4421720787
 01/06  17:00:00,43.0092168658,83.4716921167
 01/06  18:00:00,46.180948933,87.0244738436
 01/06  19:00:00,46.1712120139,91.5046305025
 01/06  20:00:00,38.660375668200004,80.2492060794
 01/06  21:00:00,38.638620502600006,84.1265609834
 01/06  22:00:00,38.5893975096,86.903683175
 01/06  23:00:00,38.573480795,82.67086573659999
 01/06  24:00:00,39.360949983400005,75.5591446816
 01/07  01:00:00,22.606436675799998,79.54489855850001
 01/07  02:00:00,14.676371271099999,3.3598800000000004
 01/07  03:00:00,14.6921890144,3.9319320196900005
 01/07  04:00:00,14.7000604243,3.3598800000000004
 01/07  05:00:00,14.8495212027,3.93193795499
 01/07  06:00:00,22.695646101100003,98.2612576621
 01/07  07:00:00,37.5959252401,105.198582429
 01/07  08:00:00,41.8805546964,100.75187431399999
 01/07  09:00:00,41.8864205251,108.927036198
 01/07  10:00:00,34.423815231599995,96.08717587059999
 01/07  11:00:00,41.954111378,98.4517833882
 01/07  12:00:00,42.7051925652,87.8004075856
 01/07  13:00:00,42.0298675927,78.9178540063
 01/07  14:00:00,34.5178832742,64.2245124694
 01/07  15:00:00,34.523128914000004,55.874362401499994
 01/07  16:00:00,34.5122931877,65.7213605042
 01/07  17:00:00,42.986497846499994,87.7276723901
 01/07  18:00:00,46.147584062600004,101.314162094
 01/07  19:00:00,46.1365795139,104.35609057299999
 01/07  20:00:00,38.7739916237,86.7424523725
 01/07  21:00:00,38.7371747667,98.03670556979999
 01/07  22:00:00,38.655666202,97.0404523718
 01/07  23:00:00,38.5505335135,84.9532243254
 01/07  24:00:00,39.353283871900004,76.2152736651
 01/08  01:00:00,22.6106988021,79.0035228537
 01/08  02:00:00,14.6905369278,3.93197189655
 01/08  03:00:00,14.703935563699998,3.3598800000000004
 01/08  04:00:00,14.7144499743,3.93192603624
 01/08  05:00:00,14.8755012326,3.3598800000000004
 01/08  06:00:00,22.730363137399998,77.7614592414
 01/08  07:00:00,37.6397614212,83.90967858
 01/08  08:00:00,41.9378573044,73.7380692842
 01/08  09:00:00,41.9622979608,75.3833635612
 01/08  10:00:00,34.4846694912,70.4487554808
 01/08  11:00:00,42.004561770900004,89.0804808208
 01/08  12:00:00,42.7208903735,84.9941727916
 01/08  13:00:00,42.04490137,78.1571880783
 01/08  14:00:00,34.5190060629,73.7998213138
 01/08  15:00:00,34.5195020275,68.79388740729999
 01/08  16:00:00,34.5061300961,81.8157394819
 01/08  17:00:00,41.9387482829,98.0851774268
 01/08  18:00:00,46.169991197899996,101.21071062799999
 01/08  19:00:00,46.1728933103,100.70211336
 01/08  20:00:00,38.8219633376,80.6788413891
 01/08  21:00:00,38.8089323676,75.5687051558
 01/08  22:00:00,38.7533001061,71.6530114274
 01/08  23:00:00,38.6762702247,53.123490195900004
 01/08  24:00:00,39.4685740182,33.349757200700004
 01/09  01:00:00,22.7785831883,30.556763073800003
 01/09  02:00:00,14.865004604800001,3.3598800000000004
 01/09  03:00:00,14.902409798499999,3.9319637980800004
 01/09  04:00:00,14.9325140527,3.3598800000000004
 01/09  05:00:00,15.112982251199998,3.93196968285
 01/09  06:00:00,22.968430380900003,21.849879262199998
 01/09  07:00:00,37.8971839599,27.053292774899997
 01/09  08:00:00,42.1586344245,42.585702231599996
 01/09  09:00:00,42.1053240269,59.6139890092
 01/09  10:00:00,34.5907845112,55.9146246188
 01/09  11:00:00,42.0841138589,75.5286156567
 01/09  12:00:00,42.7813289689,69.7245956046
 01/09  13:00:00,42.1065549952,64.2247347217
 01/09  14:00:00,34.5656169696,62.575912885200005
 01/09  15:00:00,34.5532303987,61.2885862985
 01/09  16:00:00,34.5331889421,75.462986536
 01/09  17:00:00,41.957379391399996,91.90975186629998
 01/09  18:00:00,46.187609860100004,90.2638269632
 01/09  19:00:00,46.1908353616,89.8557304551
 01/09  20:00:00,38.8196679978,80.0136102293
 01/09  21:00:00,38.7961454887,80.1556991442
 01/09  22:00:00,38.7215094717,79.4902307843
 01/09  23:00:00,38.6102370265,72.38391514050001
 01/09  24:00:00,39.387886829,63.134130615299995
 01/10  01:00:00,22.653758983600003,64.17266186180001
 01/10  02:00:00,14.7319816237,3.9319737473800003
 01/10  03:00:00,14.755083923800001,3.3598800000000004
 01/10  04:00:00,14.7660299319,3.9319279289699995
 01/10  05:00:00,15.4276212399,3.3598800000000004
 01/10  06:00:00,23.2688541337,74.8264494925
 01/10  07:00:00,37.8768640056,84.817343682
 01/10  08:00:00,41.9413084611,94.968185349
 01/10  09:00:00,41.9518572877,96.96973241719999
 01/10  10:00:00,34.4708896549,84.47454671310001
 01/10  11:00:00,41.9600524703,102.031578487
 01/10  12:00:00,42.7060509989,96.3624300309
 01/10  13:00:00,42.0098259126,86.8096813045
 01/10  14:00:00,34.4878713586,77.75838794100001
 01/10  15:00:00,34.484909279,74.59502528029999
 01/10  16:00:00,34.4694219606,90.4056825931
 01/10  17:00:00,41.8885202094,110.64086333799999
 01/10  18:00:00,46.12671435520001,110.51321944600001
 01/10  19:00:00,46.1248301635,110.81147485700001
 01/10  20:00:00,38.6175676116,99.7317369868
 01/10  21:00:00,38.602928759099996,99.8987230157
 01/10  22:00:00,38.5517267507,103.041808446
 01/10  23:00:00,38.5394617817,100.328563498
 01/10  24:00:00,39.3451988196,95.3151979741
 01/11  01:00:00,22.5827917208,99.1273999658
 01/11  02:00:00,14.660272707699999,3.9319534807
 01/11  03:00:00,14.6861678518,3.3598800000000004
 01/11  04:00:00,14.697846446400002,3.931959402
 01/11  05:00:00,14.8478628401,3.3598800000000004
 01/11  06:00:00,22.698765032199997,96.4258362278
 01/11  07:00:00,37.6177392869,95.61466659959999
 01/11  08:00:00,41.917075405700004,100.759281771
 01/11  09:00:00,41.9458614346,99.01143414469999
 01/11  10:00:00,34.4771838359,80.95203402029999
 01/11  11:00:00,41.9813960869,91.8637532853
 01/11  12:00:00,42.7253045109,81.1140864914
 01/11  13:00:00,42.0582972489,65.6309345178
 01/11  14:00:00,34.5486584744,53.5204077433
 01/11  15:00:00,34.5512889417,47.996331016999996
 01/11  16:00:00,34.5403271235,61.2404779084
 01/11  17:00:00,41.947593054,84.955523918
 01/11  18:00:00,46.150829557899996,102.702800346
 01/11  19:00:00,46.133103454700006,110.420374494
 01/11  20:00:00,38.768264787199996,98.68161790180001
 01/11  21:00:00,38.7448787621,98.2967270181
 01/11  22:00:00,38.669045407,98.56722299350001
 01/11  23:00:00,38.555894377899996,92.33280215030001
 01/11  24:00:00,39.3552849129,83.7236619718
 01/12  01:00:00,22.5984918958,85.8009143143
 01/12  02:00:00,14.671569633499999,3.9319719271499998
 01/12  03:00:00,14.6932151697,3.3598800000000004
 01/12  04:00:00,14.7052731525,3.9319468335800005
 01/12  05:00:00,14.8561454697,3.3598800000000004
 01/12  06:00:00,22.7024727869,98.2114795613
 01/12  07:00:00,37.6097562037,104.293331513
 01/12  08:00:00,41.9138274671,104.773334391
 01/12  09:00:00,41.9811035251,88.40466555280001
 01/12  10:00:00,34.560785523,53.9771358466
 01/12  11:00:00,42.0961194366,57.653184057299995
 01/12  12:00:00,42.8513965585,52.162947780500005
 01/12  13:00:00,42.484553839899995,51.573915016499996
 01/12  14:00:00,34.6578986571,41.5895927359
 01/12  15:00:00,34.62616142,33.5842076286
 01/12  16:00:00,34.6093738191,48.211132974099996
 01/12  17:00:00,42.0206044849,69.6840548504
 01/12  18:00:00,46.2422000116,73.441806727
 01/12  19:00:00,46.229035230600005,77.9520331637
 01/12  20:00:00,38.8503840436,72.7738662848
 01/12  21:00:00,38.8222866711,73.92965988350001
 01/12  22:00:00,38.747144318800004,73.4262272869
 01/12  23:00:00,38.6153809464,74.5809194176
 01/12  24:00:00,39.3867345293,70.1814073406
 01/13  01:00:00,22.6432187325,72.64538855020001
 01/13  02:00:00,14.732679792799999,3.3598800000000004
 01/13  03:00:00,14.770187656700001,3.93193438235
 01/13  04:00:00,14.788434260499999,3.3598800000000004
 01/13  05:00:00,15.4539424421,3.93194031388
 01/13  06:00:00,23.3033474567,65.7026139961
 01/13  07:00:00,37.9130832334,78.3788465018
 01/13  08:00:00,41.995522811,80.3007781439
 01/13  09:00:00,42.033724402,74.3715130577
 01/13  10:00:00,34.5847850011,53.0011988857
 01/13  11:00:00,42.1018834715,62.98223481350001
 01/13  12:00:00,42.8469593348,52.363281418599996
 01/13  13:00:00,42.5156047551,50.998133412600005
 01/13  14:00:00,34.8005596059,41.485535463299996
 01/13  15:00:00,34.6917485758,32.6444491107
 01/13  16:00:00,34.6591061646,40.3389411243
 01/13  17:00:00,42.073801191,57.4229446258
 01/13  18:00:00,46.2864372689,63.0773714463
 01/13  19:00:00,46.2649260519,69.04805857619999
 01/13  20:00:00,38.737148525900004,63.5287353794
 01/13  21:00:00,38.7102141828,67.4762097545
 01/13  22:00:00,38.6587533761,68.7019135571
 01/13  23:00:00,38.650854707,62.364846496700004
 01/13  24:00:00,39.408464525,57.924968917799994
 01/14  01:00:00,22.671256244400002,62.9571107174
 01/14  02:00:00,14.756180572,3.93195779531
 01/14  03:00:00,14.7836612769,3.3598800000000004
 01/14  04:00:00,14.796719153900002,3.93196368961
 01/14  05:00:00,14.9479171649,3.3598800000000004
 01/14  06:00:00,22.7796129858,72.2103462465
 01/14  07:00:00,37.6864045809,77.8377979328
 01/14  08:00:00,41.9948953146,64.3286728067
 01/14  09:00:00,42.0448363509,56.3522140458
 01/14  10:00:00,34.6274988661,40.4024455504
 01/14  11:00:00,42.1620225861,52.1638216303
 01/14  12:00:00,43.103541950600004,53.3309883308
 01/14  13:00:00,42.7445659307,53.3301158092
 01/14  14:00:00,34.6900952611,43.886569375600004
 01/14  15:00:00,34.7045540315,34.3176701593
 01/14  16:00:00,34.6950998013,43.2246042353
 01/14  17:00:00,42.089557149,58.4140016284
 01/14  18:00:00,46.3008621655,63.9205286992
 01/14  19:00:00,46.292887871400005,64.0065998992
 01/14  20:00:00,38.9440189161,46.2229389266
 01/14  21:00:00,38.9247269439,49.2807677181
 01/14  22:00:00,38.8452393728,43.4773458959
 01/14  23:00:00,38.7378594675,31.9566969948
 01/14  24:00:00,39.4895554069,26.445380914
 01/15  01:00:00,22.7752281629,32.8467369834
 01/15  02:00:00,14.868478253800001,3.93197544826
 01/15  03:00:00,14.892925061800002,3.3598800000000004
 01/15  04:00:00,14.8936109599,3.9319296061699998
 01/15  05:00:00,15.0462284023,3.3598800000000004
 01/15  06:00:00,22.892099815999998,39.900055324899995
 01/15  07:00:00,37.8020439321,47.7041554296
 01/15  08:00:00,42.0939981847,40.70743407
 01/15  09:00:00,42.0953766006,47.063326513
 01/15  10:00:00,34.616388306,42.6290726612
 01/15  11:00:00,42.1302692931,61.15225330729999
 01/15  12:00:00,42.8520851649,54.292765825100005
 01/15  13:00:00,42.1988779115,51.000033053
 01/15  14:00:00,34.6615030072,43.3071829221
 01/15  15:00:00,34.6581362248,32.0289005673
 01/15  16:00:00,34.6335488549,44.6780535421
 01/15  17:00:00,42.0631841011,61.7930652632
 01/15  18:00:00,46.272207703,69.8896823342
 01/15  19:00:00,46.2519589333,75.6788766897
 01/15  20:00:00,38.9016068536,57.3481088529
 01/15  21:00:00,38.8767546753,55.05590415819999
 01/15  22:00:00,38.7765150539,63.6671696434
 01/15  23:00:00,38.6483884264,62.617933989799994
 01/15  24:00:00,39.407462838899995,52.2780139472
 01/16  01:00:00,22.677946720500003,58.2947220265
 01/16  02:00:00,14.7627553353,3.93193631008
 01/16  03:00:00,14.7891008693,3.3598800000000004
 01/16  04:00:00,14.7938883758,3.9319422385400005
 01/16  05:00:00,14.9395104468,3.3598800000000004
 01/16  06:00:00,22.769189011799998,72.2694466651
 01/16  07:00:00,37.6508688313,85.9689820071
 01/16  08:00:00,41.9621267299,71.1852426119
 01/16  09:00:00,41.997998636999995,65.4800853701
 01/16  10:00:00,34.5313011127,53.938061645
 01/16  11:00:00,42.04873407,70.56984026159999
 01/16  12:00:00,42.7853416484,63.6139194098
 01/16  13:00:00,42.1298403182,52.1993845978
 01/16  14:00:00,34.605131209899994,43.433252823400004
 01/16  15:00:00,34.607221712800005,35.2667206902
 01/16  16:00:00,34.5984540156,46.460532776
 01/16  17:00:00,42.0107456991,68.94614805020001
 01/16  18:00:00,46.2211863111,81.7841815093
 01/16  19:00:00,46.202321466,90.7023195695
 01/16  20:00:00,38.8350158836,77.15188301239999
 01/16  21:00:00,38.8106843068,76.7769280492
 01/16  22:00:00,38.7311131524,80.0935003625
 01/16  23:00:00,38.6511614713,60.055862330699995
 01/16  24:00:00,39.433957793000005,38.6369842606
 01/17  01:00:00,22.7262960378,41.0429524428
 01/17  02:00:00,14.8069807417,3.93197045509
 01/17  03:00:00,14.8302784848,3.3598800000000004
 01/17  04:00:00,14.8428895029,3.93193203551
 01/17  05:00:00,15.5420696548,3.3598800000000004
 01/17  06:00:00,23.455074011700003,34.8483622704
 01/17  07:00:00,38.1056476902,32.738066115100004
 01/17  08:00:00,42.1637618027,39.1735128727
 01/17  09:00:00,42.1296802218,50.832478978400005
 01/17  10:00:00,34.6334413403,43.9566667059
 01/17  11:00:00,42.1340085011,62.5516007083
 01/17  12:00:00,42.8435432847,53.8291908913
 01/17  13:00:00,42.2302892478,51.0107857666
 01/17  14:00:00,34.6899040224,41.5907319516
 01/17  15:00:00,34.6896393881,32.6302267671
 01/17  16:00:00,34.6961566353,41.489060881
 01/17  17:00:00,42.184141174699995,57.0255989788
 01/17  18:00:00,46.7995295388,59.3490983304
 01/17  19:00:00,47.659739737399995,62.8518484363
 01/17  20:00:00,39.274118499000004,47.328800543599996
 01/17  21:00:00,38.9989001625,45.5568062105
 01/17  22:00:00,38.8386889842,37.870757104
 01/17  23:00:00,38.8270710542,27.198991545
 01/17  24:00:00,39.5785551258,14.2276122989
 01/18  01:00:00,22.8624864836,14.015087388800001
 01/18  02:00:00,14.9468209082,3.3598800000000004
 01/18  03:00:00,14.973089404300001,3.3598800000000004
 01/18  04:00:00,14.984461861300002,3.93196912244
 01/18  05:00:00,15.146430916400002,3.3598800000000004
 01/18  06:00:00,22.981592421,22.8570684361
 01/18  07:00:00,37.8628119683,35.3842459483
 01/18  08:00:00,42.148079765300004,45.792303178100006
 01/18  09:00:00,42.1367170713,48.6856225587
 01/18  10:00:00,34.683843850900004,36.0527493983
 01/18  11:00:00,42.1883028238,50.9950896185
 01/18  12:00:00,42.9223550036,52.1645078938
 01/18  13:00:00,43.1120784056,50.9985449472
 01/18  14:00:00,34.8492206608,41.4860257056
 01/18  15:00:00,34.71253382,32.644865233000004
 01/18  16:00:00,34.716817078000005,40.3256464839
 01/18  17:00:00,42.3189544925,57.026088090600005
 01/18  18:00:00,46.491654018199995,59.9309426139
 01/18  19:00:00,46.3232390504,63.615239834899995
 01/18  20:00:00,38.9343717467,52.4733033287
 01/18  21:00:00,38.914907636100004,50.7797901335
 01/18  22:00:00,38.8450966707,47.789234495200006
 01/18  23:00:00,38.7309921594,40.1361545211
 01/18  24:00:00,39.4834092941,32.4853153671
 01/19  01:00:00,22.768361206999998,33.8416204732
 01/19  02:00:00,14.855163868800002,3.3598800000000004
 01/19  03:00:00,14.8809671302,3.9319711784599995
 01/19  04:00:00,14.8930389653,3.3598800000000004
 01/19  05:00:00,15.0509961165,3.93192531448
 01/19  06:00:00,22.893751003000002,38.2816807721
 01/19  07:00:00,37.8036778002,46.4975179103
 01/19  08:00:00,42.0643625104,64.23485983350001
 01/19  09:00:00,42.0256927902,78.2425918733
 01/19  10:00:00,34.517788782800004,75.8096123513
 01/19  11:00:00,42.0101533322,94.46882565790001
 01/19  12:00:00,42.727035576700004,89.70639604959999
 01/19  13:00:00,42.0503320671,76.8316177015
 01/19  14:00:00,34.5353783703,65.15643252560001
 01/19  15:00:00,34.5367735919,58.446856286099994
 01/19  16:00:00,34.5230630056,70.1809977065
 01/19  17:00:00,41.9464711101,87.61944456110001
 01/19  18:00:00,46.172161790699995,93.5707539965
 01/19  19:00:00,46.157546268400004,98.57371195569999
 01/19  20:00:00,38.7865559278,89.47063437540001
 01/19  21:00:00,38.7567159017,91.7079016963
 01/19  22:00:00,38.6737570388,94.9095347602
 01/19  23:00:00,38.5536074849,92.0851815325
 01/19  24:00:00,39.3503955673,83.6509655546
 01/20  01:00:00,22.581897348200002,91.07300089520001
 01/20  02:00:00,14.6637347969,3.93197411106
 01/20  03:00:00,14.6894715136,3.3598800000000004
 01/20  04:00:00,14.7003565499,3.9319282822900004
 01/20  05:00:00,15.3636005302,3.3598800000000004
 01/20  06:00:00,23.210207995900003,102.311439436
 01/20  07:00:00,37.825671965,108.608667689
 01/20  08:00:00,41.8938625178,114.597755033
 01/20  09:00:00,41.9135456403,109.720673394
 01/20  10:00:00,34.446620130700005,91.1605221499
 01/20  11:00:00,41.9510847899,102.077073384
 01/20  12:00:00,42.7135214932,86.9988642532
 01/20  13:00:00,42.030827034299996,75.39979619020001
 01/20  14:00:00,34.5129230604,66.0130790445
