Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,15.4158242745,0.0
 01/01  02:00:00,15.435767161300001,0.53433398819
 01/01  03:00:00,15.876400108199999,8.24640988008
 01/01  04:00:00,16.127458017000002,12.4933184976
 01/01  05:00:00,16.2311171136,14.6078655374
 01/01  06:00:00,16.2827432411,15.3727776653
 01/01  07:00:00,16.3579640608,16.8796985683
 01/01  08:00:00,8.51851158904,9.764558631960002
 01/01  09:00:00,6.9523039621,8.33510556084
 01/01  10:00:00,6.501551709580001,0.23383601674499999
 01/01  11:00:00,6.49282427446,0.0
 01/01  12:00:00,6.49282427446,0.0
 01/01  13:00:00,6.49282427446,0.0
 01/01  14:00:00,6.49282427446,0.0
 01/01  15:00:00,6.49282427446,0.0
 01/01  16:00:00,6.49282427446,0.0
 01/01  17:00:00,6.49282427446,0.0
 01/01  18:00:00,9.467157607799999,0.0
 01/01  19:00:00,15.4158242745,0.0
 01/01  20:00:00,15.4158242745,0.0
 01/01  21:00:00,15.4158242745,0.0
 01/01  22:00:00,15.4158242745,0.0
 01/01  23:00:00,15.4158242745,0.0
 01/01  24:00:00,15.4158242745,0.0
 01/02  01:00:00,15.4158242745,0.0
 01/02  02:00:00,15.4158242745,0.0
 01/02  03:00:00,15.4158242745,0.0
 01/02  04:00:00,15.4158242745,0.0
 01/02  05:00:00,15.4158242745,0.0
 01/02  06:00:00,15.4158242745,0.0
 01/02  07:00:00,24.5595781988,13.742788848399998
 01/02  08:00:00,37.613817366999996,9.051686188560002
 01/02  09:00:00,55.6051235237,6.27855539846
 01/02  10:00:00,67.57917239449999,3.99023288612
 01/02  11:00:00,67.57917239449999,2.5085760493500002
 01/02  12:00:00,67.57917239449999,1.7861766613799999
 01/02  13:00:00,61.086348120100006,1.93405603845
 01/02  14:00:00,67.57917239449999,0.518098473009
 01/02  15:00:00,67.57917239449999,0.0
 01/02  16:00:00,67.57917239449999,0.0
 01/02  17:00:00,67.57917239449999,0.0
 01/02  18:00:00,23.4644058348,0.0
 01/02  19:00:00,15.4158242745,0.0
 01/02  20:00:00,15.4158242745,0.0
 01/02  21:00:00,15.4158242745,0.0
 01/02  22:00:00,15.4158242745,0.0
 01/02  23:00:00,15.4158242745,0.0
 01/02  24:00:00,15.4158242745,0.0
 01/03  01:00:00,15.4158242745,0.0
 01/03  02:00:00,15.4158242745,0.0
 01/03  03:00:00,15.4158242745,0.0
 01/03  04:00:00,15.4158242745,0.0
 01/03  05:00:00,15.4158242745,0.0
 01/03  06:00:00,15.4158242745,0.0
 01/03  07:00:00,24.5595781988,17.997416956
 01/03  08:00:00,39.1009840336,11.548128074300001
 01/03  09:00:00,55.6051235237,8.41620191617
 01/03  10:00:00,67.57917239449999,5.9697336639
 01/03  11:00:00,67.57917239449999,4.16287685367
 01/03  12:00:00,67.57917239449999,2.6045832985
 01/03  13:00:00,61.086348120100006,2.1461202152200003
 01/03  14:00:00,67.57917239449999,1.19722644226
 01/03  15:00:00,67.57917239449999,1.4017589432700002
 01/03  16:00:00,67.57917239449999,1.93859225747
 01/03  17:00:00,67.57917239449999,2.54759501068
 01/03  18:00:00,23.4644058348,0.0
 01/03  19:00:00,15.4158242745,0.0
 01/03  20:00:00,15.4158242745,0.0
 01/03  21:00:00,15.4158242745,0.0
 01/03  22:00:00,15.4158242745,0.0
 01/03  23:00:00,15.4158242745,0.0
 01/03  24:00:00,15.4158242745,0.0
 01/04  01:00:00,15.4158242745,0.0
 01/04  02:00:00,15.4158242745,0.0
 01/04  03:00:00,15.6197182675,3.4614567034300006
 01/04  04:00:00,15.924341777,8.90502578303
 01/04  05:00:00,16.1483542592,12.9696927372
 01/04  06:00:00,16.3742546099,17.0226010099
 01/04  07:00:00,24.5595781988,32.1815999191
 01/04  08:00:00,39.1009840336,21.4800875144
 01/04  09:00:00,55.6051235237,9.92186259799
 01/04  10:00:00,67.57917239449999,5.97381756788
 01/04  11:00:00,67.57917239449999,3.5523395293699997
 01/04  12:00:00,67.57917239449999,1.79227030652
 01/04  13:00:00,61.086348120100006,0.8583072645469999
 01/04  14:00:00,67.57917239449999,0.0
 01/04  15:00:00,67.57917239449999,0.0
 01/04  16:00:00,67.57917239449999,0.0
 01/04  17:00:00,67.57917239449999,0.21341078015
 01/04  18:00:00,23.4644058348,0.0
 01/04  19:00:00,15.4158242745,0.0
 01/04  20:00:00,15.6613418677,4.168090027180001
 01/04  21:00:00,16.3328174143,15.5675603973
 01/04  22:00:00,16.7786631306,23.8089455665
 01/04  23:00:00,17.1237692883,29.682323436199997
 01/04  24:00:00,17.128171441400003,30.110156301
 01/05  01:00:00,17.21579397,31.413228661399998
 01/05  02:00:00,17.053665261,29.0106015475
 01/05  03:00:00,17.1453598708,30.3204269572
 01/05  04:00:00,17.1395319228,30.600886953499998
 01/05  05:00:00,17.331673360699998,33.6387134058
 01/05  06:00:00,17.497877048699998,37.00214059
 01/05  07:00:00,24.5595781988,61.6461036849
 01/05  08:00:00,39.1009840336,59.960007634600004
 01/05  09:00:00,55.6051235237,47.1935400129
 01/05  10:00:00,67.57917239449999,25.373935907399996
 01/05  11:00:00,67.57917239449999,10.4069119997
 01/05  12:00:00,67.57917239449999,6.41069404309
 01/05  13:00:00,61.086348120100006,5.0693782588800005
 01/05  14:00:00,67.57917239449999,3.05532131856
 01/05  15:00:00,67.57917239449999,1.64221340414
 01/05  16:00:00,67.57917239449999,1.17567964586
 01/05  17:00:00,67.57917239449999,1.8439149645800001
 01/05  18:00:00,23.4644058348,0.0
 01/05  19:00:00,16.0112211324,10.1079017326
 01/05  20:00:00,16.8102281233,23.9587814722
 01/05  21:00:00,17.3202546497,33.0127452937
 01/05  22:00:00,17.5591505137,37.663653756399995
 01/05  23:00:00,18.0374547913,45.730292588500006
 01/05  24:00:00,18.1675981092,48.615572380799996
 01/06  01:00:00,18.665540269,56.8324167062
 01/06  02:00:00,18.8241043553,60.349558762700006
 01/06  03:00:00,19.2915285158,67.8551910864
 01/06  04:00:00,19.1730722127,66.6267906613
 01/06  05:00:00,19.4818940647,71.2716680589
 01/06  06:00:00,19.171444901199997,66.6969703724
 01/06  07:00:00,24.5595781988,93.7012587357
 01/06  08:00:00,39.1009840336,76.7389827503
 01/06  09:00:00,55.6051235237,47.296092828199995
 01/06  10:00:00,67.57917239449999,13.561967233499999
 01/06  11:00:00,67.57917239449999,5.65951489958
 01/06  12:00:00,67.57917239449999,2.3363435627099998
 01/06  13:00:00,61.086348120100006,0.5108103228549999
 01/06  14:00:00,67.57917239449999,0.0
 01/06  15:00:00,67.57917239449999,0.0
 01/06  16:00:00,67.57917239449999,0.0
 01/06  17:00:00,67.57917239449999,0.0
 01/06  18:00:00,23.4644058348,0.0
 01/06  19:00:00,15.4158242745,0.0
 01/06  20:00:00,15.4158242745,0.0
 01/06  21:00:00,15.4158242745,0.0
 01/06  22:00:00,15.4158242745,0.0
 01/06  23:00:00,15.755183475499999,5.761215247509999
 01/06  24:00:00,16.1775495819,13.0738812049
 01/07  01:00:00,16.5183190745,19.2168013477
 01/07  02:00:00,16.5257422365,19.3701293826
 01/07  03:00:00,16.6747417297,22.0676753886
 01/07  04:00:00,16.54448514,19.8125855081
 01/07  05:00:00,16.6077407269,21.0254045501
 01/07  06:00:00,16.5804756753,20.531952163099998
 01/07  07:00:00,16.607675673800003,21.0843717285
 01/07  08:00:00,18.6109115322,25.6482872635
 01/07  09:00:00,16.6481778769,13.9871893818
 01/07  10:00:00,26.345091668000002,8.293364439089999
 01/07  11:00:00,26.345091668000002,4.64839240682
 01/07  12:00:00,26.345091668000002,3.04335758832
 01/07  13:00:00,15.6365781988,3.04102214357
 01/07  14:00:00,15.6365781988,2.0778802068
 01/07  15:00:00,15.6365781988,0.235504939805
 01/07  16:00:00,15.6365781988,0.0
 01/07  17:00:00,6.49282427446,0.0
 01/07  18:00:00,9.467157607799999,0.0
 01/07  19:00:00,15.4158242745,0.0
 01/07  20:00:00,15.4158242745,0.0
 01/07  21:00:00,15.4158242745,0.0
 01/07  22:00:00,15.4158242745,0.0
 01/07  23:00:00,15.750179691500001,5.67626727316
 01/07  24:00:00,15.6888361811,4.63485402566
 01/08  01:00:00,15.7786998227,6.160446320680001
 01/08  02:00:00,15.825442136600001,7.130897766830001
 01/08  03:00:00,15.8121589747,6.942215914739999
 01/08  04:00:00,15.712253029500001,5.202287796919999
 01/08  05:00:00,15.5604995165,2.57670261401
 01/08  06:00:00,15.6142218045,3.59957867105
 01/08  07:00:00,15.5458278963,2.44919225252
 01/08  08:00:00,9.467157607799999,0.0
 01/08  09:00:00,6.49282427446,0.0
 01/08  10:00:00,6.49282427446,0.0
 01/08  11:00:00,6.49282427446,0.0
 01/08  12:00:00,6.49282427446,0.0
 01/08  13:00:00,6.49282427446,0.0
 01/08  14:00:00,6.49282427446,0.0
 01/08  15:00:00,6.49282427446,0.0
 01/08  16:00:00,6.49282427446,0.0
 01/08  17:00:00,6.49282427446,0.0
 01/08  18:00:00,9.467157607799999,0.0
 01/08  19:00:00,15.434117433499999,0.490132484155
 01/08  20:00:00,15.4422108074,0.7069799639509999
 01/08  21:00:00,15.4564910748,1.08959419035
 01/08  22:00:00,15.810703155699999,7.1067726779100004
 01/08  23:00:00,15.9298161183,9.481460658
 01/08  24:00:00,16.1800379183,13.638541554100001
 01/09  01:00:00,16.3846942406,17.455379496099997
 01/09  02:00:00,16.4289753643,18.043655026099998
 01/09  03:00:00,16.6787458809,22.6630096016
 01/09  04:00:00,16.7659710085,23.95811198
 01/09  05:00:00,17.0905435482,29.9571786116
 01/09  06:00:00,17.130449151,30.3707142483
 01/09  07:00:00,24.5595781988,50.171017944700004
 01/09  08:00:00,39.1009840336,42.7636340777
 01/09  09:00:00,55.6051235237,34.842839113400004
 01/09  10:00:00,67.57917239449999,25.426295244899997
 01/09  11:00:00,67.57917239449999,12.6339660935
 01/09  12:00:00,67.57917239449999,7.582444796669999
 01/09  13:00:00,61.086348120100006,4.4698570093
 01/09  14:00:00,67.57917239449999,1.65709808146
 01/09  15:00:00,67.57917239449999,0.176139402724
 01/09  16:00:00,67.57917239449999,0.0
 01/09  17:00:00,67.57917239449999,0.166544869526
 01/09  18:00:00,23.4644058348,0.0
 01/09  19:00:00,15.4158242745,0.0
 01/09  20:00:00,15.4158242745,0.0
 01/09  21:00:00,15.4158242745,0.0
 01/09  22:00:00,15.7738952647,6.0788805554900005
 01/09  23:00:00,15.8208876213,6.876657896669999
 01/09  24:00:00,15.907356778599999,8.464687311539999
 01/10  01:00:00,15.984843935499999,10.0385428839
 01/10  02:00:00,16.3302469023,16.027509279300002
 01/10  03:00:00,16.4302334449,17.8258909818
 01/10  04:00:00,16.5453639299,20.0000472243
 01/10  05:00:00,16.779242677,23.999098951500002
 01/10  06:00:00,16.8827584144,26.0029505446
 01/10  07:00:00,24.5595781988,40.122611815300004
 01/10  08:00:00,39.1009840336,26.4584790544
 01/10  09:00:00,55.6051235237,11.882391450999998
 01/10  10:00:00,67.57917239449999,7.95319321854
 01/10  11:00:00,67.57917239449999,5.021821438469999
 01/10  12:00:00,67.57917239449999,2.04361266496
 01/10  13:00:00,61.086348120100006,0.412038043453
 01/10  14:00:00,67.57917239449999,0.0
 01/10  15:00:00,67.57917239449999,0.0
 01/10  16:00:00,67.57917239449999,0.0
 01/10  17:00:00,67.57917239449999,0.238022620407
 01/10  18:00:00,23.4644058348,0.0
 01/10  19:00:00,15.4158242745,0.0
 01/10  20:00:00,15.4158242745,0.0
 01/10  21:00:00,15.4158242745,0.0
 01/10  22:00:00,15.4158242745,0.0
 01/10  23:00:00,15.4158242745,0.0
 01/10  24:00:00,15.4158242745,0.0
 01/11  01:00:00,15.4158242745,0.0
 01/11  02:00:00,15.7528514614,5.72162523325
 01/11  03:00:00,15.8396101,7.41113430602
 01/11  04:00:00,15.9205377349,8.86121952507
 01/11  05:00:00,16.218408071,14.1007183552
 01/11  06:00:00,16.1845512612,13.5601314429
 01/11  07:00:00,24.5595781988,24.958033726799997
 01/11  08:00:00,39.1009840336,15.7611232551
 01/11  09:00:00,55.6051235237,8.68639468847
 01/11  10:00:00,67.57917239449999,4.5165288310000005
 01/11  11:00:00,67.57917239449999,1.58075114345
 01/11  12:00:00,67.57917239449999,0.0453062436618
 01/11  13:00:00,61.086348120100006,0.0
 01/11  14:00:00,67.57917239449999,0.0
 01/11  15:00:00,67.57917239449999,0.0
 01/11  16:00:00,67.57917239449999,0.0990709730979
 01/11  17:00:00,67.57917239449999,0.43757872599200004
 01/11  18:00:00,23.4644058348,0.0
 01/11  19:00:00,15.4158242745,0.0
 01/11  20:00:00,15.4158242745,0.0
 01/11  21:00:00,15.4158242745,0.0
 01/11  22:00:00,15.4158242745,0.0
 01/11  23:00:00,15.4158242745,0.0
 01/11  24:00:00,15.4158242745,0.0
 01/12  01:00:00,15.4158242745,0.0
 01/12  02:00:00,15.4158242745,0.0
 01/12  03:00:00,15.4158242745,0.0
 01/12  04:00:00,15.4158242745,0.0
 01/12  05:00:00,15.4158242745,0.0
 01/12  06:00:00,15.4158242745,0.0
 01/12  07:00:00,24.5595781988,14.4687833109
 01/12  08:00:00,39.1009840336,9.98338154739
 01/12  09:00:00,55.6051235237,7.390104517289999
 01/12  10:00:00,67.57917239449999,5.47967325775
 01/12  11:00:00,67.57917239449999,4.13384072933
 01/12  12:00:00,67.57917239449999,2.52553961502
 01/12  13:00:00,61.086348120100006,0.425983962857
 01/12  14:00:00,67.57917239449999,0.0
 01/12  15:00:00,67.57917239449999,0.0
 01/12  16:00:00,67.57917239449999,0.0
 01/12  17:00:00,67.57917239449999,0.0
 01/12  18:00:00,23.4644058348,0.0
 01/12  19:00:00,15.4158242745,0.0
 01/12  20:00:00,15.4158242745,0.0
 01/12  21:00:00,15.4158242745,0.0
 01/12  22:00:00,15.4158242745,0.0
 01/12  23:00:00,15.4158242745,0.0
 01/12  24:00:00,15.4158242745,0.0
 01/13  01:00:00,15.707932895499999,4.9590541122600005
 01/13  02:00:00,15.8719437825,7.74342542118
 01/13  03:00:00,15.844510702300001,7.4256476092699994
 01/13  04:00:00,15.845900211500002,7.55143868109
 01/13  05:00:00,15.9355249254,9.186621953169999
 01/13  06:00:00,15.9192766612,8.89449488767
 01/13  07:00:00,24.5595781988,23.7765854054
