Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,22.8388039471,14.3211010531
 01/01  02:00:00,14.908639683199999,3.3598800000000004
 01/01  03:00:00,14.9328852079,3.9319732583199998
 01/01  04:00:00,14.9421321337,3.3598800000000004
 01/01  05:00:00,15.1033474974,3.931927405
 01/01  06:00:00,22.918294655900002,27.5281774895
 01/01  07:00:00,38.891193382,33.380048600100004
 01/01  08:00:00,43.1771133457,29.730003956799997
 01/01  09:00:00,42.1235869469,36.8610172196
 01/01  10:00:00,34.6360046689,33.7133398981
 01/01  11:00:00,42.162319954299996,55.0814430483
 01/01  12:00:00,42.873496091999996,53.328450813
 01/01  13:00:00,42.2712592118,50.996570651599995
 01/01  14:00:00,34.6895419958,42.6868008481
 01/01  15:00:00,34.701312605300004,32.0421984004
 01/01  16:00:00,34.7385699494,40.3261765959
 01/01  17:00:00,43.4429052996,57.0257097046
 01/01  18:00:00,46.11641435560001,59.349110620699996
 01/01  19:00:00,50.862742938500006,61.6802518971
 01/01  20:00:00,44.3021197871,44.9809648518
 01/01  21:00:00,43.50042776430001,42.648039437
 01/01  22:00:00,39.8245060325,36.6299794328
 01/01  23:00:00,38.9018593781,25.947631471199998
 01/01  24:00:00,39.6186041258,13.012597123499999
 01/02  01:00:00,22.8994481663,8.73030549868
 01/02  02:00:00,14.9990095882,3.3598800000000004
 01/02  03:00:00,15.023836659,3.3598800000000004
 01/02  04:00:00,15.0343576649,3.9319448185500003
 01/02  05:00:00,15.208162789200001,3.3598800000000004
 01/02  06:00:00,23.0439020329,9.10795622216
 01/02  07:00:00,39.0768739622,20.1617795815
 01/02  08:00:00,44.3078081153,38.9712970785
 01/02  09:00:00,43.1249791595,46.1490773926
 01/02  10:00:00,35.1679455038,35.4622573945
 01/02  11:00:00,43.494441359899994,50.9946683601
 01/02  12:00:00,45.3073559849,52.1606383436
 01/02  13:00:00,46.041480706499996,50.9938304284
 01/02  14:00:00,36.9557369802,41.4851429917
 01/02  15:00:00,35.6619430759,31.974383634299997
 01/02  16:00:00,35.1069115751,40.3264551632
 01/02  17:00:00,43.563117574799996,57.0253399736
 01/02  18:00:00,46.211884399700004,59.3463450697
 01/02  19:00:00,51.3231105657,62.8482035909
 01/02  20:00:00,42.853050972800006,47.3203305682
 01/02  21:00:00,41.5311870704,44.9764212574
 01/02  22:00:00,39.4038537451,37.2199534776
 01/02  23:00:00,38.8220698237,27.1869322135
 01/02  24:00:00,39.566948599899995,14.8107369111
 01/03  01:00:00,22.8403488449,11.766979962799999
 01/03  02:00:00,14.9449026482,3.3598800000000004
 01/03  03:00:00,14.9682323263,3.93196871481
 01/03  04:00:00,14.9755570347,3.3598800000000004
 01/03  05:00:00,15.7074915358,3.9319745917800004
 01/03  06:00:00,23.5259972379,21.4729165279
 01/03  07:00:00,39.2033103806,27.830479543699997
 01/03  08:00:00,43.2495176667,38.4471184855
 01/03  09:00:00,42.202753306,46.1495723591
 01/03  10:00:00,34.6844832839,35.5306731136
 01/03  11:00:00,42.2206382569,50.9984443477
 01/03  12:00:00,44.423417683100006,52.160984550100004
 01/03  13:00:00,46.84660692560001,50.9977860362
 01/03  14:00:00,37.676750571199996,41.484795347600006
 01/03  15:00:00,35.393981124,31.9774195375
 01/03  16:00:00,35.2081142719,40.9007681988
 01/03  17:00:00,44.345285907,57.0242859158
 01/03  18:00:00,47.7082108662,59.3451255236
 01/03  19:00:00,50.4786921192,62.8487885381
 01/03  20:00:00,40.8211658574,46.740124950100004
 01/03  21:00:00,40.2616750213,44.9828432641
 01/03  22:00:00,39.1093627232,37.7991371867
 01/03  23:00:00,38.791117873800005,27.1920774119
 01/03  24:00:00,39.5366651339,14.235944914100001
 01/04  01:00:00,22.804477317199996,12.6369383245
 01/04  02:00:00,14.912859468499999,3.3598800000000004
 01/04  03:00:00,14.938218086700001,3.9319464384699994
 01/04  04:00:00,14.9460853448,3.3598800000000004
 01/04  05:00:00,15.1125232379,3.3598800000000004
 01/04  06:00:00,22.923344474,22.2780864177
 01/04  07:00:00,38.8886821134,27.5971473794
 01/04  08:00:00,43.194977710500005,38.973385317600005
 01/04  09:00:00,42.1555828718,46.150065792
 01/04  10:00:00,34.6812689704,35.475137591
 01/04  11:00:00,42.4215208843,50.9962250605
 01/04  12:00:00,44.6085158219,52.162630630900004
 01/04  13:00:00,44.6457750463,50.996720923699996
 01/04  14:00:00,35.62211395,41.4847001288
 01/04  15:00:00,34.8898959337,31.976568488
 01/04  16:00:00,34.6848019291,40.7485521009
 01/04  17:00:00,42.8017757473,57.1789817062
 01/04  18:00:00,44.82420538229999,59.34579308
 01/04  19:00:00,46.6727524116,62.848927671400006
 01/04  20:00:00,38.9334495213,46.7826538111
 01/04  21:00:00,38.9241318132,44.982409601
 01/04  22:00:00,38.8203249071,42.423395546799995
 01/04  23:00:00,38.683330995700004,39.6438095233
 01/04  24:00:00,39.4302043262,33.4908082154
 01/05  01:00:00,22.709568059499997,38.8633344232
 01/05  02:00:00,14.8123713875,3.3598800000000004
 01/05  03:00:00,14.8332186252,3.9319263266199993
 01/05  04:00:00,14.838369222599999,3.3598800000000004
 01/05  05:00:00,14.9832906238,3.9319322709900004
 01/05  06:00:00,22.791648357899998,55.1262782641
 01/05  07:00:00,38.7536489227,62.621677706099995
 01/05  08:00:00,43.0505811764,73.3794871388
 01/05  09:00:00,41.9859631451,77.4195797933
 01/05  10:00:00,34.5021406323,64.7292192018
 01/05  11:00:00,41.9954996097,81.0847662543
 01/05  12:00:00,42.7232850669,71.3463566466
 01/05  13:00:00,42.0609021136,59.512630224700004
 01/05  14:00:00,34.546148856900004,49.0333641641
 01/05  15:00:00,34.5233410635,53.300228924799995
 01/05  16:00:00,34.5207708517,62.119796135200005
 01/05  17:00:00,41.9757289607,70.2428454401
 01/05  18:00:00,44.088186452799995,74.072669605
 01/05  19:00:00,46.197538674099995,77.6411962973
 01/05  20:00:00,38.832483949600004,66.7686540729
 01/05  21:00:00,38.812256605500004,65.8344341614
 01/05  22:00:00,38.733871219,67.0205707102
 01/05  23:00:00,38.619641351700004,61.3644028904
 01/05  24:00:00,39.387969781799995,51.6929596056
