Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,16.747744684100002,1.46960223346
 01/01  02:00:00,16.1239362926,0.877301116732
 01/01  03:00:00,15.603344373599999,0.43307527918300004
 01/01  04:00:00,15.3105939238,0.43307527918300004
 01/01  05:00:00,17.366049996199997,0.877301116732
 01/01  06:00:00,21.9792807703,4.2830325379400005
 01/01  07:00:00,26.903768453,14.2040762432
 01/01  08:00:00,26.0966202618,15.0925279183
 01/01  09:00:00,23.3520905831,14.5002268016
 01/01  10:00:00,21.947722442800004,12.7233234514
 01/01  11:00:00,20.9183048672,11.5387212179
 01/01  12:00:00,23.6566783238,9.31759203017
 01/01  13:00:00,25.9930198798,8.1329897967
 01/01  14:00:00,26.5297345144,7.2445381216
 01/01  15:00:00,26.1889033663,6.3560864465
 01/01  16:00:00,27.2991469373,7.2445381216
 01/01  17:00:00,34.0862576642,8.42914035507
 01/01  18:00:00,41.5013566648,11.0944953804
 01/01  19:00:00,45.630238427200005,13.0194740097
 01/01  20:00:00,42.566096486599996,12.427172893
 01/01  21:00:00,40.7036786178,11.390645938699999
 01/01  22:00:00,34.4508632238,9.31759203017
 01/01  23:00:00,26.779723293099998,8.1329897967
 01/01  24:00:00,20.5141932541,4.5791830963099995
 01/02  01:00:00,16.6711635984,1.47055347012
 01/02  02:00:00,16.0352908435,0.8779071604530001
 01/02  03:00:00,15.481165684,0.433237288006
 01/02  04:00:00,15.1680904773,0.43324102437600004
 01/02  05:00:00,17.1704934274,0.8779974536249999
 01/02  06:00:00,21.7219954049,4.28854369339
 01/02  07:00:00,27.2243057281,14.2254074299
 01/02  08:00:00,26.6308380534,15.1154093003
 01/02  09:00:00,24.4651838524,14.5221936916
 01/02  10:00:00,23.2427690007,12.7425444823
 01/02  11:00:00,22.7855436311,11.5561116745
 01/02  12:00:00,25.4431164273,9.33155015979
 01/02  13:00:00,26.382532477399998,8.14511735195
 01/02  14:00:00,26.751615742600002,7.25529274607
 01/02  15:00:00,27.3339477371,6.365468140190001
 01/02  16:00:00,29.0905952228,7.25529274607
 01/02  17:00:00,35.762310901999996,8.44172555391
 01/02  18:00:00,41.8093380299,11.111199371600001
 01/02  19:00:00,46.1406262272,13.039152684300001
 01/02  20:00:00,43.940543282200004,12.4459362804
 01/02  21:00:00,42.5032118334,11.4078075735
 01/02  22:00:00,36.1628795298,9.33155015979
 01/02  23:00:00,28.4482321517,8.14511735195
 01/02  24:00:00,21.8664125587,4.585818928419999
 01/03  01:00:00,17.7417890612,1.47234704278
 01/03  02:00:00,17.0308402239,0.878799049569
 01/03  03:00:00,16.4396748768,0.433459864511
 01/03  04:00:00,15.9027012509,0.433463459766
 01/03  05:00:00,17.8006997739,0.8788859332600001
 01/03  06:00:00,22.327780704299997,4.29451003198
 01/03  07:00:00,27.7365805918,14.2460960514
 01/03  08:00:00,27.013692830900002,15.1374109394
 01/03  09:00:00,24.643453551,14.5433152323
 01/03  10:00:00,22.0681232102,12.7610258303
 01/03  11:00:00,19.0787397281,11.572832894100001
 01/03  12:00:00,19.4429693535,9.3449711387
 01/03  13:00:00,19.726125280399998,8.15677820248
 01/03  14:00:00,19.9888302706,7.26563350031
 01/03  15:00:00,20.469312739,6.37448879814
 01/03  16:00:00,21.869298834400002,7.26563350031
 01/03  17:00:00,29.1985794512,8.453826436529999
 01/03  18:00:00,36.0166293538,11.127260543
 01/03  19:00:00,40.9632732332,13.058074064400001
 01/03  20:00:00,39.5339543789,12.463977596300001
 01/03  21:00:00,38.8727054519,11.4243087771
 01/03  22:00:00,33.1126384091,9.3449711387
 01/03  23:00:00,25.7544995608,8.17306628322
 01/03  24:00:00,19.6343635427,5.09643438666
 01/04  01:00:00,15.836077523499998,2.6074219909
 01/04  02:00:00,15.2599929782,3.7430393559099997
 01/04  03:00:00,15.0279760379,4.955365517330001
 01/04  04:00:00,14.939392381900001,6.3059393550400005
 01/04  05:00:00,17.0638293258,7.869666183760001
 01/04  06:00:00,21.6198099725,11.6898304471
 01/04  07:00:00,26.947419615700003,21.8698046856
 01/04  08:00:00,26.298949019000002,22.5302431888
 01/04  09:00:00,23.871135035,22.0314517037
 01/04  10:00:00,21.0940136662,19.205703184
 01/04  11:00:00,18.2610291264,15.9476592899
 01/04  12:00:00,18.7495478573,12.091440410299999
 01/04  13:00:00,19.012856638699997,10.2253744365
 01/04  14:00:00,19.1515892,8.95072394222
 01/04  15:00:00,19.1329972212,7.762285985439999
 01/04  16:00:00,20.4770827378,8.196124066769999
 01/04  17:00:00,27.691914964000002,9.11553945897
 01/04  18:00:00,34.5870900122,11.9720104146
 01/04  19:00:00,39.819119460900005,14.2952791275
 01/04  20:00:00,38.619730835,14.2382058823
 01/04  21:00:00,38.0977331872,13.855194273299999
 01/04  22:00:00,32.6194644551,13.3185865761
 01/04  23:00:00,25.6703760893,13.963821093499998
 01/04  24:00:00,19.812850019000003,13.5576812661
 01/05  01:00:00,16.2951431907,15.0819770691
 01/05  02:00:00,15.814071795799999,17.0597508492
 01/05  03:00:00,15.6077079448,18.694241279
 01/05  04:00:00,15.518520923599999,20.0520047203
 01/05  05:00:00,17.6183753144,21.0283530155
 01/05  06:00:00,22.196285321599998,25.3532492664
 01/05  07:00:00,27.5089825075,35.1300486266
 01/05  08:00:00,26.8411627027,35.589747204
 01/05  09:00:00,24.176237059899996,30.2042046098
 01/05  10:00:00,21.3795495635,22.414230884600002
 01/05  11:00:00,18.890407338,17.4482724007
 01/05  12:00:00,19.543669009400002,13.23133703
 01/05  13:00:00,19.7122420532,10.5104004329
 01/05  14:00:00,19.7253306601,8.34986281109
 01/05  15:00:00,19.6436504346,6.72297585637
 01/05  16:00:00,21.1131603699,7.3114493852399995
 01/05  17:00:00,28.374562896599997,8.47656106338
 01/05  18:00:00,35.0652146917,11.157435593199999
 01/05  19:00:00,40.1258596375,13.1085315033
 01/05  20:00:00,38.724829470900005,12.8884898272
 01/05  21:00:00,38.1044792102,12.7145242722
 01/05  22:00:00,32.593380326799995,11.6485467442
 01/05  23:00:00,25.6149320702,12.2377955484
 01/05  24:00:00,19.7217604243,11.3180727446
 01/06  01:00:00,16.1656659195,12.0802731493
 01/06  02:00:00,15.697198906199999,14.3391640524
 01/06  03:00:00,15.4808841332,15.7426447575
 01/06  04:00:00,15.3697791985,16.5790864332
 01/06  05:00:00,17.485794425199998,17.9141054458
 01/06  06:00:00,22.053776225900002,21.9917805559
 01/06  07:00:00,27.345123713200003,31.2902953931
 01/06  08:00:00,26.643146429,30.9450609208
 01/06  09:00:00,24.022542287199997,25.8783007387
 01/06  10:00:00,21.539926744499997,17.7113220926
 01/06  11:00:00,19.610561086500002,13.7979357348
 01/06  12:00:00,20.5058689583,10.3511524832
 01/06  13:00:00,20.7951455605,8.3900929351
 01/06  14:00:00,21.043270105599998,7.29414253678
 01/06  15:00:00,21.2838481527,6.39935838314
 01/06  16:00:00,22.5633812513,7.29414253678
 01/06  17:00:00,29.545145246100002,8.48718807495
 01/06  18:00:00,36.0958222887,11.171540535799998
 01/06  19:00:00,40.7960888895,13.1102395354
 01/06  20:00:00,39.2271057234,12.513716766300002
 01/06  21:00:00,38.580714699,11.4698019204
 01/06  22:00:00,32.9156435525,9.38197222858
 01/06  23:00:00,25.690749828,8.26062087357
 01/06  24:00:00,19.6722393481,5.149746667900001
 01/07  01:00:00,15.895697091099999,3.06949710504
 01/07  02:00:00,15.2797775858,3.7338961135800006
 01/07  03:00:00,15.0257881657,4.98928140133
 01/07  04:00:00,14.987300254,7.49374588992
 01/07  05:00:00,17.153476621,10.059317690599999
 01/07  06:00:00,21.742625793800002,14.668690785199999
 01/07  07:00:00,27.098389629099998,25.515083249899998
 01/07  08:00:00,26.276329249499998,26.920526935999998
 01/07  09:00:00,22.2942348198,26.221514182600004
 01/07  10:00:00,19.528727145,22.648229534099997
 01/07  11:00:00,16.7842105091,18.4592201649
 01/07  12:00:00,17.2383476505,14.530808065699999
 01/07  13:00:00,17.4316969106,12.303365253399999
 01/07  14:00:00,17.3336537606,10.0557759664
 01/07  15:00:00,17.418951858499998,7.907071523119999
 01/07  16:00:00,18.793550247,8.057259249760001
 01/07  17:00:00,26.0957319713,8.929697268430001
 01/07  18:00:00,34.5124460375,11.622374252
 01/07  19:00:00,39.8083874238,13.9364369151
 01/07  20:00:00,38.5879729158,14.1511847263
 01/07  21:00:00,38.083362911900004,14.086661296199999
 01/07  22:00:00,32.5920066986,13.1628774123
 01/07  23:00:00,25.6483470622,14.0371731801
 01/07  24:00:00,19.7737726388,12.898608012
 01/08  01:00:00,16.2266059751,13.5714445477
 01/08  02:00:00,15.766602078499998,15.990578825899998
 01/08  03:00:00,15.6717165401,20.2260568512
 01/08  04:00:00,15.648620846199998,23.117709721599997
 01/08  05:00:00,17.804303271400002,25.396812736399998
 01/08  06:00:00,22.329167125799998,28.458945504099997
 01/08  07:00:00,27.497322350500003,34.8752293913
 01/08  08:00:00,26.5005926229,32.130989182
 01/08  09:00:00,22.3423289462,26.623204121300002
 01/08  10:00:00,19.6014445701,19.425414647
 01/08  11:00:00,17.2117047269,14.9723783103
 01/08  12:00:00,17.8731556392,11.474851608699998
 01/08  13:00:00,18.1339404231,9.31008863878
 01/08  14:00:00,17.982024491700002,7.65669770403
 01/08  15:00:00,17.9951524068,6.4268496933599994
 01/08  16:00:00,19.446566136199998,7.31102637663
 01/08  17:00:00,26.6326108059,8.50694575989
 01/08  18:00:00,34.988807496,11.1977643722
 01/08  19:00:00,40.2147126836,13.14113337
 01/08  20:00:00,38.9013637139,12.580044051
 01/08  21:00:00,38.2524900231,11.6817537133
 01/08  22:00:00,32.6587005345,9.85807486589
 01/08  23:00:00,25.615935622,10.1023947165
 01/08  24:00:00,19.6587645994,8.915002260189999
 01/09  01:00:00,15.976741206199998,7.638333250800001
 01/09  02:00:00,15.4542313678,8.578470339919999
 01/09  03:00:00,15.2031793488,9.130471768969999
 01/09  04:00:00,15.1097659767,10.3936191363
 01/09  05:00:00,17.2630393709,12.6607927986
 01/09  06:00:00,21.8240209513,16.5958744707
 01/09  07:00:00,27.1050892504,25.6894659741
 01/09  08:00:00,26.4126066823,25.5905477911
 01/09  09:00:00,23.953152706199997,21.230054526900002
 01/09  10:00:00,21.8032915552,15.6175800239
 01/09  11:00:00,20.0126541766,12.8272755744
 01/09  12:00:00,20.8127902789,9.715208575739998
 01/09  13:00:00,20.5080197779,8.21675892466
 01/09  14:00:00,21.3880081732,7.318823952060001
 01/09  15:00:00,21.5540711459,6.42088897946
 01/09  16:00:00,22.4707401135,7.318823952060001
 01/09  17:00:00,30.012456982399996,8.516070582200001
 01/09  18:00:00,36.734910860599996,11.2098755
 01/09  19:00:00,41.3294173661,13.155401274
 01/09  20:00:00,39.374471692,12.556777958900001
 01/09  21:00:00,38.590250026,11.5091871575
 01/09  22:00:00,32.882192018699996,9.414005554800001
 01/09  23:00:00,25.6692535683,8.21675892466
 01/09  24:00:00,19.6649598774,4.94187691686
 01/10  01:00:00,15.894615748,2.3014914064500003
 01/10  02:00:00,15.281462578,2.56520423513
 01/10  03:00:00,14.983736544400001,3.56442753365
 01/10  04:00:00,14.8518469467,4.328112042230001
 01/10  05:00:00,16.9405524955,5.02930422745
 01/10  06:00:00,21.503017306799997,8.03050076009
 01/10  07:00:00,26.8847996496,17.268594073499997
 01/10  08:00:00,26.3130530805,17.5722451028
 01/10  09:00:00,24.477553583000002,15.605874576700002
 01/10  10:00:00,22.946937418,12.948033795899999
 01/10  11:00:00,21.0822532237,11.6707521718
 01/10  12:00:00,23.088521180500003,9.423564243180001
 01/10  13:00:00,23.7215939029,8.22506401457
 01/10  14:00:00,22.471782014099997,7.3261888431100015
 01/10  15:00:00,22.2626672683,6.42731367164
 01/10  16:00:00,23.9572195478,7.3261888431100015
 01/10  17:00:00,32.8606217271,8.52468907172
