Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,117.96820956299999,4.85426
 01/01  02:00:00,117.99318586,4.85426
 01/01  03:00:00,117.99113169,4.85426
 01/01  04:00:00,117.988733978,4.85426
 01/01  05:00:00,118.481248062,4.85426
 01/01  06:00:00,118.447955011,4.85426
 01/01  07:00:00,118.472804592,13.4428575686
 01/01  08:00:00,106.35510045,4.85426
 01/01  09:00:00,100.476203681,4.85426
 01/01  10:00:00,100.591129991,4.85426
 01/01  11:00:00,100.59825983399999,4.85426
 01/01  12:00:00,313.423003242,13.4506337935
 01/01  13:00:00,399.487605627,4.85426
 01/01  14:00:00,442.225294925,4.85426
 01/01  15:00:00,460.49288336800004,4.85426
 01/01  16:00:00,394.224132838,13.4446684821
 01/01  17:00:00,404.48949441699995,4.85426
 01/01  18:00:00,273.800623127,4.85426
 01/01  19:00:00,118.183849292,4.85426
 01/01  20:00:00,118.633936983,4.85426
 01/01  21:00:00,118.56586387600001,4.85426
 01/01  22:00:00,118.285734428,4.85426
 01/01  23:00:00,117.918612416,13.444606786
 01/01  24:00:00,118.785247355,4.85426
 01/02  01:00:00,117.95266798799999,4.85426
 01/02  02:00:00,117.96517990299999,4.85426
 01/02  03:00:00,117.927558589,13.450667295399999
 01/02  04:00:00,117.916515048,4.85426
 01/02  05:00:00,118.378295229,4.85426
 01/02  06:00:00,118.32866551,4.85426
 01/02  07:00:00,341.187997885,339.528254025
 01/02  08:00:00,460.61830713,298.745132555
 01/02  09:00:00,670.871231097,136.226293652
 01/02  10:00:00,980.505051898,72.1148738353
 01/02  11:00:00,1074.74197929,83.8969486527
 01/02  12:00:00,1098.86989286,84.0122828324
 01/02  13:00:00,1105.4223064999999,93.03370512059999
 01/02  14:00:00,1091.97425431,68.9410046672
 01/02  15:00:00,1091.76017815,59.6945132179
 01/02  16:00:00,1096.47282151,40.4148787699
 01/02  17:00:00,1119.57129356,31.3538886493
 01/02  18:00:00,1008.36234802,40.1645321262
 01/02  19:00:00,955.4754724589999,40.2783400747
 01/02  20:00:00,856.690033756,13.511053231300002
 01/02  21:00:00,807.522891934,19.817295893599997
 01/02  22:00:00,118.37211705600001,13.501590256199998
 01/02  23:00:00,118.08556856,4.85426
 01/02  24:00:00,118.991533873,13.462597498
