Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,117.82256186,4.85426
 01/01  02:00:00,117.789885073,4.85426
 01/01  03:00:00,117.78061206,4.85426
 01/01  04:00:00,117.779339548,4.85426
 01/01  05:00:00,118.226769349,4.85426
 01/01  06:00:00,118.197161236,4.85426
 01/01  07:00:00,118.221301613,13.4431462373
 01/01  08:00:00,109.123682523,4.85426
 01/01  09:00:00,100.16036377,4.85426
 01/01  10:00:00,100.20792588200001,4.85426
 01/01  11:00:00,100.21243642799999,4.85426
 01/01  12:00:00,101.056161504,13.450633283399998
 01/01  13:00:00,100.19274937700001,4.85426
 01/01  14:00:00,100.279295564,4.85426
 01/01  15:00:00,100.332960592,4.85426
 01/01  16:00:00,100.324467217,13.4445973149
 01/01  17:00:00,100.129656523,4.85426
 01/01  18:00:00,106.094969405,4.85426
 01/01  19:00:00,118.038444975,4.85426
 01/01  20:00:00,118.518588404,4.85426
 01/01  21:00:00,118.47271716700001,4.85426
 01/01  22:00:00,118.22301239299999,4.85426
 01/01  23:00:00,117.87762643299999,13.4446101981
 01/01  24:00:00,118.714811064,4.85426
 01/02  01:00:00,117.843718417,4.85426
 01/02  02:00:00,117.837274226,4.85426
 01/02  03:00:00,117.845806562,13.4506707624
 01/02  04:00:00,117.84304170799999,4.85426
 01/02  05:00:00,118.274486826,4.85426
 01/02  06:00:00,118.21142951,4.85426
 01/02  07:00:00,192.24979476400003,537.3383799430001
 01/02  08:00:00,360.849498757,522.341034261
 01/02  09:00:00,444.287125979,467.874257571
 01/02  10:00:00,444.349836252,472.24207610900004
 01/02  11:00:00,450.35824327,450.276417424
 01/02  12:00:00,451.353430985,346.930737019
 01/02  13:00:00,450.606698315,336.84867763
 01/02  14:00:00,444.889206063,329.47632464
 01/02  15:00:00,445.124404262,301.680285167
 01/02  16:00:00,437.123542527,280.292628869
 01/02  17:00:00,431.43724432,241.45486680599998
 01/02  18:00:00,357.688273845,468.72229399300005
 01/02  19:00:00,369.75407927,572.985426126
 01/02  20:00:00,370.618819115,725.562033853
 01/02  21:00:00,371.09890273699995,752.347457077
 01/02  22:00:00,117.795566385,13.5015966309
 01/02  23:00:00,117.56773026399999,4.85426
 01/02  24:00:00,118.602464091,13.462604027200001
 01/03  01:00:00,117.602361264,4.85426
 01/03  02:00:00,117.62350361799999,4.85426
 01/03  03:00:00,117.635320601,4.85426
 01/03  04:00:00,117.642561149,13.450603331300002
 01/03  05:00:00,119.76541140100001,4.85426
 01/03  06:00:00,119.430529081,4.85426
 01/03  07:00:00,194.181888101,1260.46506651
 01/03  08:00:00,361.97268198300003,1123.70864348
 01/03  09:00:00,445.163566483,909.2725326460001
 01/03  10:00:00,444.791677938,782.7823831960001
 01/03  11:00:00,450.483996088,656.475543412
 01/03  12:00:00,451.440074259,483.41857851
 01/03  13:00:00,450.603439588,412.04664998699997
 01/03  14:00:00,444.783665204,372.645317386
 01/03  15:00:00,445.07906279900004,319.485636878
 01/03  16:00:00,443.87002237800004,212.221275829
 01/03  17:00:00,440.62780128099996,99.04353456969999
 01/03  18:00:00,357.598532089,230.38685437400002
 01/03  19:00:00,369.59434198800005,340.809637377
 01/03  20:00:00,369.608719846,393.835491325
 01/03  21:00:00,369.600948041,409.43751357300005
 01/03  22:00:00,117.58905565,13.5017107667
 01/03  23:00:00,117.65811210700001,13.471753446400001
 01/03  24:00:00,118.64739847799999,4.85426
 01/04  01:00:00,117.683882591,13.4505745696
 01/04  02:00:00,117.689446803,4.85426
