Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/02  01:00:00,109.914878735,98.8915705965
 01/02  02:00:00,97.90276973969999,86.01630721389999
 01/02  03:00:00,116.806022375,108.56136157799999
 01/02  04:00:00,101.361833887,88.20593334670001
 01/02  05:00:00,144.62952621600002,125.145070005
 01/02  06:00:00,173.41400139599997,195.91241127
 01/02  07:00:00,221.362614523,183.268916582
 01/02  08:00:00,228.95520342700001,162.236942827
 01/02  09:00:00,233.060592961,147.036983553
 01/02  10:00:00,243.213163942,138.38975433299998
 01/02  11:00:00,241.640938431,119.011589212
 01/02  12:00:00,242.607138067,114.785970623
 01/02  13:00:00,233.481982693,119.991975146
 01/02  14:00:00,245.69844977,108.64645743
 01/02  15:00:00,247.00740272099998,115.098176132
 01/02  16:00:00,243.932312679,107.537217911
 01/02  17:00:00,246.33403369799998,109.817259739
 01/02  18:00:00,255.197886306,112.39477981600001
 01/02  19:00:00,164.988364437,93.2194922634
 01/02  20:00:00,164.560611494,90.7748995198
 01/02  21:00:00,139.270495929,104.179097194
 01/02  22:00:00,116.298539995,89.76460498530001
 01/02  23:00:00,91.3092548483,79.7587714917
 01/02  24:00:00,107.84603801200001,101.751291854
 01/03  01:00:00,101.499124008,83.0120668562
 01/03  02:00:00,111.017704615,105.34320554
 01/03  03:00:00,105.653892322,85.81436070689999
 01/03  04:00:00,115.275929635,108.291329664
 01/03  05:00:00,146.166090191,122.91131278
 01/03  06:00:00,175.60523410099998,195.295496421
 01/03  07:00:00,222.26365363099998,179.08057342400002
 01/03  08:00:00,230.30185885,152.97707829799998
 01/03  09:00:00,234.47124287900002,143.940997659
 01/03  10:00:00,243.30353968400001,123.015443295
 01/03  11:00:00,241.57151690900002,118.888890036
 01/03  12:00:00,241.28717943700002,125.821344715
 01/03  13:00:00,232.760795884,113.978442537
 01/03  14:00:00,244.700988713,121.612570859
 01/03  15:00:00,245.61456906400002,112.43142411
 01/03  16:00:00,245.712748062,112.960268034
 01/03  17:00:00,248.519805086,122.21875531200001
 01/03  18:00:00,255.114831357,115.02153328200001
 01/03  19:00:00,163.3732888,86.83326028229999
 01/03  20:00:00,165.968547383,92.48897621229999
 01/03  21:00:00,140.29263288200002,105.909408613
 01/03  22:00:00,115.02020112,91.4793312491
 01/03  23:00:00,95.57874823799999,81.36624356909999
 01/03  24:00:00,113.81871606200001,104.35752743100001
 01/04  01:00:00,98.6164512571,85.3915732342
 01/04  02:00:00,116.63780982600001,116.47032162299999
 01/04  03:00:00,101.73258599399999,87.35794178200001
 01/04  04:00:00,121.365253294,109.485915112
 01/04  05:00:00,140.68344653100002,123.085768309
 01/04  06:00:00,187.098849452,194.406062302
 01/04  07:00:00,222.23768608700001,172.094700881
 01/04  08:00:00,231.72217363200002,145.434289501
 01/04  09:00:00,238.178619018,129.097757421
 01/04  10:00:00,249.291772816,121.34030685299999
 01/04  11:00:00,248.827686501,125.263412805
 01/04  12:00:00,249.013002723,112.324154875
 01/04  13:00:00,238.47943257,117.416887192
 01/04  14:00:00,247.010581059,106.01106438299999
 01/04  15:00:00,242.94373615900003,104.958232009
 01/04  16:00:00,238.450295487,113.60489166
 01/04  17:00:00,237.792724975,107.20178457799999
 01/04  18:00:00,244.727952495,111.064476265
 01/04  19:00:00,154.155458283,92.949402138
 01/04  20:00:00,155.49177753799998,90.94911896219999
 01/04  21:00:00,128.487361984,105.04979428
 01/04  22:00:00,105.19216741299999,90.92335590969999
 01/04  23:00:00,89.7557462783,80.8525884095
 01/04  24:00:00,101.504892131,103.013205966
 01/05  01:00:00,96.22971074799999,83.9512712552
 01/05  02:00:00,104.990466064,106.37552279399999
 01/05  03:00:00,98.7803356705,86.44671780979999
 01/05  04:00:00,105.426408417,108.92486371700001
 01/05  05:00:00,134.707393962,122.856866052
 01/05  06:00:00,163.844720486,194.80809363
 01/05  07:00:00,211.52941874799998,174.169832633
 01/05  08:00:00,217.881894829,145.325662844
 01/05  09:00:00,219.534440222,137.15859166799999
 01/05  10:00:00,227.868568102,120.975506937
 01/05  11:00:00,229.999586293,115.33484116
 01/05  12:00:00,232.86285058,120.132563317
 01/05  13:00:00,225.285864542,107.907037619
 01/05  14:00:00,239.551827814,113.435373238
 01/05  15:00:00,236.757094261,103.23239492299999
 01/05  16:00:00,232.082380667,103.66391984
 01/05  17:00:00,230.82149963900002,114.454819198
 01/05  18:00:00,241.493765622,108.87727339
 01/05  19:00:00,148.647436025,80.8059302482
 01/05  20:00:00,150.234004776,86.4230479011
 01/05  21:00:00,122.827726467,100.087097479
 01/05  22:00:00,87.0578893339,64.1723349958
 01/05  23:00:00,77.651941041,88.6469456182
 01/05  24:00:00,69.1228398692,80.6713085714
 01/06  01:00:00,84.1966087867,100.923600263
 01/06  02:00:00,73.5810089672,82.0075487745
 01/06  03:00:00,92.12846141780001,111.607163871
 01/06  04:00:00,82.26792061020001,83.8030891227
 01/06  05:00:00,125.11181050299999,117.62820712
 01/06  06:00:00,160.028535789,188.491063658
 01/06  07:00:00,197.945464805,155.07756485
 01/06  08:00:00,218.14350249400002,132.350907465
 01/06  09:00:00,227.88709943400002,122.364061215
 01/06  10:00:00,238.207660054,115.272166897
 01/06  11:00:00,243.156720106,118.435554724
 01/06  12:00:00,239.639300288,106.459172321
 01/06  13:00:00,225.741361853,112.740917287
 01/06  14:00:00,237.14750602400002,102.012000662
 01/06  15:00:00,236.835567261,101.977963145
 01/06  16:00:00,234.841011995,110.768190586
 01/06  17:00:00,232.443396168,104.458360767
 01/06  18:00:00,239.62437478200002,108.057298788
 01/06  19:00:00,147.217785475,89.2685069439
 01/06  20:00:00,149.156205339,87.5172954342
 01/06  21:00:00,121.739281789,101.8340302
 01/06  22:00:00,101.32054438600001,85.97856348100001
 01/06  23:00:00,72.46074955569999,78.9455328373
 01/06  24:00:00,88.26265872479999,101.364675562
 01/07  01:00:00,75.9986036558,83.3279319559
 01/07  02:00:00,94.2209858638,104.210164291
 01/07  03:00:00,89.0441310505,84.4711008657
 01/07  04:00:00,98.20630689389999,106.610975219
 01/07  05:00:00,113.26376583,127.53071626100001
 01/07  06:00:00,110.49315122700001,129.42397639200001
 01/07  07:00:00,129.945802351,124.25573023
 01/07  08:00:00,184.688226975,171.075790351
 01/07  09:00:00,172.817237922,160.720911387
 01/07  10:00:00,196.774866569,145.69481759200002
 01/07  11:00:00,198.25603721599998,146.692841742
 01/07  12:00:00,198.597741764,133.674100571
 01/07  13:00:00,189.67224261200002,131.117920376
 01/07  14:00:00,188.55814939,129.69888287
 01/07  15:00:00,186.585440247,127.879062311
 01/07  16:00:00,154.95854530100002,66.6162551814
 01/07  17:00:00,155.27765553,77.0760091245
 01/07  18:00:00,152.732706711,75.67100802649999
 01/07  19:00:00,108.47832246799999,99.64305595399999
 01/07  20:00:00,109.19016885799999,106.473840375
 01/07  21:00:00,92.9726469999,115.247604321
 01/07  22:00:00,61.5031946447,59.980986190500005
 01/07  23:00:00,72.4283358002,85.2633644432
 01/07  24:00:00,74.3198231004,88.24148155649999
 01/08  01:00:00,64.0718438358,65.8615074968
 01/08  02:00:00,76.3693990199,73.9020437325
 01/08  03:00:00,78.1429096954,90.6897336951
 01/08  04:00:00,78.5965393298,75.7292751351
 01/08  05:00:00,65.1207987592,64.4772280683
 01/08  06:00:00,66.47554891979999,57.8468236912
 01/08  07:00:00,84.5723210109,108.266104339
 01/08  08:00:00,60.203976298,87.2924620598
 01/08  09:00:00,103.40566583299999,103.831912714
 01/08  10:00:00,90.91714933979999,82.7971266398
 01/08  11:00:00,100.264725445,101.492378876
 01/08  12:00:00,92.31443236700001,79.0618192642
 01/08  13:00:00,105.24184550700001,94.16687677709999
 01/08  14:00:00,94.01926978559999,75.5930775418
 01/08  15:00:00,112.38222396200001,93.7308690484
 01/08  16:00:00,97.8704093943,76.623395232
 01/08  17:00:00,94.9620713107,97.650958641
 01/08  18:00:00,77.9939410587,84.8965571202
 01/08  19:00:00,98.7440499692,117.73132537299999
 01/08  20:00:00,82.109063152,88.5253818327
 01/08  21:00:00,97.0825185759,111.495032719
 01/08  22:00:00,87.48978399100001,90.9302080151
 01/08  23:00:00,104.896592246,113.669693347
 01/08  24:00:00,92.4007025074,92.0274835913
 01/09  01:00:00,110.248287721,114.218900025
 01/09  02:00:00,96.6565555042,92.32527975139999
 01/09  03:00:00,114.327879119,115.087812201
 01/09  04:00:00,98.33397871,93.34097927149999
 01/09  05:00:00,140.56244577,132.29897844
 01/09  06:00:00,173.543263144,203.260014097
 01/09  07:00:00,221.18175331900002,170.522111018
 01/09  08:00:00,229.87280387299998,144.669120867
 01/09  09:00:00,237.570078254,134.308977409
 01/09  10:00:00,248.071879532,135.993978983
 01/09  11:00:00,246.37717279700001,122.82721818200001
 01/09  12:00:00,247.823795803,126.748923449
 01/09  13:00:00,240.281877912,114.466049502
 01/09  14:00:00,251.07472021700002,111.546911702
 01/09  15:00:00,249.708551687,118.833846022
 01/09  16:00:00,247.300585228,110.55544232
 01/09  17:00:00,245.988157722,112.21552371799999
 01/09  18:00:00,254.99640196200002,123.741523395
 01/09  19:00:00,165.004466611,85.8905621946
 01/09  20:00:00,162.19787844799998,92.100897655
 01/09  21:00:00,141.715408369,106.00785757
 01/09  22:00:00,113.683664024,91.1017849766
 01/09  23:00:00,94.32365002030001,80.84394270279999
 01/09  24:00:00,109.392812033,102.72940034
 01/10  01:00:00,101.72225259,83.636075142
 01/10  02:00:00,111.56031314399999,105.853961453
 01/10  03:00:00,104.50758206399999,86.16725779629999
 01/10  04:00:00,112.86540135,108.928810177
 01/10  05:00:00,143.949020424,123.643772129
 01/10  06:00:00,174.148622451,196.58901680900001
 01/10  07:00:00,220.857996635,180.771125832
 01/10  08:00:00,231.08433342900003,165.59040392100002
 01/10  09:00:00,234.256796005,139.36896445899998
 01/10  10:00:00,241.66621277,125.455935863
 01/10  11:00:00,241.258701718,127.7953869
 01/10  12:00:00,245.897759027,115.239112779
 01/10  13:00:00,233.15001111400002,111.20648099799999
 01/10  14:00:00,239.85707161599998,117.529271255
 01/10  15:00:00,236.891751138,108.799123646
 01/10  16:00:00,234.709407387,119.46759843299999
 01/10  17:00:00,235.41710998,112.49729923299999
 01/10  18:00:00,244.92693023900003,113.798166004
 01/10  19:00:00,150.211756407,85.3060313622
 01/10  20:00:00,151.40908092700002,91.2199101579
 01/10  21:00:00,130.350891125,113.30076276700001
 01/10  22:00:00,102.07865433799999,90.54514387719999
 01/10  23:00:00,77.0948126437,80.603895884
 01/10  24:00:00,101.471642769,103.316111851
 01/11  01:00:00,89.8816325934,84.3067465874
 01/11  02:00:00,105.526244417,106.458432875
 01/11  03:00:00,91.6925687566,86.3081795892
 01/11  04:00:00,108.06868509700001,108.275687311
 01/11  05:00:00,129.880821946,121.76313442700001
 01/11  06:00:00,175.212355999,193.69070740400002
 01/11  07:00:00,207.19938101099999,159.017798136
 01/11  08:00:00,218.039060741,137.994192745
 01/11  09:00:00,220.69004490400002,130.588933752
 01/11  10:00:00,228.703036832,135.97972409
 01/11  11:00:00,228.091185156,124.82595800899999
 01/11  12:00:00,227.67227261099998,131.392334283
 01/11  13:00:00,215.7846566,120.744782981
 01/11  14:00:00,229.614330355,118.969849325
 01/11  15:00:00,234.713310417,127.74703746600001
 01/11  16:00:00,234.838798121,117.95793473299999
 01/11  17:00:00,235.284562908,115.74575380200001
 01/11  18:00:00,248.388004863,125.526693844
 01/11  19:00:00,150.266025122,87.2967200986
 01/11  20:00:00,153.41035058,90.592283881
 01/11  21:00:00,127.524815062,103.614484374
 01/11  22:00:00,91.67773397559999,65.6266124082
 01/11  23:00:00,82.5097729009,90.1821910681
 01/11  24:00:00,63.9177079921,61.2829621999
 01/12  01:00:00,86.6134453241,94.1280338801
 01/12  02:00:00,64.2720381725,60.8843518537
 01/12  03:00:00,83.20158248930001,87.127243815
 01/12  04:00:00,69.4177119071,59.1315135993
 01/12  05:00:00,119.483037276,115.92387573399999
 01/12  06:00:00,143.086857129,187.183796742
 01/12  07:00:00,193.733757693,153.951950571
 01/12  08:00:00,209.496030857,141.723254607
 01/12  09:00:00,219.09942315700002,127.223521283
 01/12  10:00:00,228.38301712,124.228720113
 01/12  11:00:00,224.361903153,131.02592494799998
 01/12  12:00:00,222.68999269900002,120.464105436
 01/12  13:00:00,210.12654015299998,118.28070406299999
 01/12  14:00:00,222.69528729799998,123.655722468
 01/12  15:00:00,222.727148193,110.087818688
