Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly)
 01/01  01:00:00,13.564417015899998,49.0792201475
 01/01  02:00:00,9.49091517261,3.0211
 01/01  03:00:00,9.519321482410001,3.5931753458099998
 01/01  04:00:00,9.532801465339999,3.0211
 01/01  05:00:00,9.68421976347,3.5931812439999997
 01/01  06:00:00,13.718007211500002,47.4374313175
 01/01  07:00:00,27.5577120924,50.84442564850001
 01/01  08:00:00,25.6225484508,53.908554558
 01/01  09:00:00,20.6310003009,46.244677651800004
 01/01  10:00:00,20.6510858734,43.224017939899994
 01/01  11:00:00,25.6648453856,56.2767711989
 01/01  12:00:00,26.8150196243,58.774016797
 01/01  13:00:00,25.9165387653,49.5482928808
 01/01  14:00:00,25.7289584132,43.0249704217
 01/01  15:00:00,20.7331210037,32.4914106803
 01/01  16:00:00,20.7103370674,33.031698627
 01/01  17:00:00,21.2523331359,38.9746894569
 01/01  18:00:00,28.1434410531,46.22045010229999
 01/01  19:00:00,28.1305814497,50.2243719532
 01/01  20:00:00,28.2594685008,54.2647699817
 01/01  21:00:00,23.2293857787,53.651868933100005
 01/01  22:00:00,23.1546646973,54.16582296479999
 01/01  23:00:00,23.0473151965,53.7318541463
 01/01  24:00:00,24.2428839871,41.1787006174
 01/02  01:00:00,13.7595632707,49.1862546175
 01/02  02:00:00,9.48662932241,3.0211
 01/02  03:00:00,9.51438477363,3.5931837597199996
 01/02  04:00:00,9.52731975787,3.0211
 01/02  05:00:00,9.67759368243,3.59318964455
 01/02  06:00:00,13.714588687000001,57.8391802083
 01/02  07:00:00,27.5546462221,62.2535998474
 01/02  08:00:00,25.614027149400002,67.4039919465
 01/02  09:00:00,20.6164802879,57.5143558501
 01/02  10:00:00,20.6265381665,52.273355338
 01/02  11:00:00,25.638909256399998,60.4885723667
 01/02  12:00:00,26.7999526885,61.747480116000006
 01/02  13:00:00,25.8955087473,50.2367638709
 01/02  14:00:00,25.6996193965,43.59263419
 01/02  15:00:00,20.6975421401,35.9418450478
 01/02  16:00:00,20.6788796117,36.3745556907
 01/02  17:00:00,21.2197784227,42.8649822166
 01/02  18:00:00,28.115924673000002,47.9753378122
 01/02  19:00:00,28.107444572,52.9488911394
 01/02  20:00:00,28.2423495267,55.5358566415
 01/02  21:00:00,23.223121681,52.4896086908
 01/02  22:00:00,23.146266099499996,55.1636606909
 01/02  23:00:00,23.0403744846,54.9944421283
 01/02  24:00:00,24.2388936585,40.9772062727
 01/03  01:00:00,13.758352096800001,49.0687042793
 01/03  02:00:00,9.48434730543,3.5931744008800006
 01/03  03:00:00,9.51186113615,3.0211
 01/03  04:00:00,9.52596066563,3.0211
 01/03  05:00:00,10.1934037259,3.59318030057
 01/03  06:00:00,14.227106642899999,57.7741419567
 01/03  07:00:00,27.7846296555,61.323779209899996
 01/03  08:00:00,25.615614793400002,65.0813023988
 01/03  09:00:00,20.6174756428,55.638947154200004
 01/03  10:00:00,20.6352407941,49.296920379700005
 01/03  11:00:00,25.6456747008,59.699710888199995
 01/03  12:00:00,26.7974245029,63.2466965286
 01/03  13:00:00,25.87991896,55.1357767355
 01/03  14:00:00,25.6809440854,50.560579044099995
 01/03  15:00:00,20.678276546099998,43.11168829100001
 01/03  16:00:00,20.6592091865,43.4578304188
 01/03  17:00:00,21.2048073177,47.9929207311
 01/03  18:00:00,28.0958065903,53.424565513500006
 01/03  19:00:00,28.0862770498,60.07699212359999
 01/03  20:00:00,28.0871130242,64.4179065277
 01/03  21:00:00,23.078392995599998,62.796845042600005
 01/03  22:00:00,23.040319548000003,62.5028544289
 01/03  23:00:00,23.0389605299,62.133133890500005
 01/03  24:00:00,24.2380221283,51.0817373991
 01/04  01:00:00,13.7576797215,57.492122431000006
 01/04  02:00:00,9.47993150411,3.59319027487
 01/04  03:00:00,9.50696449838,3.0211
 01/04  04:00:00,9.5216887313,3.5931703419
 01/04  05:00:00,9.672636457460001,3.0211
 01/04  06:00:00,13.7133445397,58.883357453500004
 01/04  07:00:00,27.554594733200002,59.518678932200004
 01/04  08:00:00,25.6148901705,60.5403726134
 01/04  09:00:00,20.6263898113,48.7244378507
 01/04  10:00:00,20.6626493984,40.742192550300004
 01/04  11:00:00,25.6776572077,49.5560005817
 01/04  12:00:00,26.8160853436,51.696258664
